face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.436808;0.306227;0.306759;0.696283;0.355596;0.708184;0.391018;0.712506;0.40761;0.728383;0.40302;0.728614;0.384425;0.603752;0.388666;0.666575;0.376341;0.691381;0.37334;0.683779;0.340665;0.597713;0.354664;0.689776;0.346716;0.7229;0.341123;0.724825;0.300448;0.612044;0.320501;0.68772;0.322275;0.71442;0.321798;0.723436;0.264787;0.636195;0.285374;0.683351;0.28972;0.697291;0.289965;0.696613
0.439462;0.306358;0.636023;0.725266;0.576633;0.7339;0.541397;0.723292;0.506214;0.725995;0.490517;0.735277;0.553348;0.64119;0.517371;0.64571;0.510596;0.682867;0.504362;0.705454;0.581828;0.639282;0.554016;0.6475;0.548425;0.698888;0.541181;0.728895;0.614024;0.645526;0.590633;0.657558;0.583453;0.712578;0.58255;0.746762;0.645205;0.661011;0.632913;0.653781;0.624044;0.683848;0.619131;0.709177;0.305959;0.669542;0.353051;0.676431;0.391154;0.683146;0.411097;0.701285;0.408736;0.709182;0.381727;0.57246;0.386177;0.626179;0.375764;0.656864;0.373407;0.650588;0.338424;0.566558;0.350542;0.631881;0.347545;0.671475;0.348198;0.679438;0.301834;0.580062;0.314898;0.630224;0.320628;0.666664;0.326792;0.681917;0.270245;0.600037;0.283672;0.635624;0.287962;0.660214;0.292236;0.667036
0.440645;0.306206;0.629121;0.713482;0.581056;0.712669;0.553893;0.712446;0.525752;0.720971;0.508491;0.737552;0.553942;0.638751;0.527756;0.639821;0.516979;0.686452;0.515263;0.725572;0.579295;0.635974;0.563887;0.624918;0.554868;0.673694;0.553794;0.709456;0.609075;0.640478;0.602675;0.624401;0.590032;0.672835;0.586036;0.710013;0.63932;0.659624;0.649407;0.653226;0.641158;0.687518;0.633118;0.714157;0.303555;0.676805;0.345202;0.674376;0.374142;0.668646;0.400999;0.67488;0.413273;0.676875;0.373098;0.592772;0.398344;0.604497;0.389139;0.642877;0.372009;0.66317;0.341873;0.586239;0.360106;0.606441;0.35924;0.652798;0.351058;0.664217;0.312725;0.592437;0.330658;0.61665;0.33334;0.658065;0.328712;0.671407;0.287447;0.602903;0.302574;0.617179;0.306932;0.651173;0.302239;0.665675
0.442224;0.305967;0.631059;0.708898;0.577871;0.706564;0.550039;0.702021;0.522207;0.708616;0.504501;0.728989;0.558188;0.638705;0.53052;0.63082;0.527013;0.678501;0.528516;0.717385;0.582468;0.633546;0.566084;0.613163;0.5615;0.663463;0.559564;0.69897;0.609975;0.638511;0.600998;0.615498;0.593242;0.662603;0.588465;0.695547;0.636152;0.656026;0.644936;0.641846;0.63832;0.673786;0.628988;0.695467;0.296138;0.674569;0.339935;0.675991;0.366193;0.666808;0.395843;0.671298;0.415553;0.678131;0.364795;0.599611;0.389142;0.587079;0.392505;0.624141;0.383672;0.651255;0.336957;0.595448;0.357677;0.575082;0.364076;0.621104;0.359723;0.643323;0.310629;0.598697;0.329548;0.585436;0.338994;0.625746;0.337271;0.648257;0.287357;0.606519;0.301022;0.600591;0.308712;0.630343;0.30771;0.64776
0.444093;0.305576;0.633143;0.695652;0.580283;0.700022;0.554638;0.698114;0.526057;0.707234;0.503482;0.72821;0.557902;0.623989;0.530802;0.630329;0.52474;0.670101;0.52371;0.700132;0.580937;0.617233;0.564236;0.61742;0.558238;0.658908;0.555581;0.69011;0.608008;0.622045;0.598906;0.62132;0.588142;0.658649;0.582647;0.687412;0.63461;0.64229;0.644287;0.638136;0.638979;0.656916;0.632781;0.671775;0.300277;0.673196;0.346815;0.679182;0.374406;0.666633;0.403836;0.667134;0.426318;0.671955;0.367936;0.598754;0.388908;0.578327;0.39205;0.611727;0.386951;0.64015;0.34277;0.595283;0.356267;0.56202;0.361632;0.605073;0.360214;0.632743;0.316694;0.598636;0.327044;0.572071;0.3366;0.610133;0.338313;0.637272;0.294444;0.607572;0.299204;0.592928;0.305483;0.61856;0.30776;0.63666
0.446039;0.305619;0.631037;0.695084;0.582883;0.69443;0.558045;0.693188;0.531192;0.703709;0.506213;0.72905;0.55667;0.627066;0.535178;0.62789;0.531781;0.668982;0.530115;0.699019;0.579234;0.619089;0.568622;0.616574;0.564915;0.655606;0.562391;0.683673;0.605956;0.621456;0.601535;0.618683;0.593138;0.654767;0.588774;0.683481;0.632613;0.637376;0.644218;0.632737;0.641377;0.650997;0.637982;0.665695;0.299159;0.670815;0.345033;0.674322;0.374201;0.66459;0.400958;0.665736;0.426978;0.671817;0.370987;0.594101;0.395219;0.576328;0.401602;0.604788;0.400479;0.62645;0.347255;0.585259;0.365075;0.556889;0.370214;0.598626;0.36799;0.626492;0.321067;0.587614;0.33429;0.567433;0.342459;0.60732;0.342989;0.633125;0.297705;0.597817;0.304581;0.5876;0.310073;0.615541;0.310992;0.632503
0.444894;0.305967;0.635718;0.704291;0.592242;0.698671;0.562876;0.69965;0.534577;0.711226;0.507771;0.732703;0.561153;0.637422;0.539154;0.627069;0.530336;0.659623;0.524051;0.690607;0.583236;0.629504;0.571531;0.612113;0.559142;0.63998;0.552739;0.671341;0.610437;0.631296;0.609849;0.615234;0.599419;0.638265;0.592974;0.66648;0.63645;0.644123;0.652829;0.631363;0.652831;0.645243;0.64868;0.662286;0.299547;0.678083;0.344847;0.680308;0.373771;0.667038;0.400774;0.666847;0.428441;0.673296;0.36826;0.598061;0.395331;0.582223;0.405841;0.606311;0.407927;0.627442;0.345995;0.589478;0.367093;0.560229;0.374465;0.590588;0.374203;0.616587;0.321224;0.590184;0.338286;0.568115;0.347527;0.598944;0.349062;0.623126;0.300181;0.597887;0.309954;0.588035;0.316126;0.612708;0.317352;0.629734
0.442674;0.305597;0.640619;0.706797;0.591983;0.697269;0.559647;0.699447;0.529712;0.706984;0.501507;0.732901;0.567899;0.64538;0.543825;0.635032;0.527461;0.659854;0.514419;0.688158;0.589301;0.635494;0.575853;0.614961;0.556407;0.633796;0.544165;0.665177;0.61759;0.63428;0.616086;0.606811;0.60506;0.618022;0.598071;0.643427;0.64563;0.644576;0.655499;0.626013;0.65509;0.638663;0.651872;0.656666;0.298654;0.677104;0.343436;0.682966;0.373467;0.674079;0.399261;0.671597;0.424712;0.673843;0.366854;0.60499;0.38877;0.581872;0.402772;0.599488;0.408104;0.617111;0.342973;0.597353;0.357972;0.559755;0.371864;0.582613;0.37807;0.60947;0.317087;0.599291;0.325655;0.568629;0.340294;0.59228;0.347093;0.618246;0.29318;0.608955;0.29693;0.590959;0.30641;0.608156;0.312186;0.625892
0.443025;0.305728;0.640445;0.701861;0.589858;0.69544;0.556148;0.70338;0.526938;0.715419;0.501709;0.735741;0.568756;0.643157;0.549641;0.63095;0.531751;0.653934;0.522823;0.685662;0.59128;0.635463;0.582248;0.607844;0.563592;0.620434;0.550829;0.651258;0.619981;0.633959;0.622654;0.602032;0.607662;0.610145;0.598684;0.635703;0.647523;0.641609;0.659721;0.62483;0.657771;0.635994;0.652218;0.653872;0.300322;0.679714;0.345071;0.684747;0.374975;0.67831;0.400559;0.67894;0.425448;0.68624;0.368937;0.608095;0.390019;0.583359;0.404565;0.604087;0.409525;0.627452;0.344138;0.599219;0.355437;0.556967;0.370099;0.578664;0.378407;0.604489;0.318212;0.603329;0.324112;0.571028;0.338956;0.590042;0.346338;0.611287;0.294811;0.61633;0.295058;0.596676;0.303519;0.61103;0.310164;0.624646
0.443216;0.305033;0.647814;0.704544;0.599352;0.702166;0.563195;0.706601;0.532121;0.719231;0.505305;0.737976;0.570375;0.647658;0.54584;0.64055;0.524411;0.664996;0.512244;0.696987;0.588304;0.632407;0.570392;0.612575;0.546563;0.627484;0.533523;0.659507;0.613349;0.624345;0.610642;0.600352;0.590896;0.609275;0.579582;0.630554;0.637948;0.627787;0.646752;0.612561;0.642896;0.621395;0.637103;0.634151;0.300265;0.673725;0.345302;0.681091;0.37474;0.679176;0.398935;0.684522;0.427504;0.693214;0.369001;0.605305;0.389694;0.578434;0.403804;0.594245;0.408517;0.616413;0.34367;0.594578;0.355617;0.55615;0.372401;0.575823;0.383796;0.598281;0.317396;0.599335;0.325617;0.57048;0.341529;0.587723;0.352346;0.606976;0.2941;0.612968;0.297026;0.595263;0.305208;0.607025;0.312867;0.616192
