face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.401155;0.419277;0.219775;0.938759;0.192795;0.86043;0.182419;0.796611;0.190237;0.739688;0.204769;0.703637;0.165412;0.728094;0.196736;0.623163;0.230234;0.596066;0.251903;0.605315;0.179342;0.742446;0.23405;0.642096;0.274265;0.625363;0.293681;0.641621;0.202849;0.767687;0.256679;0.666228;0.288223;0.655162;0.302612;0.673512;0.236955;0.796006;0.270966;0.720497;0.288827;0.685664;0.302722;0.667309
0.404023;0.418755;0.219226;0.879713;0.205088;0.812114;0.199481;0.751797;0.214564;0.706541;0.242481;0.683448;0.167856;0.697868;0.211452;0.614145;0.246029;0.597053;0.263145;0.601125;0.185155;0.711268;0.239964;0.626083;0.279836;0.616447;0.295886;0.627964;0.208451;0.733377;0.258646;0.656994;0.29221;0.656266;0.30422;0.668937;0.236927;0.757787;0.271716;0.696192;0.292028;0.686424;0.300601;0.68068
0.404326;0.416512;0.218973;0.846285;0.203451;0.780594;0.19817;0.718434;0.217108;0.675162;0.249902;0.656326;0.169052;0.673217;0.210167;0.603282;0.241029;0.589229;0.257299;0.594334;0.188489;0.684672;0.237951;0.607683;0.27348;0.59722;0.290163;0.610377;0.212876;0.705152;0.256809;0.629332;0.28629;0.625336;0.299686;0.6399;0.242478;0.729005;0.269316;0.66687;0.285599;0.650203;0.294509;0.643741
0.403016;0.415587;0.222678;0.826205;0.20963;0.762276;0.199364;0.705599;0.219503;0.666078;0.250978;0.646596;0.168575;0.670534;0.200456;0.601665;0.228073;0.58492;0.245624;0.580363;0.190309;0.674553;0.234788;0.609449;0.264818;0.594984;0.281571;0.595256;0.217535;0.688306;0.256467;0.621632;0.281722;0.612467;0.294788;0.617152;0.248058;0.706769;0.265956;0.646707;0.280702;0.626179;0.29196;0.614321
0.403382;0.41665;0.560009;0.819361;0.590207;0.78352;0.601327;0.733037;0.602918;0.684946;0.598152;0.649609;0.63799;0.717943;0.623128;0.625977;0.606124;0.596256;0.597441;0.585261;0.615016;0.726093;0.598716;0.62172;0.584746;0.587287;0.577862;0.574594;0.58438;0.726777;0.574957;0.630998;0.562549;0.599534;0.557557;0.585569;0.551812;0.72717;0.545679;0.64967;0.540263;0.625297;0.539103;0.614067;0.221547;0.811374;0.210592;0.749498;0.203323;0.694558;0.221058;0.652361;0.245;0.633329;0.163398;0.662577;0.202538;0.592411;0.232034;0.576871;0.249818;0.575488;0.18031;0.665573;0.227086;0.58981;0.261531;0.567371;0.282555;0.561315;0.20406;0.677772;0.246332;0.604415;0.274066;0.59218;0.286724;0.593456;0.232349;0.694451;0.256216;0.640175;0.2756;0.619929;0.28952;0.605355
0.402955;0.418776;0.5511;0.828015;0.600158;0.77697;0.612602;0.724926;0.6041;0.670606;0.589916;0.631722;0.643049;0.700973;0.625932;0.602494;0.607531;0.563322;0.594626;0.545181;0.618006;0.706539;0.596628;0.598173;0.575517;0.558762;0.564167;0.541853;0.584877;0.713316;0.571866;0.609066;0.558599;0.564163;0.552786;0.546496;0.548781;0.719174;0.542541;0.631114;0.538902;0.592205;0.53726;0.572151;0.231152;0.827269;0.229573;0.75363;0.217738;0.688491;0.224151;0.639444;0.24094;0.605624;0.16489;0.653447;0.206481;0.587961;0.234012;0.57537;0.255439;0.576272;0.179841;0.656054;0.223595;0.587225;0.253347;0.576205;0.276509;0.576958;0.203332;0.664515;0.246248;0.588795;0.273732;0.579179;0.292606;0.578383;0.233082;0.679923;0.253056;0.624909;0.269048;0.605021;0.284813;0.587474
0.40329;0.415737;0.545778;0.843091;0.602277;0.786191;0.619227;0.72641;0.612852;0.666202;0.601807;0.632599;0.645426;0.699509;0.623883;0.594148;0.60803;0.552418;0.597159;0.531007;0.618191;0.701827;0.59626;0.591914;0.574494;0.550768;0.560324;0.526464;0.584782;0.705928;0.573353;0.600332;0.559077;0.557732;0.55084;0.537339;0.547221;0.711224;0.544255;0.623435;0.542048;0.585477;0.541281;0.560768;0.23319;0.832331;0.232868;0.74995;0.220035;0.67601;0.227843;0.621004;0.245942;0.587036;0.165936;0.656606;0.202459;0.586493;0.228797;0.575501;0.24728;0.57494;0.178421;0.661124;0.223919;0.584822;0.252324;0.573701;0.272971;0.571828;0.200867;0.669017;0.244877;0.588002;0.271872;0.585223;0.289951;0.590842;0.228859;0.680608;0.246651;0.612491;0.263022;0.586309;0.27728;0.569643
0.402497;0.414208;0.546951;0.853401;0.606073;0.800211;0.621476;0.744548;0.614879;0.694852;0.607697;0.67317;0.643805;0.69469;0.622825;0.586763;0.607452;0.542431;0.597089;0.516457;0.617857;0.697021;0.59424;0.58437;0.571865;0.541731;0.558588;0.51021;0.585461;0.703533;0.571143;0.595626;0.555392;0.552662;0.547949;0.525506;0.548773;0.71233;0.543899;0.620643;0.540251;0.577371;0.538448;0.545195;0.231499;0.833515;0.24062;0.750278;0.22413;0.683614;0.225801;0.631352;0.237508;0.598073;0.154145;0.670502;0.185835;0.590417;0.215444;0.58163;0.238269;0.583602;0.167995;0.680593;0.206978;0.586883;0.236657;0.583518;0.25606;0.596102;0.190168;0.690934;0.229178;0.594332;0.2559;0.601053;0.270635;0.619364;0.219685;0.699454;0.226944;0.617084;0.239431;0.574846;0.250593;0.54333
0.403138;0.414077;0.546237;0.874805;0.603671;0.812947;0.620882;0.750251;0.609643;0.696873;0.597946;0.664292;0.645206;0.711943;0.624858;0.596774;0.608841;0.546512;0.5969;0.517934;0.616283;0.716363;0.593354;0.59452;0.571241;0.546323;0.552533;0.513374;0.582016;0.719709;0.568216;0.603209;0.553484;0.553328;0.542603;0.521175;0.544585;0.725578;0.542144;0.629544;0.537313;0.583799;0.53154;0.551386;0.229612;0.851154;0.238066;0.762958;0.22005;0.693047;0.215592;0.637287;0.228519;0.60734;0.135287;0.681966;0.161161;0.592698;0.194596;0.572907;0.22172;0.566448;0.148719;0.691352;0.179168;0.58613;0.213964;0.562036;0.243482;0.557778;0.172416;0.700937;0.206436;0.592056;0.234391;0.591612;0.253048;0.600428;0.205656;0.709877;0.209307;0.619923;0.220178;0.593941;0.230199;0.573938
0.403779;0.414414;0.536367;0.884401;0.586206;0.804557;0.598335;0.734684;0.58234;0.673518;0.571332;0.629986;0.638534;0.722267;0.618235;0.600549;0.604154;0.545931;0.593303;0.513714;0.606461;0.733279;0.586023;0.601264;0.569296;0.549449;0.552778;0.514666;0.569763;0.741489;0.559922;0.614947;0.551019;0.560289;0.542559;0.526375;0.530542;0.748776;0.530086;0.645303;0.529319;0.600089;0.525161;0.567852;0.232399;0.852564;0.241431;0.753507;0.217269;0.691261;0.206102;0.640563;0.207641;0.609475;0.121779;0.69386;0.146261;0.600023;0.174668;0.573761;0.201061;0.565094;0.134784;0.705821;0.161783;0.596556;0.195536;0.56948;0.227128;0.564809;0.156122;0.716592;0.186328;0.605032;0.216335;0.599584;0.235304;0.60685;0.188289;0.724041;0.187196;0.639305;0.196137;0.602049;0.204377;0.57243
