face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.46787;0.237036;0.676578;0.698847;0.694848;0.66475;0.707007;0.628801;0.710188;0.594904;0.708819;0.572267;0.711169;0.624959;0.699864;0.561338;0.689393;0.524219;0.680511;0.500513;0.692103;0.636556;0.682779;0.558117;0.67399;0.513031;0.667882;0.487672;0.671594;0.643283;0.66112;0.571457;0.653202;0.528808;0.647903;0.507185;0.650403;0.646373;0.63955;0.586922;0.634126;0.554686;0.631527;0.535249
0.47108;0.251706;0.674569;0.665689;0.691801;0.634666;0.699525;0.598668;0.69817;0.564951;0.695639;0.542203;0.706951;0.587191;0.692628;0.524016;0.681307;0.49066;0.672236;0.471475;0.689014;0.596011;0.676113;0.524265;0.665624;0.482141;0.657717;0.458495;0.666334;0.603387;0.655196;0.535968;0.645355;0.496075;0.637837;0.472431;0.643567;0.608092;0.634369;0.550551;0.62801;0.519844;0.623825;0.499052;0.34649;0.585196;0.343448;0.515838;0.359752;0.488519;0.382875;0.480575;0.402125;0.474869;0.393397;0.449139;0.422943;0.451792;0.428285;0.450267;0.429986;0.442326;0.402349;0.469766;0.425222;0.476418;0.416633;0.476268;0.410006;0.468198;0.407947;0.494204;0.418723;0.505067;0.401983;0.50839;0.389418;0.502994;0.4135;0.516395;0.417811;0.521817;0.405453;0.526007;0.397678;0.523155
0.470727;0.256061;0.666268;0.645997;0.693765;0.604367;0.698822;0.56337;0.691519;0.529341;0.68296;0.509382;0.697152;0.536512;0.675666;0.468437;0.664174;0.438304;0.654426;0.417783;0.675505;0.545914;0.655524;0.468007;0.64338;0.433002;0.633036;0.404912;0.654212;0.556477;0.637567;0.485369;0.628586;0.446839;0.621044;0.419544;0.634828;0.567841;0.623507;0.505969;0.617748;0.480519;0.611487;0.461354
0.473748;0.275532;0.671478;0.625003;0.686475;0.568155;0.685803;0.526237;0.677075;0.493454;0.667545;0.475148;0.690782;0.501237;0.666266;0.428225;0.652052;0.393373;0.643503;0.369504;0.674972;0.510443;0.650849;0.433183;0.634451;0.395216;0.62268;0.368632;0.654282;0.524057;0.634504;0.453972;0.621148;0.415623;0.61328;0.387987;0.633984;0.539928;0.619274;0.482948;0.611176;0.452751;0.606991;0.42718;0.667563;0.596071;0.682925;0.562114;0.685692;0.522825;0.680905;0.493466;0.673751;0.473448;0.696409;0.506463;0.674598;0.448567;0.661022;0.421134;0.650941;0.406406;0.679436;0.521627;0.658419;0.451222;0.644431;0.420218;0.634692;0.40182;0.658136;0.534027;0.638836;0.466293;0.62843;0.436931;0.621433;0.419445;0.636526;0.542623;0.620375;0.484562;0.614506;0.460773;0.610838;0.446377
0.474149;0.283;0.663695;0.58467;0.679644;0.539552;0.681293;0.496279;0.673674;0.459664;0.663786;0.438656;0.687884;0.479653;0.662841;0.414737;0.649235;0.383076;0.640681;0.362616;0.670556;0.49157;0.643821;0.419766;0.628268;0.38316;0.616961;0.355606;0.65003;0.504323;0.629696;0.436296;0.61685;0.3985;0.607227;0.371704;0.629725;0.517068;0.615405;0.459696;0.608606;0.435094;0.601811;0.415785
0.469675;0.294776;0.658396;0.552897;0.676701;0.51318;0.678915;0.477293;0.669361;0.44851;0.658613;0.427149;0.678142;0.445446;0.658591;0.389801;0.646769;0.359823;0.638022;0.339128;0.660856;0.452962;0.641284;0.392333;0.628406;0.361561;0.620883;0.339754;0.641166;0.463257;0.62401;0.406775;0.615049;0.376655;0.611213;0.356068;0.623307;0.477095;0.609696;0.430552;0.604164;0.40762;0.602121;0.389011;0.35926;0.551488;0.346847;0.501615;0.344777;0.460122;0.358636;0.432605;0.37559;0.420573;0.344068;0.424725;0.379316;0.379609;0.398875;0.357869;0.411535;0.34257;0.356744;0.438082;0.392112;0.391752;0.412238;0.367825;0.426418;0.350317;0.372027;0.456699;0.403918;0.409388;0.423127;0.383334;0.436847;0.364724;0.388408;0.478111;0.413037;0.43587;0.425529;0.415303;0.435184;0.395599
0.468717;0.297859;0.659235;0.554396;0.676146;0.511789;0.677977;0.475618;0.670932;0.446775;0.662963;0.426826;0.680225;0.441556;0.661375;0.386307;0.649417;0.356592;0.640405;0.333667;0.661056;0.447035;0.644441;0.386884;0.632182;0.357447;0.623751;0.337183;0.641081;0.456568;0.627556;0.402169;0.618009;0.372366;0.613386;0.352542;0.621888;0.470151;0.610665;0.424891;0.604856;0.400705;0.602911;0.381892;0.359642;0.548514;0.351579;0.495641;0.351273;0.455973;0.365776;0.429113;0.383946;0.414907;0.347559;0.420541;0.385231;0.371902;0.404355;0.348916;0.416165;0.332628;0.359632;0.431675;0.398446;0.382739;0.419722;0.358392;0.433891;0.339793;0.374055;0.450378;0.407902;0.400114;0.426626;0.374616;0.438396;0.356533;0.390381;0.472017;0.414745;0.429038;0.426336;0.408105;0.434978;0.388775
0.469578;0.298731;0.658105;0.55603;0.677662;0.511335;0.67842;0.473757;0.671762;0.444377;0.664694;0.424902;0.676798;0.440669;0.65982;0.383336;0.648291;0.355126;0.639627;0.333181;0.657101;0.443529;0.643199;0.383628;0.632445;0.356178;0.624753;0.337759;0.636925;0.453187;0.626788;0.39652;0.618169;0.368367;0.613314;0.350692;0.618419;0.468077;0.611586;0.424029;0.606771;0.400405;0.604546;0.38144;0.360314;0.543966;0.352246;0.490164;0.352361;0.448673;0.366056;0.423119;0.383784;0.408105;0.350046;0.41317;0.387872;0.366108;0.406252;0.343041;0.416924;0.328112;0.363032;0.424637;0.401748;0.378502;0.421788;0.353959;0.433883;0.335531;0.378628;0.443778;0.411592;0.395367;0.429498;0.370318;0.439576;0.355137;0.395588;0.464689;0.416931;0.42387;0.428433;0.401773;0.435547;0.383051
0.471711;0.304015;0.659854;0.555185;0.677082;0.510301;0.677969;0.472502;0.670246;0.443912;0.661369;0.423179;0.679524;0.440959;0.662256;0.385293;0.649892;0.358005;0.641142;0.337792;0.658869;0.444814;0.645125;0.386298;0.635396;0.359225;0.628791;0.339364;0.638505;0.453887;0.629382;0.398683;0.620744;0.370458;0.616041;0.351086;0.619522;0.466766;0.612527;0.423799;0.608899;0.401316;0.607321;0.382279;0.361935;0.54082;0.357529;0.484263;0.358825;0.442986;0.3725;0.418139;0.387964;0.403328;0.35418;0.40734;0.389722;0.362578;0.40745;0.339479;0.418452;0.325222;0.367705;0.417749;0.405559;0.375625;0.424848;0.351711;0.436515;0.33428;0.383027;0.435159;0.41457;0.391478;0.430848;0.369535;0.439367;0.354911;0.398751;0.455792;0.420145;0.41755;0.430041;0.399784;0.435476;0.385102
0.471577;0.303885;0.661731;0.557581;0.68079;0.511887;0.682839;0.473803;0.674221;0.444914;0.663562;0.428121;0.68435;0.442353;0.665466;0.387237;0.652802;0.359949;0.644387;0.340356;0.663601;0.44587;0.648984;0.38711;0.638653;0.36029;0.632518;0.341971;0.643316;0.454643;0.633868;0.399527;0.62544;0.371823;0.621516;0.353677;0.62367;0.467907;0.616417;0.424725;0.612579;0.402799;0.611466;0.385069;0.362512;0.538486;0.358755;0.484448;0.359732;0.443351;0.37388;0.418781;0.38723;0.40747;0.355273;0.410601;0.391456;0.366681;0.410196;0.346724;0.421859;0.333396;0.370891;0.423055;0.406598;0.377908;0.426151;0.355791;0.438482;0.338349;0.38671;0.441351;0.416205;0.395784;0.432977;0.372222;0.442509;0.356245;0.402517;0.462432;0.423023;0.422512;0.433832;0.402098;0.440827;0.38453
0.469506;0.300764;0.666921;0.560972;0.683034;0.51823;0.684596;0.481955;0.677427;0.453872;0.669381;0.435351;0.688008;0.449223;0.667447;0.394035;0.654781;0.366361;0.645108;0.345238;0.670013;0.45464;0.652517;0.394633;0.639786;0.367296;0.631189;0.34604;0.650052;0.46347;0.636186;0.407661;0.625836;0.377094;0.620409;0.355436;0.630795;0.476569;0.619418;0.428907;0.613429;0.405193;0.611488;0.38569;0.359689;0.540685;0.356611;0.488688;0.360081;0.446351;0.376452;0.424432;0.392528;0.41906;0.355042;0.40655;0.400133;0.367343;0.422457;0.351573;0.432397;0.344133;0.367894;0.421404;0.407966;0.381138;0.431337;0.361857;0.443398;0.348608;0.382083;0.442816;0.416357;0.398156;0.437709;0.377048;0.447988;0.364946;0.39832;0.465657;0.421654;0.428169;0.435224;0.408174;0.442804;0.389555
0.468893;0.293032;0.678522;0.577095;0.668471;0.527079;0.665439;0.488609;0.663168;0.456594;0.660639;0.429371;0.696746;0.452075;0.670228;0.409608;0.654541;0.382117;0.642418;0.358505;0.687028;0.46407;0.66;0.406476;0.640602;0.374044;0.62721;0.347152;0.670893;0.476447;0.644408;0.420572;0.62608;0.383985;0.614897;0.354566;0.653274;0.490929;0.630534;0.440841;0.617504;0.41376;0.609783;0.389689;0.35356;0.544202;0.374556;0.496825;0.38428;0.447726;0.4003;0.416705;0.413988;0.403027;0.358198;0.407376;0.403368;0.371308;0.426728;0.361328;0.434745;0.361479;0.35988;0.425508;0.404278;0.383315;0.431947;0.369036;0.44915;0.361825;0.368293;0.447507;0.41119;0.40742;0.439062;0.391781;0.456703;0.381352;0.380299;0.472475;0.412743;0.4432;0.431325;0.430125;0.444276;0.415341
