face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.426119;0.428678;0.313765;0.784638;0.302698;0.735897;0.303658;0.69558;0.319964;0.671436;0.339495;0.673516;0.306693;0.658934;0.343027;0.618657;0.357602;0.622718;0.358485;0.630894;0.325432;0.669534;0.359774;0.622652;0.371478;0.626068;0.370773;0.634066;0.344548;0.688768;0.375697;0.643603;0.383841;0.643052;0.381632;0.64854;0.363349;0.711504;0.383395;0.669849;0.387248;0.663811;0.384075;0.662182
0.428194;0.427072;0.31588;0.758822;0.302998;0.723936;0.306324;0.688498;0.318769;0.675459;0.332322;0.680066;0.307471;0.639497;0.340649;0.610324;0.348641;0.613775;0.347234;0.614967;0.326255;0.647015;0.359401;0.605814;0.367035;0.613402;0.36416;0.62417;0.344458;0.663939;0.375421;0.625428;0.377631;0.634082;0.372394;0.644555;0.362267;0.685263;0.382879;0.652364;0.38097;0.660934;0.375318;0.670202
0.432802;0.420486;0.311235;0.740783;0.300365;0.702241;0.303154;0.664541;0.314338;0.650768;0.325444;0.657906;0.300283;0.621233;0.329853;0.595039;0.334415;0.607412;0.329845;0.617722;0.3183;0.628681;0.349778;0.591882;0.353783;0.60393;0.348165;0.620951;0.336614;0.644259;0.368388;0.607269;0.366647;0.623178;0.359916;0.639549;0.355111;0.662219;0.376289;0.632314;0.373016;0.646437;0.367325;0.659345;0.547389;0.763588;0.561182;0.716383;0.559753;0.673121;0.546664;0.644255;0.533627;0.626389;0.57468;0.657689;0.547437;0.610987;0.528591;0.611671;0.521816;0.621969;0.557147;0.670667;0.530143;0.609188;0.512915;0.606811;0.506279;0.615062;0.536238;0.680938;0.514414;0.621443;0.503107;0.61838;0.498316;0.626922;0.515092;0.691992;0.499528;0.644886;0.495093;0.636606;0.493267;0.639493
0.432924;0.417133;0.316871;0.738352;0.348441;0.7189;0.361355;0.68469;0.366474;0.658188;0.366438;0.647029;0.342546;0.640422;0.370398;0.611561;0.375663;0.611415;0.374487;0.617046;0.323538;0.63321;0.352659;0.593328;0.359515;0.593998;0.360245;0.604573;0.308951;0.634679;0.334471;0.594601;0.340174;0.591416;0.342102;0.600567;0.298234;0.640554;0.310291;0.609505;0.315873;0.603676;0.319129;0.608705;0.545785;0.759288;0.554547;0.687464;0.546241;0.639693;0.525212;0.606526;0.509386;0.584758;0.581627;0.64269;0.549072;0.596981;0.526379;0.588786;0.514512;0.591095;0.564222;0.663327;0.534014;0.610191;0.513263;0.597177;0.503478;0.598318;0.543596;0.68229;0.51864;0.625161;0.506732;0.612941;0.503876;0.613604;0.521431;0.699749;0.505855;0.65031;0.500785;0.630595;0.500517;0.625274
0.437303;0.412619;0.314427;0.731842;0.310068;0.695783;0.313716;0.655507;0.326441;0.629938;0.340505;0.61647;0.295312;0.62145;0.318086;0.589793;0.334047;0.580285;0.344324;0.576691;0.308489;0.628038;0.328583;0.589122;0.34829;0.576767;0.362049;0.571933;0.32464;0.638524;0.34374;0.598674;0.359292;0.583466;0.36944;0.5768;0.3424;0.651752;0.355101;0.616325;0.364142;0.600282;0.371648;0.58799;0.546095;0.763309;0.563329;0.697918;0.561084;0.647007;0.541408;0.611303;0.525825;0.585847;0.58559;0.651371;0.556486;0.593345;0.535412;0.575261;0.52073;0.572276;0.567844;0.674936;0.540216;0.60561;0.522004;0.584786;0.508783;0.580142;0.546219;0.692823;0.524372;0.623411;0.512848;0.599073;0.50607;0.590643;0.522587;0.705125;0.50764;0.647652;0.504899;0.620791;0.503365;0.606272
0.43741;0.414974;0.311733;0.732367;0.313224;0.698352;0.309608;0.6544;0.315295;0.624412;0.323765;0.610709;0.281364;0.631722;0.308509;0.582048;0.327744;0.567037;0.341324;0.561016;0.291381;0.641593;0.314149;0.58666;0.337345;0.565394;0.354153;0.554173;0.306228;0.653099;0.326048;0.595153;0.345039;0.572024;0.35788;0.560792;0.32438;0.664598;0.334206;0.619904;0.344307;0.59467;0.351537;0.573152;0.541049;0.782464;0.554213;0.720392;0.558034;0.674146;0.547732;0.632886;0.537704;0.601804;0.588456;0.668892;0.563092;0.606615;0.540417;0.581294;0.523794;0.568196;0.571536;0.692015;0.545055;0.619141;0.522156;0.592245;0.50745;0.579153;0.55042;0.711862;0.526699;0.639967;0.511318;0.611438;0.505085;0.596555;0.524702;0.727364;0.510401;0.668696;0.506818;0.640111;0.50584;0.622626
0.438715;0.414051;0.3082;0.749273;0.310712;0.706635;0.305485;0.659033;0.315223;0.626854;0.326349;0.61874;0.265943;0.647522;0.29382;0.587756;0.312307;0.564359;0.32524;0.553306;0.276742;0.660744;0.302681;0.591994;0.325646;0.559698;0.344989;0.5392;0.292141;0.676043;0.312412;0.604238;0.328132;0.571246;0.342116;0.551133;0.310874;0.689028;0.319729;0.64008;0.327177;0.607771;0.334779;0.578898;0.533208;0.803083;0.561979;0.737863;0.567693;0.679477;0.555618;0.632818;0.541659;0.602787;0.588736;0.689462;0.565144;0.619078;0.542399;0.589555;0.526095;0.572869;0.569332;0.718372;0.54317;0.635283;0.518559;0.603745;0.504746;0.586252;0.547154;0.739636;0.521376;0.660057;0.506226;0.625039;0.501905;0.604457;0.522533;0.754594;0.510092;0.690049;0.508338;0.657109;0.509353;0.635896
0.437601;0.414637;0.311152;0.767215;0.311933;0.700823;0.306252;0.648268;0.315794;0.612172;0.332136;0.59776;0.252017;0.641003;0.274465;0.580643;0.295835;0.556732;0.310186;0.545085;0.262696;0.656865;0.280356;0.583396;0.30165;0.551265;0.317364;0.533995;0.280275;0.676318;0.293723;0.600637;0.311497;0.564784;0.323501;0.541077;0.302941;0.696988;0.305672;0.644088;0.313127;0.609032;0.319274;0.576847;0.530563;0.820387;0.556587;0.74965;0.566275;0.686699;0.564372;0.633417;0.558521;0.599448;0.587874;0.710272;0.572233;0.643248;0.553469;0.608867;0.53891;0.58474;0.569626;0.741966;0.548374;0.663475;0.524959;0.622138;0.509019;0.599344;0.54683;0.768369;0.524668;0.69288;0.509482;0.652015;0.502918;0.627002;0.521556;0.78359;0.508027;0.720805;0.505204;0.685978;0.503232;0.663031
0.436098;0.416481;0.309955;0.784881;0.307079;0.71934;0.302202;0.669537;0.304567;0.634677;0.317921;0.614868;0.241931;0.656799;0.25899;0.589017;0.281431;0.563071;0.295937;0.551046;0.249397;0.668642;0.266867;0.586317;0.288887;0.558381;0.303964;0.546279;0.265356;0.685723;0.281869;0.603282;0.300311;0.573046;0.312177;0.558103;0.289537;0.703986;0.298061;0.639812;0.308219;0.60963;0.315802;0.586998;0.527461;0.829337;0.549082;0.757266;0.560667;0.693245;0.564346;0.641112;0.558198;0.610778;0.587439;0.715931;0.57054;0.650173;0.548914;0.613494;0.531215;0.585171;0.569711;0.751203;0.547783;0.672931;0.518335;0.632207;0.499455;0.605063;0.546511;0.779945;0.525278;0.700118;0.506167;0.658866;0.496847;0.627816;0.518347;0.79827;0.505841;0.731974;0.500297;0.699315;0.497247;0.673907
0.437867;0.411078;0.308678;0.782139;0.295787;0.716378;0.283834;0.664942;0.281376;0.618579;0.293817;0.586098;0.228105;0.651748;0.25136;0.577246;0.273034;0.552782;0.288024;0.541162;0.24093;0.663058;0.270006;0.578593;0.293127;0.552836;0.309709;0.543019;0.263033;0.67793;0.290951;0.597818;0.310367;0.580605;0.318106;0.572914;0.291315;0.694643;0.305898;0.634963;0.317982;0.622461;0.322755;0.612211;0.516695;0.835357;0.543954;0.762417;0.555586;0.69272;0.555856;0.643563;0.5492;0.610656;0.586123;0.710719;0.559642;0.640004;0.538442;0.607552;0.521842;0.583258;0.566106;0.744294;0.539023;0.657639;0.516609;0.622896;0.501468;0.598876;0.542033;0.770664;0.519877;0.685067;0.508401;0.651218;0.501595;0.625004;0.512856;0.788324;0.502641;0.715065;0.501183;0.687721;0.498654;0.666426
