face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.426377;0.40597;0.600105;0.936349;0.625017;0.877352;0.625187;0.822026;0.618467;0.782795;0.612089;0.753854;0.647655;0.815832;0.610849;0.741166;0.590116;0.710908;0.577664;0.703551;0.625403;0.841137;0.564129;0.752077;0.550632;0.741025;0.551912;0.754605;0.597414;0.863112;0.542244;0.778886;0.537393;0.766881;0.543777;0.774826;0.569146;0.880582;0.528676;0.815719;0.529286;0.806809;0.537513;0.808944;0.219874;0.971007;0.207198;0.899053;0.204469;0.845564;0.215903;0.802702;0.235837;0.776062;0.195681;0.837137;0.232029;0.780956;0.262931;0.753758;0.28694;0.737469;0.214446;0.871153;0.263417;0.801904;0.298732;0.767581;0.320658;0.744076;0.238319;0.904716;0.28289;0.836598;0.31086;0.797548;0.327802;0.771613;0.263447;0.932033;0.296224;0.874736;0.313949;0.842103;0.324359;0.815025
0.430833;0.403908;0.598345;0.937021;0.634745;0.87823;0.634112;0.817327;0.612896;0.771122;0.588205;0.742882;0.64853;0.789301;0.61881;0.714904;0.587812;0.682106;0.561331;0.661118;0.624691;0.821401;0.576708;0.731356;0.544254;0.700693;0.52204;0.683068;0.594698;0.849903;0.550374;0.760754;0.526258;0.724948;0.511879;0.700792;0.563947;0.871484;0.532541;0.798027;0.521039;0.76414;0.512794;0.737933;0.234334;0.961925;0.224378;0.894762;0.221909;0.84105;0.232111;0.800309;0.251375;0.775957;0.21375;0.811661;0.252385;0.735358;0.288473;0.709248;0.314861;0.697609;0.228202;0.844384;0.281003;0.768308;0.31939;0.738331;0.344276;0.72036;0.24721;0.87688;0.296351;0.802122;0.327158;0.767625;0.346481;0.744365;0.271751;0.903462;0.308213;0.840436;0.325634;0.805856;0.338545;0.778268
0.43393;0.403972;0.606685;0.949945;0.648264;0.88074;0.64005;0.804221;0.613624;0.748196;0.587109;0.713884;0.657261;0.760152;0.610195;0.678641;0.574443;0.656554;0.548447;0.649331;0.63369;0.794378;0.577122;0.698631;0.54494;0.682552;0.524901;0.675582;0.60236;0.825595;0.551478;0.730769;0.532149;0.712117;0.524022;0.703386;0.570445;0.850991;0.533162;0.77025;0.524472;0.74336;0.522206;0.728834;0.252877;0.957915;0.244326;0.884688;0.242578;0.826066;0.254654;0.78545;0.273071;0.763111;0.224621;0.800007;0.264988;0.714216;0.299525;0.685517;0.323966;0.676778;0.240653;0.831032;0.288292;0.746493;0.321127;0.717248;0.341311;0.702281;0.262885;0.86368;0.306529;0.780701;0.332745;0.747393;0.346478;0.728757;0.291875;0.887747;0.319848;0.818327;0.335418;0.781898;0.346126;0.752711
0.43892;0.406272;0.616378;0.959701;0.648113;0.869968;0.638013;0.789012;0.607858;0.732462;0.579292;0.698605;0.65304;0.754374;0.608406;0.673449;0.5771;0.650966;0.552978;0.645399;0.634965;0.786974;0.583053;0.697022;0.553871;0.675044;0.53288;0.663198;0.608638;0.819097;0.562628;0.7265;0.542965;0.698187;0.532047;0.686613;0.580386;0.850059;0.547859;0.769937;0.539598;0.73571;0.535554;0.716873;0.265547;0.957584;0.254718;0.883211;0.253743;0.810798;0.268243;0.759865;0.29142;0.726196;0.231934;0.77858;0.281927;0.697231;0.315215;0.670626;0.335753;0.660527;0.249006;0.810169;0.303239;0.722674;0.335979;0.695233;0.353503;0.679736;0.272582;0.84293;0.320605;0.75731;0.347744;0.726748;0.35893;0.706944;0.302274;0.872836;0.333408;0.799596;0.350273;0.765938;0.359375;0.737451
0.443368;0.410656;0.624686;0.961571;0.644165;0.864958;0.629958;0.785977;0.597934;0.735411;0.564098;0.706559;0.651572;0.752303;0.607554;0.672795;0.574322;0.656185;0.547989;0.652564;0.637109;0.781199;0.586271;0.687166;0.558329;0.670899;0.53756;0.664267;0.613065;0.811488;0.571436;0.718714;0.554345;0.694128;0.543604;0.686822;0.588135;0.841087;0.558874;0.765661;0.551505;0.733503;0.547085;0.716146;0.27007;0.956575;0.250764;0.877292;0.252177;0.80447;0.267512;0.751167;0.292634;0.712916;0.238205;0.767571;0.290618;0.684644;0.322684;0.658213;0.340741;0.643891;0.256105;0.793826;0.315754;0.708374;0.348554;0.685537;0.362685;0.671578;0.281977;0.824851;0.335752;0.736385;0.360618;0.712058;0.368163;0.696832;0.312477;0.852945;0.344196;0.7763;0.357424;0.745449;0.361904;0.720579
0.447587;0.412067;0.626768;0.956124;0.640882;0.845296;0.627494;0.772238;0.600636;0.728837;0.574074;0.703426;0.654609;0.747514;0.613782;0.676636;0.582539;0.658518;0.558913;0.654863;0.640218;0.770736;0.594004;0.685221;0.566834;0.674826;0.552012;0.67458;0.615768;0.798863;0.577247;0.708113;0.558212;0.689816;0.550805;0.689633;0.58936;0.828173;0.558335;0.752415;0.546597;0.723491;0.54396;0.709783;0.275085;0.954736;0.259269;0.865195;0.262367;0.788368;0.280011;0.729811;0.302895;0.692001;0.245106;0.759617;0.295124;0.674031;0.327923;0.644898;0.347358;0.629404;0.265592;0.784609;0.324613;0.69303;0.358258;0.669718;0.372001;0.658474;0.292202;0.815428;0.344006;0.721411;0.367908;0.701513;0.374542;0.692117;0.322286;0.845399;0.350518;0.76101;0.360888;0.732632;0.364438;0.715527
0.446725;0.41504;0.627952;0.946934;0.649071;0.8393;0.639522;0.771411;0.614886;0.728045;0.591605;0.700376;0.65662;0.74671;0.617356;0.677951;0.591309;0.654016;0.56977;0.641332;0.63806;0.766346;0.594601;0.693481;0.571296;0.669594;0.554685;0.656627;0.612059;0.792225;0.576492;0.713774;0.558589;0.681926;0.548917;0.666191;0.586124;0.821781;0.561296;0.756974;0.549821;0.722519;0.543289;0.697899;0.275709;0.961393;0.254346;0.867682;0.259853;0.789679;0.279165;0.737399;0.304835;0.707475;0.251408;0.744356;0.30973;0.668296;0.337791;0.650723;0.350062;0.642518;0.274836;0.762619;0.331487;0.679098;0.358746;0.669647;0.368974;0.663394;0.301588;0.789048;0.349618;0.702038;0.370285;0.696519;0.375809;0.692708;0.32933;0.81715;0.355459;0.739241;0.364993;0.72376;0.36769;0.714277
0.448037;0.411959;0.629681;0.940005;0.654224;0.835485;0.643234;0.767059;0.613939;0.724822;0.589275;0.6976;0.657851;0.734584;0.614361;0.666131;0.588643;0.648729;0.571874;0.642938;0.638211;0.754515;0.593584;0.679286;0.572151;0.663567;0.560274;0.656115;0.611651;0.780728;0.574755;0.702782;0.558574;0.680472;0.552344;0.672941;0.585485;0.810458;0.559984;0.745538;0.548971;0.713635;0.546031;0.692464;0.275724;0.950522;0.258818;0.850274;0.270135;0.774813;0.29351;0.732628;0.31308;0.701562;0.264963;0.733753;0.310486;0.669323;0.33552;0.646057;0.351752;0.632709;0.285612;0.749016;0.332687;0.679091;0.359222;0.658489;0.374919;0.643029;0.310425;0.775078;0.350489;0.704095;0.369674;0.684991;0.379432;0.67332;0.336561;0.803246;0.358704;0.739771;0.36665;0.714415;0.3706;0.696442
0.450356;0.410798;0.630926;0.929296;0.650596;0.83228;0.642126;0.767533;0.61998;0.722794;0.599107;0.69306;0.656749;0.726912;0.615026;0.659828;0.589261;0.640453;0.570166;0.632514;0.63676;0.74552;0.59294;0.672484;0.570361;0.653173;0.555575;0.645751;0.611188;0.771749;0.572554;0.696172;0.555429;0.670274;0.54867;0.659005;0.585613;0.801582;0.557818;0.739224;0.546546;0.708754;0.543586;0.687779;0.27752;0.933339;0.258808;0.831426;0.267202;0.760204;0.287889;0.723803;0.301026;0.70395;0.271559;0.724919;0.311422;0.661488;0.335252;0.637719;0.352613;0.629859;0.295564;0.740369;0.333802;0.667256;0.356836;0.643657;0.373374;0.631173;0.319911;0.76668;0.350671;0.690833;0.368681;0.666175;0.381548;0.657185;0.343434;0.795522;0.362007;0.727301;0.369557;0.694698;0.375784;0.674783
0.451211;0.411601;0.634768;0.924707;0.656543;0.835123;0.648868;0.773588;0.628909;0.728904;0.610451;0.69859;0.653884;0.723545;0.611926;0.657256;0.588243;0.637341;0.57166;0.62763;0.635337;0.742314;0.59363;0.673256;0.573219;0.653087;0.55971;0.644212;0.611661;0.768414;0.575309;0.695173;0.558345;0.674356;0.552374;0.667125;0.588068;0.799624;0.564255;0.737517;0.553489;0.70909;0.551812;0.689951;0.284654;0.912409;0.265483;0.808088;0.269523;0.750492;0.291846;0.722186;0.31413;0.712289;0.2784;0.719403;0.317509;0.655465;0.341827;0.631004;0.357468;0.620209;0.306738;0.736483;0.341675;0.663205;0.360535;0.641359;0.370953;0.627065;0.332731;0.758859;0.355243;0.690765;0.365792;0.673267;0.370516;0.665909;0.354262;0.782186;0.368061;0.719141;0.371142;0.702383;0.373476;0.69541
