face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.47128;0.22923;0.315094;0.731386;0.342446;0.773905;0.354233;0.825064;0.347884;0.864469;0.335291;0.876248;0.32574;0.878493;0.323179;0.936668;0.317342;0.946823;0.312424;0.952832;0.302091;0.877212;0.311556;0.924231;0.315131;0.905427;0.313365;0.882031;0.283173;0.864814;0.292729;0.906559;0.297416;0.88545;0.294465;0.862912;0.268006;0.853126;0.274354;0.890943;0.280311;0.878013;0.278852;0.858485
0.470555;0.269039;0.338285;0.466856;0.304529;0.431259;0.290866;0.398293;0.292215;0.36055;0.303095;0.337478;0.302417;0.369728;0.313413;0.313613;0.324196;0.284271;0.330062;0.259436;0.319413;0.371461;0.330847;0.311363;0.342183;0.276488;0.350711;0.247095;0.339591;0.377525;0.34903;0.320323;0.356397;0.285013;0.362426;0.255113;0.35989;0.38503;0.366583;0.335962;0.370396;0.309284;0.372104;0.285494
0.473781;0.283538;0.346102;0.433415;0.316462;0.404671;0.307428;0.372809;0.313585;0.340164;0.327441;0.313281;0.302847;0.342918;0.318813;0.291273;0.331696;0.258751;0.340508;0.23191;0.317667;0.35193;0.335384;0.290976;0.348857;0.254833;0.358365;0.224364;0.335844;0.363804;0.350946;0.304515;0.362031;0.267787;0.36988;0.23721;0.356432;0.375248;0.369105;0.324518;0.375784;0.297191;0.378137;0.272767
0.469437;0.290926;0.351841;0.412607;0.327944;0.380315;0.320454;0.348334;0.326715;0.315371;0.341254;0.289484;0.311537;0.317375;0.327189;0.265917;0.339279;0.234555;0.34863;0.21133;0.327547;0.323638;0.344833;0.262074;0.357828;0.229519;0.365676;0.204356;0.346176;0.333403;0.36132;0.272572;0.371375;0.238636;0.375601;0.213632;0.367051;0.343593;0.378417;0.291717;0.384182;0.266155;0.3851;0.245082
0.467717;0.300107;0.640547;0.411063;0.670084;0.394642;0.682849;0.36784;0.684266;0.34038;0.679964;0.319739;0.678466;0.345381;0.672451;0.285164;0.668199;0.256107;0.664948;0.239297;0.657175;0.343442;0.655189;0.278533;0.653205;0.248973;0.652087;0.23148;0.636484;0.343391;0.640136;0.282348;0.640293;0.254664;0.63971;0.240567;0.615514;0.344724;0.620432;0.293522;0.62285;0.272596;0.624786;0.261009;0.354259;0.397323;0.332608;0.366096;0.325846;0.333072;0.333172;0.302326;0.345634;0.28265;0.320764;0.297022;0.3368;0.249233;0.348381;0.222915;0.35677;0.200738;0.335914;0.301929;0.352161;0.246825;0.364215;0.218638;0.372608;0.198276;0.353073;0.311317;0.36569;0.256052;0.375301;0.226839;0.380948;0.205059;0.372347;0.32359;0.381616;0.275137;0.386371;0.251892;0.388465;0.232215
0.467833;0.3038;0.638253;0.414918;0.664161;0.386485;0.673583;0.356243;0.669379;0.32829;0.659153;0.309529;0.675833;0.337743;0.669503;0.275513;0.663829;0.245677;0.660928;0.227513;0.654618;0.33477;0.651637;0.269971;0.648318;0.240117;0.648061;0.223528;0.632351;0.33395;0.635072;0.277412;0.635174;0.246398;0.637728;0.229424;0.611723;0.337513;0.615619;0.292557;0.617841;0.270773;0.621602;0.256964;0.35973;0.407211;0.33177;0.367626;0.327528;0.324941;0.339618;0.291139;0.354118;0.273407;0.326368;0.287668;0.344999;0.23012;0.359205;0.204966;0.367594;0.19082;0.341512;0.292739;0.364174;0.230802;0.37788;0.207172;0.38312;0.196106;0.361035;0.306426;0.380204;0.239883;0.390243;0.220178;0.392785;0.212176;0.38193;0.323125;0.394759;0.264287;0.399798;0.244513;0.400074;0.232394
0.469531;0.307626;0.634771;0.422313;0.66146;0.38865;0.67017;0.359395;0.666393;0.33339;0.657146;0.315947;0.672165;0.335151;0.667907;0.277185;0.661813;0.248588;0.657718;0.230042;0.651441;0.330484;0.648009;0.269278;0.644689;0.240503;0.644215;0.225399;0.629317;0.330533;0.630673;0.274029;0.630819;0.244896;0.633676;0.23144;0.608694;0.335562;0.61152;0.291965;0.613786;0.270947;0.618191;0.258754;0.361495;0.414143;0.334105;0.360734;0.330839;0.317239;0.346102;0.28832;0.363546;0.271958;0.329641;0.273339;0.354462;0.217943;0.368112;0.202629;0.372678;0.196089;0.344369;0.274751;0.370262;0.21537;0.383822;0.204851;0.385601;0.202242;0.363187;0.286547;0.38408;0.223315;0.395179;0.218009;0.396821;0.219907;0.382208;0.301917;0.39549;0.246768;0.402114;0.236316;0.403061;0.233845
0.469087;0.312343;0.631256;0.424239;0.655763;0.389545;0.662928;0.354997;0.660248;0.326685;0.651049;0.307816;0.666096;0.329547;0.662198;0.276558;0.656442;0.251645;0.651513;0.234185;0.647264;0.323744;0.644216;0.268843;0.641655;0.245103;0.641396;0.229914;0.626911;0.325089;0.626427;0.27391;0.626431;0.246504;0.628913;0.231289;0.607462;0.331612;0.609496;0.290254;0.610958;0.26958;0.61401;0.255845;0.367511;0.415507;0.34045;0.357554;0.335886;0.311995;0.347271;0.280459;0.359912;0.267546;0.336322;0.266059;0.366171;0.212597;0.378673;0.199546;0.380928;0.196132;0.35176;0.266027;0.380892;0.213651;0.392319;0.20571;0.393114;0.204258;0.369937;0.276901;0.393462;0.221941;0.403029;0.217661;0.40399;0.220535;0.388972;0.293269;0.403335;0.24292;0.407462;0.235928;0.406652;0.237254
0.466078;0.319373;0.631358;0.427756;0.657621;0.386562;0.663272;0.350401;0.658619;0.321894;0.648225;0.304691;0.667435;0.324268;0.658353;0.265847;0.651627;0.245545;0.647617;0.234991;0.64742;0.3228;0.641155;0.261473;0.63626;0.242734;0.635239;0.233338;0.62565;0.325825;0.624539;0.267872;0.622373;0.246082;0.623379;0.236677;0.605285;0.333429;0.605838;0.288387;0.606427;0.268885;0.609003;0.257184;0.365603;0.418199;0.344914;0.358314;0.34337;0.308386;0.35498;0.275757;0.364596;0.262357;0.341286;0.264899;0.368312;0.218413;0.381298;0.204034;0.386296;0.19712;0.353769;0.264838;0.381445;0.217;0.395227;0.204401;0.401119;0.199029;0.370217;0.275802;0.393815;0.223375;0.406239;0.216395;0.411388;0.216684;0.388201;0.292679;0.40298;0.245597;0.410564;0.229683;0.413511;0.22065
0.468241;0.320588;0.632004;0.428995;0.655366;0.386329;0.660804;0.350083;0.657626;0.322285;0.650374;0.303252;0.664427;0.322836;0.652858;0.267025;0.643129;0.242756;0.636153;0.228704;0.647553;0.320255;0.637076;0.261595;0.627031;0.240454;0.621749;0.228909;0.627552;0.323468;0.62209;0.268459;0.614257;0.247148;0.610526;0.237249;0.608664;0.330834;0.604638;0.287151;0.601047;0.270261;0.600575;0.259778;0.366286;0.422508;0.372009;0.362886;0.376753;0.30246;0.385242;0.266819;0.394134;0.245884;0.344168;0.256202;0.383118;0.209203;0.395355;0.209465;0.397934;0.212798;0.35019;0.262212;0.399437;0.214866;0.415288;0.219212;0.417749;0.225778;0.361208;0.275957;0.40755;0.226588;0.421745;0.241139;0.421874;0.25389;0.375836;0.293742;0.407858;0.247998;0.422834;0.237842;0.427034;0.228933
0.467086;0.32414;0.634529;0.433228;0.652903;0.390319;0.655229;0.354425;0.652133;0.321115;0.645678;0.298729;0.663736;0.323193;0.650178;0.274322;0.639681;0.250368;0.63077;0.233779;0.650906;0.319482;0.632724;0.264084;0.624148;0.242402;0.619391;0.225418;0.633565;0.321413;0.619686;0.271251;0.610483;0.247671;0.604543;0.231103;0.616719;0.328117;0.603872;0.289192;0.597197;0.273449;0.594909;0.259614;0.362514;0.421882;0.358125;0.365203;0.359361;0.310327;0.371144;0.273846;0.38359;0.251034;0.345933;0.257925;0.381756;0.215088;0.399536;0.2071;0.410841;0.205351;0.350879;0.261213;0.391429;0.215943;0.411011;0.211756;0.423232;0.212051;0.362834;0.271831;0.40483;0.218566;0.424296;0.219115;0.434313;0.226929;0.378559;0.289342;0.406822;0.244296;0.423625;0.224218;0.43443;0.20923
0.467078;0.322214;0.36759;0.422703;0.397778;0.364032;0.402304;0.301042;0.409527;0.257129;0.419093;0.219165;0.357634;0.251381;0.392761;0.215497;0.410618;0.204506;0.421359;0.197618;0.349147;0.256365;0.396499;0.215927;0.418539;0.213166;0.429983;0.212681;0.351087;0.267475;0.400918;0.220807;0.421696;0.227032;0.429031;0.234205;0.357882;0.285356;0.394374;0.244383;0.411048;0.240155;0.414363;0.238054
0.467688;0.321371;0.376159;0.390766;0.389918;0.346886;0.386488;0.298933;0.387169;0.262564;0.39486;0.229535;0.332885;0.269521;0.350148;0.222928;0.365721;0.208794;0.378782;0.199682;0.328064;0.275715;0.361035;0.223113;0.386012;0.216311;0.404241;0.210812;0.334104;0.286267;0.36729;0.236345;0.390008;0.243137;0.403485;0.2467;0.345818;0.297656;0.372788;0.259469;0.390231;0.264347;0.399054;0.267053
0.467122;0.320899;0.646517;0.445169;0.636017;0.391699;0.634946;0.349365;0.634469;0.316989;0.6335;0.287167;0.68845;0.346042;0.674721;0.295985;0.66265;0.266304;0.651954;0.245158;0.693224;0.354876;0.673324;0.284467;0.658527;0.254537;0.64654;0.238468;0.686328;0.361681;0.668564;0.292761;0.65435;0.259423;0.641555;0.240267;0.673886;0.367162;0.660868;0.309604;0.650076;0.278512;0.638466;0.257836;0.370224;0.385356;0.37742;0.344701;0.375345;0.305199;0.375682;0.274511;0.381875;0.246315;0.325311;0.272868;0.347867;0.224772;0.359964;0.208217;0.369302;0.19828;0.322952;0.280594;0.353537;0.224479;0.372328;0.215091;0.387367;0.208026;0.331212;0.291286;0.36051;0.240109;0.379018;0.239629;0.39109;0.23992;0.344977;0.301685;0.369772;0.26381;0.386745;0.264993;0.396224;0.265361
0.467681;0.321162;0.638262;0.460102;0.628653;0.37567;0.637927;0.331445;0.64476;0.301205;0.649402;0.27629;0.685557;0.335972;0.672506;0.279314;0.668013;0.24835;0.66247;0.224457;0.692347;0.348189;0.665076;0.277054;0.654274;0.246706;0.643329;0.224127;0.686763;0.360891;0.657275;0.291044;0.645452;0.267848;0.637125;0.254924;0.672359;0.370478;0.66211;0.308131;0.654618;0.273428;0.64395;0.248133;0.381981;0.406661;0.398249;0.34232;0.395092;0.290672;0.399432;0.252934;0.409241;0.217845;0.334856;0.268805;0.355697;0.225557;0.3734;0.20228;0.389404;0.180379;0.328978;0.280943;0.360621;0.226186;0.385961;0.210092;0.40645;0.194343;0.333645;0.293181;0.36833;0.236777;0.393436;0.230447;0.409386;0.222228;0.347392;0.305381;0.373421;0.265647;0.39255;0.25852;0.404228;0.250033
