face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.470597;0.30764;0.178648;0.930291;0.239819;0.864879;0.25967;0.791269;0.257228;0.723681;0.259606;0.679506;0.202434;0.695061;0.222236;0.593784;0.239287;0.537829;0.253135;0.493587;0.161861;0.707278;0.18085;0.612214;0.199976;0.575137;0.219482;0.561928;0.134557;0.745997;0.145202;0.676031;0.167754;0.647418;0.185894;0.635399;0.122917;0.804651;0.123074;0.770906;0.144603;0.746601;0.162997;0.724413
0.47043;0.309943;0.198818;0.837367;0.263464;0.811198;0.289854;0.734668;0.300583;0.652826;0.296802;0.592848;0.276916;0.644117;0.308827;0.548612;0.33438;0.497842;0.355485;0.460379;0.241713;0.62774;0.257839;0.548079;0.264105;0.559546;0.268618;0.58467;0.210194;0.628535;0.220053;0.56405;0.226769;0.592665;0.231565;0.627623;0.184891;0.646037;0.19325;0.597629;0.210452;0.614841;0.222796;0.642621
0.471832;0.315562;0.586909;0.834924;0.542461;0.788354;0.527466;0.73503;0.547818;0.688174;0.574157;0.653817;0.54248;0.646023;0.532433;0.564758;0.527457;0.515985;0.520112;0.487821;0.58473;0.645118;0.586847;0.566905;0.587946;0.520081;0.588356;0.494764;0.61893;0.664695;0.615119;0.627781;0.603168;0.663936;0.595504;0.697217;0.649473;0.695369;0.63722;0.666501;0.624591;0.692141;0.615681;0.718626;0.224129;0.76646;0.28746;0.743021;0.31824;0.665524;0.324127;0.586498;0.315463;0.530782;0.298568;0.609305;0.335506;0.518438;0.359679;0.462169;0.37444;0.41949;0.259539;0.59189;0.283107;0.515584;0.292733;0.516534;0.293283;0.521797;0.225852;0.589023;0.253087;0.532447;0.264018;0.568192;0.265182;0.596841;0.200374;0.594988;0.233187;0.556259;0.25075;0.577933;0.253748;0.603599
0.47052;0.315499;0.593471;0.802742;0.543263;0.748039;0.521225;0.680477;0.547528;0.621285;0.587906;0.600413;0.541079;0.599331;0.52959;0.52054;0.520061;0.479538;0.511236;0.449943;0.584958;0.592752;0.592225;0.511492;0.59451;0.4614;0.590433;0.421898;0.618539;0.610957;0.616399;0.590666;0.603021;0.654576;0.593683;0.688287;0.646205;0.645572;0.640065;0.625645;0.622255;0.66891;0.609993;0.697129;0.254033;0.72768;0.323239;0.67059;0.343694;0.593217;0.345;0.536905;0.339924;0.506186;0.340061;0.531916;0.374866;0.460078;0.393356;0.419773;0.404643;0.392489;0.301072;0.520715;0.323479;0.478703;0.321882;0.508094;0.317214;0.527197;0.265696;0.53131;0.29321;0.517913;0.29366;0.580729;0.289213;0.60754;0.238195;0.552471;0.267531;0.552094;0.275708;0.590996;0.272358;0.61191
0.473552;0.317077;0.597747;0.766331;0.549065;0.718168;0.53014;0.657134;0.557556;0.609735;0.597707;0.589603;0.543052;0.551765;0.521543;0.481257;0.502833;0.433244;0.487947;0.383949;0.587064;0.549348;0.595941;0.473666;0.603616;0.409706;0.608732;0.344651;0.623521;0.569903;0.613514;0.571171;0.594621;0.637541;0.585146;0.672591;0.649788;0.613049;0.641582;0.612232;0.61976;0.647699;0.602344;0.672969;0.27762;0.685534;0.338479;0.641683;0.361565;0.573311;0.361831;0.519355;0.35066;0.479956;0.362181;0.505893;0.395487;0.44449;0.409758;0.402133;0.417536;0.365356;0.324184;0.491728;0.333735;0.428417;0.339024;0.381311;0.340202;0.339092;0.287408;0.504543;0.311125;0.493843;0.316814;0.550124;0.314435;0.574212;0.259266;0.529172;0.284075;0.525165;0.291629;0.56813;0.290428;0.594274
0.474052;0.316165;0.592885;0.750916;0.549101;0.701116;0.530049;0.641918;0.555785;0.584535;0.602481;0.559079;0.547348;0.53815;0.522652;0.46102;0.504855;0.408467;0.492497;0.355538;0.585673;0.533673;0.592079;0.446841;0.593704;0.37609;0.595499;0.308789;0.617006;0.556972;0.615457;0.530211;0.603547;0.599593;0.59644;0.643893;0.641443;0.595819;0.647956;0.56776;0.631329;0.593193;0.615524;0.621187;0.290653;0.665012;0.351913;0.631858;0.372876;0.559671;0.366999;0.498753;0.349429;0.452602;0.375962;0.488235;0.406277;0.417304;0.428278;0.370934;0.439962;0.326487;0.336026;0.477837;0.335366;0.397716;0.341536;0.334786;0.338826;0.272403;0.298533;0.49494;0.320456;0.46312;0.333889;0.523563;0.333682;0.551207;0.270566;0.514241;0.30041;0.498426;0.310969;0.544459;0.309711;0.571878
0.485011;0.311115;0.597512;0.736535;0.55089;0.687105;0.531213;0.621688;0.553791;0.562078;0.598203;0.537656;0.551694;0.520896;0.526815;0.445281;0.510362;0.392787;0.497566;0.340567;0.59191;0.509204;0.598272;0.415239;0.601558;0.345773;0.603367;0.283062;0.623042;0.531492;0.618426;0.494975;0.604123;0.562155;0.595828;0.605245;0.646516;0.572103;0.642066;0.540589;0.625687;0.574539;0.613098;0.605469;0.300178;0.669132;0.364593;0.612792;0.388866;0.528659;0.384919;0.470595;0.373218;0.423816;0.389573;0.473039;0.419858;0.397044;0.439548;0.352517;0.450493;0.310191;0.35087;0.463309;0.349861;0.376188;0.351876;0.318938;0.347434;0.261037;0.314122;0.48033;0.338755;0.440822;0.348629;0.499845;0.346148;0.531722;0.287277;0.500261;0.317781;0.47888;0.324884;0.524865;0.320825;0.553372
0.473874;0.302754;0.594414;0.729887;0.550373;0.682453;0.530968;0.618194;0.553766;0.557148;0.59296;0.529316;0.552719;0.514661;0.527839;0.435609;0.511502;0.379527;0.499668;0.329158;0.590362;0.504809;0.597764;0.410676;0.597534;0.340675;0.599566;0.281551;0.620131;0.52938;0.616991;0.493024;0.602835;0.555766;0.598208;0.600662;0.642949;0.57539;0.641229;0.546053;0.625951;0.573401;0.615988;0.60403;0.310579;0.667105;0.37729;0.620952;0.40206;0.538702;0.395368;0.478109;0.38477;0.431447;0.399675;0.47316;0.441684;0.393249;0.463242;0.346222;0.472138;0.308173;0.363729;0.456604;0.367543;0.364929;0.367453;0.300192;0.360013;0.241675;0.326566;0.471028;0.34444;0.413889;0.352927;0.429096;0.349398;0.430885;0.303986;0.494237;0.337454;0.460575;0.346863;0.502422;0.341684;0.53261
0.480829;0.305169;0.591162;0.719077;0.549812;0.673281;0.530945;0.61055;0.558069;0.550349;0.600801;0.529172;0.547421;0.506238;0.525234;0.430138;0.511351;0.377386;0.499003;0.327819;0.585068;0.489977;0.585919;0.400424;0.582683;0.330116;0.582397;0.27319;0.61652;0.512832;0.613295;0.484219;0.605201;0.540924;0.603413;0.57848;0.641265;0.559933;0.63833;0.533762;0.627648;0.556224;0.61999;0.582431;0.318822;0.667644;0.379324;0.619792;0.405014;0.539681;0.403999;0.469946;0.394263;0.416062;0.407981;0.465976;0.452761;0.393849;0.476965;0.346176;0.491824;0.30503;0.376461;0.454116;0.380033;0.361296;0.375278;0.289651;0.366722;0.232573;0.343929;0.472815;0.347972;0.41255;0.356204;0.429115;0.355665;0.43961;0.320752;0.50265;0.337195;0.464079;0.352572;0.500538;0.359464;0.533722
0.481125;0.309234;0.588884;0.71265;0.546148;0.667889;0.52593;0.598908;0.550189;0.534158;0.593539;0.509864;0.538848;0.494854;0.519201;0.424274;0.506647;0.371614;0.494704;0.323453;0.578081;0.481588;0.580005;0.397298;0.580194;0.330705;0.578517;0.27685;0.610335;0.505474;0.602653;0.474688;0.593933;0.533896;0.592117;0.576174;0.636015;0.54941;0.627506;0.52442;0.614296;0.553019;0.607034;0.584086;0.322949;0.658536;0.380428;0.613462;0.422689;0.532772;0.418164;0.46513;0.402495;0.417435;0.416773;0.463642;0.449102;0.388452;0.46701;0.336335;0.483528;0.282731;0.380625;0.454828;0.381534;0.3552;0.381901;0.290775;0.381737;0.237802;0.34773;0.469999;0.352922;0.413305;0.360174;0.46041;0.359537;0.495014;0.318622;0.493427;0.33354;0.450964;0.346457;0.482775;0.35184;0.5112
