face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.435226;0.379539;0.244251;0.867904;0.291883;0.864061;0.32039;0.8102;0.327971;0.757634;0.324463;0.7109;0.312898;0.745575;0.341515;0.665666;0.36465;0.626485;0.381553;0.600239;0.284249;0.725522;0.313998;0.652814;0.331961;0.614043;0.342235;0.58594;0.258474;0.721319;0.290844;0.677962;0.300168;0.715102;0.299783;0.744564;0.2401;0.729605;0.27139;0.695901;0.278192;0.722975;0.276451;0.751076;0.564997;0.915601;0.531208;0.907314;0.503247;0.865177;0.507481;0.820228;0.52371;0.786725;0.51529;0.79202;0.496674;0.719547;0.48555;0.677798;0.475179;0.642306;0.546025;0.773241;0.537003;0.701379;0.533431;0.646862;0.530717;0.601273;0.573888;0.776545;0.555036;0.766217;0.550304;0.816213;0.550094;0.850263;0.598089;0.795305;0.579315;0.801535;0.571704;0.840468;0.567407;0.868208
0.440023;0.38694;0.25082;0.845829;0.298229;0.828171;0.321741;0.775348;0.324402;0.72491;0.315577;0.694277;0.328684;0.714415;0.361744;0.657291;0.379019;0.618953;0.390565;0.587945;0.301728;0.691626;0.325137;0.631747;0.337868;0.594147;0.346174;0.573781;0.274432;0.688451;0.288703;0.658725;0.291535;0.703269;0.292163;0.735769;0.25305;0.698362;0.266391;0.681747;0.268773;0.715125;0.268077;0.743432;0.586076;0.906571;0.535745;0.898143;0.503535;0.84634;0.49263;0.784295;0.497982;0.745986;0.526798;0.786832;0.503403;0.704909;0.487735;0.665143;0.47397;0.636362;0.555438;0.757117;0.538316;0.66688;0.524791;0.608915;0.512912;0.561973;0.575892;0.752353;0.543172;0.715184;0.536523;0.762216;0.541525;0.789861;0.590241;0.758483;0.560568;0.742862;0.557671;0.77651;0.563618;0.797402
0.438566;0.386703;0.259247;0.817167;0.304044;0.798242;0.330167;0.751117;0.340322;0.708355;0.338967;0.678453;0.334327;0.686508;0.363678;0.636607;0.37905;0.605547;0.38932;0.582938;0.310122;0.670814;0.330564;0.614142;0.343967;0.582296;0.354446;0.568807;0.283018;0.66915;0.297686;0.651474;0.296404;0.700865;0.29428;0.732553;0.260887;0.676678;0.273671;0.67371;0.272631;0.710114;0.270273;0.73601;0.594552;0.896544;0.54486;0.888826;0.500941;0.82992;0.485166;0.760185;0.497765;0.712476;0.516844;0.734851;0.493086;0.657911;0.475761;0.618123;0.460565;0.587759;0.551234;0.704467;0.540067;0.632681;0.527056;0.592297;0.511633;0.560344;0.583134;0.703298;0.548997;0.697402;0.54886;0.75733;0.553355;0.7908;0.608255;0.72485;0.575135;0.740266;0.573519;0.780476;0.579037;0.802585
0.438584;0.38124;0.267253;0.794661;0.313062;0.771676;0.342742;0.722632;0.362916;0.677294;0.374195;0.645723;0.336985;0.657762;0.355403;0.602152;0.367777;0.584067;0.376727;0.582839;0.313983;0.647974;0.33684;0.61199;0.335678;0.640068;0.330358;0.665007;0.29;0.646695;0.306268;0.629887;0.303549;0.676676;0.299056;0.702954;0.266791;0.648666;0.281827;0.647442;0.280255;0.68086;0.274945;0.69942;0.586403;0.872986;0.538498;0.860084;0.493439;0.812507;0.475631;0.746017;0.488776;0.705403;0.509636;0.726091;0.47844;0.653985;0.46185;0.617833;0.449005;0.586248;0.543696;0.695659;0.540811;0.621809;0.531507;0.572817;0.5212;0.528834;0.575909;0.687998;0.545109;0.694187;0.544905;0.752619;0.552317;0.775166;0.600737;0.701773;0.573367;0.728326;0.569501;0.766224;0.573891;0.779668
0.437597;0.391305;0.572476;0.847958;0.529973;0.838253;0.488421;0.796823;0.479664;0.735154;0.491614;0.687696;0.487386;0.70084;0.459107;0.633618;0.443196;0.59618;0.431447;0.559842;0.52189;0.666127;0.514685;0.593896;0.509817;0.540493;0.503192;0.489756;0.554499;0.660472;0.532491;0.669488;0.536804;0.738012;0.543406;0.762932;0.581902;0.679664;0.565628;0.708339;0.563361;0.750369;0.563787;0.762098
0.435861;0.39886;0.5704;0.815057;0.518996;0.802675;0.485262;0.752743;0.472034;0.690551;0.478308;0.645148;0.48439;0.657351;0.459847;0.593858;0.449565;0.554541;0.442114;0.51852;0.514619;0.637517;0.502943;0.566623;0.497044;0.508994;0.493604;0.463168;0.543528;0.642523;0.517423;0.63584;0.519122;0.702286;0.526004;0.745102;0.566916;0.663736;0.54162;0.66537;0.531922;0.703726;0.530732;0.727609;0.556644;0.814393;0.509117;0.790833;0.479658;0.742208;0.468939;0.690434;0.466391;0.645673;0.497875;0.646941;0.486125;0.634165;0.475832;0.660862;0.469802;0.688496;0.518239;0.635909;0.500296;0.622725;0.488342;0.669872;0.482063;0.711041;0.540623;0.639512;0.515594;0.640773;0.503532;0.700705;0.500751;0.740945;0.561504;0.653869;0.534391;0.657579;0.521203;0.702054;0.518915;0.733258
0.434184;0.395821;0.575649;0.814824;0.521656;0.800659;0.486199;0.75755;0.471538;0.702128;0.48206;0.655092;0.488537;0.648416;0.46083;0.589542;0.447548;0.551311;0.436013;0.513249;0.518704;0.628191;0.505771;0.558723;0.498254;0.503128;0.491831;0.457752;0.547881;0.636146;0.517526;0.641285;0.517961;0.70635;0.524319;0.747476;0.568586;0.663638;0.5411;0.671169;0.529457;0.709583;0.525956;0.739209;0.55899;0.81327;0.506841;0.78429;0.478262;0.730019;0.468454;0.675486;0.468444;0.631174;0.498936;0.652119;0.486549;0.631907;0.475755;0.659781;0.468455;0.689815;0.517904;0.645351;0.500622;0.62081;0.486107;0.664906;0.478933;0.710623;0.538639;0.648071;0.514512;0.632147;0.501781;0.687602;0.498457;0.73407;0.55904;0.658453;0.533528;0.649904;0.519526;0.69178;0.516529;0.729023
0.435997;0.389803;0.58651;0.81031;0.530649;0.803124;0.492755;0.760218;0.474515;0.701837;0.482818;0.652315;0.497479;0.650261;0.470458;0.588329;0.456063;0.548861;0.444175;0.511649;0.52746;0.626588;0.513997;0.555833;0.500603;0.502824;0.487668;0.462532;0.556348;0.631567;0.518419;0.642507;0.516845;0.702169;0.522227;0.73838;0.575933;0.659316;0.542316;0.681584;0.531662;0.716744;0.5298;0.742525;0.557794;0.79872;0.507162;0.775699;0.481035;0.727018;0.471532;0.67011;0.474306;0.622887;0.498892;0.647654;0.489371;0.625898;0.479086;0.649973;0.471218;0.677748;0.516877;0.640185;0.504601;0.611515;0.487361;0.649938;0.477179;0.698678;0.537382;0.643012;0.519568;0.624645;0.50211;0.679335;0.49457;0.731782;0.558162;0.653822;0.536497;0.643052;0.519895;0.684542;0.512922;0.726043
0.43523;0.386329;0.586963;0.804357;0.537544;0.797648;0.49423;0.765162;0.478618;0.718551;0.497533;0.668911;0.512706;0.649786;0.501459;0.576886;0.501077;0.517534;0.498993;0.461381;0.536455;0.629566;0.511337;0.590629;0.505861;0.63437;0.503597;0.669152;0.562964;0.636232;0.527931;0.638991;0.521847;0.698812;0.52271;0.736789;0.583892;0.664749;0.55225;0.672175;0.538042;0.707701;0.533723;0.737396;0.561977;0.784346;0.50866;0.761547;0.487349;0.713782;0.479284;0.662373;0.480128;0.625321;0.507376;0.645371;0.491964;0.617701;0.477246;0.645988;0.468109;0.67701;0.52467;0.634707;0.505327;0.607297;0.486209;0.650579;0.476195;0.70091;0.541367;0.636584;0.51746;0.615685;0.496611;0.667115;0.488032;0.716853;0.556833;0.646426;0.530432;0.634113;0.512227;0.674777;0.504658;0.716119
0.4362;0.403896;0.591195;0.798332;0.540687;0.781792;0.504363;0.741028;0.489174;0.690228;0.498005;0.652766;0.5107;0.64665;0.493561;0.570772;0.481956;0.527438;0.473538;0.489846;0.534789;0.622865;0.514066;0.552559;0.498448;0.52142;0.480839;0.506654;0.558321;0.626058;0.520315;0.619302;0.515809;0.678427;0.520334;0.719816;0.577781;0.648289;0.542291;0.65165;0.530938;0.691311;0.52982;0.725859;0.564159;0.771142;0.516651;0.749458;0.498822;0.701947;0.490302;0.650182;0.485945;0.612425;0.510779;0.651817;0.495276;0.616121;0.48228;0.616144;0.472057;0.626876;0.52755;0.639617;0.51031;0.60399;0.488095;0.62664;0.473981;0.665017;0.54426;0.636694;0.523575;0.603391;0.498266;0.640736;0.485237;0.685537;0.559912;0.643183;0.534023;0.623365;0.512136;0.654361;0.498094;0.692408
