face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.45756;0.218546;0.654014;0.612133;0.683829;0.581303;0.687504;0.537655;0.670676;0.507509;0.649356;0.479629;0.676666;0.4938;0.67753;0.439492;0.676783;0.403197;0.673011;0.371755;0.651922;0.495848;0.638211;0.43608;0.635127;0.402326;0.63203;0.374192;0.626366;0.508401;0.613916;0.463903;0.629497;0.486442;0.639512;0.50907;0.605118;0.526834;0.598002;0.497551;0.612446;0.513327;0.625483;0.533808;0.332362;0.616601;0.302811;0.582379;0.294831;0.541276;0.312464;0.506453;0.339756;0.48057;0.314738;0.470913;0.313669;0.416088;0.310009;0.380304;0.31087;0.352682;0.34466;0.461607;0.348286;0.421124;0.348905;0.391901;0.353137;0.369705;0.367444;0.472492;0.356932;0.466262;0.345964;0.501585;0.345376;0.522166;0.385658;0.500613;0.369305;0.496785;0.354893;0.526802;0.349853;0.549664
0.461304;0.227879;0.634897;0.59123;0.635405;0.557022;0.630167;0.508182;0.611238;0.480223;0.595354;0.463706;0.635144;0.454462;0.638867;0.40445;0.635745;0.370374;0.632124;0.334344;0.624354;0.460396;0.618358;0.409799;0.616952;0.383034;0.620864;0.354525;0.613313;0.478081;0.601913;0.442803;0.613559;0.44407;0.624925;0.437081;0.600675;0.502492;0.588107;0.483037;0.593872;0.506121;0.603702;0.527555;0.338047;0.607956;0.331544;0.551096;0.333775;0.51286;0.350471;0.480784;0.375496;0.45959;0.333607;0.458885;0.334978;0.397478;0.336197;0.359132;0.338392;0.324106;0.353117;0.463987;0.359856;0.412157;0.365188;0.374366;0.370449;0.342997;0.370147;0.481037;0.382176;0.443439;0.383958;0.439368;0.380143;0.443321;0.384551;0.505447;0.388927;0.474195;0.381528;0.482863;0.372801;0.504598
0.45928;0.227673;0.622741;0.58026;0.600841;0.549085;0.584556;0.503864;0.569198;0.46839;0.561724;0.439105;0.604406;0.445279;0.592404;0.395925;0.587167;0.36971;0.582846;0.34077;0.60972;0.445119;0.597579;0.393163;0.601857;0.364286;0.607786;0.332109;0.611347;0.457379;0.594722;0.422919;0.607674;0.430303;0.617641;0.424436;0.606995;0.474754;0.584586;0.461943;0.584088;0.481316;0.586937;0.496406;0.34769;0.593412;0.39756;0.537159;0.407478;0.501144;0.409409;0.466129;0.409328;0.445822;0.378078;0.449182;0.378953;0.389618;0.380642;0.347881;0.381144;0.303932;0.362284;0.458506;0.364941;0.40526;0.367323;0.365184;0.366874;0.32731;0.350796;0.482417;0.373086;0.448686;0.386029;0.441001;0.390691;0.428087;0.345685;0.513172;0.370802;0.481048;0.382539;0.484878;0.385723;0.493623
0.463654;0.233768;0.603804;0.560575;0.563867;0.503784;0.549492;0.451697;0.546007;0.409816;0.548144;0.384157;0.566671;0.415084;0.559317;0.369456;0.553751;0.34882;0.54714;0.329465;0.588379;0.419757;0.583593;0.380086;0.585643;0.352095;0.588682;0.325086;0.60403;0.437253;0.591395;0.410363;0.578983;0.392921;0.573559;0.37304;0.611405;0.468103;0.590551;0.457295;0.573203;0.454316;0.562904;0.453095;0.368116;0.586416;0.41384;0.547454;0.422497;0.500152;0.42668;0.461482;0.424903;0.433292;0.40059;0.429002;0.407687;0.37827;0.409803;0.345326;0.408607;0.310284;0.382637;0.435828;0.388211;0.379843;0.389335;0.347139;0.389396;0.313116;0.365602;0.454982;0.393482;0.418866;0.404133;0.451286;0.403552;0.471524;0.35749;0.477919;0.389455;0.456083;0.400663;0.4789;0.399599;0.500634
0.468163;0.244613;0.588305;0.553166;0.54068;0.505625;0.52786;0.465082;0.523976;0.425445;0.530012;0.397482;0.557776;0.416094;0.551037;0.370108;0.545858;0.343745;0.541758;0.318866;0.577195;0.415888;0.572245;0.362337;0.570166;0.333797;0.566626;0.312238;0.592127;0.42552;0.561349;0.407482;0.541687;0.431762;0.531873;0.447342;0.596439;0.44337;0.564993;0.436559;0.545097;0.455119;0.536097;0.472753;0.377882;0.575793;0.428915;0.534793;0.439495;0.486993;0.442813;0.452583;0.44094;0.429136;0.40944;0.423972;0.416792;0.376304;0.420577;0.3434;0.417738;0.314104;0.391151;0.426284;0.403751;0.368643;0.410697;0.334723;0.411048;0.304089;0.377961;0.440805;0.415945;0.40891;0.432115;0.446032;0.431901;0.470487;0.372418;0.460192;0.41493;0.448015;0.428893;0.474691;0.426237;0.497472
0.468842;0.265621;0.574965;0.552492;0.534791;0.51947;0.518623;0.47854;0.51202;0.44798;0.51764;0.424418;0.548461;0.431593;0.542441;0.381896;0.538743;0.352661;0.534992;0.324428;0.565539;0.426145;0.565109;0.371459;0.56239;0.339506;0.556126;0.309838;0.577456;0.433478;0.547059;0.40274;0.528102;0.426116;0.520491;0.443182;0.579582;0.446582;0.550753;0.425345;0.53246;0.440465;0.523244;0.458268;0.389969;0.576912;0.439469;0.535305;0.454755;0.49697;0.460466;0.464833;0.462539;0.443168;0.432158;0.434612;0.444295;0.387688;0.450776;0.353656;0.451525;0.321484;0.411235;0.427967;0.423168;0.371486;0.429087;0.33361;0.430195;0.304176;0.397265;0.442148;0.426422;0.409405;0.440599;0.44629;0.441817;0.473252;0.391249;0.463319;0.427101;0.449215;0.442334;0.474201;0.443742;0.495635
0.456813;0.269454;0.566401;0.556356;0.53196;0.523235;0.517453;0.483293;0.507999;0.458984;0.513266;0.44065;0.542805;0.437718;0.532882;0.387361;0.526765;0.360165;0.521552;0.33431;0.558672;0.429413;0.5525;0.37363;0.546462;0.344801;0.539991;0.320947;0.570962;0.434231;0.540196;0.396457;0.521857;0.421052;0.516839;0.441827;0.574736;0.445291;0.542616;0.424401;0.527481;0.44613;0.523345;0.465247;0.405034;0.577915;0.45085;0.538096;0.467515;0.493119;0.473994;0.457376;0.476823;0.43221;0.45465;0.434395;0.471366;0.385845;0.478583;0.355642;0.482369;0.325915;0.433482;0.426325;0.44349;0.36801;0.448459;0.33107;0.451184;0.302342;0.415476;0.437866;0.433602;0.404073;0.444029;0.433828;0.445348;0.456712;0.401052;0.458052;0.427183;0.445813;0.439356;0.469767;0.443165;0.48913
0.456568;0.259971;0.56591;0.553959;0.532207;0.523773;0.516941;0.488364;0.505589;0.463917;0.507667;0.442617;0.540361;0.440252;0.525555;0.394264;0.518978;0.366184;0.512894;0.339797;0.557299;0.429583;0.548189;0.378001;0.540864;0.349367;0.532132;0.326398;0.569648;0.436277;0.540239;0.40307;0.522306;0.429369;0.514302;0.451399;0.572647;0.451414;0.541324;0.433673;0.525416;0.455938;0.519219;0.474607;0.40858;0.576179;0.449281;0.545057;0.466117;0.507105;0.476204;0.475059;0.483219;0.448531;0.452777;0.445443;0.470434;0.396439;0.479273;0.366035;0.484514;0.333097;0.43724;0.43431;0.453411;0.378613;0.462894;0.344777;0.465804;0.314241;0.421086;0.442327;0.439775;0.404522;0.45114;0.43914;0.449878;0.461724;0.407423;0.459201;0.434884;0.443108;0.446942;0.471528;0.446207;0.494646
0.456378;0.262183;0.562223;0.548951;0.525235;0.52269;0.511693;0.484927;0.502517;0.458523;0.505254;0.440901;0.535533;0.442824;0.516824;0.397568;0.507076;0.371064;0.498406;0.34834;0.5523;0.431008;0.541889;0.378605;0.535196;0.350871;0.525035;0.326569;0.565584;0.436026;0.533665;0.404052;0.520228;0.435856;0.51488;0.459293;0.568948;0.448327;0.53479;0.433907;0.52121;0.460014;0.517022;0.479358;0.410152;0.57174;0.446874;0.543735;0.465827;0.50698;0.475266;0.476557;0.483612;0.452288;0.454925;0.442376;0.470412;0.392387;0.477127;0.359893;0.483162;0.324087;0.439293;0.431197;0.454072;0.378045;0.462912;0.345035;0.466956;0.313899;0.422928;0.440692;0.441812;0.412426;0.452726;0.446587;0.45241;0.46594;0.409291;0.458541;0.436479;0.44772;0.446649;0.474445;0.446213;0.495133
0.456115;0.266436;0.567597;0.549921;0.5319;0.529225;0.517453;0.494239;0.508246;0.46816;0.512868;0.443401;0.543141;0.443498;0.529206;0.397052;0.522483;0.37125;0.517288;0.34825;0.55863;0.430189;0.544131;0.380689;0.534105;0.350724;0.523029;0.327282;0.569715;0.436176;0.535068;0.401653;0.520876;0.428915;0.516373;0.454353;0.571254;0.450087;0.536767;0.432073;0.522437;0.453321;0.517329;0.474488;0.414828;0.570056;0.454477;0.539431;0.471257;0.501945;0.478938;0.469885;0.485133;0.445706;0.461339;0.442237;0.478748;0.393885;0.486788;0.363654;0.493381;0.32972;0.445287;0.43099;0.458853;0.377666;0.468293;0.346027;0.472371;0.317811;0.427789;0.440243;0.443268;0.407252;0.457511;0.425091;0.460768;0.433597;0.413908;0.459832;0.44127;0.447156;0.454432;0.468428;0.456254;0.485993
