face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.526251;0.352142;0.211555;0.923357;0.251517;0.92305;0.280639;0.902877;0.293406;0.903988;0.296727;0.915107;0.25871;0.804666;0.264098;0.785217;0.251799;0.806604;0.23865;0.828851;0.230811;0.800072;0.230079;0.778821;0.223929;0.808051;0.21516;0.832036;0.208037;0.814486;0.203984;0.800651;0.196055;0.832565;0.190185;0.856702;0.186166;0.839846;0.183357;0.834746;0.177679;0.849539;0.174724;0.860648
0.525268;0.360415;0.244237;0.90718;0.217163;0.893064;0.197403;0.870272;0.191562;0.865415;0.189267;0.866924;0.20633;0.780178;0.203874;0.794358;0.198043;0.840083;0.195996;0.877051;0.234389;0.77687;0.239716;0.79006;0.228207;0.841398;0.221176;0.877281;0.262627;0.785609;0.270601;0.818734;0.261797;0.868211;0.257159;0.89766;0.285658;0.80897;0.289697;0.832616;0.285204;0.87129;0.283999;0.893677;0.228432;0.853253;0.2781;0.865441;0.317829;0.87212;0.333437;0.889798;0.323827;0.904715;0.273631;0.771732;0.262904;0.760093;0.245845;0.796974;0.232358;0.831004;0.226125;0.766591;0.194032;0.760387;0.1775;0.811405;0.170917;0.854277;0.186965;0.780868;0.150992;0.791217;0.134325;0.843679;0.129349;0.882878;0.15908;0.806126;0.128267;0.821617;0.119829;0.853126;0.123194;0.875906
0.524354;0.360669;0.226037;0.918722;0.262961;0.895406;0.278879;0.851032;0.286797;0.814527;0.295811;0.783033;0.243774;0.826339;0.247176;0.790321;0.254924;0.77263;0.262346;0.758589;0.224329;0.83016;0.226851;0.790608;0.233202;0.775149;0.24006;0.763644;0.210503;0.842535;0.210699;0.805649;0.216698;0.796796;0.223609;0.792552;0.199933;0.85973;0.199207;0.837816;0.203102;0.83253;0.207789;0.829641;0.228484;0.882901;0.280209;0.872446;0.318875;0.856078;0.330239;0.857213;0.320157;0.863252;0.275318;0.774631;0.269245;0.785136;0.265404;0.843204;0.259206;0.885426;0.228175;0.768305;0.205194;0.788926;0.207365;0.853095;0.209573;0.891681;0.187403;0.783936;0.166694;0.827883;0.178196;0.880481;0.185305;0.903183;0.156654;0.810434;0.133586;0.837937;0.141043;0.872904;0.148976;0.889018
0.522324;0.358963;0.231737;0.915492;0.251066;0.883756;0.263338;0.845882;0.269806;0.815817;0.275276;0.791684;0.25811;0.833148;0.2678;0.798188;0.273447;0.771914;0.278181;0.749103;0.243501;0.838452;0.245782;0.802492;0.246522;0.776022;0.249212;0.751185;0.22687;0.847589;0.225909;0.811323;0.224956;0.790132;0.224892;0.772029;0.21011;0.859821;0.207251;0.836339;0.204646;0.819702;0.204824;0.804297;0.212142;0.928975;0.27151;0.888225;0.308396;0.838622;0.322238;0.810556;0.336485;0.799565;0.283527;0.775358;0.294327;0.714521;0.293637;0.738885;0.285271;0.781423;0.23816;0.774565;0.236001;0.718152;0.236923;0.77683;0.23451;0.827684;0.199682;0.788134;0.189799;0.762514;0.195033;0.814698;0.196527;0.850587;0.166444;0.810575;0.151654;0.79918;0.154742;0.836685;0.157775;0.861711
0.518825;0.358693;0.231762;0.902566;0.245115;0.862558;0.251708;0.828517;0.251999;0.80611;0.250626;0.79144;0.256748;0.83359;0.259944;0.804985;0.260248;0.792415;0.260918;0.781461;0.247875;0.842734;0.247199;0.814015;0.245929;0.800114;0.245641;0.789211;0.236061;0.851612;0.232224;0.820595;0.230701;0.810736;0.228789;0.803219;0.22368;0.860813;0.220695;0.834844;0.219678;0.825075;0.218168;0.819215;0.212264;0.904825;0.271474;0.840455;0.315104;0.777232;0.344769;0.742755;0.373679;0.73204;0.293954;0.780163;0.304097;0.72698;0.307317;0.702593;0.306551;0.689065;0.256617;0.777714;0.257666;0.707134;0.256671;0.709593;0.254439;0.729591;0.219426;0.783806;0.21958;0.708264;0.21986;0.72444;0.217074;0.755803;0.185261;0.796552;0.180784;0.741273;0.181149;0.754523;0.179819;0.781413
0.517034;0.365676;0.221143;0.872308;0.240616;0.871875;0.25237;0.861682;0.259282;0.855471;0.26498;0.849908;0.25437;0.837262;0.26287;0.823408;0.26995;0.817711;0.275086;0.815212;0.246545;0.836234;0.25563;0.820394;0.262219;0.81311;0.26683;0.806237;0.237713;0.836068;0.246979;0.822878;0.251616;0.813569;0.25409;0.802764;0.228645;0.837111;0.234848;0.82739;0.238193;0.82034;0.240708;0.812005;0.209711;0.866809;0.273398;0.816915;0.321479;0.768;0.353223;0.73856;0.382925;0.726007;0.309477;0.744507;0.325581;0.714549;0.328835;0.68152;0.327083;0.656751;0.278937;0.734757;0.289596;0.689366;0.289112;0.661823;0.285876;0.649719;0.246371;0.736545;0.248719;0.691747;0.242366;0.678341;0.236992;0.677293;0.211114;0.745643;0.208279;0.711724;0.204916;0.704485;0.202461;0.708481
0.520057;0.364192;0.228023;0.845136;0.23546;0.856031;0.241784;0.856923;0.245747;0.857303;0.248349;0.857127;0.247066;0.842413;0.25127;0.841072;0.252977;0.838207;0.252762;0.835583;0.244446;0.840073;0.250267;0.836727;0.252079;0.832249;0.252861;0.827214;0.241252;0.837346;0.245623;0.836499;0.247722;0.832343;0.248565;0.827092;0.23827;0.834662;0.241462;0.835409;0.243411;0.832846;0.244618;0.829186;0.231842;0.829906;0.290381;0.78661;0.329213;0.743047;0.358623;0.719296;0.38629;0.706527;0.314805;0.71548;0.324387;0.682056;0.324626;0.649378;0.32465;0.621307;0.29243;0.717776;0.291701;0.673256;0.292123;0.636203;0.294055;0.604022;0.2686;0.729639;0.263314;0.687902;0.262193;0.650248;0.260686;0.617349;0.243562;0.747624;0.234672;0.718442;0.22943;0.687222;0.224193;0.659055
0.516938;0.358298;0.262395;0.805256;0.310775;0.769836;0.339035;0.730962;0.363118;0.709615;0.385982;0.697703;0.322502;0.693026;0.316921;0.659624;0.313858;0.637109;0.310495;0.622353;0.302024;0.703598;0.287618;0.669899;0.283381;0.646667;0.280131;0.628401;0.280693;0.721432;0.267005;0.697092;0.259458;0.677339;0.253345;0.660232;0.26103;0.740884;0.249708;0.735822;0.243472;0.72585;0.237972;0.715288
0.509882;0.353444;0.289559;0.678019;0.326725;0.688888;0.360548;0.670174;0.382812;0.654922;0.401559;0.643942;0.325419;0.576872;0.329572;0.511913;0.318506;0.503423;0.307964;0.522676;0.28697;0.573899;0.278332;0.502174;0.261477;0.506819;0.251957;0.542534;0.256735;0.590734;0.234802;0.538147;0.220039;0.554373;0.214745;0.591236;0.234396;0.620764;0.205377;0.594847;0.194183;0.611612;0.193509;0.63891;0.700761;0.65763;0.679201;0.677414;0.655985;0.696832;0.633642;0.717486;0.614341;0.734412;0.637789;0.624968;0.605144;0.654706;0.577957;0.681233;0.554957;0.710653;0.64731;0.617063;0.606073;0.661949;0.58308;0.716639;0.569538;0.765918;0.660281;0.624597;0.62447;0.682344;0.603693;0.734672;0.589622;0.775297;0.674554;0.640581;0.650401;0.681526;0.641478;0.716216;0.635721;0.744141
0.507764;0.352013;0.291116;0.66746;0.328875;0.668342;0.360956;0.645479;0.381229;0.626109;0.399521;0.610384;0.321607;0.569055;0.326836;0.52643;0.323904;0.522581;0.31691;0.541418;0.284633;0.561695;0.27724;0.506658;0.269185;0.49756;0.261638;0.515109;0.254509;0.576515;0.237125;0.524304;0.227806;0.517031;0.222409;0.528346;0.231228;0.611702;0.208065;0.584526;0.196824;0.583354;0.1915;0.591434;0.691953;0.637491;0.670402;0.633477;0.645574;0.656843;0.629571;0.690874;0.622822;0.725307;0.636483;0.603432;0.617228;0.648785;0.603428;0.693363;0.591686;0.733086;0.651511;0.618116;0.623835;0.684075;0.602531;0.744229;0.58362;0.793015;0.667206;0.64274;0.64021;0.708941;0.62766;0.753537;0.618779;0.777375;0.681072;0.669971;0.662904;0.717869;0.657489;0.743058;0.654895;0.756587
