face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.442464;0.3081;0.611159;0.934121;0.649907;0.933299;0.674982;0.946782;0.68038;0.968814;0.676022;0.978275;0.661034;0.979061;0.671323;1.00746;0.668672;0.994948;0.665931;0.984027;0.634055;0.990977;0.643895;1.02124;0.644705;1.00301;0.644034;0.987394;0.608342;0.99608;0.615899;1.02077;0.615845;0.993961;0.613731;0.975124;0.586958;0.995833;0.593088;1.01024;0.592559;0.991217;0.591174;0.976901
0.443233;0.307169;0.645122;0.873892;0.598826;0.901901;0.560503;0.925602;0.541246;0.953549;0.534015;0.985079;0.55489;0.878701;0.531092;0.947226;0.528657;0.993741;0.529227;1.02238;0.58822;0.86496;0.57006;0.946858;0.565498;1.00325;0.562736;1.03701;0.622821;0.866063;0.613421;0.944075;0.606416;0.997165;0.600796;1.02821;0.655682;0.877491;0.653061;0.946017;0.644913;0.986969;0.636766;1.01286
0.442223;0.307215;0.278693;0.844457;0.328106;0.852299;0.369977;0.88995;0.392209;0.936833;0.398796;0.974495;0.357165;0.863644;0.383674;0.928617;0.391229;0.979877;0.394804;1.01215;0.32946;0.866681;0.350839;0.941381;0.360511;1.00036;0.368274;1.03763;0.299869;0.876151;0.316542;0.937023;0.327785;0.993118;0.336345;1.02965;0.272615;0.891563;0.283451;0.937936;0.29077;0.974689;0.298796;1.00133;0.647642;0.833515;0.589675;0.852845;0.543436;0.876599;0.518747;0.90797;0.510557;0.950496;0.54622;0.842517;0.515031;0.922884;0.508828;0.984615;0.508116;1.03043;0.582436;0.831212;0.55529;0.932084;0.547637;1.00683;0.545245;1.06038;0.621041;0.83491;0.600582;0.927339;0.589944;1.00135;0.583061;1.05409;0.656697;0.847795;0.645168;0.921462;0.63297;0.975071;0.62405;1.01523
0.442337;0.31069;0.284366;0.817484;0.331696;0.822907;0.365088;0.854723;0.380042;0.904275;0.382431;0.942357;0.365376;0.826182;0.391093;0.892966;0.39615;0.952351;0.398385;0.997713;0.332395;0.828201;0.356874;0.9251;0.366343;0.993928;0.374094;1.04209;0.300539;0.845553;0.32147;0.9427;0.336329;1.00342;0.348917;1.04266;0.275277;0.872831;0.289517;0.949987;0.302784;0.993224;0.316359;1.02245;0.657375;0.829837;0.598185;0.850585;0.558886;0.870268;0.529009;0.901104;0.502402;0.93197;0.558271;0.814701;0.525462;0.869364;0.512322;0.916045;0.50396;0.957866;0.585593;0.815535;0.555131;0.878824;0.542382;0.934484;0.536296;0.981833;0.616663;0.826823;0.597957;0.895634;0.587067;0.94867;0.577591;0.991601;0.647801;0.844309;0.640307;0.902227;0.634945;0.942845;0.627474;0.976588
0.440826;0.31032;0.28014;0.791968;0.322372;0.807537;0.356525;0.837418;0.374456;0.878815;0.381334;0.911704;0.360457;0.78655;0.391314;0.836933;0.40076;0.892521;0.402909;0.937192;0.331312;0.794778;0.35456;0.864881;0.365341;0.925359;0.371175;0.966479;0.300451;0.81535;0.32348;0.88651;0.336027;0.938801;0.344237;0.972523;0.273942;0.845002;0.291827;0.909951;0.303959;0.942609;0.314761;0.963818;0.647053;0.823294;0.596753;0.855665;0.566018;0.873543;0.542094;0.8939;0.518386;0.916617;0.563917;0.790792;0.535106;0.825159;0.522366;0.868664;0.516513;0.90953;0.583431;0.780262;0.55731;0.820882;0.543654;0.878955;0.537481;0.926255;0.604489;0.785866;0.585916;0.831605;0.571957;0.890887;0.564372;0.940472;0.628208;0.803917;0.619073;0.845791;0.610636;0.889135;0.603877;0.928592
0.441573;0.316837;0.276213;0.773173;0.325976;0.793981;0.362492;0.824672;0.380823;0.865013;0.38844;0.892174;0.360074;0.751145;0.388186;0.796744;0.398488;0.850751;0.403463;0.892889;0.332675;0.755131;0.353254;0.822568;0.362286;0.885014;0.367988;0.924489;0.303301;0.774603;0.32653;0.841102;0.338913;0.897754;0.346249;0.932954;0.278653;0.804283;0.298225;0.862973;0.310461;0.900116;0.320313;0.924102;0.618809;0.807027;0.597232;0.82486;0.579018;0.831867;0.564748;0.843174;0.547115;0.857301;0.566546;0.766077;0.54776;0.785631;0.536773;0.815512;0.526537;0.846211;0.579825;0.763767;0.552359;0.787578;0.5386;0.834344;0.527845;0.874955;0.593298;0.771898;0.568443;0.802123;0.557014;0.851305;0.54907;0.891515;0.607669;0.787345;0.594683;0.825424;0.588834;0.860609;0.583521;0.888294
0.441344;0.320039;0.276626;0.754727;0.33565;0.784648;0.372844;0.807409;0.39348;0.83718;0.405589;0.862643;0.367326;0.721397;0.394565;0.754307;0.404777;0.799323;0.407547;0.840087;0.337144;0.715064;0.356731;0.781633;0.367619;0.842069;0.371023;0.884166;0.306317;0.72826;0.32365;0.798716;0.337239;0.853244;0.342555;0.886397;0.27964;0.75272;0.297848;0.812464;0.309302;0.850863;0.315865;0.874413;0.618465;0.793157;0.598464;0.789884;0.583197;0.790397;0.574309;0.803676;0.569055;0.81972;0.56855;0.745671;0.556142;0.75868;0.547529;0.777644;0.539293;0.796488;0.575435;0.754658;0.562996;0.781646;0.555568;0.810394;0.54866;0.833934;0.586891;0.771246;0.583432;0.800797;0.58436;0.81931;0.584658;0.833439;0.599132;0.793667;0.593229;0.819637;0.594578;0.831906;0.59609;0.841583
0.441015;0.320272;0.283596;0.750693;0.344782;0.758673;0.383405;0.771955;0.407159;0.79167;0.424801;0.808598;0.377392;0.698406;0.399443;0.724855;0.404564;0.769968;0.404275;0.810405;0.346087;0.695011;0.363065;0.759644;0.367798;0.811754;0.369846;0.845276;0.314929;0.709533;0.3283;0.777079;0.336992;0.820413;0.340399;0.847028;0.285402;0.732301;0.299814;0.787927;0.309247;0.816915;0.314021;0.835505;0.617389;0.7843;0.596498;0.784394;0.581056;0.779862;0.568201;0.784097;0.558798;0.792842;0.579432;0.745162;0.57498;0.734979;0.574439;0.740053;0.574635;0.747585;0.587461;0.751751;0.586396;0.752741;0.589539;0.766474;0.592905;0.775175;0.597127;0.76297;0.5985;0.777503;0.60238;0.79092;0.605067;0.798762;0.606555;0.777608;0.602245;0.789842;0.604297;0.798462;0.606146;0.803384
0.440654;0.320671;0.284894;0.755857;0.342955;0.759879;0.383905;0.757744;0.409204;0.766969;0.426716;0.782779;0.381588;0.683227;0.401198;0.695551;0.408305;0.738387;0.41138;0.777039;0.351869;0.675542;0.367221;0.726285;0.375042;0.782259;0.38125;0.819802;0.321119;0.688246;0.333885;0.745058;0.343578;0.79139;0.349727;0.820664;0.290488;0.707923;0.302519;0.759307;0.313392;0.793028;0.321079;0.814181
0.440788;0.320875;0.335518;0.709562;0.365888;0.725483;0.393855;0.727895;0.411935;0.7458;0.42237;0.769628;0.381272;0.665723;0.406035;0.672691;0.413081;0.720736;0.414222;0.763377;0.353533;0.659079;0.361909;0.670212;0.367535;0.730821;0.371515;0.775025;0.324673;0.664055;0.319499;0.675708;0.327621;0.733811;0.335994;0.775541;0.300686;0.676551;0.283291;0.69022;0.288759;0.729704;0.300612;0.759196
