face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.535408;0.326221;0.383986;0.982841;0.367161;0.979584;0.350136;0.983516;0.338639;0.985027;0.330633;0.982482;0.333249;0.988653;0.315919;0.992537;0.309644;0.991581;0.307099;0.990378;0.336437;0.988986;0.319548;0.992387;0.313951;0.991333;0.31334;0.990225;0.342881;0.988157;0.327416;0.989867;0.323481;0.989487;0.324803;0.988375;0.351564;0.987421;0.339862;0.987534;0.33508;0.988506;0.334436;0.989471
0.536675;0.327307;0.362034;0.973199;0.383222;0.968845;0.393635;0.972546;0.392727;0.97043;0.38802;0.969704;0.365511;0.977849;0.360981;0.965497;0.356957;0.972599;0.353732;0.98418;0.348425;0.977073;0.341792;0.961602;0.339717;0.96755;0.337632;0.974746;0.334873;0.973063;0.329737;0.961359;0.332623;0.971125;0.334272;0.979493;0.325009;0.969962;0.317255;0.962687;0.321997;0.971363;0.325916;0.978779
0.542674;0.329987;0.385199;0.946508;0.400857;0.964596;0.399452;0.977475;0.389287;0.98817;0.377761;1.00411;0.382031;0.945915;0.371589;0.960293;0.366354;0.983697;0.363703;1.00213;0.362658;0.941996;0.352515;0.964548;0.350173;0.996237;0.353441;1.01934;0.347986;0.945191;0.337676;0.967671;0.339715;0.99113;0.345742;1.00606;0.33659;0.951551;0.330827;0.96853;0.334567;0.982259;0.340553;0.991832;0.357503;0.870238;0.400839;0.901624;0.427956;0.937502;0.443178;0.969297;0.450648;1.00169;0.404872;0.901626;0.416082;0.947846;0.414263;0.988474;0.413272;1.01952;0.37556;0.901257;0.380016;0.96826;0.381383;1.02224;0.383943;1.05832;0.347648;0.907382;0.344119;0.972751;0.348147;1.02656;0.35531;1.05933;0.323745;0.916294;0.319902;0.975319;0.323432;1.01043;0.331357;1.03267
0.542811;0.33206;0.393388;0.983014;0.404484;0.97059;0.405392;0.953941;0.400138;0.9424;0.395307;0.931015;0.375216;0.977356;0.369945;0.95925;0.370867;0.937835;0.375081;0.920225;0.35685;0.97593;0.352735;0.95264;0.357019;0.932782;0.364112;0.918104;0.344694;0.973195;0.344272;0.950224;0.349566;0.933777;0.355608;0.92204;0.339486;0.972888;0.337421;0.952526;0.341756;0.940981;0.347751;0.931699;0.368084;0.865869;0.410729;0.905722;0.438676;0.943788;0.457579;0.981049;0.475487;1.0072;0.425143;0.90887;0.426881;0.967842;0.427335;1.01491;0.42788;1.05266;0.395778;0.896735;0.391153;0.972872;0.392643;1.03155;0.393924;1.07606;0.36688;0.889596;0.35942;0.962285;0.361007;1.01912;0.363691;1.06526;0.339694;0.886498;0.33319;0.946227;0.338233;0.981034;0.345066;1.00666
0.544793;0.331352;0.399673;0.982825;0.407638;0.961262;0.403583;0.938756;0.397681;0.931192;0.39475;0.920148;0.372361;0.94958;0.362799;0.928513;0.363204;0.907152;0.366875;0.888588;0.361321;0.966182;0.350981;0.946154;0.353648;0.927076;0.358758;0.910921;0.356316;0.979654;0.350318;0.965606;0.355724;0.94796;0.3607;0.932077;0.356185;0.992003;0.353469;0.979251;0.358419;0.966971;0.362643;0.955238;0.378156;0.870033;0.420123;0.8984;0.452159;0.924879;0.477238;0.949516;0.499657;0.964422;0.431309;0.884562;0.425396;0.946432;0.42315;0.996413;0.420932;1.03685;0.40086;0.871131;0.395064;0.955101;0.391563;1.01275;0.387007;1.05282;0.371609;0.86481;0.366218;0.945625;0.366886;0.99827;0.368132;1.03523;0.344403;0.867858;0.342449;0.926823;0.345748;0.959608;0.350054;0.982572
0.544511;0.332625;0.361677;0.874238;0.412155;0.894853;0.45102;0.909182;0.482494;0.922982;0.51058;0.93774;0.440296;0.861569;0.438119;0.927105;0.438498;0.970366;0.4381;0.998139;0.409364;0.850205;0.411852;0.928952;0.410346;0.980265;0.407499;1.01286;0.380058;0.852955;0.382592;0.933188;0.383251;0.978655;0.382123;1.0014;0.352165;0.864268;0.354086;0.920745;0.355464;0.956831;0.35734;0.980349
0.546916;0.337106;0.413038;0.836401;0.446477;0.865109;0.472972;0.880568;0.489459;0.903276;0.505518;0.92247;0.445385;0.836295;0.440169;0.894596;0.441923;0.942657;0.444155;0.980301;0.414844;0.823989;0.403526;0.899799;0.404172;0.95627;0.405431;0.99333;0.388049;0.824407;0.376559;0.896389;0.378492;0.952936;0.379041;0.987707;0.366953;0.832904;0.347199;0.887819;0.350633;0.929676;0.357368;0.959322
0.548976;0.338546;0.398735;0.820453;0.441767;0.846978;0.478944;0.869329;0.504083;0.880545;0.525459;0.889961;0.46513;0.835672;0.471293;0.871523;0.460856;0.912134;0.453502;0.947832;0.439738;0.818386;0.432545;0.882827;0.424372;0.928931;0.420995;0.971741;0.413314;0.807155;0.400194;0.884044;0.389242;0.927682;0.383989;0.962969;0.387441;0.800756;0.384511;0.849579;0.378158;0.87616;0.374551;0.898307;0.756021;0.892586;0.713082;0.894011;0.668741;0.91172;0.632692;0.92241;0.60314;0.931196;0.692441;0.889797;0.655537;0.927839;0.633862;0.962654;0.622142;0.990913;0.716314;0.898172;0.683236;0.945967;0.6588;0.98617;0.641932;1.01746;0.741649;0.91824;0.715163;0.961609;0.69564;1.00042;0.68073;1.03048;0.76512;0.943966;0.751599;0.97662;0.740971;1.00145;0.734263;1.01885
0.549202;0.338244;0.405286;0.825404;0.446378;0.846208;0.478425;0.861991;0.501213;0.877551;0.523558;0.881956;0.463308;0.829237;0.469732;0.863853;0.467689;0.906604;0.465289;0.941863;0.435597;0.810954;0.431445;0.868383;0.430462;0.922804;0.42805;0.965387;0.408219;0.805746;0.395287;0.870269;0.393072;0.923835;0.389173;0.96417;0.381763;0.810028;0.37144;0.86135;0.369159;0.905151;0.367448;0.942493;0.766496;0.879326;0.721945;0.873725;0.673916;0.896614;0.634441;0.910231;0.600929;0.910251;0.683468;0.885758;0.643962;0.933762;0.624476;0.971185;0.613569;0.996985;0.706254;0.897825;0.667466;0.953194;0.646723;0.993624;0.636635;1.02452;0.735094;0.918349;0.706619;0.970609;0.689002;1.00431;0.678679;1.03301;0.764818;0.943273;0.751523;0.992347;0.744939;1.01555;0.741209;1.03462
0.550314;0.336358;0.382481;0.849433;0.433661;0.867846;0.477489;0.867753;0.512782;0.864935;0.547149;0.864022;0.467054;0.817932;0.476538;0.836826;0.476723;0.880545;0.477976;0.91918;0.437457;0.80067;0.441556;0.837574;0.439609;0.892243;0.438895;0.936684;0.407087;0.79806;0.404;0.8423;0.401103;0.897415;0.399753;0.943654;0.376483;0.805116;0.373326;0.842929;0.372598;0.885029;0.370584;0.922325;0.767865;0.862171;0.719764;0.856639;0.668875;0.880452;0.627998;0.891229;0.592601;0.88838;0.682164;0.87063;0.64151;0.915248;0.615185;0.955234;0.595829;0.99198;0.705166;0.880211;0.665003;0.940922;0.643451;0.991134;0.631129;1.03285;0.734582;0.900235;0.702411;0.963199;0.685325;1.00619;0.67487;1.04239;0.764121;0.924183;0.750197;0.978164;0.746533;1.00206;0.744753;1.02074
