face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.466973;0.213237;0.246727;0.884059;0.272687;0.854351;0.277588;0.819205;0.278705;0.779539;0.292598;0.734657;0.19906;0.783875;0.180289;0.820418;0.19599;0.854358;0.208526;0.873064;0.172619;0.804416;0.161946;0.85658;0.18427;0.89024;0.202064;0.901986;0.156089;0.829642;0.152672;0.886324;0.17199;0.912512;0.185785;0.918803;0.147783;0.853722;0.139382;0.892846;0.153262;0.915713;0.164509;0.921177
0.476552;0.220685;0.258826;0.842324;0.276388;0.804339;0.282215;0.774006;0.288128;0.739229;0.3069;0.708441;0.20903;0.719182;0.174913;0.700869;0.18515;0.731895;0.199602;0.751816;0.182577;0.745332;0.153667;0.737576;0.171483;0.773759;0.191772;0.786671;0.166013;0.772892;0.142841;0.77833;0.161015;0.808685;0.178655;0.81672;0.156487;0.802689;0.12894;0.795008;0.145047;0.81652;0.164332;0.825861
0.4764;0.226093;0.270941;0.84419;0.291158;0.800292;0.293439;0.755307;0.296674;0.715358;0.313672;0.68397;0.224519;0.696905;0.196265;0.652637;0.19516;0.666338;0.204357;0.682805;0.194244;0.710587;0.164395;0.673066;0.1674;0.687102;0.180285;0.705242;0.172807;0.72827;0.143808;0.692178;0.146386;0.703445;0.159502;0.721572;0.158837;0.750527;0.134258;0.721488;0.131184;0.719039;0.136213;0.725152
0.46858;0.23817;0.276021;0.819406;0.299352;0.818059;0.296067;0.778439;0.293643;0.735417;0.306953;0.692705;0.224833;0.712343;0.186806;0.661723;0.169676;0.640714;0.161486;0.634104;0.212639;0.703158;0.174042;0.647728;0.156963;0.628708;0.150384;0.626103;0.206141;0.696142;0.174744;0.649356;0.160838;0.630293;0.15764;0.626498;0.202708;0.693827;0.180671;0.655354;0.16887;0.638901;0.161563;0.636896;0.215869;0.677882;0.232166;0.644864;0.234388;0.611257;0.220451;0.595088;0.205354;0.597614;0.201561;0.577497;0.185572;0.557655;0.182761;0.580017;0.186722;0.601057;0.181475;0.588668;0.162516;0.57085;0.161902;0.600089;0.168881;0.621692;0.165964;0.605867;0.147094;0.596605;0.146816;0.621479;0.153889;0.641026;0.15554;0.629343;0.140503;0.623058;0.140476;0.638625;0.146694;0.65152
0.475966;0.23328;0.275049;0.808959;0.256594;0.758659;0.241007;0.711454;0.231541;0.675076;0.226786;0.645082;0.240767;0.689892;0.223514;0.65345;0.211006;0.61652;0.198416;0.580942;0.240872;0.702756;0.213525;0.66737;0.194914;0.630504;0.177462;0.595197;0.241224;0.723623;0.212495;0.689274;0.195636;0.654473;0.182237;0.624021;0.245742;0.747442;0.226915;0.722237;0.21517;0.697287;0.205072;0.675262;0.227822;0.671767;0.223514;0.626072;0.213636;0.591649;0.200915;0.566172;0.192965;0.543181;0.195822;0.572644;0.178762;0.546683;0.175049;0.540353;0.175069;0.541271;0.187065;0.580992;0.171104;0.555044;0.165977;0.549021;0.165225;0.553097;0.182482;0.591117;0.166945;0.565855;0.162329;0.558584;0.163171;0.56066;0.180323;0.60475;0.166659;0.584429;0.160257;0.570284;0.157369;0.563243
0.472419;0.248133;0.276078;0.806461;0.266573;0.754006;0.25767;0.714345;0.249985;0.680297;0.244205;0.650177;0.262211;0.697618;0.253831;0.654268;0.248055;0.620759;0.240802;0.588405;0.25718;0.706051;0.247808;0.657026;0.238645;0.620351;0.227582;0.58467;0.251753;0.719319;0.240359;0.676206;0.232132;0.644276;0.224197;0.616639;0.247082;0.737539;0.236306;0.703867;0.229126;0.681182;0.222189;0.661503;0.225584;0.653373;0.202838;0.62716;0.185298;0.599722;0.172295;0.580427;0.165075;0.563401;0.184458;0.574829;0.172897;0.546839;0.167418;0.528568;0.163618;0.514362;0.190017;0.577071;0.178829;0.547993;0.172701;0.528975;0.168976;0.513001;0.197121;0.582099;0.185531;0.555496;0.17954;0.535336;0.175991;0.51928;0.206762;0.58903;0.197305;0.568245;0.190573;0.552449;0.185017;0.537876
0.465986;0.259223;0.276592;0.798882;0.26603;0.779359;0.260879;0.747712;0.258346;0.714889;0.260113;0.690266;0.260057;0.703632;0.252673;0.653198;0.248173;0.617822;0.243662;0.584168;0.261709;0.697412;0.254677;0.646438;0.250341;0.609542;0.245982;0.574313;0.263615;0.696674;0.255576;0.650537;0.250775;0.615965;0.246393;0.58774;0.266775;0.702486;0.261082;0.663851;0.256522;0.638849;0.252224;0.619973
0.464014;0.268683;0.274403;0.791694;0.289228;0.775753;0.293864;0.745611;0.296744;0.717273;0.303995;0.694176;0.275743;0.692253;0.271814;0.644468;0.26836;0.605966;0.264476;0.568352;0.26873;0.68964;0.262446;0.639606;0.260373;0.599053;0.256951;0.560003;0.262928;0.695212;0.254713;0.645037;0.253682;0.608485;0.251336;0.578218;0.258419;0.706865;0.253344;0.666133;0.252947;0.639176;0.251503;0.617284;0.251665;0.533605;0.285374;0.499466;0.292104;0.45757;0.286173;0.425042;0.278868;0.408108;0.263994;0.408;0.253529;0.357901;0.250824;0.366598;0.250573;0.386463;0.241923;0.410664;0.234636;0.353736;0.230437;0.365692;0.230376;0.386757;0.225482;0.423434;0.217944;0.373321;0.214835;0.382822;0.215909;0.400409;0.212475;0.44554;0.205535;0.410389;0.206122;0.406623;0.210582;0.412347
0.473426;0.259992;0.274471;0.785856;0.305048;0.77878;0.314085;0.744328;0.319632;0.708378;0.336493;0.676283;0.285686;0.717227;0.278955;0.659464;0.277439;0.608719;0.274423;0.564843;0.272745;0.711751;0.263786;0.653448;0.264649;0.606042;0.262779;0.566108;0.263082;0.712019;0.258112;0.657348;0.261383;0.618948;0.263078;0.590103;0.255861;0.715775;0.255965;0.683936;0.260477;0.662487;0.261559;0.647824;0.279335;0.545679;0.290891;0.50366;0.292748;0.457068;0.28301;0.429335;0.275162;0.408195;0.275642;0.405718;0.26383;0.363079;0.260973;0.350043;0.261092;0.35364;0.259599;0.414914;0.248515;0.367725;0.243421;0.3525;0.242106;0.357966;0.247859;0.430735;0.235433;0.388645;0.231141;0.372752;0.231643;0.373423;0.238092;0.453415;0.226322;0.419851;0.223708;0.402796;0.224807;0.395136
0.468526;0.264845;0.282546;0.765881;0.293407;0.744831;0.299114;0.720109;0.305429;0.705895;0.319311;0.693595;0.275101;0.712431;0.268664;0.678577;0.271688;0.649238;0.275208;0.625318;0.280223;0.725066;0.272262;0.699127;0.279226;0.675731;0.285934;0.654718;0.286226;0.747049;0.287193;0.736568;0.293596;0.714001;0.299452;0.693621;0.293718;0.769808;0.300601;0.77045;0.307237;0.766616;0.312248;0.762687;0.292526;0.545944;0.297649;0.514435;0.29441;0.483651;0.292804;0.454875;0.293272;0.424632;0.273877;0.42342;0.267439;0.379808;0.27902;0.359506;0.294309;0.353698;0.270043;0.420144;0.262666;0.373749;0.275228;0.350006;0.291777;0.342683;0.269176;0.426228;0.262933;0.383037;0.272553;0.363117;0.286407;0.356677;0.269749;0.441353;0.265404;0.408503;0.271097;0.391164;0.280717;0.38147
