face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.400016;0.377565;0.381038;0.980638;0.398882;0.953169;0.420484;0.944595;0.433627;0.938264;0.441589;0.931448;0.437414;0.981525;0.459776;0.973745;0.466609;0.965905;0.46855;0.961343;0.43291;0.992521;0.451381;0.980562;0.450986;0.973349;0.448677;0.974103;0.426043;0.995669;0.439244;0.976475;0.435018;0.9672;0.430124;0.968074;0.419469;0.996097;0.433326;0.979721;0.430656;0.972587;0.425592;0.97326
0.400902;0.379341;0.387059;0.955804;0.39827;0.983409;0.412712;0.995126;0.423742;0.99865;0.42633;0.996717;0.418599;0.977028;0.442132;0.978452;0.453454;0.972531;0.460167;0.966239;0.416851;0.952702;0.442347;0.954911;0.456654;0.948872;0.468161;0.941016;0.412336;0.933461;0.433764;0.932624;0.44574;0.926249;0.4557;0.920934;0.407116;0.917329;0.419869;0.91348;0.428268;0.908297;0.434854;0.904617;0.384969;0.964999;0.396019;0.894169;0.42191;0.867452;0.443019;0.855479;0.453834;0.843599;0.468092;0.908542;0.491179;0.889369;0.478167;0.880298;0.465627;0.882238;0.473508;0.941089;0.488838;0.917218;0.472824;0.909124;0.461983;0.91154;0.468733;0.966763;0.478586;0.945535;0.465433;0.935157;0.454677;0.935807;0.458034;0.987614;0.463892;0.971875;0.454811;0.961989;0.44616;0.961034
0.395198;0.380767;0.384887;0.956848;0.403288;0.945725;0.419581;0.939936;0.431333;0.939328;0.441674;0.941781;0.426016;0.942285;0.44583;0.936099;0.458471;0.929972;0.469161;0.924142;0.423454;0.948871;0.443384;0.943422;0.4578;0.936571;0.468749;0.928932;0.418345;0.95553;0.435962;0.9518;0.447366;0.944963;0.454457;0.937786;0.411823;0.96324;0.425644;0.960972;0.434239;0.955711;0.439382;0.950099;0.375336;0.932015;0.387892;0.875258;0.411052;0.849681;0.438995;0.837318;0.45327;0.828474;0.433835;0.85025;0.474257;0.848569;0.471998;0.855889;0.462996;0.859363;0.441481;0.883262;0.483145;0.878679;0.477295;0.8824;0.466383;0.881221;0.444476;0.917185;0.480897;0.910999;0.472955;0.909964;0.460934;0.907295;0.444354;0.949585;0.472479;0.943735;0.46439;0.939815;0.452531;0.937494
0.392219;0.380399;0.372392;0.909444;0.388632;0.85603;0.412928;0.827144;0.433968;0.804152;0.446881;0.778084;0.424997;0.836333;0.459108;0.809174;0.474572;0.790523;0.483106;0.774828;0.430616;0.859839;0.471037;0.824239;0.485255;0.803056;0.492102;0.785246;0.434163;0.883649;0.473365;0.849314;0.486737;0.827787;0.493531;0.811438;0.436374;0.909256;0.469243;0.883468;0.479258;0.864092;0.48455;0.850018
0.39574;0.378175;0.376279;0.882776;0.400115;0.837208;0.426145;0.802225;0.443398;0.773916;0.451748;0.746283;0.427171;0.824735;0.456483;0.792783;0.471502;0.763554;0.482699;0.738465;0.422728;0.84205;0.458049;0.804167;0.475534;0.769209;0.487913;0.739923;0.418109;0.855388;0.451636;0.81784;0.469025;0.786146;0.481549;0.75966;0.414095;0.865024;0.439397;0.839868;0.453377;0.818238;0.464382;0.800709;0.408385;0.84002;0.396635;0.786155;0.409203;0.742797;0.428814;0.707784;0.438996;0.672673;0.444512;0.757175;0.477531;0.704551;0.473977;0.687175;0.467144;0.683275;0.464363;0.781827;0.49199;0.72141;0.482703;0.703039;0.472344;0.700618;0.475847;0.801617;0.498444;0.744524;0.488738;0.725459;0.476126;0.724197;0.481092;0.815328;0.498395;0.77193;0.492201;0.75414;0.480692;0.751977
0.400685;0.38194;0.379324;0.865893;0.408842;0.841471;0.429969;0.822053;0.446205;0.809149;0.459758;0.796682;0.428375;0.826167;0.447817;0.802621;0.460436;0.781189;0.472143;0.760718;0.42087;0.825014;0.441187;0.79786;0.455348;0.771585;0.469754;0.746642;0.412306;0.822485;0.431602;0.793145;0.443949;0.767585;0.455073;0.745804;0.403392;0.82006;0.417685;0.796982;0.424353;0.779066;0.429916;0.761791;0.41194;0.822992;0.399758;0.767199;0.410715;0.72478;0.428705;0.690294;0.438053;0.661765;0.442847;0.729932;0.466317;0.682359;0.472994;0.658561;0.477581;0.642138;0.460449;0.750352;0.482599;0.700477;0.488565;0.671075;0.491902;0.649268;0.470616;0.770702;0.491;0.723526;0.496814;0.695419;0.498971;0.675383;0.475597;0.790383;0.492916;0.753819;0.496908;0.729881;0.497177;0.712865
0.398239;0.383871;0.382836;0.854901;0.399089;0.844713;0.413966;0.831565;0.426884;0.821229;0.434635;0.811291;0.422224;0.827347;0.441231;0.807878;0.452796;0.787847;0.462211;0.770024;0.417181;0.821825;0.437181;0.797154;0.449907;0.773523;0.460219;0.754072;0.410755;0.816892;0.428624;0.790077;0.440325;0.767714;0.449703;0.750294;0.40324;0.813839;0.415484;0.79075;0.423555;0.774941;0.430532;0.762176;0.415715;0.798338;0.40221;0.750726;0.410645;0.70583;0.429634;0.670052;0.441209;0.642026;0.443498;0.706414;0.461596;0.66069;0.470116;0.635336;0.476824;0.614731;0.46162;0.722136;0.479331;0.674983;0.486891;0.644282;0.493832;0.618073;0.472235;0.739926;0.489143;0.69627;0.494726;0.66715;0.498584;0.64382;0.478142;0.757458;0.492171;0.722562;0.496479;0.697888;0.498474;0.678315
0.394786;0.390324;0.422776;0.78056;0.407466;0.735251;0.415648;0.688639;0.434146;0.651969;0.444857;0.621157;0.443569;0.688245;0.462719;0.640159;0.472774;0.609812;0.480476;0.584504;0.462024;0.702908;0.479043;0.652727;0.486896;0.618415;0.493709;0.589765;0.473644;0.718138;0.488137;0.669976;0.494186;0.637435;0.497846;0.612545;0.480948;0.732594;0.491695;0.693306;0.495576;0.664716;0.497407;0.642415
0.391308;0.390777;0.432018;0.754113;0.413734;0.716808;0.421005;0.673295;0.43584;0.6374;0.446094;0.605718;0.458277;0.667238;0.474278;0.615043;0.481756;0.587316;0.487737;0.566333;0.475369;0.682513;0.487782;0.624938;0.490868;0.596185;0.493315;0.57557;0.482853;0.697642;0.492719;0.645181;0.494165;0.616981;0.493524;0.597581;0.48429;0.71021;0.491446;0.66967;0.491399;0.646587;0.489995;0.628844
0.385303;0.392536;0.434832;0.758269;0.417829;0.715221;0.425957;0.670467;0.441601;0.634775;0.452104;0.603558;0.462657;0.663963;0.479044;0.612269;0.487051;0.583462;0.493783;0.561854;0.478759;0.680015;0.491439;0.622859;0.494994;0.59489;0.497949;0.575621;0.485401;0.695755;0.495538;0.643913;0.497705;0.616463;0.49725;0.598182;0.48673;0.708763;0.494317;0.668507;0.494972;0.645009;0.493667;0.627995
