face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.475837;0.196665;0.711826;0.918187;0.744193;0.936571;0.762633;0.965143;0.772113;0.996675;0.77513;1.02226;0.753919;0.988074;0.762659;1.03945;0.764631;1.07313;0.766334;1.09564;0.733225;0.996389;0.738028;1.05442;0.740114;1.08189;0.742464;1.09665;0.712655;0.999206;0.715634;1.05449;0.718941;1.06747;0.721618;1.0689;0.693632;0.999162;0.696885;1.04623;0.701371;1.0597;0.704343;1.06371
0.476364;0.196274;0.70602;0.851293;0.735252;0.874315;0.750277;0.902907;0.759123;0.932465;0.768241;0.958391;0.753225;0.943605;0.764218;0.974164;0.762286;0.963957;0.755706;0.947493;0.742179;0.955894;0.751713;0.985516;0.748256;0.969324;0.74359;0.946073;0.727026;0.961914;0.737824;0.993551;0.733925;0.974888;0.728916;0.953935;0.709022;0.96403;0.718804;0.994784;0.719589;0.981923;0.717797;0.962647
0.472603;0.210597;0.702015;0.818939;0.725845;0.805927;0.746387;0.810363;0.755694;0.83383;0.758623;0.866613;0.755479;0.87756;0.766106;0.897204;0.757022;0.878317;0.747288;0.859978;0.741171;0.899959;0.750137;0.922772;0.739917;0.89237;0.731236;0.870931;0.723236;0.915672;0.731993;0.938787;0.723692;0.908717;0.715853;0.887266;0.704386;0.92415;0.710416;0.945867;0.707697;0.924821;0.704898;0.904436;0.307642;0.831078;0.346095;0.836521;0.365884;0.862676;0.370904;0.899198;0.372005;0.934166;0.342207;0.908749;0.352747;0.95152;0.354812;0.947765;0.35317;0.937122;0.322674;0.923668;0.334339;0.967925;0.338416;0.95669;0.337391;0.943612;0.307323;0.932262;0.3172;0.976441;0.322801;0.964356;0.320303;0.948236;0.295266;0.934611;0.302421;0.970227;0.307702;0.966025;0.307538;0.952235
0.466936;0.21417;0.725947;0.882159;0.693809;0.880962;0.676265;0.871972;0.673021;0.850778;0.67685;0.822687;0.699018;0.890497;0.690877;0.86625;0.689215;0.831335;0.687842;0.803619;0.721853;0.88128;0.719433;0.84606;0.713314;0.804183;0.707194;0.774485;0.741732;0.866942;0.74397;0.834662;0.73758;0.793745;0.72944;0.762015;0.756894;0.850941;0.760159;0.814701;0.755698;0.788953;0.749279;0.768593
0.480965;0.218352;0.710814;0.83665;0.677698;0.827249;0.661424;0.805831;0.658572;0.781855;0.659272;0.7606;0.683063;0.81427;0.680992;0.774261;0.679021;0.739965;0.673888;0.711196;0.708633;0.802606;0.708391;0.756492;0.701587;0.717166;0.692928;0.68356;0.728902;0.793781;0.728912;0.745889;0.722656;0.709688;0.716198;0.678536;0.743515;0.788029;0.743838;0.74803;0.738758;0.718365;0.733463;0.693956
0.470978;0.236891;0.351246;0.670527;0.340705;0.641177;0.342024;0.622161;0.344646;0.617057;0.346558;0.619324;0.361244;0.589438;0.369691;0.553059;0.368877;0.550637;0.367841;0.555734;0.37511;0.595275;0.382698;0.55333;0.380044;0.558798;0.378943;0.567185;0.385478;0.60693;0.389118;0.579622;0.383564;0.586947;0.38098;0.597053;0.392087;0.62125;0.394264;0.601425;0.389654;0.6063;0.387249;0.614526;0.705003;0.828594;0.695237;0.796328;0.68832;0.761611;0.681512;0.733656;0.675581;0.711187;0.698499;0.738381;0.693966;0.698443;0.692176;0.668866;0.689906;0.644287;0.700215;0.735716;0.698435;0.688756;0.695465;0.65565;0.691607;0.628187;0.69903;0.738805;0.696766;0.691821;0.693476;0.66095;0.690843;0.632411;0.695063;0.747003;0.692522;0.708449;0.689938;0.682829;0.689323;0.658393
0.467935;0.236765;0.351884;0.656963;0.365713;0.632345;0.371917;0.605295;0.378626;0.586731;0.383397;0.574389;0.363713;0.588663;0.373283;0.56716;0.379947;0.555879;0.386713;0.548285;0.358723;0.596058;0.370062;0.571849;0.376822;0.556544;0.384001;0.544798;0.354286;0.607623;0.364664;0.584718;0.370566;0.572759;0.377232;0.563851;0.348993;0.623127;0.357853;0.605391;0.36116;0.595223;0.365433;0.589089;0.711434;0.8151;0.70953;0.773453;0.700903;0.739462;0.690171;0.715873;0.681711;0.698916;0.709149;0.721834;0.701877;0.696888;0.698318;0.681492;0.696656;0.66903;0.700971;0.730531;0.696274;0.702968;0.690298;0.684413;0.687307;0.668371;0.69181;0.742226;0.686771;0.715712;0.680617;0.698402;0.677876;0.683985;0.681385;0.75645;0.677593;0.732159;0.671607;0.715115;0.668377;0.700974
0.467729;0.25043;0.355027;0.652785;0.369241;0.624027;0.374031;0.599254;0.377148;0.579268;0.379783;0.562854;0.367612;0.590134;0.368115;0.568084;0.368632;0.553225;0.36893;0.539131;0.361309;0.594948;0.361091;0.570909;0.361619;0.555399;0.361967;0.541153;0.355561;0.60316;0.356951;0.580247;0.356911;0.566236;0.355599;0.55384;0.349692;0.614658;0.350234;0.595651;0.350116;0.585682;0.348689;0.577086;0.707651;0.803908;0.6925;0.766675;0.683618;0.732073;0.678634;0.710692;0.674683;0.694342;0.688238;0.728908;0.680324;0.699168;0.674387;0.67677;0.669865;0.654254;0.693821;0.73769;0.685202;0.710905;0.677794;0.686824;0.67097;0.662562;0.698562;0.749709;0.691436;0.723769;0.684806;0.702383;0.678999;0.681338;0.703561;0.764433;0.699012;0.745774;0.692442;0.733673;0.686009;0.721291
0.469958;0.259668;0.705344;0.788516;0.679621;0.772959;0.669355;0.753274;0.667943;0.738053;0.665268;0.724673;0.686652;0.749806;0.679415;0.722348;0.67541;0.703874;0.672259;0.686433;0.698857;0.746527;0.693667;0.728231;0.690086;0.710079;0.686326;0.689253;0.707946;0.74988;0.704326;0.735956;0.701075;0.723386;0.698487;0.709126;0.714383;0.755956;0.711305;0.7464;0.708469;0.742017;0.705957;0.736932
0.472319;0.260985;0.676543;0.538117;0.69598;0.508261;0.696558;0.482948;0.688928;0.461023;0.681607;0.447081;0.698297;0.489266;0.690606;0.444633;0.681054;0.408686;0.673285;0.381696;0.684794;0.497964;0.676223;0.439533;0.668152;0.39406;0.66148;0.358071;0.668923;0.506394;0.661484;0.449079;0.65369;0.406348;0.648066;0.37307;0.653476;0.512704;0.649668;0.47106;0.643921;0.44244;0.638369;0.419112;0.361141;0.493019;0.339272;0.427596;0.346536;0.378834;0.365457;0.344303;0.381845;0.324138;0.375283;0.34795;0.394113;0.305199;0.394157;0.308971;0.391688;0.320552;0.394422;0.364116;0.408289;0.325708;0.404719;0.32897;0.399289;0.337467;0.406724;0.384357;0.413814;0.35293;0.407705;0.351549;0.40081;0.359761;0.414936;0.406215;0.414911;0.378229;0.410011;0.372742;0.406281;0.376262
