face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.469163;0.204739;0.717007;0.856967;0.705653;0.898415;0.70572;0.940352;0.708831;0.972643;0.711815;0.994923;0.702522;0.939583;0.702887;0.972127;0.706866;0.985457;0.712546;0.995836;0.710629;0.927394;0.716875;0.954092;0.723107;0.964868;0.726786;0.975259;0.718912;0.912265;0.726059;0.940937;0.732256;0.945077;0.734241;0.94622;0.728215;0.896722;0.734324;0.923507;0.740538;0.931982;0.743801;0.935045
0.470241;0.218174;0.705978;0.846993;0.687824;0.891236;0.682991;0.936228;0.69058;0.972211;0.694068;1.00334;0.693312;0.96688;0.706412;0.989873;0.707696;0.975171;0.705636;0.965124;0.711017;0.958531;0.727512;0.977864;0.726583;0.961325;0.721691;0.952668;0.727859;0.945252;0.743188;0.966899;0.741866;0.950121;0.736574;0.939206;0.743711;0.928526;0.756739;0.946125;0.755386;0.938024;0.751395;0.934215
0.470069;0.220385;0.731947;0.949911;0.751806;0.922495;0.760108;0.892886;0.757549;0.864756;0.748739;0.844736;0.750467;0.922242;0.742943;0.893337;0.729626;0.866533;0.717121;0.844045;0.730515;0.940172;0.719289;0.912495;0.705704;0.882404;0.697517;0.859815;0.711318;0.955129;0.698933;0.933486;0.688683;0.905376;0.682937;0.881803;0.695134;0.965585;0.682163;0.94666;0.676123;0.926393;0.674247;0.90728
0.468522;0.228125;0.313635;0.793468;0.335814;0.841791;0.343995;0.879932;0.346166;0.902301;0.346159;0.916825;0.299469;0.891475;0.302783;0.92449;0.312302;0.912906;0.317988;0.898456;0.280172;0.872607;0.287214;0.908024;0.300939;0.895095;0.307088;0.879204;0.269379;0.852003;0.277411;0.881418;0.292068;0.8699;0.298911;0.852234;0.264581;0.831046;0.270873;0.851776;0.283849;0.842591;0.290424;0.829599;0.71664;0.910952;0.685451;0.905952;0.663429;0.884721;0.651366;0.86091;0.647797;0.840856;0.692298;0.889027;0.680164;0.833379;0.67309;0.798045;0.667989;0.773856;0.713862;0.884283;0.698109;0.822774;0.687004;0.785118;0.678266;0.762388;0.730951;0.878368;0.71741;0.822047;0.704851;0.784768;0.693365;0.761196;0.743625;0.872106;0.738403;0.825286;0.730276;0.794887;0.719207;0.771726
0.462313;0.24099;0.327555;0.791544;0.335277;0.840993;0.325403;0.87411;0.312456;0.886997;0.302629;0.892592;0.295742;0.89353;0.291146;0.909437;0.298146;0.898399;0.303288;0.891347;0.288118;0.873417;0.290604;0.878353;0.299633;0.863855;0.303795;0.856399;0.287359;0.848875;0.292945;0.847661;0.304174;0.836634;0.310096;0.829668;0.287491;0.824278;0.291865;0.821471;0.302306;0.813514;0.30816;0.807266;0.713531;0.91798;0.676478;0.887468;0.659774;0.856089;0.653829;0.826647;0.646992;0.804402;0.675438;0.857553;0.668614;0.816349;0.663404;0.784976;0.658316;0.755455;0.697031;0.849249;0.690456;0.807767;0.683004;0.772241;0.67672;0.73912;0.716858;0.842767;0.711214;0.799707;0.70544;0.763759;0.699735;0.732307;0.733847;0.838693;0.731469;0.80086;0.728432;0.772491;0.724621;0.748125
0.459607;0.260943;0.316829;0.807446;0.325789;0.858286;0.322148;0.8793;0.315515;0.881814;0.310293;0.881307;0.298006;0.897346;0.308111;0.890348;0.317428;0.874551;0.320923;0.859639;0.288907;0.878156;0.304079;0.869269;0.312301;0.855268;0.313217;0.842492;0.285578;0.854259;0.300467;0.845104;0.311014;0.833444;0.312981;0.822677;0.283808;0.832705;0.297779;0.825295;0.308847;0.815143;0.311758;0.804542;0.717874;0.899955;0.681167;0.879025;0.66107;0.852331;0.655661;0.822701;0.65477;0.799613;0.678341;0.860895;0.666326;0.81484;0.658403;0.78091;0.652771;0.749648;0.70071;0.848639;0.687571;0.806621;0.675758;0.769948;0.666329;0.735593;0.718339;0.836962;0.703833;0.794536;0.692853;0.761947;0.684661;0.734036;0.730765;0.826545;0.720275;0.791556;0.712835;0.767769;0.706909;0.74753
0.460048;0.259529;0.312479;0.84065;0.305362;0.857498;0.301581;0.864911;0.302004;0.860992;0.304306;0.860563;0.29082;0.876908;0.293768;0.866651;0.297134;0.865942;0.29989;0.865286;0.29482;0.870082;0.297858;0.853395;0.299285;0.845583;0.299126;0.843678;0.300183;0.859484;0.305267;0.844005;0.308864;0.83514;0.310453;0.830388;0.303809;0.851898;0.307679;0.839993;0.311946;0.82724;0.31405;0.819006;0.71185;0.887697;0.68469;0.868716;0.669618;0.83916;0.666198;0.812008;0.665624;0.793771;0.687068;0.831432;0.677521;0.79294;0.672122;0.76663;0.669143;0.744133;0.702002;0.833077;0.691665;0.800336;0.684999;0.773916;0.680853;0.751345;0.71363;0.83737;0.702481;0.806278;0.693739;0.78361;0.6883;0.765751;0.721698;0.842498;0.712175;0.814719;0.702782;0.797576;0.695782;0.783438
0.460263;0.256466;0.712955;0.871823;0.687997;0.87212;0.673891;0.852833;0.669115;0.82941;0.666953;0.814176;0.681743;0.835662;0.672562;0.815262;0.663472;0.794423;0.656288;0.772997;0.695881;0.827128;0.685096;0.804897;0.675091;0.78392;0.668549;0.762691;0.708822;0.823665;0.698318;0.801423;0.690408;0.784755;0.685817;0.76585;0.72072;0.823901;0.716054;0.801746;0.71159;0.787433;0.708365;0.771489
0.464554;0.27868;0.674847;0.654137;0.688506;0.599327;0.688699;0.559851;0.681108;0.527608;0.669052;0.50633;0.69799;0.55179;0.685937;0.49831;0.673387;0.462632;0.66182;0.435266;0.682647;0.558389;0.668359;0.497502;0.652959;0.455326;0.640416;0.421899;0.663392;0.566973;0.65053;0.505083;0.636209;0.465277;0.62405;0.434953;0.641885;0.574269;0.634225;0.521973;0.625188;0.487326;0.616312;0.457792;0.355387;0.571194;0.348605;0.515414;0.362855;0.478961;0.38273;0.458235;0.39685;0.442895;0.384717;0.459197;0.403646;0.425663;0.40274;0.421999;0.399188;0.428183;0.396781;0.479526;0.413999;0.449956;0.41004;0.44359;0.404184;0.442898;0.402336;0.503814;0.415321;0.475378;0.409964;0.46874;0.404129;0.469207;0.405116;0.525777;0.413357;0.502038;0.410953;0.492689;0.408097;0.490661
0.467693;0.28086;0.671384;0.64479;0.68358;0.590213;0.680021;0.547964;0.668096;0.515562;0.655989;0.492821;0.688549;0.531925;0.676542;0.47925;0.66446;0.446664;0.652606;0.421982;0.672823;0.535943;0.661189;0.478075;0.646321;0.44;0.633528;0.410197;0.654278;0.542863;0.642799;0.486793;0.63143;0.44979;0.621665;0.421293;0.634801;0.550131;0.627075;0.502678;0.620399;0.470673;0.613294;0.443086;0.355197;0.563409;0.355548;0.504803;0.368676;0.459642;0.387108;0.430441;0.403512;0.40784;0.363509;0.46649;0.386388;0.434199;0.399639;0.415967;0.408059;0.404662;0.373253;0.485862;0.398639;0.451662;0.409398;0.432627;0.414411;0.419222;0.381573;0.504674;0.402899;0.469863;0.409339;0.45236;0.411411;0.441711;0.388825;0.522539;0.403427;0.494601;0.408176;0.477005;0.410487;0.46525
