face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.426137;0.414443;0.466863;0.817822;0.467139;0.845521;0.474575;0.87299;0.485606;0.872565;0.486624;0.865825;0.497302;0.885748;0.517906;0.906901;0.508602;0.891267;0.497357;0.874949;0.501418;0.866613;0.526717;0.887718;0.507659;0.870149;0.49292;0.858561;0.501057;0.844705;0.515856;0.856527;0.495877;0.841941;0.481991;0.835823;0.500176;0.824134;0.510057;0.827789;0.493449;0.817786;0.481106;0.814625;0.30016;0.812298;0.335092;0.802835;0.355077;0.783075;0.359449;0.766624;0.363665;0.76121;0.347185;0.74643;0.358982;0.72136;0.351797;0.732135;0.345661;0.744397;0.328134;0.749173;0.338983;0.731858;0.334733;0.751269;0.334035;0.765661;0.310176;0.758832;0.318732;0.748931;0.314053;0.766111;0.313232;0.780592;0.293549;0.768717;0.300742;0.76344;0.298724;0.777006;0.298405;0.788499
0.426153;0.414771;0.488906;0.827708;0.482675;0.853344;0.487277;0.867085;0.492061;0.871011;0.496048;0.872312;0.493101;0.887287;0.501987;0.894426;0.503021;0.892152;0.501548;0.888555;0.50182;0.87645;0.510563;0.884325;0.511316;0.882585;0.510389;0.880244;0.508118;0.863809;0.513624;0.867901;0.512416;0.865222;0.509642;0.863046;0.51308;0.85039;0.515689;0.853269;0.514772;0.851413;0.512687;0.848883;0.298716;0.796009;0.296495;0.764547;0.308559;0.743675;0.322776;0.730963;0.334647;0.724866;0.31447;0.731718;0.330961;0.719772;0.345887;0.714614;0.355056;0.713855;0.322353;0.74276;0.342632;0.732655;0.356224;0.726652;0.363385;0.7225;0.329555;0.757512;0.347502;0.745609;0.357347;0.74026;0.361169;0.736768;0.336683;0.774117;0.35229;0.763199;0.357778;0.758225;0.359421;0.755904
0.426466;0.413114;0.491179;0.832434;0.497427;0.858649;0.502842;0.872344;0.506083;0.875175;0.508376;0.876303;0.499008;0.87867;0.508028;0.878448;0.510535;0.874675;0.511494;0.871422;0.498536;0.86725;0.508114;0.864753;0.511335;0.861018;0.51278;0.859351;0.499555;0.853494;0.507431;0.847613;0.510085;0.842292;0.510624;0.839519;0.500389;0.840183;0.506709;0.834573;0.509987;0.829258;0.51064;0.826506;0.310637;0.784675;0.323223;0.76857;0.330035;0.7546;0.334418;0.744068;0.338956;0.73334;0.333308;0.740906;0.341543;0.727115;0.349474;0.715677;0.356289;0.704442;0.328937;0.742657;0.338994;0.726402;0.346976;0.713936;0.353402;0.700979;0.323465;0.745946;0.332149;0.728641;0.339064;0.716575;0.345148;0.703847;0.316864;0.750838;0.32247;0.737273;0.326859;0.728021;0.331128;0.719265
0.425081;0.418391;0.493624;0.836111;0.500998;0.847064;0.502739;0.857158;0.502315;0.864161;0.500284;0.871859;0.503546;0.862132;0.508467;0.863697;0.508077;0.861724;0.50706;0.860425;0.499751;0.859794;0.505217;0.860075;0.50503;0.858343;0.504554;0.858534;0.4964;0.856138;0.501557;0.857187;0.502324;0.85376;0.501625;0.851813;0.493659;0.852386;0.497696;0.854479;0.498314;0.850963;0.497736;0.848076
0.425721;0.413063;0.282707;0.746051;0.28083;0.710948;0.292766;0.672769;0.312467;0.647612;0.327605;0.636726;0.268115;0.652821;0.302643;0.626789;0.323608;0.624351;0.33689;0.623837;0.277488;0.666891;0.315807;0.632893;0.337669;0.624506;0.351575;0.61862;0.294008;0.68195;0.32837;0.648002;0.348895;0.635705;0.362127;0.628215;0.313269;0.696042;0.337514;0.667514;0.350329;0.653799;0.3585;0.644215;0.510684;0.785743;0.529863;0.758211;0.535693;0.717755;0.525811;0.687518;0.515026;0.669365;0.552542;0.710944;0.529389;0.667214;0.512447;0.644703;0.500975;0.629937;0.538813;0.722945;0.513339;0.670423;0.496588;0.64405;0.484609;0.62557;0.520381;0.735992;0.495506;0.68269;0.479799;0.657418;0.468969;0.64034;0.499821;0.746205;0.483079;0.703065;0.474412;0.684021;0.467271;0.670299
0.42885;0.40643;0.288929;0.743165;0.286536;0.702926;0.294851;0.661737;0.312118;0.632045;0.324808;0.617528;0.269189;0.637814;0.303491;0.613235;0.326436;0.610604;0.340409;0.61081;0.278717;0.649878;0.317907;0.619409;0.339933;0.610418;0.35363;0.604275;0.295651;0.66535;0.33043;0.630629;0.349563;0.618493;0.361437;0.612675;0.316533;0.680763;0.340528;0.649448;0.352704;0.633685;0.361188;0.623842;0.507556;0.782469;0.528109;0.746492;0.533739;0.697327;0.519899;0.657846;0.505362;0.637666;0.555952;0.699209;0.535298;0.65773;0.518989;0.635807;0.506486;0.619323;0.537574;0.708186;0.518764;0.656697;0.507146;0.629746;0.49857;0.609578;0.515118;0.715651;0.496615;0.663205;0.489764;0.636228;0.485247;0.616156;0.492406;0.720537;0.482524;0.675958;0.48001;0.653005;0.478019;0.634939
0.427124;0.406961;0.291673;0.740503;0.289711;0.695998;0.29751;0.654821;0.31439;0.624463;0.329485;0.607744;0.270253;0.627198;0.30392;0.598838;0.328363;0.596451;0.342495;0.599143;0.280899;0.63696;0.319275;0.605024;0.341277;0.600144;0.353112;0.598577;0.298882;0.652185;0.332646;0.617099;0.351344;0.606846;0.362311;0.603472;0.319697;0.667558;0.342196;0.635894;0.353364;0.620276;0.360697;0.610106;0.506285;0.776209;0.523342;0.738462;0.530255;0.690516;0.519703;0.651641;0.506903;0.628787;0.559516;0.691041;0.539839;0.647753;0.525838;0.62084;0.514499;0.598995;0.542609;0.698392;0.524911;0.645942;0.512939;0.615491;0.503438;0.592628;0.51951;0.7043;0.502887;0.650486;0.495655;0.620658;0.491115;0.600095;0.49443;0.707315;0.487665;0.66009;0.48571;0.634414;0.484528;0.615443
0.424251;0.40707;0.298033;0.739019;0.298939;0.692956;0.305405;0.65027;0.320485;0.620796;0.335411;0.603338;0.270088;0.622712;0.304156;0.590869;0.327793;0.585218;0.341821;0.585083;0.279181;0.629487;0.317496;0.591646;0.34037;0.583554;0.353682;0.580241;0.296625;0.640814;0.329448;0.601633;0.347984;0.59034;0.358317;0.586832;0.317171;0.65312;0.337995;0.620339;0.349227;0.605796;0.356775;0.596797;0.506501;0.768608;0.528159;0.735107;0.539244;0.693167;0.534448;0.65878;0.526121;0.639926;0.562429;0.686344;0.543872;0.638512;0.532612;0.610932;0.523823;0.589189;0.545756;0.691096;0.526408;0.634174;0.516403;0.601025;0.508337;0.575429;0.522825;0.694859;0.506476;0.640231;0.498752;0.607256;0.49317;0.582032;0.498205;0.694957;0.491346;0.648844;0.487686;0.621723;0.4849;0.598398
0.425477;0.408901;0.301237;0.737449;0.304553;0.687057;0.309443;0.641197;0.32289;0.607797;0.336643;0.585402;0.265836;0.621002;0.300623;0.582665;0.324154;0.573093;0.337193;0.570904;0.274146;0.628101;0.313307;0.583443;0.335699;0.574029;0.346958;0.570856;0.292335;0.638145;0.326228;0.59478;0.343023;0.583028;0.350543;0.578246;0.314456;0.648039;0.333983;0.61258;0.343921;0.596353;0.350086;0.585817;0.504268;0.763549;0.527985;0.72884;0.541606;0.688548;0.538611;0.655111;0.531264;0.635731;0.562064;0.684183;0.543362;0.630072;0.531286;0.602924;0.522013;0.583199;0.544332;0.691307;0.52555;0.628345;0.514848;0.594997;0.506177;0.56984;0.521087;0.69647;0.50504;0.635866;0.497035;0.602542;0.491143;0.577524;0.497001;0.698037;0.490532;0.648147;0.488087;0.621257;0.485957;0.598413
0.427374;0.406892;0.307986;0.740944;0.315336;0.686417;0.314156;0.634581;0.319216;0.596562;0.327215;0.570955;0.25792;0.628974;0.29095;0.584326;0.314784;0.569332;0.330061;0.56102;0.263883;0.636353;0.301014;0.582094;0.323994;0.563879;0.338751;0.551631;0.281577;0.642819;0.31595;0.589836;0.334385;0.57022;0.344928;0.556935;0.304855;0.647862;0.323613;0.604987;0.334097;0.586502;0.341451;0.571767;0.495526;0.76075;0.52032;0.728277;0.534221;0.685844;0.531076;0.649218;0.523088;0.628408;0.559969;0.689201;0.540024;0.631675;0.527058;0.604288;0.517555;0.584169;0.542351;0.69812;0.522521;0.631271;0.511463;0.59736;0.503205;0.571365;0.518665;0.702748;0.502291;0.637551;0.494368;0.604395;0.488464;0.579097;0.494229;0.702076;0.487443;0.647731;0.484987;0.621613;0.483194;0.598502
