face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.379046;0.42738;0.249015;0.932132;0.223838;0.957321;0.211833;0.962676;0.204948;0.974646;0.194756;0.989429;0.22498;0.93405;0.210222;0.954515;0.204312;0.975007;0.200935;0.997482;0.245471;0.928672;0.237371;0.963616;0.234852;0.998669;0.235325;1.03405;0.265504;0.928539;0.265496;0.972786;0.260875;1.01232;0.257608;1.04891;0.279923;0.930483;0.282814;0.968668;0.280307;0.996697;0.275589;1.02391
0.38;0.424674;0.25143;0.934738;0.27403;0.924166;0.287591;0.923524;0.297972;0.93858;0.304235;0.96029;0.264401;0.908157;0.266356;0.925475;0.276071;0.94677;0.283666;0.962865;0.243057;0.918885;0.243791;0.943861;0.254844;0.96507;0.259598;0.97682;0.226492;0.934165;0.223221;0.957662;0.233105;0.971844;0.240603;0.979913;0.215324;0.948951;0.212284;0.970431;0.216806;0.978265;0.221726;0.982783;0.253697;0.890292;0.258559;0.896577;0.266935;0.905884;0.261595;0.920028;0.253105;0.931712;0.263431;0.870478;0.26816;0.891086;0.273263;0.917658;0.274745;0.940249;0.254806;0.87543;0.257099;0.901709;0.262662;0.934833;0.265888;0.956589;0.24812;0.887391;0.24813;0.913849;0.252002;0.950896;0.25579;0.976922;0.242683;0.900762;0.238154;0.938567;0.237201;0.968991;0.238938;0.989024
0.380008;0.422854;0.265722;0.959293;0.283435;0.936945;0.29004;0.919758;0.29167;0.914292;0.292649;0.910927;0.268405;0.89324;0.269271;0.894586;0.273786;0.899544;0.277926;0.899867;0.252236;0.903068;0.253211;0.905927;0.257971;0.910743;0.26046;0.904672;0.238869;0.918853;0.239572;0.916427;0.244766;0.91891;0.246314;0.914563;0.226452;0.937447;0.220949;0.929711;0.217983;0.925994;0.212414;0.920272;0.237934;0.936135;0.257832;0.921481;0.2691;0.905599;0.275544;0.895357;0.278479;0.887363;0.255738;0.876327;0.264256;0.871273;0.265206;0.86826;0.265057;0.864692;0.244049;0.876912;0.263055;0.890747;0.268736;0.91033;0.269802;0.922938;0.23471;0.886528;0.252009;0.899569;0.255007;0.913302;0.253642;0.922344;0.227378;0.899053;0.237115;0.904483;0.236728;0.907016;0.233596;0.907471
0.383659;0.417163;0.254443;0.830458;0.280804;0.829945;0.299333;0.818624;0.316162;0.806585;0.331192;0.798656;0.2912;0.77631;0.298317;0.753932;0.299212;0.773933;0.300178;0.795987;0.269112;0.770296;0.265068;0.739021;0.265869;0.760763;0.270807;0.783512;0.24683;0.772645;0.237988;0.740403;0.237857;0.759437;0.243173;0.779105;0.228409;0.782018;0.213171;0.764964;0.212697;0.777329;0.221042;0.790884;0.480626;0.898941;0.434624;0.899595;0.400004;0.891759;0.373015;0.888772;0.359809;0.893309;0.409117;0.813744;0.381471;0.812761;0.369061;0.845926;0.363437;0.873849;0.43709;0.811691;0.413602;0.818879;0.400635;0.860197;0.394613;0.890142;0.46586;0.822205;0.447239;0.827574;0.432193;0.867776;0.421335;0.896312;0.493021;0.841265;0.484017;0.846218;0.470009;0.872186;0.457306;0.894374
0.387805;0.414827;0.249898;0.819728;0.281523;0.80982;0.303255;0.793851;0.322201;0.786735;0.333197;0.781111;0.285836;0.753304;0.298278;0.730875;0.302503;0.741084;0.303896;0.75812;0.263611;0.753532;0.263129;0.720491;0.265934;0.72041;0.269313;0.72712;0.241821;0.763534;0.234706;0.733168;0.237581;0.731484;0.242286;0.73359;0.222509;0.780288;0.208798;0.760636;0.208721;0.756739;0.214536;0.753995;0.496581;0.883099;0.449475;0.876284;0.40954;0.861508;0.381282;0.856936;0.366374;0.864222;0.428191;0.802522;0.402067;0.791517;0.38781;0.81861;0.380576;0.840065;0.452606;0.803547;0.42822;0.785774;0.411386;0.817716;0.400368;0.842837;0.478105;0.816817;0.463235;0.798389;0.445442;0.823545;0.433658;0.845586;0.502727;0.837657;0.497344;0.822284;0.486415;0.834684;0.476911;0.84956
0.389283;0.415775;0.247045;0.807216;0.282912;0.789731;0.3072;0.77206;0.327855;0.764446;0.341462;0.758071;0.289789;0.731214;0.303617;0.712658;0.308472;0.713157;0.310429;0.723111;0.268078;0.729463;0.270429;0.697687;0.272045;0.686044;0.273157;0.685101;0.246668;0.739448;0.242074;0.709272;0.243137;0.698788;0.246469;0.694585;0.226658;0.758042;0.215241;0.73952;0.212561;0.731224;0.214915;0.725111;0.512427;0.862341;0.461381;0.851362;0.420914;0.836841;0.391709;0.834361;0.371646;0.836372;0.439508;0.768693;0.415146;0.748249;0.396014;0.771753;0.384018;0.79761;0.461295;0.772028;0.442287;0.742597;0.422976;0.765239;0.408149;0.788335;0.483572;0.789372;0.47479;0.758111;0.455262;0.771059;0.43705;0.789872;0.504075;0.816763;0.503401;0.79887;0.494708;0.798725;0.481793;0.805164
0.387714;0.419243;0.249199;0.788594;0.282469;0.775837;0.307891;0.75832;0.32959;0.749628;0.344761;0.740458;0.294298;0.710295;0.310621;0.688297;0.313766;0.685022;0.31191;0.691164;0.271204;0.706444;0.27749;0.677602;0.278499;0.665935;0.277735;0.666457;0.248764;0.712954;0.247311;0.685742;0.247589;0.676669;0.249306;0.67605;0.228865;0.727073;0.220833;0.706676;0.218236;0.700028;0.219825;0.69844;0.51945;0.82883;0.473653;0.823415;0.436071;0.808161;0.405713;0.802658;0.378139;0.803367;0.44712;0.753638;0.42797;0.717033;0.406373;0.72497;0.390348;0.746269;0.469341;0.755061;0.457013;0.713741;0.435702;0.722164;0.417761;0.742478;0.492633;0.770881;0.488693;0.73233;0.469536;0.732109;0.449757;0.745013;0.51333;0.797274;0.51769;0.783284;0.507945;0.780884;0.49208;0.787603
0.386422;0.421115;0.253073;0.772629;0.284267;0.760799;0.310023;0.74564;0.328374;0.736568;0.347023;0.726851;0.296501;0.691276;0.307651;0.661506;0.312749;0.650469;0.316667;0.65007;0.273438;0.691431;0.275038;0.660499;0.275146;0.647942;0.277494;0.647202;0.252298;0.701976;0.247023;0.675649;0.247185;0.66653;0.252273;0.66556;0.234156;0.719479;0.222571;0.699147;0.220561;0.693552;0.224691;0.692821;0.525763;0.800084;0.476625;0.792527;0.443926;0.779847;0.414867;0.774779;0.387106;0.774817;0.45923;0.729254;0.443041;0.693799;0.423266;0.692642;0.402063;0.699765;0.48237;0.731303;0.472803;0.690698;0.45334;0.690432;0.432141;0.698353;0.505565;0.750844;0.503965;0.724167;0.487103;0.721685;0.468182;0.727159;0.525622;0.7827;0.528969;0.776331;0.517842;0.779888;0.502433;0.787139
0.388172;0.416798;0.254973;0.764356;0.286643;0.754279;0.31307;0.736206;0.330569;0.724894;0.348693;0.715565;0.300948;0.672571;0.311408;0.643978;0.318101;0.628722;0.32536;0.619142;0.279554;0.673838;0.27887;0.642139;0.281863;0.631506;0.287605;0.628728;0.259307;0.686616;0.251158;0.661371;0.255449;0.661246;0.263673;0.667118;0.241293;0.706814;0.226078;0.688901;0.229113;0.691559;0.237746;0.697624;0.539909;0.774663;0.487648;0.757773;0.453591;0.743512;0.426422;0.740295;0.400275;0.741515;0.474335;0.688274;0.452713;0.659439;0.427203;0.653082;0.402171;0.656425;0.495627;0.699576;0.476107;0.674095;0.445525;0.675384;0.41754;0.680062;0.514252;0.724661;0.490849;0.735908;0.468434;0.751425;0.45237;0.76353;0.526877;0.758816;0.50861;0.774188;0.4984;0.785994;0.490243;0.79618
0.388761;0.415212;0.25902;0.748871;0.287836;0.744009;0.31262;0.724894;0.328935;0.71342;0.346897;0.705832;0.303079;0.660817;0.312073;0.63114;0.315657;0.610839;0.316596;0.597032;0.280011;0.658345;0.276509;0.625267;0.277655;0.620422;0.278603;0.622733;0.259179;0.667769;0.255902;0.658326;0.263298;0.682524;0.269569;0.701802;0.241503;0.685048;0.234837;0.682906;0.241323;0.70466;0.247571;0.720184;0.542583;0.760972;0.496088;0.74466;0.460678;0.728122;0.431478;0.719425;0.406549;0.717898;0.475725;0.674724;0.455545;0.65465;0.432802;0.642341;0.41064;0.634947;0.495571;0.679998;0.475719;0.675439;0.447524;0.687569;0.424225;0.70061;0.514965;0.701961;0.493541;0.724642;0.467874;0.749023;0.447283;0.769765;0.531086;0.733944;0.509971;0.753247;0.491164;0.771393;0.476005;0.788098
