face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.466811;0.326673;0.651527;0.892418;0.680918;0.908001;0.688494;0.932381;0.685898;0.956226;0.680763;0.974731;0.666837;0.894426;0.660293;0.930619;0.652673;0.970915;0.646849;1.00559;0.63892;0.886007;0.623095;0.938524;0.613745;0.995208;0.608855;1.03689;0.614943;0.88084;0.592796;0.930621;0.583365;0.988467;0.581747;1.0302;0.596479;0.879274;0.582949;0.921731;0.575343;0.962697;0.57169;0.999071
0.467265;0.326083;0.304783;0.904151;0.356572;0.911624;0.392002;0.903932;0.414253;0.91483;0.436388;0.930238;0.39347;0.819664;0.423432;0.829951;0.432977;0.873823;0.429867;0.915988;0.366033;0.807068;0.393876;0.803878;0.402312;0.861844;0.401076;0.907401;0.335338;0.809225;0.35391;0.796826;0.363118;0.851301;0.36233;0.893386;0.304316;0.822729;0.313876;0.829999;0.321606;0.873576;0.32482;0.90589;0.605992;0.878611;0.646485;0.902711;0.681212;0.917094;0.705126;0.937672;0.717479;0.955683;0.714953;0.870977;0.739617;0.883792;0.736705;0.922112;0.730668;0.956669;0.68248;0.847675;0.699483;0.867066;0.693239;0.911756;0.689138;0.94409;0.644289;0.838103;0.649786;0.868826;0.643228;0.913266;0.640256;0.945931;0.606417;0.842503;0.603877;0.870406;0.599981;0.904018;0.597579;0.93372
0.468678;0.325406;0.316072;0.87473;0.365072;0.884639;0.399404;0.882191;0.42371;0.894988;0.441081;0.915509;0.395795;0.802758;0.4217;0.806103;0.428532;0.845903;0.422192;0.887112;0.371012;0.793068;0.389322;0.784342;0.394045;0.836127;0.391231;0.881608;0.341418;0.797418;0.350627;0.786179;0.35729;0.835464;0.356594;0.87381;0.313225;0.809078;0.314455;0.807052;0.321623;0.841969;0.32729;0.870857;0.589049;0.867187;0.637106;0.906355;0.673383;0.928283;0.694883;0.947157;0.703465;0.976539;0.702869;0.864744;0.726982;0.892091;0.720944;0.937031;0.710714;0.966184;0.679843;0.837768;0.700004;0.871856;0.688686;0.924793;0.676647;0.956726;0.648353;0.825056;0.652237;0.860008;0.63923;0.906154;0.628883;0.934388;0.613012;0.820973;0.603646;0.856065;0.595099;0.888836;0.589287;0.908961
0.470059;0.32575;0.316819;0.857221;0.365242;0.86559;0.401191;0.860249;0.425499;0.868037;0.447187;0.887683;0.396399;0.791889;0.422817;0.790574;0.434069;0.825845;0.43097;0.861198;0.373911;0.784584;0.397716;0.77444;0.406903;0.82266;0.403891;0.866828;0.344284;0.78833;0.359752;0.773323;0.371125;0.819706;0.371603;0.859021;0.313906;0.797305;0.318778;0.789325;0.33074;0.820546;0.338644;0.850291;0.595372;0.834091;0.6341;0.891037;0.660354;0.924886;0.672952;0.947852;0.672143;0.964109;0.70125;0.84762;0.720763;0.872141;0.722845;0.912651;0.717934;0.949794;0.680946;0.811651;0.692295;0.849073;0.681405;0.896549;0.667685;0.937805;0.648828;0.794569;0.638643;0.841937;0.619678;0.897558;0.604477;0.94523;0.611519;0.788653;0.591102;0.830124;0.577956;0.871791;0.569026;0.908272
0.468843;0.326669;0.321614;0.833513;0.372911;0.842479;0.407233;0.840312;0.427129;0.847124;0.449595;0.862878;0.39524;0.760883;0.419226;0.767572;0.440283;0.785947;0.451599;0.80675;0.370359;0.752488;0.398931;0.764523;0.414592;0.814621;0.423568;0.857087;0.342844;0.760242;0.364353;0.779307;0.376622;0.831064;0.381228;0.867491;0.316421;0.778071;0.329167;0.800221;0.342346;0.834959;0.351109;0.859934;0.618495;0.814875;0.651495;0.867408;0.66944;0.90342;0.671974;0.934477;0.665178;0.959635;0.697028;0.830712;0.709091;0.849222;0.704724;0.886696;0.697486;0.923261;0.674361;0.797418;0.675711;0.837078;0.662226;0.888269;0.652075;0.931383;0.64362;0.78426;0.627557;0.83753;0.614528;0.889161;0.606841;0.933721;0.608436;0.78395;0.584803;0.824703;0.575167;0.859806;0.572605;0.894381
0.470659;0.325382;0.324466;0.828127;0.376761;0.828483;0.406694;0.823606;0.421986;0.829162;0.437482;0.838884;0.405638;0.749848;0.434936;0.76751;0.449094;0.804209;0.4506;0.839169;0.377519;0.744134;0.408582;0.754595;0.419634;0.810694;0.422493;0.854839;0.346657;0.752509;0.36961;0.76342;0.38231;0.815341;0.38745;0.853943;0.316589;0.768955;0.332405;0.781594;0.346309;0.817517;0.355341;0.845275;0.674139;0.795083;0.641495;0.810633;0.617884;0.835998;0.599906;0.862909;0.587754;0.887872;0.632245;0.797161;0.61013;0.822094;0.595459;0.859538;0.585813;0.893839;0.659995;0.799209;0.642847;0.846967;0.632254;0.900887;0.62566;0.942762;0.681119;0.811494;0.669793;0.867739;0.659704;0.915076;0.649125;0.947178;0.69547;0.829395;0.691873;0.87144;0.69228;0.896006;0.692257;0.913774
0.471526;0.326203;0.326623;0.833149;0.377608;0.833437;0.412024;0.828695;0.431918;0.84207;0.449149;0.862006;0.412068;0.760731;0.444777;0.781327;0.451558;0.821519;0.4496;0.852673;0.384025;0.753459;0.416701;0.758057;0.426054;0.808616;0.428811;0.845117;0.351926;0.758097;0.374503;0.753154;0.390695;0.794809;0.398893;0.82443;0.319295;0.77133;0.329546;0.767552;0.343689;0.792482;0.353282;0.811935;0.636151;0.814566;0.666266;0.838081;0.686583;0.867729;0.694426;0.894636;0.699275;0.918903;0.688332;0.818054;0.694437;0.848027;0.686862;0.884883;0.679323;0.924054;0.662206;0.796827;0.660917;0.868307;0.650772;0.931952;0.645884;0.98442;0.634693;0.79051;0.628813;0.869484;0.623586;0.912749;0.623906;0.937423;0.609556;0.793742;0.606402;0.850043;0.607939;0.873997;0.613923;0.887914
0.472647;0.326485;0.333445;0.823276;0.38421;0.834605;0.414931;0.842321;0.436441;0.871391;0.450266;0.906993;0.414847;0.776994;0.44444;0.779872;0.452057;0.818773;0.450972;0.855789;0.386633;0.763785;0.413597;0.743892;0.4236;0.785429;0.427831;0.821585;0.354611;0.764457;0.373138;0.741826;0.38628;0.777377;0.393263;0.804397;0.323621;0.775367;0.3296;0.77189;0.342474;0.795919;0.353317;0.816094;0.637285;0.812609;0.652226;0.834307;0.659625;0.865121;0.657803;0.898622;0.650394;0.931396;0.679818;0.815042;0.680154;0.852242;0.684003;0.880701;0.684548;0.90745;0.666452;0.799117;0.663626;0.853839;0.650974;0.903384;0.637059;0.938794;0.647071;0.794272;0.635855;0.850251;0.63051;0.892302;0.626577;0.920191;0.626309;0.798437;0.61719;0.845991;0.615357;0.877546;0.614395;0.900175
0.472948;0.326309;0.341592;0.819688;0.384018;0.837571;0.415964;0.848887;0.437649;0.875872;0.451868;0.904714;0.424829;0.782144;0.448414;0.7825;0.455589;0.819958;0.455912;0.860948;0.397401;0.766195;0.418297;0.751946;0.425704;0.794137;0.429313;0.833723;0.365357;0.764206;0.37978;0.744497;0.389309;0.783353;0.395315;0.816765;0.333759;0.772443;0.334765;0.77253;0.341593;0.800715;0.35046;0.82332;0.613951;0.825751;0.63764;0.857742;0.651953;0.881612;0.653938;0.898003;0.65184;0.909847;0.675128;0.826722;0.68297;0.840843;0.688684;0.854785;0.68965;0.868228;0.660169;0.802379;0.662824;0.838901;0.653397;0.868684;0.645123;0.889385;0.638867;0.789769;0.631158;0.838359;0.623689;0.871952;0.618417;0.893384;0.616975;0.786721;0.612481;0.827825;0.608156;0.855519;0.604311;0.875451
0.472886;0.326524;0.347205;0.806701;0.386838;0.833843;0.420289;0.846204;0.442557;0.868416;0.457437;0.898717;0.422991;0.769304;0.441337;0.756607;0.450919;0.796699;0.45394;0.841081;0.390204;0.758236;0.404865;0.742257;0.409681;0.793173;0.411835;0.838919;0.355282;0.763381;0.359158;0.756508;0.365467;0.806723;0.371432;0.845466;0.324515;0.778126;0.317206;0.797171;0.322812;0.839094;0.333662;0.870706;0.609214;0.826156;0.630222;0.860994;0.650861;0.883153;0.658178;0.892591;0.661577;0.894896;0.669785;0.822608;0.680436;0.832691;0.68774;0.848047;0.69164;0.860377;0.659601;0.801513;0.667981;0.821926;0.662032;0.854511;0.657283;0.876472;0.643362;0.791516;0.642391;0.825682;0.636275;0.85955;0.63231;0.881393;0.625271;0.788731;0.61871;0.823677;0.615163;0.851362;0.612893;0.871705
