face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.46382;0.338515;0.64463;0.884719;0.664067;0.895152;0.674459;0.912526;0.67871;0.931158;0.683412;0.947331;0.668947;0.945018;0.678366;0.973438;0.684465;0.989458;0.689155;1.00368;0.658673;0.951559;0.666135;0.982469;0.671422;1.00136;0.675947;1.01842;0.64819;0.952952;0.652535;0.98342;0.65655;1.00361;0.659483;1.01877;0.63696;0.948967;0.638767;0.974088;0.640935;0.991012;0.641892;1.00344
0.465913;0.337848;0.201323;0.879994;0.268014;0.807484;0.297866;0.71708;0.304649;0.642591;0.31182;0.580913;0.260789;0.645058;0.268776;0.597785;0.277355;0.566508;0.286116;0.545218;0.216729;0.642892;0.224917;0.599962;0.24208;0.596166;0.254457;0.595232;0.180069;0.665088;0.205907;0.663807;0.22298;0.714715;0.224845;0.739186;0.14976;0.701941;0.184775;0.714179;0.205712;0.747456;0.208922;0.760212;0.646373;0.903046;0.668905;0.903631;0.683643;0.892722;0.693583;0.882848;0.703107;0.876129;0.665361;0.853597;0.672782;0.822123;0.680586;0.804194;0.689943;0.789144;0.652067;0.842898;0.662278;0.811411;0.674137;0.791067;0.687104;0.772468;0.642063;0.840042;0.651217;0.809379;0.662761;0.791239;0.675948;0.774756;0.633681;0.840185;0.640162;0.813761;0.646211;0.795609;0.655126;0.777862
0.466779;0.338475;0.222889;0.855068;0.286421;0.778299;0.316961;0.684789;0.317997;0.609608;0.318726;0.53853;0.280779;0.617315;0.288296;0.56924;0.300282;0.534336;0.310618;0.506918;0.240202;0.617452;0.249053;0.571953;0.263146;0.578914;0.271362;0.574043;0.205817;0.638332;0.230909;0.632358;0.244098;0.685;0.243648;0.696864;0.176823;0.667342;0.213497;0.681518;0.22842;0.719705;0.224815;0.725624;0.662576;0.898652;0.673797;0.882223;0.678213;0.86307;0.681414;0.849539;0.685791;0.839906;0.669327;0.842295;0.671009;0.819422;0.671834;0.802242;0.673375;0.786523;0.661928;0.841946;0.66172;0.817622;0.663267;0.797263;0.666773;0.777416;0.655575;0.845664;0.653095;0.823966;0.656024;0.807302;0.660216;0.791134;0.648689;0.851524;0.64752;0.832188;0.649478;0.820266;0.652446;0.809473
0.466721;0.338258;0.232882;0.829886;0.303016;0.770727;0.329968;0.678364;0.321592;0.604488;0.309741;0.546178;0.310482;0.602443;0.325819;0.536042;0.33962;0.488581;0.352629;0.439974;0.265723;0.592744;0.267162;0.539593;0.272514;0.519951;0.275234;0.483715;0.229001;0.606608;0.262024;0.611077;0.27023;0.667977;0.262551;0.675418;0.199502;0.632274;0.239208;0.65112;0.247521;0.695802;0.2368;0.699857
0.468473;0.340541;0.262807;0.745981;0.318108;0.715114;0.342044;0.642478;0.324772;0.574086;0.307868;0.519638;0.330602;0.575987;0.353192;0.503105;0.369272;0.453903;0.381505;0.406521;0.287871;0.568597;0.295234;0.501984;0.300108;0.45049;0.301076;0.398691;0.249996;0.583663;0.276518;0.591641;0.283298;0.642585;0.27937;0.659937;0.220735;0.608663;0.249902;0.625557;0.260635;0.663375;0.2588;0.674987;0.680473;0.784317;0.639921;0.76868;0.622247;0.709943;0.643813;0.660187;0.665121;0.610891;0.626195;0.619605;0.606744;0.543297;0.594433;0.490737;0.583049;0.445813;0.665825;0.615369;0.679372;0.536125;0.69007;0.483497;0.702504;0.434767;0.698977;0.634838;0.694313;0.631301;0.678943;0.678152;0.67514;0.702992;0.724744;0.662966;0.713056;0.673371;0.694718;0.707942;0.685475;0.728905
0.474005;0.342684;0.277179;0.731752;0.330694;0.703664;0.354207;0.627582;0.34096;0.556441;0.328968;0.503387;0.344072;0.56865;0.368369;0.494952;0.384273;0.444825;0.395376;0.38977;0.301649;0.559283;0.30463;0.482213;0.300507;0.428427;0.293603;0.361516;0.265785;0.572765;0.289727;0.565233;0.298922;0.618419;0.297115;0.632738;0.23607;0.598006;0.263405;0.600844;0.275094;0.637729;0.273502;0.647509;0.676518;0.766261;0.634785;0.747478;0.615457;0.682101;0.639844;0.622576;0.663213;0.578893;0.619669;0.595989;0.598862;0.510014;0.582496;0.455987;0.56687;0.409385;0.662504;0.58916;0.679839;0.508165;0.692451;0.451243;0.705822;0.399994;0.697161;0.608429;0.686616;0.612739;0.6748;0.660277;0.674366;0.682947;0.724917;0.635725;0.707974;0.653108;0.693386;0.688302;0.688552;0.703537
0.47338;0.344961;0.292938;0.715092;0.344534;0.686063;0.367071;0.609737;0.352877;0.53887;0.342776;0.484433;0.361806;0.549458;0.386584;0.478853;0.405241;0.429807;0.421325;0.375912;0.317408;0.541282;0.316078;0.462756;0.311498;0.408745;0.304714;0.340006;0.280314;0.556573;0.303774;0.545721;0.31418;0.599458;0.311507;0.611522;0.250019;0.582906;0.278341;0.582947;0.290596;0.621123;0.287399;0.629644;0.675116;0.747952;0.632712;0.725709;0.611218;0.657824;0.634165;0.597704;0.658387;0.557509;0.616367;0.570143;0.592821;0.482596;0.577493;0.428149;0.563785;0.381349;0.65935;0.565616;0.676306;0.48436;0.68935;0.425298;0.70363;0.372997;0.692632;0.587652;0.681124;0.592912;0.667441;0.638812;0.666071;0.660379;0.718592;0.616914;0.700872;0.632683;0.685079;0.664666;0.678732;0.677998
0.468006;0.342256;0.305678;0.698666;0.357527;0.672657;0.380759;0.597712;0.366165;0.525059;0.35588;0.469199;0.373408;0.538308;0.397986;0.461096;0.414802;0.40941;0.427767;0.354455;0.3304;0.529377;0.331025;0.442457;0.325635;0.381286;0.317985;0.307963;0.293698;0.543478;0.318269;0.53089;0.32859;0.583984;0.326457;0.596342;0.263417;0.568486;0.291756;0.564744;0.303397;0.601818;0.30113;0.611231;0.665587;0.730597;0.624212;0.703055;0.605249;0.634306;0.628777;0.57504;0.653517;0.536427;0.61302;0.546216;0.588315;0.460808;0.572034;0.409007;0.558272;0.362648;0.654473;0.543667;0.672171;0.45993;0.686157;0.398026;0.702188;0.341961;0.686234;0.567898;0.672599;0.567524;0.657964;0.617187;0.657482;0.643369;0.710872;0.598933;0.692936;0.602784;0.676425;0.636312;0.670069;0.654512
0.468474;0.343864;0.318107;0.683967;0.371091;0.661499;0.394603;0.585465;0.380904;0.512765;0.37012;0.45702;0.385038;0.522142;0.40972;0.441339;0.424798;0.391442;0.433564;0.339438;0.342137;0.513236;0.342504;0.420107;0.338502;0.357904;0.330337;0.2865;0.305798;0.529312;0.332979;0.51317;0.343425;0.567878;0.339337;0.582025;0.276133;0.555894;0.307895;0.550735;0.319134;0.588608;0.315583;0.599415;0.661857;0.713977;0.619663;0.685581;0.599751;0.61544;0.622736;0.55798;0.645526;0.518816;0.604558;0.524844;0.580719;0.438631;0.567008;0.386977;0.554731;0.341896;0.644646;0.523815;0.661683;0.438699;0.673975;0.379529;0.686811;0.327608;0.676058;0.549326;0.664791;0.549715;0.651074;0.598267;0.650186;0.622652;0.700906;0.579341;0.686428;0.584342;0.670981;0.618202;0.665121;0.634884
0.458148;0.344692;0.330993;0.677639;0.383284;0.650694;0.406968;0.574635;0.389243;0.502286;0.37214;0.445862;0.392878;0.51352;0.410648;0.431536;0.422393;0.38284;0.429855;0.335029;0.351813;0.505719;0.351028;0.418449;0.344406;0.354639;0.335445;0.283237;0.317333;0.52213;0.346439;0.516249;0.352842;0.568184;0.346553;0.575283;0.290221;0.54777;0.323273;0.551137;0.332244;0.589276;0.327477;0.594586;0.650131;0.700999;0.609693;0.668388;0.592548;0.599186;0.617819;0.542835;0.642959;0.503473;0.597611;0.50942;0.573211;0.426183;0.556941;0.377416;0.543333;0.333603;0.63813;0.508371;0.655602;0.420695;0.664913;0.363064;0.67515;0.314204;0.669549;0.534549;0.656956;0.534775;0.641122;0.579233;0.640911;0.599516;0.694447;0.565801;0.677492;0.569269;0.660973;0.601167;0.656309;0.615729
