face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.436681;0.307476;0.759241;0.97871;0.744175;0.936028;0.7385;0.891987;0.740297;0.865194;0.733418;0.837406;0.773055;0.891462;0.78085;0.865354;0.777688;0.852426;0.772553;0.838556;0.775342;0.923289;0.778687;0.918905;0.768512;0.913176;0.760483;0.904659;0.771569;0.952336;0.765954;0.956914;0.752119;0.945212;0.740077;0.93044;0.765375;0.976275;0.762484;0.978433;0.755076;0.967952;0.746147;0.956699
0.439922;0.300095;0.761487;0.965102;0.756581;0.942386;0.754098;0.917462;0.751673;0.901374;0.748813;0.893893;0.75523;0.891068;0.757416;0.884256;0.749624;0.892728;0.743598;0.895117;0.758036;0.8968;0.756216;0.908956;0.752501;0.930891;0.747317;0.941061;0.760023;0.912439;0.755689;0.932488;0.751294;0.956327;0.746139;0.966387;0.763442;0.928432;0.759263;0.942023;0.753492;0.960669;0.748041;0.971331;0.741092;0.973325;0.694316;0.964058;0.669131;0.941233;0.671129;0.942495;0.684677;0.949276;0.69349;0.83735;0.699415;0.776865;0.70221;0.760985;0.704688;0.756319;0.726082;0.848691;0.752055;0.797119;0.754417;0.814653;0.759011;0.829773;0.754027;0.877086;0.772044;0.877506;0.762656;0.912472;0.756393;0.933811;0.7725;0.908027;0.776619;0.918457;0.765778;0.942633;0.757593;0.959002
0.439203;0.305955;0.746208;0.954933;0.750998;0.94914;0.754803;0.935132;0.760196;0.922796;0.764479;0.912356;0.751845;0.913312;0.756633;0.896797;0.758812;0.884403;0.758362;0.874057;0.754076;0.91251;0.761092;0.898518;0.76188;0.890252;0.75946;0.882594;0.755821;0.916993;0.763919;0.905637;0.763258;0.898221;0.758725;0.89181;0.757408;0.924235;0.765494;0.914916;0.764877;0.908285;0.761322;0.902651;0.727833;0.965694;0.683289;0.956891;0.658295;0.91538;0.659791;0.896809;0.671647;0.883949;0.674682;0.83513;0.671784;0.775858;0.670935;0.732981;0.671934;0.695853;0.708282;0.832733;0.721441;0.778733;0.730506;0.745665;0.73916;0.711825;0.737063;0.848166;0.729587;0.842789;0.710437;0.87448;0.698381;0.892708;0.760654;0.870672;0.746375;0.882064;0.726113;0.91576;0.71248;0.935388
0.439637;0.309492;0.711452;0.956522;0.669688;0.918933;0.648066;0.871977;0.645969;0.842811;0.648879;0.822462;0.668677;0.810505;0.66544;0.761804;0.667423;0.711206;0.670528;0.665711;0.694787;0.812664;0.694218;0.762451;0.689014;0.727456;0.683849;0.70288;0.719061;0.827498;0.710986;0.79507;0.689618;0.81395;0.674409;0.839523;0.739617;0.853056;0.731535;0.831682;0.711123;0.847698;0.695958;0.87077
0.441245;0.313552;0.649307;0.851742;0.60424;0.821394;0.578282;0.77432;0.579511;0.739522;0.590245;0.716742;0.604238;0.695733;0.599753;0.636956;0.597597;0.589943;0.59627;0.545561;0.634259;0.696015;0.637321;0.635023;0.637393;0.586091;0.635279;0.543797;0.661627;0.714433;0.650282;0.683449;0.626318;0.705848;0.608939;0.731464;0.683641;0.741745;0.666982;0.724323;0.644806;0.738202;0.628065;0.758251;0.32715;0.874841;0.368014;0.854175;0.393146;0.814467;0.396638;0.779704;0.38344;0.754158;0.368243;0.733132;0.37607;0.674689;0.380174;0.634366;0.382707;0.596954;0.339605;0.73183;0.343262;0.677436;0.342185;0.633838;0.340413;0.594141;0.314606;0.746989;0.341066;0.756714;0.35364;0.789734;0.35828;0.811847;0.295235;0.772417;0.320457;0.78815;0.334529;0.813825;0.341338;0.83115
0.442912;0.310448;0.644501;0.833194;0.662184;0.771822;0.661688;0.72009;0.640813;0.687602;0.615123;0.671933;0.622377;0.666443;0.617723;0.604654;0.615009;0.559109;0.612965;0.513538;0.600658;0.673596;0.588814;0.613865;0.58173;0.561892;0.574336;0.518262;0.583207;0.695104;0.579887;0.663972;0.583882;0.678939;0.586684;0.698612;0.569279;0.727852;0.562165;0.707965;0.570274;0.711515;0.578559;0.722435;0.336548;0.855403;0.375089;0.826614;0.397848;0.786847;0.398428;0.748564;0.386578;0.718499;0.377387;0.705961;0.383236;0.648404;0.387517;0.605528;0.390601;0.56541;0.350315;0.705882;0.351008;0.64465;0.350414;0.598406;0.349311;0.555036;0.325762;0.721546;0.349596;0.710932;0.363896;0.746174;0.369757;0.773972;0.307091;0.74463;0.331956;0.745883;0.346789;0.773975;0.355517;0.79616
0.443724;0.311525;0.619931;0.819558;0.571245;0.775423;0.542674;0.731962;0.537786;0.697417;0.548572;0.671574;0.56918;0.647431;0.56255;0.588784;0.556641;0.548125;0.551466;0.511848;0.595758;0.64745;0.599234;0.583004;0.596515;0.53555;0.594708;0.496883;0.61985;0.663652;0.609468;0.624425;0.582471;0.63721;0.565128;0.660635;0.639568;0.688473;0.623284;0.660481;0.598004;0.665194;0.578498;0.682437;0.342744;0.836432;0.382907;0.805564;0.405814;0.764035;0.406619;0.726139;0.394602;0.697216;0.387655;0.681499;0.39547;0.623965;0.399864;0.582832;0.40273;0.543937;0.361479;0.681693;0.361692;0.616719;0.362076;0.571502;0.361893;0.531199;0.338319;0.697675;0.360227;0.682781;0.375539;0.71806;0.381269;0.747731;0.321042;0.721122;0.345855;0.718182;0.360992;0.746128;0.36947;0.77116
0.444121;0.313117;0.597044;0.805751;0.548992;0.765946;0.519489;0.712376;0.514209;0.674702;0.530211;0.651841;0.550627;0.633137;0.54419;0.571911;0.537563;0.534528;0.533623;0.503425;0.575385;0.634431;0.582887;0.57029;0.583092;0.525183;0.582984;0.491776;0.598658;0.652058;0.589382;0.61432;0.559852;0.632201;0.540697;0.660709;0.618609;0.67921;0.605684;0.653182;0.579458;0.662039;0.558022;0.681999;0.351725;0.822892;0.394378;0.792685;0.418302;0.750859;0.419726;0.71198;0.407635;0.683483;0.400732;0.66658;0.406955;0.609142;0.411402;0.573414;0.414942;0.543365;0.373464;0.663972;0.372171;0.597035;0.374481;0.553958;0.376345;0.520294;0.348632;0.680328;0.370197;0.661393;0.385797;0.694582;0.39183;0.723516;0.330935;0.704495;0.357194;0.698984;0.371344;0.72681;0.378684;0.752272
0.445726;0.314059;0.581137;0.798431;0.534712;0.760031;0.508718;0.709247;0.500533;0.670839;0.511668;0.643718;0.539416;0.630356;0.531171;0.569165;0.524633;0.53558;0.520069;0.505823;0.56307;0.630577;0.56974;0.562583;0.570391;0.518674;0.569651;0.485142;0.585696;0.648811;0.571031;0.61425;0.543591;0.638326;0.527411;0.665525;0.604268;0.675349;0.584245;0.654544;0.558379;0.668936;0.539428;0.689063;0.356955;0.819033;0.397588;0.793179;0.422191;0.752815;0.426485;0.710992;0.416735;0.674513;0.408845;0.666701;0.418251;0.607915;0.424553;0.572978;0.428682;0.544498;0.381408;0.660102;0.37952;0.587084;0.382248;0.543855;0.383727;0.511685;0.356269;0.674264;0.377652;0.651233;0.393991;0.687405;0.399537;0.717493;0.339361;0.696325;0.365082;0.689744;0.378667;0.719899;0.385884;0.746997
0.446482;0.31511;0.57503;0.798862;0.527806;0.75962;0.50392;0.71181;0.49568;0.674329;0.499941;0.643647;0.527644;0.63311;0.519156;0.571348;0.513799;0.538305;0.509851;0.508832;0.552397;0.633064;0.557634;0.563675;0.558791;0.52004;0.559301;0.486989;0.575486;0.649244;0.560375;0.617535;0.536321;0.645073;0.524021;0.673568;0.594747;0.672178;0.573623;0.653895;0.549591;0.672625;0.533045;0.695976;0.360456;0.822011;0.399319;0.794075;0.42544;0.752472;0.432576;0.709756;0.426717;0.673988;0.41509;0.669163;0.430237;0.610877;0.439743;0.576026;0.44657;0.546423;0.388999;0.661247;0.389674;0.587577;0.393699;0.543231;0.395838;0.51215;0.364648;0.674035;0.386385;0.65039;0.4024;0.685447;0.408145;0.716315;0.3482;0.694343;0.375084;0.68898;0.388517;0.719153;0.395814;0.746089
