face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.467535;0.304438;0.137335;0.908771;0.215188;0.860733;0.251915;0.778156;0.252206;0.701186;0.241064;0.64182;0.200706;0.656837;0.204065;0.557644;0.219549;0.571265;0.230595;0.605326;0.152896;0.663827;0.181357;0.622616;0.201108;0.690658;0.195089;0.710936;0.113878;0.690806;0.150499;0.702028;0.168638;0.768367;0.158481;0.776238;0.0823129;0.720987;0.115833;0.737036;0.136523;0.784598;0.129649;0.786547
0.465369;0.306198;0.19507;0.815181;0.259003;0.774375;0.284529;0.692868;0.271645;0.625767;0.253495;0.570446;0.266134;0.624377;0.290213;0.556035;0.304335;0.525067;0.315755;0.505681;0.220725;0.62405;0.221469;0.572652;0.222178;0.566911;0.222278;0.563976;0.182189;0.643077;0.197575;0.665001;0.209327;0.714761;0.211632;0.72831;0.151984;0.672663;0.170049;0.695827;0.183859;0.732576;0.18449;0.737809;0.602603;0.872796;0.556023;0.862318;0.523881;0.813518;0.53723;0.769825;0.57372;0.751745;0.55536;0.742281;0.549004;0.675931;0.547495;0.635547;0.54357;0.614923;0.594333;0.736124;0.595257;0.658288;0.591605;0.621706;0.585569;0.602805;0.631881;0.748207;0.634498;0.686102;0.619585;0.686472;0.6103;0.693331;0.664014;0.770856;0.665879;0.732292;0.651493;0.741205;0.642676;0.755471
0.459397;0.304117;0.216369;0.797957;0.279947;0.75364;0.309407;0.670625;0.297887;0.60114;0.280384;0.55717;0.295131;0.60746;0.320426;0.540349;0.335958;0.495463;0.346929;0.448438;0.251974;0.598488;0.257693;0.542984;0.260303;0.533511;0.261159;0.488989;0.214549;0.611322;0.235884;0.60295;0.241532;0.662643;0.236961;0.663344;0.181061;0.633984;0.204185;0.635557;0.212986;0.677931;0.206064;0.676665;0.605125;0.846369;0.558528;0.819985;0.530681;0.767579;0.546144;0.716549;0.5783;0.687868;0.547355;0.679316;0.545919;0.638306;0.548649;0.597696;0.551514;0.560409;0.587462;0.664615;0.593286;0.627012;0.594687;0.587605;0.596412;0.553155;0.625719;0.669778;0.62759;0.65532;0.612424;0.702011;0.606153;0.740383;0.662863;0.695935;0.661698;0.690771;0.643959;0.725948;0.633185;0.753693
0.459359;0.312558;0.237383;0.768053;0.301277;0.711782;0.327736;0.626724;0.314233;0.559314;0.30637;0.497702;0.325278;0.576418;0.33924;0.522554;0.350613;0.482257;0.361352;0.440996;0.287054;0.561402;0.290487;0.513436;0.288337;0.487221;0.287408;0.443362;0.250269;0.569906;0.262653;0.559117;0.267643;0.613826;0.269762;0.627356;0.215081;0.589855;0.234233;0.588586;0.241382;0.629309;0.242308;0.640525;0.60874;0.820203;0.556616;0.774312;0.54194;0.709222;0.569317;0.659055;0.593704;0.637016;0.550034;0.644522;0.559252;0.605724;0.57304;0.569158;0.585817;0.535188;0.588604;0.630454;0.590565;0.596441;0.588636;0.562683;0.585243;0.532909;0.625199;0.633659;0.629921;0.618269;0.617237;0.663942;0.60773;0.700749;0.661495;0.655534;0.660872;0.642821;0.644124;0.677089;0.630759;0.704497
0.461793;0.316284;0.255652;0.73534;0.322422;0.676883;0.346051;0.600277;0.332475;0.536351;0.328342;0.473444;0.349481;0.548424;0.362172;0.501637;0.376216;0.463496;0.389156;0.429784;0.310396;0.530559;0.311818;0.484694;0.310167;0.45033;0.310347;0.41069;0.27399;0.535064;0.287108;0.522993;0.291324;0.573144;0.291835;0.594279;0.239635;0.551621;0.258644;0.549449;0.265081;0.588204;0.266146;0.605458;0.613638;0.795146;0.559499;0.743225;0.546051;0.673167;0.571139;0.617987;0.594785;0.594406;0.55254;0.613431;0.561594;0.574412;0.567214;0.54361;0.571951;0.51191;0.589156;0.604798;0.594996;0.571285;0.592734;0.583794;0.589136;0.596799;0.62394;0.6094;0.634616;0.586528;0.61949;0.622574;0.60691;0.650229;0.659595;0.628095;0.665165;0.603102;0.646475;0.627443;0.629771;0.649303
0.456436;0.318037;0.27515;0.701851;0.339687;0.647969;0.363041;0.569196;0.342807;0.502994;0.334836;0.441487;0.364932;0.52545;0.378648;0.474668;0.389225;0.439603;0.39943;0.41179;0.328304;0.508568;0.332155;0.459623;0.330733;0.43185;0.332204;0.408455;0.292262;0.512124;0.305387;0.493396;0.311528;0.541527;0.31297;0.570337;0.256536;0.528583;0.275951;0.516804;0.284193;0.552952;0.286704;0.57681;0.613262;0.766843;0.560942;0.712799;0.548304;0.642937;0.571232;0.59064;0.594551;0.56751;0.559184;0.58487;0.569035;0.544008;0.575245;0.511236;0.581759;0.47813;0.594563;0.579398;0.599764;0.548905;0.59419;0.580535;0.591907;0.61325;0.626892;0.587121;0.636859;0.564825;0.620655;0.598042;0.610959;0.627619;0.658434;0.60599;0.662935;0.578111;0.64417;0.597364;0.629928;0.61776
0.451173;0.325041;0.293619;0.668886;0.356412;0.618731;0.378281;0.549961;0.35886;0.484956;0.346347;0.427547;0.38051;0.503426;0.394496;0.457567;0.403316;0.422913;0.409833;0.392874;0.344594;0.488924;0.346863;0.438028;0.346112;0.41256;0.346357;0.387793;0.309133;0.493901;0.319706;0.470285;0.329286;0.515199;0.331094;0.540802;0.273182;0.511507;0.28899;0.492253;0.300761;0.524864;0.304666;0.548336;0.608203;0.738812;0.561037;0.690448;0.54705;0.624428;0.563888;0.56923;0.584502;0.534206;0.563073;0.554153;0.572489;0.515522;0.5795;0.485246;0.586318;0.456419;0.597435;0.548505;0.599826;0.520366;0.595139;0.569358;0.595349;0.609007;0.628021;0.556257;0.63405;0.534703;0.621172;0.574966;0.614685;0.603644;0.65927;0.575192;0.659488;0.549422;0.641177;0.575937;0.628129;0.599849
0.446111;0.330155;0.309558;0.643854;0.370336;0.594862;0.389339;0.531693;0.369167;0.467636;0.355062;0.41282;0.387467;0.491098;0.400737;0.446927;0.406632;0.413663;0.408113;0.383125;0.354637;0.482831;0.359798;0.434455;0.359894;0.447839;0.358739;0.457019;0.322361;0.48768;0.330619;0.450561;0.339725;0.495417;0.341689;0.523614;0.287864;0.502425;0.303752;0.471804;0.315419;0.503637;0.318174;0.52945;0.592379;0.71327;0.555153;0.669166;0.543356;0.59914;0.562166;0.545925;0.587595;0.515867;0.568181;0.529172;0.581155;0.481833;0.588683;0.441075;0.594946;0.400773;0.59845;0.530971;0.600163;0.49781;0.590402;0.549673;0.587249;0.588738;0.625254;0.543494;0.62684;0.516551;0.610369;0.561694;0.603271;0.594191;0.653878;0.56581;0.649418;0.535864;0.628087;0.558458;0.614236;0.579415
0.442078;0.332072;0.323768;0.630631;0.38136;0.588492;0.401078;0.52211;0.384274;0.460448;0.373736;0.407898;0.391482;0.478603;0.40797;0.445744;0.420155;0.415865;0.429855;0.384432;0.360382;0.468616;0.375078;0.435993;0.374711;0.481779;0.370433;0.499712;0.329401;0.471447;0.344465;0.444758;0.349226;0.498215;0.345713;0.517687;0.296366;0.48415;0.319372;0.467945;0.329122;0.506704;0.327394;0.525361;0.580611;0.690308;0.546304;0.654105;0.5358;0.580179;0.556794;0.525688;0.584003;0.493366;0.556136;0.508436;0.551095;0.454979;0.546836;0.414445;0.544573;0.372709;0.589904;0.507919;0.59695;0.452235;0.599794;0.41557;0.601872;0.377649;0.619658;0.522989;0.611375;0.49537;0.594848;0.549379;0.588929;0.587666;0.649541;0.54899;0.63872;0.516728;0.618721;0.549183;0.606908;0.575767
0.442261;0.327067;0.3342;0.625435;0.391128;0.577583;0.407116;0.508969;0.393259;0.446175;0.389032;0.392551;0.392303;0.475434;0.406168;0.450635;0.410922;0.439535;0.416094;0.423229;0.36255;0.470329;0.38078;0.444606;0.374497;0.487445;0.366222;0.505662;0.333305;0.472531;0.349592;0.449457;0.351464;0.499713;0.348729;0.520725;0.302238;0.482965;0.325953;0.466383;0.333828;0.502501;0.334049;0.52055;0.583732;0.67093;0.544581;0.644951;0.530685;0.572874;0.557659;0.515422;0.585391;0.481146;0.541974;0.491748;0.519531;0.422022;0.50573;0.371599;0.493836;0.324543;0.580175;0.488787;0.581171;0.415983;0.587308;0.35889;0.591932;0.304744;0.613783;0.507704;0.601571;0.486273;0.587541;0.541492;0.583952;0.573358;0.645426;0.537343;0.627264;0.517622;0.610748;0.553313;0.602181;0.575842
