face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.452617;0.338414;0.557876;0.46689;0.533741;0.42894;0.523617;0.394616;0.522109;0.345428;0.574829;0.361132;0.554126;0.323304;0.591743;0.371319;0.569246;0.343271;0.599758;0.386653;0.580594;0.365508;0.601994;0.401889;0.590918;0.388891
0.44865;0.337906;0.561764;0.467496;0.538532;0.423303;0.530502;0.388744;0.528554;0.347184;0.578542;0.356021;0.5527;0.323328;0.593384;0.366734;0.565962;0.34203;0.599789;0.381708;0.57624;0.363595;0.601185;0.396126;0.585689;0.384697
0.451022;0.330682;0.560947;0.45351;0.537495;0.415548;0.531297;0.384358;0.535097;0.349814;0.579667;0.346579;0.564416;0.320915;0.596876;0.358624;0.576074;0.347512;0.60506;0.376296;0.583973;0.372246;0.60852;0.392363;0.591621;0.39624
0.456171;0.334643;0.561637;0.458867;0.541719;0.411934;0.533656;0.379245;0.531309;0.335686;0.583938;0.350008;0.560915;0.327816;0.59815;0.364267;0.573623;0.354989;0.604233;0.382007;0.584645;0.374535;0.605731;0.399137;0.595631;0.393986
0.459405;0.333541;0.562992;0.47053;0.538171;0.419893;0.529725;0.379799;0.524166;0.341033;0.585498;0.351629;0.553922;0.340689;0.597151;0.36826;0.565611;0.361614;0.600582;0.385912;0.572028;0.38354;0.600286;0.401776;0.580379;0.399109
0.459493;0.339708;0.56843;0.478253;0.539867;0.426991;0.529178;0.384511;0.52318;0.336181;0.585287;0.35585;0.552992;0.331482;0.600299;0.369379;0.570803;0.3459;0.605542;0.385689;0.580753;0.367721;0.605288;0.402798;0.591494;0.387936
0.463988;0.332321;0.56954;0.454024;0.546799;0.416725;0.540962;0.38618;0.541675;0.345758;0.586498;0.351651;0.559107;0.334734;0.600732;0.362645;0.572976;0.357552;0.607445;0.37804;0.58226;0.376775;0.610469;0.392185;0.594023;0.39351
0.467291;0.331178;0.568964;0.45588;0.548103;0.419366;0.542182;0.38636;0.545849;0.342799;0.588824;0.354262;0.559625;0.329801;0.603494;0.363961;0.572878;0.354809;0.609855;0.378131;0.582413;0.37482;0.612516;0.39169;0.593255;0.391459
0.466135;0.341227;0.572451;0.456492;0.552044;0.42084;0.547948;0.391322;0.552809;0.357856;0.586363;0.358064;0.570276;0.327122;0.600051;0.367731;0.580333;0.356586;0.607083;0.381997;0.585991;0.378513;0.610923;0.396067;0.593817;0.396377
0.464352;0.347665;0.571745;0.470155;0.54536;0.426379;0.537678;0.3885;0.53224;0.348725;0.593725;0.360582;0.557949;0.348879;0.606672;0.375256;0.571;0.372818;0.610593;0.393138;0.577798;0.395147;0.610454;0.409695;0.583279;0.415805
0.464762;0.348503;0.571201;0.482253;0.548058;0.434881;0.541145;0.395518;0.538257;0.352203;0.589548;0.369199;0.555296;0.337288;0.602277;0.382143;0.567046;0.356015;0.606759;0.396999;0.575801;0.375567;0.607226;0.412502;0.585533;0.394802
0.460809;0.359702;0.337647;0.812873;0.377607;0.825143;0.415008;0.81692;0.478583;0.838491;0.396715;0.742148;0.403315;0.873705;0.362608;0.731829;0.36221;0.893451;0.329496;0.741163;0.331014;0.889884;0.301288;0.761464;0.303063;0.900513
0.461662;0.360474;0.356671;0.72592;0.397697;0.762822;0.425593;0.783683;0.473907;0.816883;0.399422;0.720502;0.398496;0.831864;0.36052;0.714182;0.353874;0.85124;0.326568;0.716811;0.316797;0.849906;0.299165;0.724179;0.280096;0.833001
0.464094;0.360898;0.351375;0.764619;0.387649;0.79091;0.421859;0.791886;0.472977;0.807349;0.398061;0.716589;0.400233;0.791498;0.361343;0.71026;0.357382;0.819434;0.327594;0.716645;0.325205;0.823108;0.300603;0.730339;0.295052;0.814901
0.471563;0.357304;0.335208;0.809703;0.379314;0.809459;0.420186;0.792403;0.48276;0.788577;0.389341;0.748864;0.398218;0.804181;0.357194;0.741716;0.357983;0.807668;0.325842;0.744883;0.323649;0.809285;0.299721;0.757405;0.293871;0.823941
0.485119;0.349991;0.320932;0.839916;0.36618;0.835282;0.407147;0.810366;0.437241;0.762056;0.379276;0.717085;0.375789;0.813262;0.345335;0.707676;0.35129;0.820188;0.313293;0.717532;0.327654;0.826606;0.283871;0.738952;0.298854;0.827452
0.463352;0.334919;0.659301;0.949525;0.658736;0.94299;0.656482;0.940055;0.651684;0.939207;0.645167;0.930863;0.634388;0.936568;0.644005;0.931152;0.635074;0.935057;0.644111;0.931877;0.63592;0.938536;0.644796;0.933222;0.635055;0.938268
