face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.44742;0.37334;0.917646;0.593087;0.891551;0.557157;0.865759;0.556321;0.842886;0.587651;0.827441;0.548595;0.841076;0.614671;0.82533;0.572891;0.850951;0.629817;0.832579;0.598315;0.863124;0.640161;0.84396;0.624139;0.870941;0.654142
0.44649;0.37281;0.918777;0.593577;0.890406;0.56293;0.865833;0.563268;0.843318;0.588269;0.826643;0.546064;0.841279;0.61288;0.82484;0.566753;0.847752;0.628258;0.830942;0.591448;0.857866;0.64162;0.840116;0.618021;0.863967;0.653358
0.446249;0.373793;0.917494;0.593216;0.890732;0.556249;0.866486;0.554368;0.845763;0.578187;0.824353;0.544628;0.841874;0.601037;0.820768;0.568813;0.848981;0.615727;0.827495;0.594742;0.863348;0.634205;0.83843;0.62115;0.874534;0.654437
0.445418;0.37558;0.918746;0.595132;0.893063;0.562015;0.869059;0.561127;0.845606;0.584261;0.825359;0.54943;0.837343;0.608053;0.821489;0.569998;0.845767;0.62366;0.82775;0.59423;0.859645;0.639976;0.838265;0.619693;0.870183;0.657361
0.44487;0.375846;0.917619;0.595264;0.890654;0.559909;0.866987;0.556692;0.846399;0.578448;0.826974;0.545725;0.838983;0.607948;0.822768;0.568628;0.848989;0.625367;0.827477;0.593698;0.860445;0.640327;0.836125;0.61933;0.868455;0.656328
0.443629;0.374131;0.917832;0.59463;0.889644;0.56854;0.864329;0.568461;0.84338;0.596817;0.827274;0.553355;0.842629;0.617759;0.826543;0.573188;0.851508;0.631485;0.833876;0.596027;0.862877;0.641762;0.843944;0.618927;0.869755;0.652091
0.444366;0.372147;0.919232;0.608666;0.898389;0.562708;0.875241;0.5532;0.855992;0.570043;0.830877;0.556825;0.843062;0.59619;0.828024;0.589894;0.852752;0.613748;0.834245;0.62048;0.86754;0.631304;0.843548;0.64823;0.874906;0.650542
0.439875;0.368694;0.915684;0.604643;0.889198;0.582194;0.864324;0.574327;0.845767;0.590835;0.830645;0.560946;0.842141;0.604778;0.829821;0.582184;0.84873;0.614911;0.835355;0.604449;0.862311;0.626282;0.842688;0.625956;0.869448;0.6379
0.438077;0.367766;0.286523;0.808404;0.336224;0.832807;0.364642;0.861111;0.396744;0.92298;0.345529;0.8353;0.350626;0.985476;0.305974;0.840428;0.295513;1.04118;0.269134;0.847631;0.252645;1.03987;0.236917;0.856325;0.218862;1.00022
0.438723;0.368968;0.295683;0.834221;0.345354;0.849963;0.376239;0.860974;0.397593;0.932754;0.33612;0.790767;0.366262;0.954592;0.297987;0.791096;0.320614;0.961402;0.266199;0.813669;0.289092;0.967252;0.240554;0.846729;0.273387;0.954774
0.438762;0.368699;0.273401;0.901369;0.314973;0.887474;0.345056;0.869803;0.386517;0.88488;0.343464;0.795269;0.394937;0.88573;0.315136;0.78591;0.36325;0.877038;0.284364;0.790081;0.322543;0.857781;0.25397;0.803007;0.265628;0.839239
0.441023;0.367707;0.306817;0.732384;0.334025;0.764553;0.349433;0.79546;0.373825;0.862497;0.336871;0.732827;0.335135;0.82041;0.319828;0.721945;0.324396;0.814095;0.304353;0.723621;0.299265;0.820489;0.289636;0.733778;0.278327;0.808547
0.444325;0.367688;0.284515;0.887433;0.301417;0.895213;0.307828;0.904517;0.309942;0.913792;0.297812;0.897842;0.305803;0.901827;0.290757;0.891905;0.296185;0.911956;0.286318;0.887879;0.296213;0.908531;0.282361;0.886121;0.289654;0.896063
