face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.438643;0.174441;0.245979;0.71318;0.240418;0.729472;0.232138;0.743546;0.223218;0.746207;0.209949;0.726291;0.200352;0.72369;0.210168;0.713199;0.203853;0.710831;0.21395;0.702173;0.212178;0.702222;0.219886;0.693936;0.218426;0.696491
0.454922;0.190011;0.248643;0.724951;0.243239;0.706833;0.231652;0.699671;0.218568;0.703467;0.213462;0.703845;0.206437;0.704552;0.213365;0.715306;0.209403;0.713719;0.216681;0.725553;0.217612;0.723255;0.222919;0.735569;0.227831;0.730513
0.465641;0.213261;0.25015;0.721655;0.242045;0.70831;0.229748;0.701305;0.214571;0.704901;0.217777;0.703167;0.211886;0.706354;0.219752;0.71323;0.218417;0.714786;0.225194;0.722209;0.229264;0.723098;0.232737;0.732407;0.236183;0.732001
0.474484;0.217982;0.258363;0.714496;0.242754;0.697082;0.227875;0.69026;0.207144;0.6961;0.225297;0.693659;0.213676;0.704127;0.227885;0.704436;0.21986;0.717029;0.232579;0.715974;0.227773;0.726401;0.238448;0.728019;0.233594;0.735829
0.466675;0.241016;0.346447;0.867414;0.337901;0.907621;0.331773;0.931587;0.321073;0.938239;0.343451;0.958274;0.292386;0.95136;0.348249;0.944657;0.290804;0.93559;0.348074;0.926764;0.29856;0.919746;0.344746;0.907084;0.304275;0.907308
0.444077;0.297352;0.36746;0.539313;0.39241;0.539413;0.416551;0.519347;0.44924;0.492729;0.394023;0.488663;0.410786;0.490257;0.376565;0.478803;0.386977;0.417123;0.359568;0.480079;0.352424;0.418618;0.343944;0.492386;0.314304;0.459086
0.449188;0.302387;0.367153;0.536532;0.393706;0.536773;0.414731;0.521758;0.449764;0.490603;0.393035;0.483136;0.414086;0.454804;0.373614;0.479201;0.370783;0.438689;0.356756;0.486591;0.348302;0.456508;0.344965;0.503121;0.332948;0.513117
0.454391;0.216927;0.361697;0.744198;0.389295;0.757103;0.416512;0.75999;0.429672;0.804144;0.390207;0.696739;0.400075;0.766222;0.36534;0.696803;0.379715;0.768097;0.34402;0.704347;0.357731;0.768575;0.326011;0.717883;0.338136;0.772456
0.443541;0.217018;0.358323;0.727017;0.38977;0.748845;0.412649;0.773656;0.420478;0.820373;0.386069;0.718494;0.397845;0.78988;0.360082;0.716468;0.375249;0.789595;0.339051;0.720465;0.350186;0.784749;0.321463;0.727189;0.329791;0.776909
0.444479;0.216832;0.355061;0.763158;0.387798;0.789553;0.408955;0.813708;0.418747;0.856243;0.382307;0.763069;0.394927;0.809091;0.357842;0.749342;0.375275;0.793356;0.337877;0.741328;0.350424;0.777306;0.321162;0.736192;0.330159;0.759722
0.431704;0.188045;0.353832;0.847867;0.383774;0.873796;0.394345;0.904381;0.393376;0.958792;0.385509;0.880619;0.396489;0.965318;0.36866;0.880318;0.383818;0.976539;0.351924;0.881424;0.363698;0.976162;0.33506;0.881923;0.335505;0.961812
