face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.450042;0.420325;7.25501e-40;3.72607e-39;1.48486e-39;5.94604e-39;2.85895e-39;7.59173e-39;4.23304e-39;6.92317e-39;6.66783e-39;6.95746e-39;6.84863e-39;6.7346e-39;6.83658e-39;5.57748e-39;6.59551e-39;5.6889e-39;6.3906e-39;4.5832e-39;4.36563e-39;5.20034e-39;5.52276e-39;3.64036e-39;3.60627e-39;4.06035e-39
0.467767;0.41416;0.294604;0.839426;0.339956;0.872897;0.373642;0.928175;0.404589;1.01808;0.360838;0.886735;0.390639;1.04915;0.325279;0.882926;0.340914;1.07826;0.289945;0.884409;0.298122;1.06531;0.25809;0.891024;0.277195;1.03127
0.471812;0.41664;0.307597;0.784099;0.359599;0.829777;0.394661;0.888196;0.438817;0.967663;0.381071;0.840315;0.373259;1.0133;0.343531;0.825903;0.333581;1.04819;0.303841;0.817937;0.304559;1.03185;0.267193;0.818596;0.276349;0.984191
0.473564;0.416138;0.315122;0.745871;0.363281;0.797319;0.398452;0.854612;0.445636;0.930516;0.395304;0.803779;0.373869;0.975969;0.362293;0.784786;0.341939;1.00438;0.324813;0.774038;0.313154;0.988623;0.288088;0.772913;0.286976;0.939695
0.477269;0.413252;0.31867;0.718899;0.369396;0.76674;0.41267;0.819111;0.464518;0.898809;0.402801;0.770259;0.388121;0.928356;0.366277;0.758613;0.354165;0.964312;0.326227;0.753557;0.32002;0.95637;0.28875;0.756766;0.288202;0.925984
0.479606;0.412988;0.32471;0.696439;0.381264;0.748065;0.421938;0.801079;0.456588;0.873729;0.41242;0.74622;0.40478;0.900812;0.381178;0.732015;0.368114;0.911234;0.348403;0.728059;0.337282;0.894859;0.316357;0.729921;0.298448;0.873348
0.482449;0.415328;0.730656;0.750139;0.683165;0.759621;0.644404;0.763713;0.603631;0.789302;0.634018;0.703767;0.553738;0.77563;0.664535;0.699647;0.580509;0.804684;0.698402;0.708444;0.624299;0.821178;0.731384;0.72653;0.70044;0.813025
0.483767;0.41722;0.744915;0.737832;0.689952;0.759611;0.650607;0.767541;0.603476;0.793612;0.634821;0.712806;0.545805;0.7653;0.659974;0.703907;0.574354;0.772528;0.690475;0.70715;0.634359;0.803909;0.721878;0.722763;0.70349;0.838679
0.484925;0.420049;0.756537;0.737634;0.703353;0.769757;0.668488;0.773982;0.63006;0.811671;0.642032;0.712547;0.548739;0.744466;0.666779;0.696994;0.571772;0.730658;0.698655;0.695176;0.644157;0.785951;0.731748;0.70763;0.703565;0.812206
0.480375;0.421559;0.74153;0.72308;0.70189;0.743492;0.669546;0.746301;0.629616;0.76772;0.656987;0.686764;0.600209;0.690339;0.676028;0.67598;0.621838;0.739266;0.700272;0.680816;0.658378;0.793028;0.726112;0.695314;0.707552;0.811833
0.474916;0.422249;0.322951;0.678134;0.376211;0.714206;0.416199;0.739504;0.466926;0.798826;0.420035;0.664774;0.468024;0.766403;0.390848;0.649036;0.432168;0.763423;0.35875;0.65173;0.375447;0.805808;0.325931;0.668318;0.322354;0.807225
0.481239;0.415472;0.629613;0.984071;0.682429;0.978724;0.705648;0.965119;0.723914;0.931567;0.699428;0.90816;0.681777;0.908996;0.678999;0.883722;0.659194;0.897215;0.65423;0.873833;0.642313;0.897222;0.62943;0.87558;0.624956;0.91061
0.480204;0.414364;0.645513;0.978199;0.691759;0.983242;0.714156;0.983847;0.732122;0.980152;0.70564;0.928105;0.695721;0.951687;0.685969;0.90253;0.666978;0.945021;0.662044;0.890529;0.648359;0.9354;0.639746;0.888653;0.626305;0.931931
0.483718;0.405593;0.68028;1.02521;0.72523;1.02453;0.75072;1.02268;0.756377;1.01744;0.730895;0.973222;0.723549;0.969121;0.704459;0.957348;0.69152;0.954375;0.676805;0.95195;0.666479;0.955781;0.649932;0.955329;0.636557;0.969336
0.485028;0.401649;0.703356;1.07333;0.703743;1.03427;0.700165;1.00684;0.685048;0.977747;0.721201;0.954957;0.69653;0.984372;0.71793;0.951495;0.687791;0.981651;0.709991;0.957589;0.684306;0.996976;0.699567;0.967674;0.675097;1.02014
0.481996;0.40032;0.705155;1.08564;0.712189;1.04331;0.71503;1.00638;0.720089;0.970031;0.718343;0.973964;0.719684;0.961047;0.707859;0.974367;0.709221;0.974831;0.697361;0.982654;0.698368;0.992084;0.687143;0.992318;0.691063;1.00728
