face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.483931;0.278138;0.143237;0.855138;0.159374;0.819727;0.169877;0.785601;0.170993;0.768971;0.130646;0.805419;0.162646;0.799019;0.121827;0.832578;0.156987;0.825171;0.117225;0.857486;0.149238;0.846998;0.115442;0.882073;0.141664;0.869125
0.482974;0.278294;0.149887;0.847132;0.161374;0.811415;0.168089;0.784918;0.17226;0.767596;0.133232;0.798824;0.160693;0.794644;0.124903;0.827309;0.153785;0.824079;0.122108;0.854357;0.148056;0.846113;0.122893;0.880258;0.139053;0.873611
0.480097;0.275576;0.158254;0.857995;0.168769;0.82926;0.177755;0.804822;0.193847;0.780173;0.130077;0.78756;0.168284;0.794262;0.119795;0.805969;0.165443;0.817121;0.11812;0.829482;0.163108;0.84424;0.12025;0.85502;0.158908;0.873044
0.477708;0.274495;0.155046;0.909275;0.103687;0.95403;0.0496364;0.958375;0.0111084;0.948296;0.0246241;0.861923;0.03987;0.918374;0.0561201;0.808191;0.12317;0.881235;0.0947542;0.767742;0.138535;0.849261;0.132694;0.744989;0.159952;0.770276
0.478841;0.276072;0.297162;0.899884;0.342281;0.854158;0.368133;0.772537;0.341967;0.688621;0.274054;0.651648;0.303176;0.554311;0.224078;0.691436;0.295996;0.759325;0.188273;0.750532;0.257845;0.816904;0.163208;0.821205;0.206092;0.856584
0.480359;0.276465;0.30417;0.897728;0.348957;0.837827;0.376323;0.7586;0.347041;0.684517;0.291904;0.62498;0.323244;0.527155;0.239869;0.656617;0.322636;0.759397;0.205213;0.717766;0.296949;0.812314;0.182326;0.792788;0.273434;0.84778
0.480115;0.277438;0.324997;0.886526;0.376401;0.845819;0.392492;0.764055;0.357706;0.673641;0.288926;0.618824;0.334104;0.530366;0.23641;0.658072;0.329303;0.755351;0.210172;0.721769;0.307279;0.809138;0.19862;0.793757;0.29138;0.85618
0.478812;0.276868;0.323598;0.903183;0.379082;0.843561;0.399857;0.766684;0.382869;0.682162;0.287884;0.631616;0.353846;0.568226;0.238119;0.671657;0.337255;0.7803;0.215238;0.739405;0.314764;0.823986;0.205537;0.816489;0.295538;0.875068
0.48049;0.276762;0.311149;0.907324;0.369379;0.856161;0.404386;0.780241;0.377459;0.719816;0.31832;0.621125;0.370084;0.47712;0.263611;0.651705;0.351133;0.759568;0.238189;0.716407;0.327771;0.807494;0.228924;0.78865;0.308061;0.857866
0.483661;0.278766;0.317323;0.846507;0.381801;0.810894;0.409306;0.752293;0.399079;0.673809;0.330696;0.614115;0.360485;0.441926;0.28349;0.652014;0.358532;0.73269;0.262186;0.716234;0.34143;0.786267;0.256769;0.778707;0.329304;0.830836
0.48538;0.2795;0.32027;0.766435;0.386355;0.744664;0.409267;0.701723;0.410701;0.64862;0.325836;0.591671;0.334839;0.381894;0.280532;0.619358;0.366812;0.676814;0.264013;0.679408;0.346206;0.742464;0.267794;0.741688;0.343007;0.797357
0.485816;0.277812;0.321088;0.714777;0.384882;0.713217;0.410137;0.662323;0.420873;0.587155;0.346097;0.548321;0.332221;0.316237;0.304378;0.564055;0.346319;0.583992;0.281815;0.608735;0.32896;0.68175;0.273721;0.657507;0.325678;0.724974
0.487391;0.27697;0.323987;0.65652;0.386593;0.662933;0.421298;0.617199;0.450038;0.523228;0.357079;0.488579;0.338763;0.271967;0.318755;0.49733;0.353061;0.547653;0.296502;0.531867;0.327043;0.575653;0.283971;0.566598;0.314257;0.60895
0.484868;0.276228;0.332558;0.598728;0.394123;0.599004;0.425925;0.553955;0.461447;0.456777;0.371446;0.442579;0.356143;0.236971;0.337058;0.444035;0.345838;0.308319;0.314706;0.463976;0.335389;0.457707;0.299762;0.487264;0.321144;0.490621
