face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.536418;0.352144;0.438559;1.01942;0.444935;0.950922;0.43772;0.89953;0.449486;0.806367;0.360803;0.937095;0.380781;0.927512;0.352035;0.973608;0.369723;0.963188;0.351076;1.00765;0.365748;1.00004;0.354974;1.03968;0.359437;1.03152
0.538491;0.355251;0.420395;0.984335;0.44993;0.919459;0.458434;0.855946;0.471734;0.759411;0.395413;0.852202;0.444616;0.886841;0.37866;0.888239;0.421835;0.937135;0.367863;0.921946;0.407145;0.97683;0.361078;0.947565;0.375767;0.989425
0.534616;0.354024;0.392045;0.853121;0.46213;0.790649;0.49667;0.739867;0.540536;0.638938;0.464714;0.678482;0.485497;0.696305;0.441041;0.693198;0.468485;0.699052;0.420453;0.714017;0.454273;0.699771;0.402688;0.740527;0.425763;0.703555
0.534807;0.357863;0.434398;0.618388;0.484933;0.626563;0.51576;0.599831;0.533543;0.543077;0.494212;0.501294;0.48238;0.409781;0.467432;0.487067;0.462605;0.30108;0.440856;0.490003;0.438457;0.502232;0.416292;0.503868;0.425702;0.531247
0.532044;0.359162;0.441105;0.540148;0.489994;0.543223;0.516758;0.510078;0.537141;0.441485;0.492725;0.431158;0.500094;0.291441;0.468661;0.417445;0.453219;0.233826;0.445364;0.422722;0.453419;0.420808;0.425264;0.438359;0.434474;0.45908
0.524025;0.363306;0.443258;0.491399;0.49007;0.493717;0.520969;0.455154;0.536694;0.363757;0.489583;0.370168;0.490183;0.249836;0.465095;0.361127;0.460991;0.20103;0.445194;0.374208;0.471727;0.410663;0.42924;0.397763;0.452249;0.443298
0.519847;0.371506;0.445623;0.454133;0.482316;0.437397;0.512017;0.396304;0.538939;0.326439;0.478833;0.316417;0.48311;0.176374;0.458264;0.318467;0.516711;0.39611;0.444506;0.339875;0.491464;0.415382;0.436279;0.370732;0.476966;0.429118
0.524999;0.371387;0.451644;0.419073;0.490883;0.401439;0.52399;0.358162;0.556991;0.27569;0.484265;0.277957;0.495803;0.150665;0.462898;0.276448;0.50746;0.361512;0.451077;0.2911;0.487688;0.390315;0.444973;0.315437;0.475456;0.363698
0.53147;0.371063;0.457864;0.393198;0.497982;0.377186;0.527522;0.32959;0.552896;0.244494;0.473308;0.254802;0.475376;0.110329;0.45473;0.244931;0.504143;0.312367;0.445657;0.254472;0.493599;0.329617;0.446154;0.272989;0.485148;0.337482
0.523755;0.365047;0.460467;0.370007;0.497886;0.356541;0.528766;0.309219;0.55284;0.222151;0.47763;0.23574;0.473169;0.0956379;0.4595;0.226458;0.507342;0.299241;0.450471;0.234776;0.494919;0.310892;0.450071;0.252839;0.4842;0.309109
0.533444;0.36118;0.46174;0.357971;0.501421;0.341017;0.531055;0.292116;0.549466;0.212364;0.47926;0.221919;0.471449;0.0883991;0.461873;0.215899;0.51058;0.275912;0.453831;0.226572;0.499329;0.295454;0.454285;0.246519;0.490838;0.298735
0.519712;0.355708;0.472276;0.347174;0.512084;0.337214;0.53776;0.286611;0.550135;0.19616;0.48463;0.21762;0.474374;0.082918;0.466866;0.213359;0.514274;0.271033;0.458687;0.223548;0.503595;0.289007;0.458944;0.242728;0.488832;0.279932
0.506653;0.362066;0.476396;0.34127;0.514436;0.333013;0.538358;0.288142;0.551514;0.198348;0.492769;0.224031;0.491393;0.11082;0.476097;0.217558;0.512433;0.274443;0.468297;0.223212;0.502852;0.284914;0.467992;0.235009;0.483635;0.239446
0.514545;0.365169;0.48164;0.346984;0.516055;0.337347;0.540265;0.286298;0.551675;0.202694;0.493694;0.225731;0.477965;0.106173;0.478649;0.220593;0.522477;0.283805;0.47116;0.229775;0.508791;0.301946;0.469723;0.24827;0.492857;0.286771
0.513054;0.377726;0.482887;0.351572;0.517929;0.342978;0.540982;0.297488;0.558041;0.217461;0.490686;0.236777;0.482379;0.113324;0.476706;0.230761;0.523156;0.284541;0.471988;0.240157;0.51495;0.300605;0.474421;0.25739;0.504345;0.293411
0.498013;0.372582;0.485972;0.356142;0.519327;0.345689;0.540972;0.30255;0.558736;0.227668;0.499615;0.245495;0.490969;0.135199;0.486656;0.243821;0.528631;0.30258;0.48076;0.253515;0.515765;0.317058;0.48003;0.269593;0.50117;0.290468
