face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.46945;0.240976;0.361439;0.571731;0.38974;0.571472;0.409034;0.568723;0.431076;0.592268;0.39745;0.500958;0.431702;0.520086;0.380239;0.499794;0.426421;0.528604;0.367773;0.508385;0.402512;0.54187;0.358233;0.518135;0.387724;0.541519
0.469898;0.2414;0.361912;0.551207;0.391594;0.54763;0.413027;0.540002;0.426923;0.543038;0.391414;0.48362;0.423098;0.546554;0.374425;0.490997;0.415373;0.561994;0.363736;0.509322;0.400862;0.574745;0.356775;0.528926;0.386583;0.585136
0.466823;0.251698;0.379359;0.522797;0.408597;0.508788;0.427023;0.484049;0.438278;0.448717;0.397523;0.438649;0.436184;0.365776;0.381154;0.439274;0.405684;0.458209;0.36897;0.45034;0.393932;0.470073;0.360355;0.464994;0.386048;0.480514
0.464;0.258889;0.390647;0.493888;0.414665;0.478082;0.431725;0.445578;0.423599;0.402603;0.409121;0.391162;0.447461;0.339797;0.387233;0.397983;0.410842;0.432484;0.373488;0.414465;0.40093;0.444883;0.364815;0.434732;0.391223;0.454686
0.462101;0.254377;0.394451;0.483068;0.417106;0.468372;0.435751;0.435065;0.428631;0.39976;0.406953;0.376585;0.448503;0.316514;0.386394;0.380056;0.413743;0.417212;0.372956;0.396723;0.401691;0.433899;0.363612;0.419019;0.390824;0.443567
0.459183;0.25552;0.396797;0.474425;0.420266;0.459613;0.438156;0.425752;0.42632;0.392058;0.408809;0.368496;0.447367;0.305532;0.388657;0.372101;0.412325;0.410768;0.375986;0.388481;0.400632;0.427089;0.367137;0.409851;0.392089;0.434167
0.458215;0.255233;0.396413;0.475133;0.421493;0.459414;0.439192;0.427954;0.427308;0.389194;0.409042;0.365579;0.447994;0.303066;0.388088;0.367805;0.413284;0.407989;0.375463;0.384127;0.400359;0.425712;0.36766;0.406496;0.392831;0.434892
0.460095;0.253105;0.397222;0.478962;0.422893;0.463163;0.439395;0.429907;0.429991;0.386772;0.409074;0.367288;0.454397;0.305284;0.389128;0.370692;0.416903;0.406636;0.377169;0.386375;0.40216;0.428379;0.369918;0.407604;0.393702;0.435778
0.458968;0.250291;0.398557;0.483969;0.423301;0.467994;0.439659;0.43444;0.431307;0.394895;0.41123;0.374606;0.452695;0.313964;0.390812;0.378179;0.418508;0.41423;0.378288;0.395336;0.404592;0.434398;0.370151;0.41799;0.395423;0.44408
0.459339;0.253446;0.395652;0.492467;0.422634;0.47809;0.439147;0.44783;0.432435;0.408157;0.412596;0.384153;0.460561;0.330066;0.391394;0.387762;0.417919;0.423787;0.378138;0.404326;0.402905;0.448379;0.369709;0.42586;0.392644;0.4553
0.458711;0.246314;0.394208;0.505512;0.421667;0.487769;0.441068;0.462718;0.437488;0.429072;0.413324;0.397109;0.458616;0.351803;0.391364;0.404898;0.434733;0.433162;0.37868;0.423884;0.412398;0.460628;0.372296;0.44717;0.403765;0.469249
0.463427;0.243719;0.393402;0.490457;0.424963;0.493008;0.448313;0.480383;0.449775;0.45424;0.437604;0.408173;0.452439;0.408159;0.411918;0.404847;0.430243;0.444363;0.389373;0.41937;0.402571;0.502034;0.371716;0.440921;0.380631;0.503004
0.462348;0.247717;0.391679;0.527181;0.418128;0.520986;0.439612;0.512303;0.442658;0.515823;0.426311;0.439959;0.442812;0.484059;0.403073;0.440466;0.431192;0.518395;0.382929;0.455928;0.405555;0.537473;0.3691;0.479271;0.386071;0.53734
0.464196;0.252379;0.374693;0.570088;0.408976;0.562158;0.429555;0.55123;0.444126;0.556691;0.408276;0.465629;0.454247;0.486153;0.385315;0.472218;0.414157;0.534957;0.369271;0.498351;0.391704;0.545619;0.35957;0.530198;0.382235;0.567823
0.464995;0.255335;0.376689;0.600762;0.412392;0.586611;0.43032;0.56852;0.444002;0.577375;0.407844;0.480643;0.455154;0.489367;0.382329;0.486863;0.413355;0.551276;0.3657;0.513746;0.394448;0.567005;0.354968;0.546303;0.383008;0.584389
0.469389;0.249848;0.376022;0.5967;0.413444;0.584417;0.432713;0.57094;0.444887;0.580799;0.41078;0.478523;0.4559;0.488556;0.38551;0.483981;0.419245;0.552701;0.368466;0.511167;0.39807;0.571245;0.357934;0.54499;0.386941;0.591191
0.460559;0.254466;0.373461;0.594391;0.411521;0.581368;0.431243;0.567392;0.453207;0.575041;0.410262;0.478727;0.456229;0.496389;0.386617;0.486359;0.413261;0.541877;0.370948;0.513237;0.395571;0.562655;0.361882;0.544779;0.387148;0.584935
0.465731;0.261629;0.378569;0.591762;0.414234;0.577402;0.433725;0.559896;0.456352;0.564907;0.412568;0.47443;0.456793;0.490145;0.389019;0.480749;0.424085;0.538234;0.373429;0.505803;0.402471;0.556836;0.365154;0.536719;0.393131;0.577941
0.463734;0.264378;0.38169;0.583138;0.417072;0.570231;0.434856;0.554452;0.456793;0.554779;0.414364;0.470366;0.462293;0.471493;0.391262;0.476137;0.420403;0.53507;0.376248;0.501454;0.402136;0.55154;0.36746;0.531944;0.394363;0.574378
0.462315;0.266548;0.384058;0.578111;0.41981;0.564552;0.438381;0.547991;0.457267;0.549436;0.417094;0.468177;0.463857;0.465546;0.393183;0.473264;0.419342;0.523831;0.377332;0.496878;0.403847;0.541636;0.367035;0.526427;0.395264;0.564422
