face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.425338;0.297368;0.257626;0.95802;0.296372;0.953708;0.326389;0.936422;0.307702;0.973188;0.275127;0.852599;0.290826;0.9697;0.239376;0.866585;0.269796;0.981058;0.213257;0.89706;0.249131;1.00314;0.194183;0.933624;0.215876;1.01936
0.425442;0.293311;0.275045;0.926623;0.304965;0.917859;0.334115;0.883029;0.315027;0.860036;0.281834;0.780854;0.298849;0.87772;0.247323;0.798644;0.278746;0.894743;0.223804;0.83418;0.26001;0.917039;0.208866;0.875211;0.231375;0.928229
0.423549;0.29268;0.272999;0.86659;0.310735;0.851166;0.3431;0.809799;0.323753;0.766414;0.308092;0.725287;0.332754;0.646678;0.273937;0.729739;0.300112;0.794098;0.245831;0.759427;0.274325;0.824836;0.224966;0.795432;0.247785;0.840226
0.424115;0.293979;0.274515;0.816287;0.308595;0.801017;0.34452;0.754237;0.336069;0.677129;0.309668;0.668177;0.321169;0.696636;0.278014;0.670713;0.307708;0.750088;0.249626;0.692638;0.282934;0.769069;0.227342;0.721312;0.255495;0.783106
0.424328;0.294911;0.278559;0.763389;0.320294;0.747725;0.348798;0.699875;0.342297;0.619358;0.32575;0.633258;0.33323;0.672589;0.294804;0.629466;0.317209;0.706843;0.267454;0.644252;0.296451;0.715018;0.244948;0.669942;0.269784;0.72419
0.42383;0.291545;0.294315;0.734277;0.333023;0.705056;0.357554;0.642708;0.357465;0.548615;0.316086;0.573204;0.333636;0.643521;0.282074;0.581467;0.310415;0.666327;0.25535;0.607877;0.289547;0.68298;0.23561;0.643467;0.265963;0.699411
0.422671;0.290227;0.297839;0.701646;0.333757;0.677079;0.358649;0.617134;0.349164;0.538154;0.313979;0.533147;0.333849;0.611228;0.281796;0.544348;0.310115;0.639208;0.256868;0.570924;0.289744;0.656859;0.236613;0.604344;0.267342;0.673276
0.422826;0.288446;0.300163;0.675722;0.337558;0.647237;0.358946;0.585466;0.34632;0.503495;0.316808;0.508238;0.338828;0.577071;0.284032;0.521107;0.315052;0.608016;0.258285;0.547077;0.294859;0.626027;0.237132;0.578666;0.271823;0.643357
0.423042;0.285514;0.300752;0.65025;0.335503;0.627285;0.357064;0.567488;0.34487;0.484128;0.316576;0.48405;0.335977;0.551176;0.283827;0.496508;0.315523;0.586852;0.257246;0.522032;0.294305;0.601511;0.235646;0.552765;0.272412;0.619492
0.422717;0.284386;0.30014;0.634435;0.33579;0.61254;0.358233;0.550706;0.343512;0.466437;0.315954;0.469528;0.332892;0.530019;0.282461;0.480903;0.312861;0.576541;0.255627;0.504992;0.291707;0.587451;0.234999;0.533701;0.270394;0.604436
0.423773;0.284877;0.297802;0.613666;0.331756;0.593116;0.354601;0.535048;0.342588;0.453558;0.315849;0.460182;0.331084;0.511841;0.282533;0.470024;0.313988;0.565937;0.255052;0.492794;0.292664;0.575147;0.234127;0.519683;0.271039;0.592493
0.422665;0.285154;0.297144;0.607735;0.332443;0.588584;0.353221;0.527986;0.340068;0.43895;0.315061;0.454092;0.324457;0.50233;0.280654;0.463002;0.306975;0.56538;0.252125;0.48501;0.285202;0.572774;0.230473;0.509477;0.263166;0.589063
0.421452;0.282278;0.290675;0.610342;0.327244;0.588545;0.34918;0.533167;0.336742;0.441528;0.317577;0.44984;0.320113;0.490747;0.282304;0.458978;0.30298;0.558302;0.251909;0.481492;0.281776;0.571998;0.227799;0.506255;0.257619;0.588161
0.422069;0.281552;0.285618;0.603104;0.321862;0.582903;0.344644;0.531631;0.317894;0.447891;0.312564;0.44518;0.314343;0.502375;0.275746;0.454871;0.294385;0.556323;0.244259;0.479991;0.273733;0.572629;0.219514;0.507151;0.246747;0.584759
0.422197;0.281759;0.275795;0.615204;0.311013;0.592688;0.338833;0.542215;0.304543;0.461673;0.307664;0.458831;0.304746;0.517286;0.270022;0.465597;0.27816;0.565724;0.237594;0.487136;0.259796;0.584644;0.211387;0.512404;0.23356;0.586595
0.421248;0.282941;0.273896;0.615899;0.307842;0.592072;0.331725;0.544619;0.295656;0.460327;0.293784;0.462299;0.287119;0.535587;0.257434;0.471454;0.26894;0.583568;0.226549;0.493718;0.249116;0.606842;0.201577;0.51728;0.222071;0.600444
0.420797;0.283054;0.264895;0.611844;0.299561;0.596105;0.324686;0.544711;0.292821;0.46316;0.287857;0.456571;0.284173;0.550771;0.250851;0.46759;0.260339;0.592727;0.218618;0.493041;0.244005;0.614382;0.191767;0.520073;0.219274;0.607649
0.420632;0.283298;0.259093;0.614085;0.2937;0.597284;0.316846;0.552646;0.277299;0.477937;0.27975;0.458649;0.271909;0.532322;0.242516;0.467607;0.251189;0.596792;0.211656;0.494242;0.234744;0.623847;0.186706;0.520767;0.214974;0.613733
0.420613;0.283772;0.257581;0.599876;0.290456;0.587543;0.304454;0.548252;0.280633;0.487074;0.262039;0.466631;0.259225;0.551653;0.228203;0.477338;0.250691;0.627849;0.203217;0.502388;0.234099;0.63441;0.183796;0.525712;0.209548;0.610854
0.421298;0.283843;0.254405;0.618206;0.290348;0.596904;0.31287;0.544616;0.276383;0.472911;0.267487;0.458101;0.263945;0.522176;0.230682;0.473907;0.247474;0.59539;0.202117;0.501182;0.243685;0.627984;0.178522;0.527549;0.221541;0.614153
0.42179;0.28343;0.257384;0.622714;0.291604;0.602243;0.313366;0.548644;0.273988;0.463205;0.273921;0.455856;0.26384;0.527249;0.236838;0.470314;0.247334;0.582892;0.207121;0.49751;0.24141;0.615385;0.182961;0.525351;0.219344;0.610689
0.421796;0.283047;0.256427;0.603176;0.290731;0.583772;0.311555;0.534837;0.275871;0.472405;0.266354;0.451057;0.264399;0.511724;0.230812;0.469595;0.249954;0.584727;0.203418;0.497895;0.240926;0.615292;0.180305;0.524105;0.220572;0.60296
0.422507;0.28341;0.258497;0.620272;0.294786;0.594825;0.321701;0.54243;0.27687;0.45958;0.281898;0.462398;0.26384;0.491107;0.243548;0.475609;0.256224;0.570559;0.211683;0.500991;0.241084;0.597822;0.186343;0.527299;0.214803;0.597484
0.422085;0.283493;0.260091;0.625376;0.296595;0.599007;0.320929;0.543261;0.28375;0.463105;0.284367;0.463628;0.275009;0.448465;0.246407;0.469812;0.26608;0.564681;0.214684;0.492181;0.244901;0.584772;0.189179;0.519427;0.22056;0.594085
0.422385;0.283171;0.261375;0.620667;0.300003;0.59431;0.324106;0.537048;0.287676;0.455735;0.28802;0.453274;0.284385;0.441283;0.250711;0.462219;0.274928;0.556769;0.219726;0.486595;0.251726;0.570189;0.194624;0.513608;0.22511;0.579233
0.423658;0.282888;0.262855;0.624784;0.301674;0.596455;0.322569;0.532718;0.308048;0.441981;0.289493;0.447393;0.302285;0.447221;0.253808;0.452562;0.278925;0.549838;0.223248;0.473557;0.253202;0.55832;0.198717;0.498687;0.228459;0.570455
0.42288;0.283323;0.269488;0.621681;0.307153;0.599764;0.326185;0.530203;0.317217;0.430695;0.290839;0.446694;0.299917;0.504264;0.256315;0.454288;0.276786;0.546627;0.226033;0.474971;0.25523;0.553261;0.200053;0.500464;0.232796;0.563837
0.423274;0.286427;0.273474;0.627827;0.314804;0.604185;0.335642;0.532737;0.322859;0.430245;0.295633;0.457777;0.309149;0.509374;0.26289;0.467114;0.281778;0.540207;0.233084;0.484399;0.258384;0.550923;0.205545;0.506407;0.233146;0.560902
0.42373;0.285629;0.281545;0.646542;0.320137;0.620345;0.344374;0.545195;0.332078;0.439338;0.301874;0.473628;0.314802;0.528412;0.270807;0.48308;0.287464;0.549194;0.242365;0.499846;0.26594;0.563378;0.215412;0.523705;0.242086;0.573643
0.424983;0.286539;0.285739;0.654307;0.326025;0.626616;0.351304;0.551539;0.3366;0.449233;0.306891;0.49048;0.322233;0.542935;0.276923;0.503544;0.294205;0.55938;0.249696;0.521894;0.273769;0.571711;0.223475;0.544687;0.247369;0.584184
0.427172;0.286791;0.289288;0.67365;0.329553;0.647839;0.357016;0.571806;0.341308;0.471953;0.312913;0.510714;0.32857;0.562167;0.281973;0.521777;0.302517;0.579206;0.254547;0.53948;0.281023;0.589684;0.228316;0.562678;0.254744;0.602709
0.42605;0.286928;0.291996;0.702471;0.332478;0.674948;0.361707;0.601075;0.349209;0.498165;0.316687;0.539857;0.329635;0.59173;0.286099;0.548993;0.304258;0.606877;0.258716;0.564837;0.283629;0.61483;0.232497;0.586867;0.258858;0.627014
0.425576;0.288425;0.290755;0.729525;0.333853;0.703185;0.362845;0.634297;0.355347;0.53406;0.31612;0.572753;0.332875;0.619762;0.286849;0.582058;0.308078;0.631938;0.260803;0.597505;0.288118;0.642588;0.235053;0.619485;0.263928;0.657743
0.424523;0.289857;0.285942;0.777692;0.330925;0.747782;0.363026;0.672526;0.350727;0.567142;0.316521;0.604933;0.330252;0.65794;0.288171;0.609448;0.303237;0.672692;0.262817;0.624016;0.283882;0.680144;0.237842;0.648434;0.26453;0.692467
0.424554;0.288643;0.28863;0.815117;0.331203;0.797127;0.366897;0.729701;0.35196;0.631078;0.320188;0.641797;0.34059;0.64708;0.287517;0.644241;0.310693;0.732464;0.26052;0.663787;0.290181;0.74888;0.236035;0.692247;0.267549;0.752238
0.425941;0.287865;0.282246;0.862635;0.327971;0.846762;0.363923;0.788323;0.356689;0.709649;0.326724;0.689891;0.352774;0.675636;0.29058;0.692655;0.311573;0.799922;0.260099;0.715582;0.28743;0.815454;0.232122;0.745609;0.261214;0.816449
0.427527;0.288192;0.283389;0.91598;0.326758;0.909898;0.363266;0.856068;0.352587;0.778597;0.329744;0.756987;0.349074;0.759582;0.290903;0.765582;0.318709;0.87032;0.258837;0.795465;0.283247;0.889381;0.231546;0.832261;0.251056;0.890809
0.428885;0.287758;0.302758;0.900299;0.337622;0.905302;0.362599;0.899121;0.339995;0.909753;0.325084;0.839837;0.330007;0.977107;0.293718;0.845046;0.299181;0.993006;0.268114;0.868028;0.279838;1.00549;0.250167;0.89901;0.246014;1.00394
0.428716;0.287997;0.316528;0.95087;0.341153;0.936801;0.349041;0.925526;0.345732;0.953194;0.327486;0.863205;0.293605;0.804708;0.30526;0.881749;0.249834;0.806791;0.287457;0.908979;0.231096;0.867778;0.273681;0.938678;0.222;0.917433
0.42806;0.288497;0.319046;0.951542;0.300379;0.931126;0.296899;0.895502;0.307801;0.838383;0.285322;0.872627;0.299345;0.770302;0.298814;0.871648;0.311314;0.784691;0.312864;0.874996;0.321561;0.860658;0.325543;0.880382;0.329331;0.869519
0.428853;0.288171;0.320805;0.945675;0.300381;0.922679;0.292991;0.890002;0.298672;0.828751;0.293297;0.87294;0.304166;0.772208;0.308183;0.871109;0.314191;0.783944;0.321181;0.873916;0.32241;0.855813;0.331267;0.877731;0.326913;0.868424
