face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.591515;0.288423;0.418174;0.961223;0.432869;0.909333;0.461913;0.890449;0.493325;0.888988;0.495087;0.895615;0.495454;0.879984;0.496101;0.917355;0.491785;0.904336;0.488903;0.938277;0.482451;0.925251;0.478016;0.95839;0.470684;0.946379
0.588389;0.287387;0.412262;0.913576;0.430677;0.927928;0.452377;0.929189;0.487475;0.924484;0.472851;0.905027;0.466169;0.924953;0.47075;0.899132;0.467675;0.917399;0.465507;0.894917;0.463351;0.905898;0.458529;0.893017;0.474056;0.884869
0.589222;0.282482;0.41419;0.898037;0.419405;0.935102;0.429604;0.946484;0.440753;0.944857;0.454559;0.914647;0.44531;0.911805;0.457655;0.897326;0.449108;0.892094;0.458063;0.882663;0.450936;0.871184;0.456159;0.870619;0.455987;0.858099
0.58327;0.281051;0.390376;0.606582;0.428297;0.595077;0.449583;0.589167;0.475004;0.59324;0.414171;0.580297;0.430351;0.625957;0.391581;0.592986;0.408959;0.639844;0.373804;0.605912;0.3875;0.645013;0.360022;0.614991;0.371292;0.662321
0.582151;0.279365;0.387454;0.649399;0.424478;0.609917;0.443799;0.575484;0.487426;0.555048;0.392817;0.542204;0.446628;0.568269;0.375179;0.562119;0.447194;0.609685;0.368622;0.592234;0.437584;0.650985;0.367898;0.6208;0.42119;0.675227
0.579603;0.276863;0.390579;0.619874;0.43106;0.588389;0.451004;0.555739;0.495844;0.528008;0.409006;0.523931;0.451247;0.573098;0.389665;0.542878;0.432153;0.594591;0.377438;0.566348;0.41498;0.613537;0.369015;0.586794;0.399567;0.631716
0.580434;0.277501;0.379508;0.633401;0.422044;0.594858;0.446704;0.554644;0.493199;0.51502;0.415709;0.509096;0.471179;0.54325;0.398061;0.527234;0.441067;0.562673;0.38889;0.548485;0.429208;0.587717;0.385081;0.573334;0.423516;0.586175
0.580279;0.275238;0.417689;0.635397;0.466628;0.599329;0.49235;0.552533;0.496844;0.475425;0.460476;0.471625;0.516333;0.42956;0.437022;0.46912;0.461949;0.516157;0.418574;0.482755;0.441664;0.54313;0.404352;0.50653;0.428951;0.561177
0.579797;0.275126;0.429962;0.604132;0.470356;0.589064;0.497045;0.5424;0.494101;0.469814;0.470126;0.462802;0.528215;0.420048;0.444636;0.459867;0.464173;0.511009;0.424446;0.474183;0.446733;0.526475;0.408166;0.497565;0.429286;0.546394
0.57914;0.275736;0.436909;0.598297;0.4764;0.585276;0.501488;0.538244;0.499046;0.458732;0.474676;0.454607;0.528808;0.410841;0.448303;0.451538;0.470184;0.504987;0.427596;0.46803;0.452794;0.523121;0.411687;0.494611;0.438071;0.545287
