face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.46712;0.177622;0.319867;0.800886;0.323787;0.831291;0.329502;0.86275;0.357723;0.900884;0.323838;0.888617;0.357436;0.94715;0.339055;0.885682;0.367221;0.938824;0.350072;0.875314;0.37557;0.909527;0.356475;0.86157;0.382697;0.894856
0.466732;0.188269;0.287046;0.815344;0.286966;0.76177;0.299534;0.726224;0.323577;0.711701;0.302955;0.739482;0.365428;0.692504;0.310341;0.782557;0.375302;0.75696;0.315572;0.825405;0.36146;0.804597;0.315324;0.864759;0.34907;0.845362
0.469786;0.193639;0.30885;0.72684;0.295168;0.782245;0.282193;0.823208;0.267339;0.855782;0.254193;0.823908;0.289024;0.844236;0.262991;0.802908;0.297728;0.803362;0.278203;0.781029;0.311822;0.771941;0.295105;0.757312;0.325032;0.740381
0.467461;0.208441;0.392303;0.491661;0.417781;0.473461;0.435534;0.439355;0.427646;0.40454;0.398704;0.37802;0.418031;0.284239;0.377833;0.382969;0.407556;0.429823;0.363292;0.401419;0.397094;0.448711;0.353362;0.425973;0.386446;0.458217
0.470694;0.208119;0.395703;0.49268;0.421776;0.473869;0.437994;0.438134;0.428685;0.404045;0.400047;0.374637;0.417987;0.280149;0.378044;0.378922;0.410333;0.424686;0.363942;0.39875;0.40032;0.447724;0.354776;0.425265;0.39082;0.458071
0.471229;0.211397;0.388723;0.500075;0.418819;0.480713;0.435058;0.446201;0.429181;0.42046;0.398307;0.376951;0.418156;0.286055;0.375838;0.386026;0.412389;0.43492;0.363438;0.410676;0.398461;0.457037;0.357324;0.441398;0.39166;0.474209
0.466079;0.219099;0.381676;0.510722;0.416963;0.491911;0.432793;0.460674;0.432089;0.443309;0.396237;0.389306;0.416191;0.322948;0.372202;0.399267;0.413409;0.446638;0.35987;0.427261;0.400541;0.470057;0.354259;0.460065;0.396247;0.489882
0.46201;0.217027;0.378915;0.520635;0.416821;0.502719;0.435828;0.476093;0.445672;0.466406;0.396671;0.403335;0.426395;0.354651;0.37163;0.413482;0.412937;0.465363;0.359618;0.4434;0.398491;0.48101;0.354915;0.477563;0.396256;0.504647
0.459366;0.212926;0.384882;0.523298;0.421257;0.508576;0.437215;0.478642;0.444684;0.461647;0.394785;0.400945;0.423351;0.373191;0.369809;0.41677;0.413014;0.467385;0.357755;0.448966;0.400538;0.483974;0.35271;0.482942;0.397154;0.50792
0.459585;0.213426;0.386212;0.52997;0.421855;0.509769;0.437655;0.4787;0.442317;0.461797;0.393966;0.403208;0.426394;0.369656;0.369886;0.420928;0.413667;0.47192;0.358709;0.45368;0.402953;0.491004;0.354091;0.488449;0.397868;0.512883
