face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.458196;0.226938;0.293164;0.815232;0.291193;0.84912;0.285896;0.876135;0.286024;0.889871;0.257436;0.886518;0.29547;0.882565;0.26147;0.87011;0.30272;0.863989;0.27116;0.852241;0.309765;0.847336;0.282338;0.833381;0.315269;0.821414
0.460372;0.231322;0.291011;0.822509;0.28001;0.832645;0.278516;0.842937;0.294873;0.852693;0.263836;0.865131;0.287695;0.845787;0.274975;0.862792;0.291395;0.855642;0.288214;0.85483;0.301531;0.82822;0.301395;0.847864;0.311908;0.823496
0.470651;0.234593;0.389006;0.621784;0.417558;0.604741;0.436686;0.578544;0.444901;0.546756;0.409572;0.525019;0.442164;0.480559;0.390379;0.525123;0.418215;0.567548;0.375661;0.540435;0.400901;0.581737;0.364729;0.559352;0.390055;0.588301
0.45602;0.257634;0.38927;0.582799;0.422834;0.555127;0.443876;0.522608;0.444035;0.498096;0.410258;0.461951;0.450589;0.417517;0.390535;0.467588;0.42077;0.503326;0.377315;0.4867;0.409377;0.524224;0.368193;0.513042;0.399047;0.538551
0.464655;0.249785;0.405124;0.559933;0.431213;0.542683;0.449002;0.510434;0.442529;0.486795;0.420095;0.442923;0.456366;0.397316;0.395892;0.448427;0.427946;0.495907;0.380614;0.470332;0.412878;0.516633;0.370649;0.498651;0.402332;0.52783
0.462119;0.26458;0.403188;0.550854;0.431122;0.535761;0.449532;0.506115;0.448603;0.487852;0.417876;0.439737;0.457519;0.396097;0.39541;0.447055;0.432623;0.490646;0.380893;0.469814;0.415272;0.510193;0.37079;0.498158;0.403685;0.526156
0.464244;0.259688;0.400931;0.555248;0.429576;0.540928;0.448435;0.512743;0.449167;0.493089;0.41825;0.44093;0.456736;0.394459;0.395298;0.448074;0.434872;0.493403;0.380154;0.471727;0.416905;0.51395;0.369842;0.501692;0.404376;0.530229
0.463729;0.266951;0.396315;0.560137;0.426692;0.551289;0.447888;0.525932;0.450539;0.503756;0.420991;0.448715;0.456654;0.416726;0.397746;0.454153;0.435469;0.501619;0.381119;0.476846;0.417463;0.521146;0.370014;0.50601;0.404579;0.538563
0.463136;0.26265;0.395255;0.569351;0.424065;0.556556;0.445741;0.529344;0.452493;0.511378;0.419309;0.45554;0.450459;0.410831;0.396038;0.458311;0.435912;0.513526;0.380347;0.479025;0.417406;0.529409;0.370325;0.508003;0.404218;0.542956
0.465741;0.262541;0.396506;0.574109;0.426198;0.558903;0.448789;0.533286;0.452267;0.516075;0.420862;0.459335;0.453328;0.424531;0.398148;0.465307;0.439512;0.509376;0.381828;0.486748;0.420289;0.531562;0.371073;0.515565;0.405395;0.548748
