face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.465674;0.17213;0.309259;0.700232;0.320872;0.749391;0.312669;0.792165;0.271897;0.823389;0.295083;0.805108;0.252454;0.865607;0.278308;0.77359;0.228298;0.842402;0.268193;0.737417;0.253732;0.783124;0.263511;0.704396;0.271337;0.729706
0.460827;0.181509;0.256293;0.784328;0.230987;0.787966;0.218229;0.805364;0.216347;0.8443;0.230645;0.820118;0.2114;0.875384;0.242831;0.830217;0.215911;0.891653;0.252309;0.837097;0.221179;0.890094;0.259757;0.841256;0.230377;0.889801
0.471198;0.192573;0.346027;0.524639;0.387425;0.484593;0.415711;0.442402;0.419273;0.39896;0.377301;0.375248;0.41922;0.295844;0.355409;0.382286;0.391545;0.404023;0.337323;0.398671;0.373172;0.437615;0.323365;0.421719;0.356648;0.446395
0.469834;0.194371;0.369449;0.483109;0.398501;0.464473;0.422382;0.42262;0.421217;0.388213;0.390949;0.35402;0.431563;0.276519;0.36509;0.360194;0.401826;0.399935;0.345251;0.380915;0.380079;0.430979;0.330084;0.409585;0.363817;0.442708
0.457355;0.190843;0.372585;0.478182;0.406391;0.456117;0.432486;0.415955;0.423285;0.385507;0.395163;0.341459;0.44157;0.268396;0.368887;0.345057;0.407506;0.410144;0.349604;0.36524;0.385375;0.43999;0.335618;0.39366;0.371845;0.444686
0.456711;0.188336;0.379485;0.476995;0.412407;0.457258;0.436573;0.416921;0.433556;0.384622;0.40036;0.340198;0.447473;0.274688;0.373762;0.343617;0.414163;0.406815;0.353996;0.365422;0.391255;0.435;0.339839;0.397054;0.376589;0.447075
0.45243;0.189652;0.382546;0.485715;0.416417;0.466867;0.437757;0.428432;0.443563;0.393871;0.404292;0.346466;0.448171;0.285115;0.377435;0.351208;0.421369;0.417709;0.357585;0.374771;0.395581;0.446665;0.34254;0.406675;0.381005;0.458865
0.455594;0.190664;0.37698;0.500602;0.415222;0.485498;0.439072;0.455121;0.45771;0.418245;0.412795;0.369348;0.444256;0.299667;0.386668;0.371463;0.429843;0.417285;0.364907;0.392146;0.40711;0.449067;0.3457;0.421978;0.38527;0.459358
0.458757;0.189552;0.380612;0.516081;0.419302;0.50303;0.444032;0.473752;0.456731;0.445274;0.414303;0.379195;0.447906;0.318132;0.384973;0.379504;0.432108;0.433251;0.362198;0.402342;0.407478;0.473978;0.343571;0.435978;0.384082;0.488233
0.454914;0.195652;0.382825;0.519121;0.425813;0.503303;0.447848;0.47488;0.466947;0.457878;0.41499;0.385503;0.448774;0.357666;0.384153;0.385755;0.423326;0.464756;0.3608;0.410974;0.405653;0.490168;0.342695;0.446591;0.384822;0.509155
