face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.481997;0.250163;3.65448e-39;7.71173e-39;1.7862e-39;4.84891e-39;8.70142e-40;2.34609e-39;-1.02224e-39;-9.88151e-40;5.4866e-39;4.61749e-39;7.07162e-39;3.79464e-39;7.60197e-39;5.87747e-39;9.94636e-39;4.30892e-39;9.17494e-39;7.04317e-39;1.20075e-38;5.14891e-39;1.01874e-38;8.1403e-39;1.30019e-38;5.84319e-39
0.46238;0.204269;0.445628;0.976202;0.467881;0.995257;0.487788;1.00345;0.513312;1.00639;0.498847;0.992309;0.50279;0.980776;0.493389;0.976278;0.493417;0.974046;0.4864;0.963013;0.481706;0.964555;0.479092;0.951765;0.475293;0.957692
0.462329;0.217277;0.450846;0.926567;0.470137;0.924611;0.495254;0.932313;0.527612;0.952816;0.508794;0.939587;0.573242;0.966101;0.506106;0.946086;0.574851;0.973002;0.499746;0.949864;0.540977;0.961727;0.490817;0.952043;0.52064;0.953609
0.45745;0.234019;0.43614;0.897368;0.452511;0.932501;0.473176;0.956059;0.504283;0.973363;0.489718;0.960141;0.527156;0.969184;0.491782;0.94282;0.525408;0.951125;0.48954;0.924631;0.514768;0.931326;0.484161;0.905155;0.504199;0.91492
0.4547;0.234782;0.485509;0.646332;0.506329;0.606008;0.519905;0.57929;0.549931;0.538206;0.561108;0.550607;0.597544;0.545017;0.565754;0.575377;0.589635;0.577255;0.563069;0.603711;0.574635;0.601454;0.555073;0.629517;0.560132;0.628889
0.457416;0.240075;0.474897;0.598025;0.468545;0.54626;0.474351;0.510891;0.498659;0.466826;0.514987;0.506476;0.583482;0.470977;0.527406;0.530831;0.593394;0.479404;0.534884;0.555971;0.591804;0.498625;0.53781;0.579136;0.576142;0.526674
0.45474;0.251053;0.476695;0.576184;0.467716;0.529005;0.469525;0.492716;0.504729;0.456562;0.517411;0.482077;0.575886;0.441392;0.532973;0.502542;0.586958;0.449847;0.542162;0.525196;0.588375;0.479425;0.547108;0.547078;0.58352;0.506349
0.46145;0.243712;0.464003;0.555631;0.455523;0.512344;0.459881;0.480913;0.486784;0.443061;0.502954;0.470287;0.562942;0.420366;0.515805;0.488256;0.574747;0.426797;0.523799;0.507539;0.57832;0.449135;0.527462;0.528423;0.572536;0.479904
0.451335;0.252342;0.46097;0.53789;0.453042;0.49971;0.456638;0.473038;0.482241;0.444659;0.499396;0.458855;0.555101;0.413879;0.51122;0.474627;0.567022;0.425498;0.517905;0.493197;0.570252;0.445173;0.520905;0.515016;0.565861;0.470517
0.451494;0.25427;0.455333;0.540636;0.447821;0.502237;0.452622;0.471921;0.477071;0.432766;0.489242;0.461453;0.548308;0.411985;0.50145;0.476796;0.56332;0.422326;0.509248;0.495638;0.566694;0.440885;0.513679;0.517941;0.561748;0.465978
0.445137;0.253791;0.454425;0.54562;0.450836;0.502982;0.45678;0.474149;0.483948;0.435412;0.49752;0.461348;0.549768;0.412624;0.507924;0.478193;0.562096;0.422719;0.513934;0.497555;0.566521;0.443293;0.51567;0.519396;0.56032;0.469795
0.441828;0.258168;0.465419;0.548041;0.459447;0.513958;0.460727;0.489958;0.47754;0.4507;0.513774;0.487952;0.534008;0.447643;0.525885;0.503255;0.541839;0.459306;0.530803;0.515679;0.542382;0.472525;0.529164;0.525624;0.541615;0.490382
0.446493;0.263438;0.454958;0.554664;0.44677;0.519304;0.451519;0.493108;0.467956;0.455329;0.489979;0.491543;0.540872;0.463159;0.500471;0.507114;0.555367;0.474355;0.506482;0.526115;0.557495;0.490552;0.509247;0.547408;0.552401;0.512561
0.445984;0.270069;0.4539;0.555451;0.447308;0.519164;0.45239;0.492578;0.4679;0.454984;0.489629;0.491993;0.543034;0.464192;0.498966;0.508373;0.555938;0.47695;0.504092;0.527773;0.55628;0.492697;0.506243;0.549771;0.549801;0.514495
0.450532;0.268762;0.453506;0.556459;0.446607;0.520108;0.451216;0.494262;0.468563;0.458668;0.486729;0.49431;0.541664;0.465118;0.495709;0.510255;0.554756;0.477022;0.500881;0.528918;0.554473;0.491177;0.503628;0.550104;0.548659;0.51192
0.455273;0.269829;0.456334;0.557938;0.448153;0.522749;0.451997;0.495562;0.465966;0.458076;0.487278;0.494804;0.53907;0.462153;0.497292;0.510445;0.554294;0.473168;0.503622;0.528437;0.555407;0.489264;0.507687;0.548998;0.55;0.509879
0.457119;0.269084;0.452463;0.558054;0.44628;0.521014;0.450572;0.492541;0.467824;0.450593;0.486882;0.490673;0.539227;0.451381;0.497474;0.50595;0.555439;0.464786;0.503628;0.523535;0.558593;0.482338;0.507101;0.544644;0.553334;0.503578
0.45236;0.269613;0.452487;0.550195;0.446153;0.512186;0.44985;0.483054;0.465625;0.439482;0.487199;0.480914;0.54228;0.438628;0.498049;0.496871;0.559904;0.450831;0.50457;0.515385;0.561939;0.468575;0.508132;0.537186;0.555956;0.494558
0.450681;0.270598;0.448548;0.545205;0.442458;0.505687;0.446344;0.47713;0.46215;0.43244;0.484923;0.468282;0.546705;0.429128;0.496078;0.48557;0.561828;0.439137;0.502764;0.506731;0.563547;0.457538;0.505995;0.530509;0.556211;0.486855
0.452887;0.279169;0.446902;0.543167;0.441071;0.502441;0.44589;0.471544;0.461265;0.421727;0.484311;0.465452;0.547794;0.417949;0.495;0.481947;0.564767;0.43052;0.50145;0.502462;0.565438;0.449709;0.504711;0.526217;0.556376;0.479371
0.452712;0.282114;0.448376;0.54026;0.441534;0.503493;0.444645;0.473898;0.456012;0.423737;0.485028;0.463489;0.545603;0.419067;0.496217;0.479622;0.562976;0.428251;0.502897;0.50033;0.565828;0.447334;0.505439;0.523853;0.556293;0.47661
