face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.469339;0.214874;0.0480625;0.944543;0.0855539;0.934942;0.108431;0.907737;0.137875;0.879443;0.0804625;0.860106;0.0794416;0.770666;0.057213;0.863372;0.0422722;0.870551;0.0372233;0.879307;0.0254129;0.909162;0.0226317;0.89859;0.0166954;0.928658
0.443115;0.280686;0.240585;0.435013;0.278055;0.442136;0.302478;0.433689;0.32427;0.402515;0.303395;0.36217;0.3118;0.368012;0.288345;0.345866;0.298898;0.351351;0.272301;0.339692;0.283695;0.340207;0.256164;0.340693;0.267677;0.341702
0.44017;0.276302;0.255913;0.425131;0.28228;0.432885;0.303925;0.425791;0.330513;0.402796;0.297769;0.39345;0.324994;0.331183;0.28467;0.382573;0.310166;0.31339;0.270541;0.376719;0.292066;0.315453;0.256388;0.37517;0.266026;0.325829
0.446289;0.287153;0.232252;0.461469;0.259452;0.461998;0.283454;0.451914;0.305864;0.428501;0.27635;0.399767;0.284829;0.365508;0.259819;0.391641;0.267949;0.35366;0.24351;0.390805;0.248869;0.358363;0.226323;0.396275;0.224649;0.3691
0.446426;0.282639;0.233844;0.46394;0.259552;0.461215;0.282238;0.448984;0.308373;0.423839;0.273743;0.407601;0.286485;0.360181;0.257729;0.400103;0.268688;0.347619;0.241258;0.399886;0.250534;0.352244;0.224122;0.405541;0.221307;0.363678
0.452423;0.293576;0.229493;0.469166;0.248654;0.452589;0.263594;0.43503;0.286987;0.413715;0.240915;0.381899;0.240502;0.361142;0.223523;0.382945;0.223249;0.366668;0.208966;0.391455;0.205161;0.370988;0.196163;0.404719;0.186947;0.384067
0.454147;0.287196;0.226783;0.474475;0.232092;0.459405;0.238515;0.443935;0.266992;0.423737;0.223773;0.394033;0.241552;0.381476;0.225112;0.389907;0.242821;0.379889;0.228347;0.393521;0.244206;0.386006;0.232747;0.402631;0.247433;0.395329
0.449432;0.272135;0.254607;0.444185;0.276515;0.454278;0.295946;0.447977;0.322107;0.427083;0.29257;0.409562;0.309791;0.372074;0.280086;0.39982;0.293796;0.358817;0.266833;0.396892;0.276486;0.357484;0.25286;0.399731;0.255633;0.371997
0.470493;0.269618;0.251897;0.497651;0.269428;0.488408;0.281123;0.47219;0.298549;0.453704;0.281922;0.415336;0.287148;0.358218;0.268172;0.412097;0.268005;0.354782;0.255395;0.417573;0.247336;0.374437;0.24407;0.431477;0.231102;0.402675
0.472299;0.264355;0.253915;0.508964;0.267846;0.494454;0.277178;0.478351;0.289011;0.455387;0.28674;0.438503;0.303016;0.383811;0.279954;0.429793;0.29934;0.362059;0.271387;0.427858;0.292001;0.361457;0.261072;0.432086;0.267871;0.375843
0.469182;0.256278;0.261166;0.499558;0.273517;0.492542;0.280978;0.475917;0.288277;0.45506;0.278093;0.43721;0.279205;0.413016;0.270783;0.433999;0.26665;0.401057;0.264975;0.439492;0.259401;0.411784;0.258877;0.449696;0.252821;0.43272
0.45864;0.25649;0.262469;0.496941;0.271549;0.467481;0.274095;0.448099;0.275601;0.424316;0.26976;0.443102;0.264845;0.423775;0.26492;0.450052;0.260367;0.431071;0.261163;0.459993;0.257061;0.445346;0.257219;0.471492;0.252202;0.461133
0.448397;0.205892;0.261697;0.502104;0.251103;0.484794;0.246603;0.471982;0.238346;0.454745;0.264268;0.45792;0.267442;0.420505;0.268025;0.464144;0.265145;0.432555;0.268374;0.47408;0.251072;0.452438;0.266033;0.486277;0.245495;0.473185
0.442912;0.192539;0.258329;0.509521;0.248555;0.490545;0.242287;0.476391;0.225967;0.461945;0.263623;0.462871;0.258232;0.437532;0.267558;0.47042;0.244871;0.455823;0.266604;0.481672;0.241325;0.468261;0.263214;0.494479;0.241076;0.483312
