face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.479829;0.371394;0.245026;1.02089;0.281826;0.961846;0.302186;0.890268;0.282611;0.804807;0.253354;0.87942;0.262779;0.859222;0.219926;0.895578;0.237348;0.894792;0.193187;0.917054;0.212793;0.91585;0.17087;0.941446;0.190315;0.938101
0.48241;0.382426;0.227524;0.888586;0.255657;0.82305;0.269149;0.766658;0.286675;0.68144;0.231961;0.738448;0.244156;0.683323;0.211569;0.753046;0.223806;0.706425;0.19435;0.774904;0.199381;0.730198;0.179247;0.801221;0.179803;0.758529
0.479629;0.396619;0.225114;0.750905;0.276544;0.724871;0.317807;0.686735;0.367824;0.61463;0.296102;0.619839;0.340017;0.524146;0.273583;0.604707;0.31503;0.495575;0.250107;0.601014;0.280016;0.498821;0.224598;0.606457;0.231365;0.518057
0.477512;0.398392;0.221473;0.636631;0.267351;0.614489;0.304523;0.577245;0.343441;0.515589;0.284137;0.50663;0.304017;0.407789;0.259392;0.503138;0.279925;0.392737;0.236669;0.51322;0.248951;0.409659;0.214102;0.533427;0.208157;0.452606
0.478047;0.391172;0.193705;0.597407;0.233838;0.569706;0.263358;0.525513;0.300481;0.453926;0.229837;0.465093;0.242901;0.347402;0.202648;0.463148;0.206269;0.338009;0.176905;0.473374;0.170926;0.363636;0.152192;0.493733;0.129833;0.411351
0.476502;0.389246;0.199413;0.566812;0.237317;0.558626;0.268882;0.525007;0.305505;0.473595;0.251626;0.430596;0.260337;0.401191;0.221336;0.432705;0.229063;0.403924;0.192956;0.444555;0.198019;0.415268;0.166463;0.466616;0.160653;0.436636
0.474191;0.38912;0.206049;0.572764;0.245568;0.571608;0.282997;0.545399;0.328613;0.505407;0.279259;0.455133;0.304422;0.40616;0.250892;0.446895;0.2683;0.405389;0.222615;0.45091;0.237456;0.4145;0.194492;0.466187;0.195565;0.43217
0.470926;0.387275;0.211065;0.581565;0.255785;0.582657;0.295835;0.560469;0.345601;0.508715;0.282756;0.49768;0.328646;0.387208;0.257824;0.483174;0.298773;0.36049;0.23154;0.478601;0.265729;0.375795;0.204517;0.482365;0.211947;0.399524
0.472162;0.387884;0.209019;0.563864;0.254148;0.565275;0.292783;0.542361;0.344255;0.493736;0.281414;0.485187;0.322649;0.380573;0.257765;0.474359;0.295549;0.365413;0.231815;0.473332;0.2626;0.378848;0.204866;0.48022;0.206348;0.405965
0.473379;0.386171;0.20748;0.543694;0.24601;0.537065;0.284089;0.509674;0.325189;0.474586;0.271728;0.425309;0.293174;0.398089;0.243473;0.421792;0.260541;0.394713;0.21543;0.429692;0.23065;0.404378;0.186594;0.447738;0.191829;0.427287
0.474095;0.385166;0.193376;0.533591;0.227744;0.521529;0.260247;0.487675;0.293051;0.43964;0.238622;0.403416;0.249835;0.384524;0.209415;0.406884;0.216101;0.383662;0.182457;0.419977;0.188157;0.405699;0.157402;0.442295;0.157379;0.429206
0.475512;0.38336;0.178149;0.554449;0.218993;0.530084;0.247984;0.492358;0.280467;0.429812;0.214572;0.437231;0.221841;0.319863;0.187486;0.437519;0.186251;0.314323;0.162163;0.448064;0.152311;0.344518;0.1381;0.467633;0.11413;0.392289
0.473854;0.379788;0.181927;0.548375;0.221469;0.532914;0.250646;0.500951;0.285821;0.440273;0.227446;0.430194;0.232318;0.327781;0.199601;0.42879;0.203762;0.319061;0.172;0.439293;0.168531;0.338528;0.144293;0.459013;0.124938;0.383083
0.472854;0.3778;0.204908;0.538012;0.247409;0.5388;0.281995;0.510019;0.308881;0.476649;0.26587;0.398315;0.269001;0.411259;0.232049;0.395217;0.23862;0.405422;0.199911;0.405697;0.207492;0.418899;0.169999;0.424689;0.177572;0.433994
0.47059;0.376124;0.204009;0.566399;0.246612;0.570498;0.285279;0.543498;0.335158;0.501503;0.276531;0.472941;0.314929;0.374964;0.251117;0.46032;0.279768;0.350753;0.224646;0.460103;0.250361;0.369371;0.197607;0.46901;0.198719;0.392911
0.471448;0.377018;0.204744;0.571994;0.249631;0.57297;0.288476;0.549314;0.335765;0.496644;0.275568;0.493048;0.316829;0.380638;0.252984;0.480425;0.29025;0.359165;0.228628;0.477426;0.259349;0.377228;0.202755;0.482255;0.208285;0.400827
0.472434;0.37609;0.202956;0.558961;0.243308;0.55701;0.278794;0.531124;0.320407;0.492641;0.270497;0.448876;0.296135;0.38592;0.244238;0.441459;0.272898;0.372554;0.217994;0.44545;0.245803;0.383121;0.191639;0.459996;0.199825;0.409443
0.473499;0.373885;0.201113;0.557611;0.236375;0.543806;0.266406;0.510736;0.299055;0.457605;0.247875;0.418249;0.248944;0.395447;0.217775;0.420229;0.217163;0.402337;0.190441;0.431528;0.190469;0.421351;0.165238;0.453133;0.163381;0.437968
0.473611;0.373871;0.188044;0.572925;0.228725;0.552239;0.259813;0.517002;0.292633;0.447964;0.228308;0.456561;0.237092;0.338779;0.200468;0.454638;0.202151;0.327799;0.174486;0.463581;0.163841;0.356538;0.150154;0.481707;0.12822;0.403683
0.47381;0.374046;0.19466;0.573142;0.235519;0.558778;0.266606;0.525261;0.300387;0.459912;0.241609;0.450236;0.252409;0.345482;0.213023;0.447139;0.219424;0.33545;0.185127;0.456409;0.185108;0.36076;0.157879;0.475112;0.144633;0.403098
0.472485;0.376017;0.200415;0.583136;0.241888;0.575988;0.277524;0.543593;0.320875;0.479185;0.260777;0.466649;0.282887;0.363364;0.234816;0.458364;0.254131;0.347857;0.207967;0.463051;0.221588;0.369416;0.180172;0.47807;0.175448;0.404701
0.473671;0.376736;0.201562;0.586389;0.245555;0.580928;0.28137;0.550329;0.324475;0.483447;0.262743;0.489171;0.291359;0.371439;0.238167;0.479718;0.265443;0.356283;0.212764;0.481817;0.233551;0.377916;0.186274;0.492925;0.186264;0.412728
0.472939;0.374183;0.200386;0.57834;0.239967;0.569779;0.273831;0.53822;0.315125;0.475336;0.257314;0.472245;0.278364;0.367536;0.232005;0.466695;0.250895;0.360452;0.20572;0.47283;0.219979;0.381966;0.178693;0.488599;0.17288;0.41818
0.473864;0.371018;0.192552;0.587252;0.234562;0.569317;0.266144;0.534863;0.298577;0.461597;0.240786;0.467839;0.254287;0.357618;0.212745;0.464061;0.224142;0.34767;0.185067;0.471703;0.189486;0.373855;0.157379;0.490229;0.143115;0.413238
0.478514;0.369189;0.192729;0.59682;0.233951;0.575977;0.265767;0.538747;0.298287;0.466413;0.236269;0.476121;0.244116;0.356061;0.208514;0.473488;0.215492;0.346742;0.18165;0.482101;0.174777;0.373013;0.155708;0.501122;0.136384;0.419266
0.480479;0.372431;0.19556;0.603684;0.238296;0.587517;0.272339;0.552889;0.309343;0.481431;0.251861;0.484742;0.260267;0.373593;0.224706;0.47776;0.241686;0.355549;0.1968;0.483048;0.201453;0.375539;0.168105;0.499707;0.156887;0.417542
0.482684;0.374283;0.199153;0.614976;0.242859;0.606392;0.279984;0.573756;0.322443;0.50045;0.258945;0.51114;0.287648;0.3962;0.233156;0.500533;0.256907;0.371421;0.206543;0.501913;0.222988;0.393958;0.178797;0.513798;0.174693;0.431607
0.48469;0.380066;0.198638;0.627842;0.242055;0.614997;0.278147;0.577859;0.318721;0.504111;0.256834;0.512915;0.282905;0.398677;0.229954;0.503243;0.252405;0.37872;0.202439;0.505691;0.218435;0.399714;0.174422;0.518327;0.171621;0.435404
0.487063;0.381344;0.191615;0.631575;0.234353;0.618123;0.266587;0.578268;0.30136;0.496996;0.243203;0.50213;0.259789;0.389164;0.21407;0.495774;0.224859;0.378515;0.185702;0.503195;0.189603;0.397858;0.158362;0.521074;0.146402;0.438393
0.490752;0.387038;0.184694;0.655449;0.228118;0.63133;0.257109;0.587388;0.287505;0.494059;0.222179;0.521826;0.233565;0.390923;0.193722;0.51912;0.205129;0.377585;0.166627;0.529046;0.161455;0.403651;0.141174;0.549981;0.123174;0.453022
0.493062;0.387501;0.179315;0.698953;0.224262;0.664985;0.253261;0.611821;0.278159;0.508451;0.216903;0.546602;0.2208;0.409189;0.187711;0.545541;0.193191;0.395202;0.160247;0.558504;0.148187;0.425984;0.134996;0.582424;0.114557;0.471488
0.496907;0.389562;0.188217;0.764838;0.236401;0.724893;0.265317;0.664375;0.281846;0.556262;0.225121;0.599258;0.231051;0.455411;0.193903;0.597606;0.198152;0.43711;0.1649;0.610207;0.157638;0.460718;0.138178;0.633831;0.114487;0.510386
0.498965;0.387;0.208186;0.855513;0.25922;0.806866;0.285569;0.736538;0.298629;0.619465;0.236553;0.663196;0.243189;0.515091;0.203068;0.662491;0.201345;0.497326;0.173605;0.67758;0.161739;0.519015;0.147866;0.705018;0.118876;0.575738
0.499096;0.394906;0.216625;0.937785;0.26848;0.902112;0.296162;0.833091;0.308841;0.707893;0.251414;0.756084;0.273479;0.615991;0.215205;0.752288;0.224228;0.577317;0.182858;0.768374;0.16654;0.595382;0.154154;0.799627;0.123428;0.672603
0.506911;0.396606;0.219276;1.058;0.27966;0.973935;0.310974;0.886257;0.328046;0.724657;0.267424;0.813821;0.330523;0.672585;0.230394;0.824352;0.289612;0.723324;0.199424;0.847963;0.240885;0.743173;0.17275;0.881286;0.181248;0.776318
