face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.424274;0.157464;0.173377;0.580052;0.194039;0.556792;0.206268;0.533291;0.220238;0.504865;0.170531;0.528716;0.174831;0.543682;0.157678;0.545506;0.170533;0.570862;0.149551;0.563638;0.164769;0.589292;0.144401;0.580208;0.153401;0.604559
0.428877;0.170718;0.18592;0.578205;0.200381;0.555872;0.205129;0.531956;0.189629;0.51146;0.176503;0.538158;0.174516;0.578931;0.165174;0.552046;0.166218;0.600873;0.158426;0.564452;0.164183;0.60115;0.154908;0.573105;0.155699;0.597899
0.434421;0.177973;0.195896;0.572027;0.201684;0.555467;0.199812;0.539732;0.196232;0.52189;0.172245;0.535734;0.157965;0.546832;0.166849;0.543798;0.151555;0.558579;0.164409;0.553079;0.156451;0.567681;0.164325;0.562093;0.156135;0.568749
0.447818;0.188982;0.250851;0.71454;0.240994;0.720406;0.23011;0.724806;0.217024;0.720011;0.213047;0.706756;0.200987;0.712646;0.216396;0.701037;0.208154;0.705922;0.22286;0.697749;0.216576;0.705809;0.231143;0.697151;0.224757;0.704186
0.454577;0.199521;0.257652;0.718841;0.244356;0.729843;0.232586;0.732495;0.217115;0.720765;0.214383;0.711174;0.201919;0.723532;0.216676;0.700971;0.205845;0.714553;0.222035;0.693959;0.211489;0.708455;0.229249;0.690425;0.217314;0.702551
0.457402;0.208273;0.262427;0.720867;0.242486;0.710232;0.225842;0.702353;0.204221;0.703655;0.224827;0.689633;0.206393;0.70905;0.228553;0.696094;0.214522;0.7186;0.233828;0.705472;0.223175;0.72747;0.240116;0.717585;0.229821;0.735758
0.456273;0.213125;0.252889;0.716817;0.239322;0.705387;0.224575;0.698668;0.206262;0.699965;0.219654;0.690936;0.206201;0.706751;0.223187;0.696592;0.213244;0.712119;0.228734;0.703954;0.220606;0.720291;0.235431;0.713196;0.227078;0.727002
0.462336;0.214633;0.252323;0.717609;0.239959;0.708933;0.225701;0.702911;0.208023;0.704609;0.220255;0.693593;0.207266;0.708529;0.224098;0.698627;0.213734;0.714305;0.229847;0.705288;0.221889;0.722031;0.236655;0.713835;0.228534;0.728464
0.47384;0.223165;0.248354;0.717484;0.238503;0.7037;0.227938;0.695327;0.214006;0.697856;0.231804;0.693556;0.216761;0.704481;0.235991;0.703166;0.223842;0.71599;0.240544;0.713785;0.233266;0.727002;0.2447;0.72544;0.238548;0.737689
0.468191;0.249383;0.241431;0.73577;0.244516;0.724137;0.243525;0.7116;0.241194;0.696465;0.231375;0.712201;0.216286;0.695307;0.228392;0.71742;0.211877;0.700887;0.227442;0.724369;0.224504;0.718274;0.228078;0.732092;0.228646;0.730291
0.47559;0.262847;0.25086;0.456377;0.277079;0.451091;0.298026;0.432085;0.311779;0.392421;0.276976;0.382034;0.283105;0.33225;0.259513;0.375432;0.263243;0.326327;0.243473;0.377437;0.248227;0.339857;0.227775;0.38696;0.233272;0.364163
0.471454;0.26467;0.255579;0.715787;0.241293;0.704744;0.227325;0.697159;0.210028;0.697463;0.224749;0.692618;0.204048;0.703902;0.228896;0.699325;0.210244;0.714206;0.234688;0.707639;0.219326;0.724425;0.240749;0.718327;0.227475;0.732671
0.472484;0.260085;0.258519;0.71912;0.243056;0.70298;0.226934;0.693873;0.206334;0.700133;0.2244;0.689405;0.202846;0.708478;0.227926;0.698615;0.206812;0.723018;0.233096;0.709627;0.214189;0.731775;0.238744;0.722426;0.223527;0.738761
0.482212;0.253721;0.259534;0.720762;0.242464;0.7051;0.227411;0.696623;0.208307;0.702564;0.229842;0.691038;0.20642;0.708129;0.23312;0.699823;0.212417;0.7216;0.238032;0.710795;0.221514;0.729805;0.242943;0.723587;0.228898;0.739328
0.482303;0.241364;0.258742;0.721612;0.2487;0.707574;0.236501;0.700188;0.218375;0.703864;0.238676;0.695054;0.215916;0.703664;0.238725;0.703586;0.221647;0.716351;0.239515;0.715179;0.230091;0.727219;0.239793;0.727686;0.231887;0.735129
0.466777;0.214797;0.256064;0.722345;0.240673;0.713565;0.225542;0.706666;0.207712;0.703105;0.218313;0.696621;0.203499;0.709234;0.22247;0.702066;0.210677;0.715756;0.229432;0.709408;0.220128;0.722671;0.237895;0.719166;0.228835;0.730356
0.461314;0.204584;0.258209;0.722707;0.244039;0.703633;0.230075;0.694715;0.209612;0.699697;0.227882;0.692545;0.210379;0.705557;0.22938;0.703479;0.215794;0.718594;0.233168;0.715452;0.223881;0.727375;0.237837;0.728084;0.230741;0.736862
0.449959;0.198398;0.257473;0.720325;0.247481;0.704442;0.235717;0.697216;0.21889;0.70319;0.234088;0.696198;0.218176;0.708977;0.235253;0.705409;0.223621;0.721099;0.237652;0.716829;0.233943;0.730378;0.240128;0.729756;0.237143;0.738121
0.443777;0.189471;0.255589;0.727561;0.249209;0.713908;0.241155;0.706842;0.228821;0.705487;0.235745;0.708417;0.217519;0.701532;0.235661;0.714556;0.218569;0.708176;0.237216;0.722485;0.235109;0.722266;0.239233;0.731639;0.235216;0.730853
0.435453;0.174695;0.241697;0.737299;0.239992;0.721395;0.237083;0.709272;0.232581;0.694579;0.228348;0.714038;0.233687;0.705952;0.227697;0.719643;0.23573;0.713041;0.228401;0.725963;0.236278;0.722286;0.229821;0.732081;0.2354;0.728773
