face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.553174;0.342379;0.208243;0.872139;0.170399;0.843501;0.140885;0.807624;0.101441;0.748529;0.135854;0.719534;0.0335106;0.697245;0.149694;0.728129;0.0471375;0.712882;0.168665;0.748704;0.0787026;0.737148;0.190848;0.779276;0.12649;0.75914
0.565955;0.334376;0.274289;0.740715;0.24487;0.739003;0.215324;0.720115;0.164328;0.699355;0.210865;0.618827;0.163707;0.512042;0.216707;0.591218;0.154682;0.447178;0.225347;0.580772;0.170719;0.42974;0.233705;0.587504;0.196445;0.463956
0.567767;0.339014;0.344797;0.697725;0.402648;0.666299;0.435628;0.61711;0.472707;0.519964;0.392618;0.51725;0.397151;0.383081;0.359432;0.50863;0.351414;0.353973;0.330679;0.516706;0.316121;0.363562;0.30434;0.538974;0.281975;0.422621
0.568082;0.342657;0.380731;0.651053;0.431796;0.656744;0.477961;0.617632;0.535423;0.538091;0.453501;0.531478;0.515861;0.403676;0.422507;0.509327;0.464459;0.355166;0.39057;0.50678;0.42494;0.35456;0.357934;0.520672;0.355793;0.395746
0.569395;0.341151;0.390497;0.632521;0.442875;0.633024;0.489054;0.594015;0.544687;0.514081;0.465828;0.510667;0.532931;0.386652;0.435813;0.490919;0.482996;0.342701;0.404574;0.487858;0.442951;0.343784;0.372689;0.497765;0.376936;0.376722
0.568428;0.34075;0.391093;0.595351;0.445013;0.590827;0.487313;0.548072;0.534968;0.473023;0.461467;0.474842;0.520656;0.353025;0.431915;0.454817;0.471598;0.304365;0.402221;0.45326;0.43909;0.306503;0.371956;0.465886;0.36543;0.347225
0.568529;0.338263;0.382216;0.545106;0.432405;0.542133;0.468843;0.496026;0.514491;0.41806;0.436315;0.433563;0.482862;0.300214;0.405619;0.420262;0.434766;0.259038;0.375789;0.422309;0.399059;0.267992;0.347815;0.437378;0.332594;0.316116
0.570458;0.331047;0.360049;0.524549;0.415086;0.510622;0.450697;0.459674;0.487803;0.378122;0.410245;0.400951;0.445686;0.259079;0.375986;0.392431;0.388354;0.237396;0.345022;0.397158;0.352273;0.253562;0.316455;0.413084;0.296405;0.312597
0.574334;0.335373;0.356075;0.511981;0.409995;0.489645;0.443088;0.44117;0.477158;0.357728;0.393917;0.37994;0.417363;0.236694;0.359699;0.37532;0.357881;0.219168;0.329656;0.382472;0.317467;0.234799;0.302835;0.399777;0.273026;0.290566
0.577374;0.333018;0.363684;0.501948;0.420293;0.484557;0.452456;0.432272;0.481792;0.353297;0.404388;0.371633;0.426866;0.233041;0.369303;0.362967;0.363748;0.215183;0.339023;0.367571;0.325919;0.226903;0.311951;0.384153;0.285702;0.282235
