face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.457365;0.153908;0.532607;0.856341;0.552095;0.885473;0.586952;0.904496;0.626228;0.910963;0.635089;0.912296;0.721133;0.946842;0.630853;0.886771;0.70846;0.915354;0.616754;0.863108;0.653139;0.863969;0.597425;0.840611;0.630069;0.848741
0.447541;0.171042;0.519179;0.765275;0.556225;0.745647;0.592019;0.737526;0.637942;0.731417;0.629512;0.769039;0.71979;0.784826;0.620013;0.771709;0.709779;0.777886;0.601669;0.772525;0.664239;0.746624;0.578087;0.7679;0.601654;0.723933
0.445676;0.17876;0.538981;0.684565;0.568979;0.64908;0.601233;0.638776;0.644144;0.633521;0.645078;0.664421;0.724212;0.676397;0.636921;0.675541;0.714841;0.680051;0.620568;0.683819;0.679365;0.679299;0.598626;0.688004;0.633632;0.6642
0.444033;0.194919;0.550521;0.647139;0.566342;0.610568;0.595825;0.589391;0.637966;0.58262;0.634292;0.610459;0.712231;0.613881;0.631092;0.628468;0.706909;0.626615;0.622454;0.643214;0.672222;0.632367;0.608281;0.651585;0.64156;0.624061
0.443977;0.190634;0.561523;0.594362;0.589173;0.568638;0.620484;0.556919;0.664748;0.547084;0.643993;0.564235;0.704648;0.549028;0.636634;0.571908;0.691978;0.556685;0.622592;0.581957;0.669923;0.569978;0.604699;0.589287;0.644058;0.573653
0.441108;0.198665;0.566137;0.564921;0.579665;0.509046;0.599816;0.486539;0.632542;0.487055;0.646075;0.506903;0.687245;0.493018;0.645648;0.535207;0.671667;0.525016;0.637809;0.558611;0.657622;0.543261;0.62463;0.574763;0.641625;0.558409
0.444511;0.213985;0.552116;0.541926;0.559046;0.496918;0.578214;0.469564;0.614557;0.466466;0.613654;0.477823;0.678931;0.456643;0.618046;0.499919;0.675582;0.469408;0.616593;0.52169;0.664416;0.493676;0.609935;0.542291;0.642298;0.513395
0.434952;0.21543;0.556997;0.511192;0.556823;0.468377;0.568812;0.438884;0.59222;0.433502;0.609973;0.441257;0.651741;0.431566;0.614264;0.466713;0.649369;0.456614;0.611919;0.492603;0.64113;0.479411;0.604148;0.5152;0.628314;0.498758
0.443113;0.217266;0.547579;0.500419;0.54468;0.456322;0.553709;0.424178;0.585522;0.41694;0.596694;0.425007;0.646797;0.403588;0.60486;0.448026;0.645816;0.423857;0.606785;0.469579;0.642956;0.442049;0.603368;0.490435;0.632106;0.462272
0.4405;0.208814;0.546164;0.483818;0.539498;0.440984;0.547781;0.414324;0.574304;0.396656;0.586887;0.410401;0.627599;0.38627;0.595523;0.429456;0.637084;0.398302;0.599203;0.449993;0.639088;0.418997;0.598174;0.47116;0.630477;0.440587
