face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.428213;0.27487;0.318923;0.959127;0.32581;0.894838;0.349596;0.846503;0.398043;0.806569;0.358304;0.880576;0.465735;0.831427;0.372812;0.92792;0.479814;0.847445;0.387234;0.965388;0.486321;0.879646;0.399922;0.989579;0.478619;0.911448
0.420679;0.283112;0.391644;0.88171;0.393869;0.812819;0.409427;0.763201;0.454823;0.709445;0.447687;0.775695;0.526148;0.6918;0.465811;0.806306;0.542369;0.710146;0.47599;0.835005;0.544128;0.748086;0.481136;0.859617;0.537495;0.784197
0.411372;0.295135;0.442166;0.796598;0.433426;0.738377;0.447072;0.687639;0.491123;0.622649;0.489099;0.680068;0.556241;0.584553;0.506592;0.701522;0.57153;0.592663;0.516707;0.724071;0.574854;0.621182;0.520942;0.746104;0.565605;0.65357
0.4122;0.286767;0.461549;0.744489;0.445261;0.695654;0.458237;0.651541;0.502388;0.584155;0.503599;0.641805;0.564099;0.53345;0.521418;0.659889;0.57853;0.543056;0.528938;0.678714;0.579552;0.573235;0.529782;0.69593;0.56826;0.608345
0.412331;0.284698;0.471898;0.718305;0.451749;0.675151;0.463396;0.634762;0.504784;0.568246;0.505549;0.628163;0.56382;0.514825;0.522717;0.642059;0.574216;0.5199;0.529666;0.65593;0.570685;0.548554;0.530968;0.669027;0.560776;0.57867
0.40761;0.292616;0.473393;0.708651;0.454258;0.667505;0.466864;0.627761;0.506984;0.561796;0.508321;0.620143;0.562984;0.502079;0.52464;0.631913;0.574885;0.505853;0.531346;0.643583;0.568309;0.532196;0.532732;0.655558;0.561816;0.561084
0.409241;0.295738;0.471195;0.713451;0.454557;0.669065;0.466072;0.6293;0.505565;0.562007;0.506325;0.619804;0.561155;0.502188;0.522422;0.631352;0.574069;0.509027;0.528884;0.643157;0.564529;0.538386;0.529905;0.65577;0.560343;0.564787
0.410196;0.298218;0.461515;0.71609;0.446819;0.673831;0.46269;0.634384;0.505547;0.564764;0.504693;0.628282;0.561892;0.512515;0.519077;0.641698;0.57132;0.517448;0.524029;0.653932;0.55828;0.548507;0.523896;0.665264;0.554826;0.576728
0.420535;0.2793;0.451439;0.723562;0.438021;0.680828;0.455186;0.641053;0.499782;0.574131;0.495878;0.640731;0.55513;0.526355;0.511516;0.654801;0.566179;0.532038;0.518;0.667361;0.562156;0.555834;0.518444;0.677809;0.549044;0.585944
0.426059;0.28021;0.441961;0.734789;0.42924;0.689346;0.44668;0.651009;0.493153;0.584391;0.488923;0.649258;0.55205;0.535349;0.503502;0.665487;0.562666;0.544901;0.509788;0.679564;0.555097;0.5663;0.509922;0.690919;0.534645;0.599563
0.424331;0.275018;0.434164;0.745218;0.421271;0.705169;0.438887;0.667971;0.484569;0.607451;0.480258;0.666354;0.544127;0.552735;0.493447;0.679197;0.554307;0.562139;0.498718;0.690889;0.543078;0.586838;0.499169;0.701435;0.534863;0.613626
0.42756;0.273618;0.422835;0.753932;0.409363;0.716672;0.427935;0.680655;0.474252;0.618199;0.467512;0.680252;0.532468;0.567018;0.481692;0.694334;0.544999;0.581782;0.488413;0.706264;0.539851;0.603415;0.489456;0.7155;0.516033;0.630291
0.427576;0.272188;0.40914;0.774804;0.393432;0.735522;0.410729;0.697679;0.459086;0.639882;0.452608;0.698535;0.522728;0.584759;0.467092;0.712239;0.535323;0.597866;0.473314;0.723541;0.518549;0.621376;0.474767;0.732084;0.506755;0.649078
0.428875;0.271556;0.395064;0.784803;0.37962;0.747336;0.397082;0.71097;0.448101;0.653841;0.436407;0.714746;0.509775;0.600435;0.452713;0.728644;0.522006;0.612918;0.460869;0.739711;0.511176;0.632609;0.46318;0.746865;0.48989;0.660178
0.433409;0.2739;0.382692;0.798053;0.368707;0.761352;0.385257;0.726813;0.435083;0.672271;0.42314;0.732432;0.492487;0.616917;0.438939;0.744723;0.508204;0.626141;0.447365;0.754101;0.504753;0.647152;0.450304;0.760533;0.484043;0.676159
0.432458;0.279312;0.369818;0.810691;0.353876;0.773098;0.36849;0.740521;0.420372;0.686628;0.409295;0.73914;0.486534;0.629811;0.425113;0.753177;0.499717;0.635747;0.433257;0.764106;0.498196;0.661557;0.436427;0.773135;0.481888;0.688711
0.434319;0.27013;0.354681;0.83042;0.340778;0.784495;0.354691;0.749237;0.408924;0.702704;0.393956;0.759392;0.472852;0.6511;0.411311;0.775996;0.484859;0.65875;0.420363;0.787963;0.479354;0.681365;0.424064;0.795458;0.463882;0.705182
0.434357;0.268186;0.347954;0.846754;0.328231;0.802082;0.340426;0.766997;0.391219;0.725823;0.380242;0.77446;0.457117;0.669826;0.397898;0.789501;0.470413;0.66979;0.407636;0.800303;0.46872;0.695122;0.412712;0.807159;0.45864;0.72225
0.436372;0.264213;0.325077;0.86169;0.313169;0.818588;0.327276;0.786557;0.38306;0.74438;0.364197;0.800087;0.44373;0.693928;0.380806;0.816904;0.458092;0.703224;0.390031;0.829344;0.456235;0.7286;0.394114;0.837509;0.440183;0.756215
0.43613;0.265094;0.316684;0.892453;0.300912;0.845228;0.313157;0.813947;0.364772;0.776932;0.351156;0.826804;0.431607;0.727386;0.368445;0.843582;0.448434;0.728212;0.378391;0.853748;0.445989;0.751211;0.384082;0.859981;0.43672;0.778488
0.436683;0.263662;0.300582;0.928014;0.283772;0.882141;0.298842;0.844502;0.355385;0.811738;0.327034;0.871606;0.41292;0.776425;0.34602;0.890618;0.431088;0.78176;0.358002;0.901539;0.42122;0.794418;0.365058;0.905627;0.407318;0.81724
0.43809;0.263558;0.272245;0.955899;0.299534;0.961485;0.326865;0.934629;0.341106;0.865375;0.338607;0.930887;0.412303;0.837734;0.325461;0.917342;0.407219;0.821003;0.305726;0.906811;0.322073;0.876864;0.284072;0.90082;0.29568;0.893493
0.438667;0.264783;0.280869;0.960659;0.299367;0.948457;0.322974;0.93053;0.353567;0.900345;0.331872;0.936845;0.395741;0.872199;0.318433;0.944057;0.384571;0.881883;0.303287;0.949076;0.355934;0.895023;0.288677;0.951581;0.317152;0.913979
0.440731;0.262508;0.272741;0.978535;0.270064;0.957148;0.28123;0.945249;0.323108;0.945996;0.318127;0.958907;0.387777;0.90743;0.326882;0.970985;0.402007;0.907202;0.330732;0.97962;0.3993;0.92447;0.330672;0.986223;0.382892;0.944243
0.438096;0.259204;0.301653;0.96161;0.302679;0.951101;0.298294;0.941956;0.287361;0.936993;0.286771;0.939776;0.270318;0.930638;0.284143;0.94559;0.266291;0.941554;0.283803;0.951665;0.2847;0.950484;0.284653;0.957476;0.284607;0.952243
0.438867;0.262235;0.30412;0.958918;0.303736;0.950581;0.298754;0.941778;0.288164;0.942615;0.290373;0.936134;0.270071;0.930808;0.287619;0.941124;0.288958;0.95151;0.286629;0.94846;0.291433;0.955946;0.28647;0.956261;0.289298;0.95802
0.438562;0.265324;0.300487;0.96057;0.300259;0.952786;0.296653;0.945071;0.286071;0.94117;0.294877;0.938415;0.28346;0.925034;0.292434;0.941206;0.278277;0.932902;0.291235;0.945454;0.293048;0.950735;0.290306;0.951015;0.291404;0.952478
0.439337;0.264767;0.346387;0.990894;0.332198;0.987981;0.322823;0.980716;0.301326;0.972647;0.340743;0.982532;0.362436;0.952075;0.354453;0.984069;0.389439;0.93843;0.366717;0.984911;0.399872;0.935067;0.376485;0.985512;0.404928;0.942467
0.436294;0.267765;0.230422;0.972755;0.222763;0.929004;0.209732;0.907057;0.194152;0.887333;0.183545;0.945497;0.202993;0.936888;0.184951;0.967646;0.213506;0.955195;0.190885;0.985067;0.220432;0.972382;0.198501;0.998455;0.226446;0.99128
0.440042;0.271632;0.271249;0.959254;0.277346;0.892569;0.263986;0.840944;0.237265;0.787153;0.234362;0.862906;0.244233;0.827806;0.219913;0.895777;0.235194;0.868784;0.211471;0.925327;0.228321;0.904727;0.20669;0.950351;0.219156;0.925173
0.439297;0.279882;0.265478;0.895143;0.268253;0.834404;0.270521;0.784275;0.253943;0.71828;0.268346;0.819051;0.25246;0.743947;0.260396;0.852652;0.242603;0.77541;0.25222;0.884419;0.237184;0.821134;0.241041;0.911811;0.220338;0.881044
0.436235;0.286478;0.254771;0.906225;0.253842;0.855722;0.252813;0.813552;0.241807;0.753107;0.284171;0.783628;0.27874;0.665998;0.278087;0.805012;0.271758;0.660546;0.266124;0.835262;0.256217;0.708717;0.250481;0.869347;0.234172;0.785947
0.437356;0.285466;0.26172;0.898889;0.270974;0.853414;0.27301;0.807031;0.264099;0.747155;0.291713;0.782432;0.31475;0.647959;0.285345;0.793009;0.295524;0.631285;0.272961;0.807842;0.273602;0.662805;0.256745;0.827073;0.247501;0.735674
0.439926;0.281771;0.267238;0.890422;0.289076;0.848538;0.292276;0.806277;0.279678;0.740635;0.30462;0.781045;0.326508;0.64346;0.292361;0.788013;0.296159;0.620048;0.276119;0.803077;0.271564;0.651905;0.257038;0.823585;0.250525;0.722644
0.440655;0.281617;0.269643;0.887118;0.304169;0.85895;0.312729;0.818915;0.309797;0.750438;0.312367;0.79003;0.336384;0.646449;0.295747;0.7879;0.306123;0.618469;0.277267;0.795442;0.27882;0.64283;0.258697;0.808891;0.257247;0.701093
0.440871;0.280839;0.274482;0.881092;0.311032;0.85039;0.319375;0.80932;0.318824;0.734833;0.321642;0.786152;0.345771;0.643674;0.304639;0.787384;0.311819;0.618227;0.283834;0.796921;0.279364;0.652356;0.260819;0.810776;0.254056;0.703834
0.441337;0.275904;0.277477;0.87411;0.315462;0.853401;0.331655;0.813767;0.350061;0.747334;0.325616;0.790931;0.352179;0.654223;0.305754;0.787878;0.314498;0.617505;0.282359;0.793425;0.277693;0.652713;0.257854;0.801632;0.254124;0.698422
0.441349;0.270752;0.290312;0.873059;0.32186;0.84289;0.333467;0.801238;0.340204;0.731596;0.323074;0.783046;0.335904;0.651954;0.305932;0.786322;0.29726;0.615395;0.286247;0.797781;0.265918;0.659432;0.264975;0.809592;0.247082;0.710281
0.442661;0.273373;0.296455;0.869124;0.329601;0.841719;0.343254;0.799516;0.350038;0.730741;0.323553;0.778127;0.341078;0.63957;0.30272;0.781263;0.292039;0.612084;0.282392;0.791585;0.260518;0.653939;0.262791;0.802331;0.236912;0.711439
0.442668;0.273803;0.283236;0.862648;0.31973;0.843626;0.336959;0.811556;0.351247;0.747367;0.319008;0.778553;0.332492;0.633602;0.295517;0.779699;0.289747;0.617766;0.272891;0.789036;0.2584;0.660597;0.252197;0.800597;0.239051;0.714716
0.443223;0.274504;0.28271;0.856449;0.316156;0.831295;0.331319;0.793911;0.337853;0.730625;0.314811;0.764037;0.315776;0.638769;0.293484;0.765718;0.277106;0.627919;0.272523;0.776971;0.254197;0.673492;0.253215;0.792714;0.236329;0.72513
0.443555;0.274088;0.271049;0.848904;0.308994;0.823936;0.328578;0.784325;0.343662;0.716626;0.301544;0.75869;0.303758;0.629046;0.280201;0.764307;0.269081;0.630552;0.260939;0.779587;0.249379;0.677321;0.244061;0.799412;0.232356;0.731325
0.444074;0.273396;0.270192;0.841518;0.309623;0.817688;0.329024;0.781842;0.337929;0.716999;0.311319;0.764491;0.31579;0.639915;0.287391;0.766646;0.272157;0.631792;0.264612;0.77753;0.24976;0.674606;0.244637;0.792554;0.230013;0.725355
0.444706;0.273183;0.268392;0.840296;0.301433;0.820258;0.317066;0.787652;0.327401;0.734487;0.30839;0.766056;0.320793;0.646636;0.287783;0.76612;0.274812;0.629099;0.266183;0.775185;0.251034;0.663299;0.245265;0.788072;0.232537;0.711469
