face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.405834;0.396633;0.236533;1.00583;0.255871;0.962127;0.274645;0.942691;0.29146;0.934308;0.263141;0.955487;0.308964;0.93561;0.250032;0.965921;0.291236;0.94558;0.242374;0.976202;0.277098;0.968106;0.234069;0.991621;0.262682;0.98498
0.406318;0.396136;0.217124;0.888718;0.241803;0.836695;0.279381;0.807314;0.335805;0.760436;0.283056;0.791889;0.367227;0.794935;0.278802;0.820131;0.306023;0.839915;0.275318;0.854433;0.29453;0.873763;0.273803;0.89002;0.285494;0.902197
0.404878;0.396314;0.231407;0.823404;0.243001;0.7791;0.270502;0.732142;0.303477;0.673681;0.273614;0.726985;0.359945;0.706833;0.274516;0.756314;0.304806;0.76878;0.276749;0.791208;0.298188;0.800788;0.279526;0.824575;0.293629;0.832077
0.406123;0.396476;0.226249;0.794195;0.239847;0.743893;0.266934;0.701285;0.309943;0.665645;0.248477;0.694201;0.322539;0.63678;0.250149;0.721485;0.2881;0.729193;0.257252;0.754217;0.284321;0.76101;0.267061;0.785892;0.28454;0.789679
0.406103;0.396889;0.220639;0.778921;0.224539;0.729182;0.234692;0.680808;0.240942;0.619949;0.227446;0.676962;0.284143;0.5907;0.233377;0.699175;0.269167;0.705692;0.244638;0.72816;0.273977;0.731705;0.257475;0.757578;0.277588;0.7582
0.406669;0.397114;0.211797;0.780705;0.205258;0.734298;0.208859;0.691521;0.216161;0.642554;0.207926;0.674847;0.239834;0.571735;0.217546;0.689981;0.25133;0.69012;0.232441;0.712125;0.25716;0.713222;0.248922;0.736169;0.267591;0.736698
0.407508;0.395772;0.199262;0.777445;0.195184;0.733414;0.196938;0.688074;0.201914;0.620091;0.183539;0.677301;0.206943;0.574679;0.19344;0.690277;0.237708;0.675578;0.210017;0.708499;0.240116;0.701217;0.229419;0.72749;0.253069;0.720041
0.40826;0.391229;0.192451;0.776591;0.188529;0.72745;0.193101;0.681013;0.211955;0.614811;0.167425;0.677016;0.184072;0.580713;0.176014;0.692048;0.226112;0.661895;0.192481;0.709747;0.229474;0.7052;0.212618;0.726332;0.239258;0.718627
0.408745;0.388643;0.17685;0.793718;0.173249;0.745362;0.181217;0.696952;0.200258;0.637045;0.154164;0.695762;0.170106;0.609295;0.161284;0.710321;0.209042;0.681851;0.175928;0.728999;0.214795;0.709244;0.194856;0.746242;0.226675;0.725586
0.409658;0.388494;0.170221;0.804152;0.16662;0.75911;0.17137;0.712117;0.177887;0.648477;0.147444;0.711381;0.143341;0.62055;0.152686;0.72741;0.196189;0.673978;0.164805;0.74826;0.212267;0.717361;0.180308;0.768369;0.22548;0.735682
0.409902;0.389074;0.165284;0.813906;0.162584;0.748963;0.150812;0.693338;0.119526;0.62545;0.139414;0.708329;0.103046;0.642746;0.140244;0.732558;0.182054;0.716242;0.153419;0.758884;0.187269;0.743343;0.171177;0.783154;0.199029;0.761013
0.411544;0.389717;0.186655;0.817089;0.187737;0.755038;0.165804;0.704855;0.118139;0.642038;0.141818;0.717077;0.10581;0.663655;0.134879;0.743706;0.189596;0.722488;0.141863;0.771789;0.192261;0.76098;0.156224;0.795637;0.201755;0.781035
0.413177;0.38775;0.189679;0.805444;0.194384;0.745919;0.174924;0.696767;0.133265;0.644128;0.145829;0.716686;0.108431;0.683163;0.137861;0.747854;0.189954;0.735442;0.143603;0.780466;0.189823;0.772501;0.154926;0.809507;0.200851;0.795628
0.41532;0.383859;0.192983;0.805732;0.197968;0.747565;0.182099;0.700507;0.148196;0.643392;0.154536;0.717696;0.133106;0.681047;0.145981;0.748037;0.196969;0.742731;0.150485;0.780099;0.196432;0.77155;0.160511;0.807683;0.207494;0.793697
0.416762;0.382682;0.190841;0.803364;0.19997;0.743936;0.186164;0.692091;0.154265;0.629056;0.155365;0.707545;0.1749;0.681642;0.149661;0.742345;0.2055;0.727921;0.154966;0.776029;0.206515;0.757498;0.166701;0.804506;0.213165;0.784662
0.418032;0.3825;0.191279;0.790054;0.19787;0.742544;0.190559;0.688645;0.172316;0.627698;0.163837;0.693099;0.209212;0.684756;0.159684;0.727289;0.213496;0.742523;0.164188;0.763933;0.2074;0.766437;0.171226;0.795631;0.202526;0.793607
0.418618;0.383661;0.182787;0.811127;0.191128;0.749093;0.193826;0.690264;0.188765;0.617759;0.175732;0.686205;0.238506;0.68016;0.171713;0.717375;0.222335;0.736876;0.176215;0.755036;0.209571;0.762798;0.186043;0.79116;0.211202;0.787098
0.419285;0.385356;0.177683;0.796924;0.190817;0.733764;0.202586;0.674781;0.205085;0.599275;0.18965;0.670215;0.25075;0.682975;0.187154;0.703991;0.233754;0.727641;0.189059;0.742935;0.2188;0.752327;0.195319;0.779287;0.219884;0.773341
0.418595;0.385024;0.175305;0.769564;0.189671;0.710618;0.208779;0.664219;0.233482;0.585827;0.197693;0.661027;0.261308;0.675613;0.19702;0.69289;0.241166;0.714219;0.199178;0.728143;0.233103;0.741309;0.203953;0.759695;0.234417;0.763192
