face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.464845;0.339833;0.0723654;0.920049;0.0649489;0.971207;0.045309;0.994308;0.0184119;1.02128;0.00839854;0.943594;-0.0384347;0.952104;0.00589284;0.923767;-0.0311508;0.93417;0.00667926;0.909542;-0.0211809;0.920377;0.0103192;0.900227;-0.00971688;0.91128
0.463245;0.335352;0.0694879;0.912096;0.0633664;0.964018;0.0447507;0.989689;0.0236956;1.01793;0.00358228;0.941187;-0.0297223;0.958257;0.000808469;0.918559;-0.021777;0.938179;0.00336913;0.902757;-0.012426;0.924054;0.00842054;0.892449;0.000429461;0.912295
0.463694;0.335133;0.0670728;0.903647;0.061206;0.961179;0.0437071;0.989224;0.0222306;1.01812;0.000210146;0.937886;-0.0183437;0.955883;-0.00265371;0.914656;-0.00821559;0.934087;0.000213549;0.898516;-0.000733351;0.921526;0.00538343;0.887472;0.00978955;0.90776
0.467203;0.338303;0.0672083;0.905922;0.0586512;0.959945;0.0408053;0.987312;0.0211032;1.01451;-0.00156188;0.939012;-0.0253024;0.953248;-0.0027756;0.915951;-0.00679866;0.932449;0.00167131;0.89874;0.00238142;0.921043;0.00778594;0.886588;0.0135665;0.905769
0.465699;0.336739;0.0640984;0.90044;0.0588294;0.957303;0.0417745;0.986307;0.0234467;1.01505;-0.00181545;0.937666;-0.0168232;0.947204;-0.00386115;0.913756;-0.00176788;0.928042;0.000239468;0.896926;0.00962077;0.91705;0.0059011;0.884853;0.0186982;0.903808
0.461986;0.335539;0.0630893;0.905654;0.0590582;0.956861;0.0431314;0.983149;0.0228869;1.01421;0.00344082;0.942624;-0.0333527;0.947057;0.00095438;0.922285;-0.0268008;0.924015;0.00224983;0.907245;-0.0129765;0.911961;0.00476189;0.896486;-0.000209533;0.903951
0.462379;0.334448;0.0648435;0.903072;0.0588193;0.959119;0.0404933;0.987559;0.0204213;1.01618;-0.00338135;0.938068;-0.0178436;0.95181;-0.00469238;0.9147;-0.00900131;0.931163;0.000302047;0.899979;0.0025736;0.921719;0.00653066;0.890496;0.0129889;0.909375
0.462489;0.332574;0.0613468;0.90012;0.057562;0.95862;0.0403122;0.988653;0.0168248;1.01558;-0.00889666;0.932845;-0.0063565;0.970567;-0.00920994;0.906821;0.00313744;0.949003;-0.0015458;0.891811;0.0190201;0.939817;0.00620588;0.880825;0.027302;0.916004
0.461722;0.331115;0.0655858;0.94696;0.0509743;0.927783;0.0300696;0.926881;0.00478511;0.932638;0.00815518;0.942391;-0.00430793;0.933262;0.00839289;0.950432;-0.00463151;0.940875;0.0117936;0.956081;0.00326779;0.948111;0.0180075;0.960711;0.00401334;0.948639
0.462434;0.331631;0.211167;0.902105;0.278708;0.808723;0.309909;0.718728;0.323716;0.581787;0.277835;0.639639;0.300086;0.561155;0.236926;0.643111;0.262233;0.602983;0.20319;0.669214;0.240348;0.736066;0.176947;0.705144;0.225333;0.764561
0.460952;0.34848;0.328149;0.691078;0.380011;0.661318;0.402353;0.583241;0.363059;0.459015;0.394133;0.514203;0.440709;0.335476;0.353429;0.506248;0.343821;0.291623;0.319254;0.52514;0.347212;0.585329;0.292795;0.552535;0.32892;0.59983
0.466068;0.339623;0.352483;0.661939;0.390792;0.650542;0.408423;0.578511;0.381523;0.446256;0.400728;0.504452;0.447411;0.329477;0.361912;0.495411;0.355118;0.283548;0.329666;0.510949;0.358891;0.577835;0.30578;0.539064;0.338202;0.605577
