face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.472196;0.349025;0.063319;0.89969;0.057202;0.946915;0.042966;0.972541;0.0220275;1.00936;-0.000830603;0.941334;-0.0603009;0.958168;-0.0057879;0.92535;-0.070812;0.939128;-0.00626065;0.913561;-0.0649622;0.927727;-0.00324148;0.904796;-0.049478;0.923409
0.472919;0.346317;0.0654871;0.90858;0.0590552;0.949123;0.0423043;0.97475;0.0225881;1.02388;0.00460351;0.941525;-0.0559394;0.95047;0.00293317;0.924894;-0.061849;0.93015;0.00617665;0.911687;-0.0467852;0.91536;0.0127335;0.90391;-0.0227273;0.905755
0.470721;0.344595;0.0658771;0.918517;0.0577906;0.955784;0.0414242;0.978219;0.0236589;1.02125;0.00748515;0.941894;-0.03761;0.946366;0.00602592;0.925996;-0.0426122;0.930757;0.00816346;0.913589;-0.0329438;0.916523;0.0130875;0.905604;-0.0120385;0.906172
0.468503;0.339305;0.0607489;0.901246;0.0558136;0.947637;0.0419738;0.972379;0.0237835;1.0087;-0.00322333;0.941394;-0.0582239;0.95773;-0.00765725;0.92331;-0.0640124;0.937112;-0.00675904;0.910181;-0.0519158;0.926703;-0.00288741;0.900702;-0.0377572;0.918945
0.466923;0.334067;0.061634;0.897288;0.0575874;0.944989;0.0422208;0.970039;0.0251022;1.00648;-0.0042325;0.940547;-0.0593134;0.955224;-0.00962941;0.922159;-0.0639168;0.932185;-0.00908413;0.908268;-0.0526138;0.918906;-0.00546924;0.897839;-0.0387026;0.910276
0.464303;0.334816;0.0610442;0.90535;0.0553916;0.944607;0.0408751;0.967053;0.024049;1.00135;-0.00128238;0.940223;-0.0587197;0.95332;-0.00558021;0.923973;-0.0668388;0.929326;-0.0047007;0.911803;-0.0529385;0.918532;-8.64873e-05;0.903279;-0.0368886;0.909688
0.46514;0.336587;0.0614267;0.903826;0.0561144;0.942292;0.0421236;0.964724;0.0230945;0.995012;-0.000389826;0.941084;-0.0557887;0.955454;-0.00533252;0.926373;-0.0668815;0.93448;-0.0054313;0.915182;-0.0592449;0.921835;-0.00146642;0.906282;-0.0420223;0.91431
0.464876;0.333765;0.0613107;0.909164;0.0554338;0.941851;0.0409839;0.962634;0.0228811;0.992372;-0.000159784;0.940671;-0.054407;0.954217;-0.00416466;0.927188;-0.0646934;0.934022;-0.00328608;0.916299;-0.0574714;0.921973;0.00190636;0.907499;-0.0392624;0.913509
0.467032;0.330958;0.063678;0.908587;0.0568839;0.943584;0.0403552;0.964131;0.0195084;0.993427;0.00125225;0.936896;-0.0575381;0.954365;-0.00280848;0.924258;-0.0727333;0.937704;-0.00193948;0.914517;-0.0653986;0.924293;0.00353671;0.908195;-0.0448551;0.918477
0.469904;0.333542;0.0702399;0.90892;0.058113;0.946676;0.0377861;0.971253;0.0187539;1.01038;0.00417127;0.946229;-0.04671;0.953909;0.0022594;0.93125;-0.0526346;0.939647;0.00504205;0.918155;-0.0441425;0.928763;0.0113289;0.907679;-0.0254983;0.91912
0.474044;0.332066;0.0722243;0.917669;0.0593602;0.950434;0.0396652;0.971307;0.0214886;1.0116;0.0082513;0.945364;-0.0398974;0.949647;0.00677845;0.931572;-0.0439609;0.936883;0.00911644;0.918624;-0.0372941;0.921742;0.0143301;0.908125;-0.0201081;0.911017
0.476495;0.328409;0.0711338;0.913457;0.0587213;0.945306;0.0387473;0.970084;0.0207669;1.01678;0.0078342;0.942615;-0.0280913;0.947121;0.00680176;0.925657;-0.0260398;0.936201;0.00996503;0.911271;-0.0190851;0.925012;0.0162742;0.900224;-0.00510463;0.910273
0.477183;0.32618;0.0657941;0.913956;0.0558213;0.945181;0.0385772;0.970116;0.0207496;1.01623;0.0101406;0.942274;-0.0196389;0.94459;0.00895007;0.923877;-0.0178824;0.934665;0.0117775;0.908516;-0.00819315;0.922385;0.0171487;0.896739;0.00920248;0.909411
0.47639;0.325676;0.0584639;0.91492;0.0528246;0.947488;0.0393505;0.972417;0.0250324;1.01633;0.0113914;0.944046;0.00179659;0.940442;0.00923494;0.924879;0.00641891;0.929877;0.0113182;0.908491;0.013649;0.916965;0.0152922;0.895114;0.0244186;0.901853
0.475859;0.324732;0.0589797;0.931259;0.0379339;0.936684;0.0170144;0.941125;-0.00478107;0.949561;0.00136822;0.935281;-0.0105198;0.950752;0.00771631;0.936996;0.000794182;0.953551;0.016262;0.938805;0.0136217;0.954845;0.0254776;0.942421;0.0198228;0.952694
0.47584;0.324627;0.690328;0.987229;0.721819;0.987126;0.742889;0.987427;0.775723;0.994866;0.746815;0.975462;0.769379;0.978257;0.741131;0.969609;0.760204;0.97879;0.734915;0.967331;0.750979;0.973791;0.728484;0.966081;0.743102;0.9674
0.472925;0.322075;0.70417;0.910605;0.681747;0.931123;0.669174;0.948432;0.678037;0.961452;0.694357;0.947445;0.693829;0.947899;0.713435;0.942511;0.716483;0.943161;0.728837;0.935851;0.735495;0.939128;0.740511;0.928961;0.75075;0.938365
0.477526;0.318791;0.314317;0.77386;0.366525;0.745236;0.391737;0.66874;0.361646;0.541867;0.382857;0.601877;0.444887;0.413736;0.342526;0.589649;0.342633;0.355335;0.306572;0.602627;0.340592;0.669323;0.277642;0.625865;0.318415;0.679635
0.465027;0.303899;0.550938;0.718353;0.510801;0.678751;0.496383;0.607468;0.530322;0.501568;0.506308;0.515351;0.477621;0.333208;0.544945;0.516593;0.578952;0.323401;0.576467;0.541576;0.542951;0.602723;0.602662;0.575389;0.564958;0.611044
0.457643;0.308055;0.404859;0.696426;0.451644;0.662781;0.477238;0.590765;0.461393;0.481077;0.450222;0.506056;0.470181;0.337694;0.414812;0.501061;0.401431;0.309811;0.384494;0.518421;0.432005;0.601351;0.361486;0.544957;0.417322;0.60925
0.457267;0.30831;0.412967;0.685639;0.455511;0.665456;0.478545;0.593445;0.459913;0.485663;0.444504;0.514947;0.465703;0.341765;0.408425;0.506097;0.414229;0.319629;0.3798;0.520669;0.433276;0.622849;0.359993;0.54639;0.413711;0.636062
0.459756;0.309252;0.413437;0.684909;0.45575;0.665092;0.477663;0.592668;0.459346;0.482668;0.444675;0.515589;0.466168;0.344999;0.408805;0.506093;0.414921;0.310251;0.379127;0.520054;0.436239;0.618767;0.35808;0.546191;0.420066;0.635606
0.461183;0.305814;0.409432;0.682675;0.450999;0.665422;0.473581;0.594522;0.462076;0.48102;0.442451;0.516863;0.464624;0.346203;0.406898;0.508975;0.398411;0.294748;0.377076;0.525191;0.43976;0.616249;0.355864;0.551144;0.420733;0.62961
0.46102;0.304415;0.410066;0.684505;0.451724;0.665812;0.474342;0.593716;0.461514;0.484714;0.44325;0.51266;0.464027;0.336196;0.407441;0.505971;0.398657;0.300903;0.377891;0.52321;0.435727;0.611637;0.356147;0.551768;0.41627;0.624493
0.455028;0.301466;0.407531;0.684216;0.450139;0.667614;0.471975;0.593512;0.459778;0.478163;0.440546;0.507257;0.45278;0.326764;0.405017;0.502802;0.396139;0.309816;0.37689;0.52006;0.431492;0.600385;0.358055;0.54659;0.415335;0.616426
0.448654;0.305469;0.405766;0.67523;0.446932;0.652093;0.464974;0.576121;0.43555;0.476114;0.434198;0.505508;0.454005;0.330797;0.400407;0.500133;0.393679;0.303485;0.372629;0.517799;0.434294;0.601328;0.353401;0.545534;0.414605;0.618681
0.458831;0.319615;0.401295;0.66946;0.442243;0.647902;0.459834;0.576176;0.437448;0.474173;0.426752;0.499593;0.455293;0.337004;0.392469;0.494005;0.381328;0.29125;0.365121;0.51251;0.429637;0.597242;0.348245;0.539158;0.413214;0.615384
