face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.457388;0.0883056;0.506704;0.251571;0.540813;0.217766;0.546466;0.166223;0.497232;0.104733;0.532542;0.0773249;0.507248;0.0642615;0.497367;0.0814773;0.463212;0.0695264;0.46966;0.0976394;0.462712;0.105401;0.448729;0.118346;0.447372;0.126703
0.449377;0.0964222;0.498656;0.263808;0.534677;0.212317;0.544255;0.16329;0.535293;0.098734;0.518158;0.1195;0.507227;0.0403462;0.490462;0.120276;0.490017;0.0577455;0.46854;0.130033;0.470074;0.0946767;0.450903;0.145576;0.451047;0.107564
0.451494;0.0957469;0.508277;0.26287;0.541733;0.211456;0.548881;0.156792;0.519809;0.0892275;0.526233;0.111613;0.517654;0.0698448;0.494945;0.112395;0.483355;0.0765239;0.471659;0.121399;0.481227;0.128125;0.452647;0.137379;0.460492;0.147843
0.448894;0.0971766;0.502211;0.278812;0.524472;0.228982;0.528855;0.172592;0.498106;0.105261;0.50619;0.133278;0.491881;0.0816173;0.480646;0.1421;0.47172;0.108035;0.462709;0.15571;0.471145;0.159393;0.450122;0.171528;0.456053;0.172346
0.443929;0.103137;0.50453;0.274791;0.462676;0.214629;0.451131;0.163474;0.457516;0.102973;0.458324;0.162828;0.455823;0.110589;0.482232;0.169316;0.482375;0.117034;0.506633;0.178695;0.504311;0.151529;0.527342;0.187483;0.522552;0.142302
0.450664;0.117363;0.49813;0.27924;0.492176;0.200759;0.487179;0.150061;0.483824;0.0929857;0.475346;0.168958;0.482459;0.120698;0.47655;0.190251;0.487227;0.136742;0.480129;0.208045;0.490044;0.159473;0.483582;0.223766;0.486151;0.168764
0.446407;0.11948;0.494064;0.281395;0.47781;0.210485;0.472354;0.157214;0.479661;0.0977401;0.465147;0.180657;0.480844;0.137957;0.47403;0.201641;0.493263;0.149167;0.485617;0.219517;0.504133;0.167382;0.49669;0.236765;0.502358;0.180766
0.446398;0.116922;0.490827;0.285511;0.485019;0.212443;0.480953;0.161572;0.48372;0.106687;0.470396;0.174416;0.482299;0.137267;0.471801;0.194958;0.483891;0.152;0.475834;0.21275;0.485972;0.17282;0.479385;0.229044;0.483053;0.18247
0.448625;0.120043;0.481825;0.287496;0.460779;0.222187;0.459183;0.172419;0.471657;0.110599;0.458464;0.19035;0.469448;0.148438;0.470299;0.209325;0.485179;0.158006;0.484435;0.227529;0.497423;0.175816;0.497852;0.245361;0.502526;0.188381
0.448896;0.125258;0.489816;0.290562;0.484249;0.230267;0.480818;0.182444;0.478079;0.119516;0.470303;0.18422;0.476118;0.143191;0.471357;0.199788;0.481777;0.157218;0.475096;0.216112;0.484958;0.183187;0.479394;0.233234;0.482818;0.188735
0.445012;0.129736;0.478892;0.299827;0.466436;0.238032;0.466907;0.190118;0.475274;0.125817;0.460492;0.198469;0.477375;0.155109;0.466573;0.213847;0.486981;0.161373;0.474794;0.230283;0.492782;0.18763;0.483021;0.247023;0.491734;0.20034
0.448395;0.133507;0.473852;0.308084;0.469722;0.248566;0.472046;0.199539;0.477247;0.135758;0.46363;0.206581;0.477456;0.165199;0.465996;0.221848;0.48608;0.184489;0.47127;0.238884;0.486812;0.223945;0.475991;0.255771;0.482431;0.233961
0.444153;0.147222;0.747979;0.822721;0.731908;0.868752;0.73457;0.903333;0.748618;0.960813;0.783281;0.939307;0.83097;0.953864;0.798786;0.927054;0.856166;0.950901;0.807443;0.911411;0.862011;0.937245;0.811727;0.893634;0.862077;0.919611
0.434966;0.162967;0.557;0.897528;0.573432;0.918178;0.593119;0.932799;0.628577;0.947671;0.602183;0.930976;0.635822;0.955801;0.602927;0.921969;0.632422;0.943859;0.603337;0.912968;0.62951;0.929233;0.603525;0.903537;0.626731;0.920586
0.430473;0.165786;0.720228;0.7564;0.670192;0.706769;0.658366;0.637616;0.649084;0.52934;0.721677;0.617862;0.743372;0.497619;0.757468;0.625246;0.796071;0.499559;0.783594;0.644611;0.833758;0.527791;0.798198;0.670053;0.882934;0.567149
0.412713;0.183309;0.697894;0.675851;0.651114;0.614739;0.62476;0.530863;0.585688;0.398454;0.686229;0.464603;0.675374;0.274406;0.722599;0.465711;0.742597;0.249821;0.752052;0.484726;0.787537;0.277631;0.774065;0.517897;0.841663;0.370586
0.417173;0.169915;0.694417;0.673295;0.643579;0.634085;0.622905;0.562054;0.59379;0.438504;0.687368;0.508681;0.682606;0.326421;0.725079;0.513884;0.743725;0.303811;0.754517;0.537795;0.794357;0.339494;0.775561;0.574812;0.84139;0.429467
0.416742;0.173963;0.709748;0.739583;0.651044;0.698082;0.625986;0.627363;0.592489;0.501752;0.676458;0.576874;0.678496;0.399773;0.716808;0.577366;0.727313;0.383012;0.750389;0.595578;0.781388;0.399828;0.773911;0.627336;0.800724;0.493626
0.423227;0.169293;0.710379;0.803886;0.655582;0.757808;0.630309;0.67783;0.606346;0.541185;0.681089;0.634088;0.667985;0.489659;0.719756;0.641557;0.722432;0.483192;0.752648;0.668373;0.789331;0.495805;0.777557;0.708539;0.814844;0.60427
0.412655;0.164732;0.721197;0.856658;0.666832;0.820443;0.644858;0.757029;0.623183;0.644756;0.684556;0.746393;0.662331;0.665562;0.72252;0.750509;0.698174;0.686639;0.754663;0.759398;0.730434;0.700174;0.781432;0.772856;0.77369;0.711645
0.415225;0.144289;0.705306;0.657366;0.717459;0.730044;0.731081;0.795303;0.750656;0.892199;0.743692;0.800141;0.7552;0.916313;0.71939;0.780504;0.702;0.93637;0.692904;0.757552;0.651116;0.878952;0.668588;0.727291;0.625074;0.807084
0.421172;0.115945;0.735415;0.813555;0.731892;0.879656;0.73261;0.934027;0.741282;0.99022;0.746365;0.972928;0.74936;1.0019;0.751613;0.960708;0.750693;0.988004;0.752646;0.941452;0.750588;0.958039;0.751454;0.921552;0.744075;0.937627
