face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12
0.452614;0.297606;0.504315;0.992679;0.46461;0.980791;0.43938;0.975527;0.41955;0.990623;0.454461;1.00258;0.457665;0.939066;0.477543;1.0035;0.480517;0.937649;0.500382;0.997844;0.498473;0.942179;0.519733;0.986479;0.512441;0.94188
0.449873;0.294306;0.536012;1.04568;0.489524;1.00711;0.468037;0.942799;0.458276;0.828207;0.497227;0.894455;0.520582;0.717873;0.528051;0.901324;0.544497;0.705414;0.556934;0.919865;0.565754;0.736488;0.584647;0.947299;0.591922;0.800095
0.44574;0.293586;0.545823;0.994351;0.500468;0.958429;0.477437;0.897296;0.468561;0.782121;0.509408;0.838532;0.534151;0.662599;0.539919;0.844535;0.556158;0.651853;0.568071;0.863041;0.577672;0.68608;0.59464;0.89028;0.604941;0.748524
0.448526;0.289197;0.553158;0.943452;0.508169;0.92081;0.488634;0.859555;0.477831;0.741239;0.521354;0.790861;0.544953;0.619714;0.550715;0.794033;0.569379;0.603013;0.576961;0.813356;0.588328;0.636281;0.601714;0.84411;0.60734;0.701626
0.447702;0.291206;0.554161;0.911733;0.510399;0.886521;0.492291;0.822704;0.482078;0.699611;0.525247;0.75118;0.548949;0.580579;0.555429;0.754767;0.573022;0.566645;0.582205;0.774462;0.592614;0.599552;0.606715;0.806297;0.611629;0.665639
0.443508;0.294157;0.556028;0.876501;0.512677;0.852845;0.495932;0.787145;0.485479;0.662918;0.528739;0.715108;0.552797;0.547706;0.559093;0.718026;0.575883;0.533682;0.585786;0.737919;0.594478;0.564189;0.609935;0.769902;0.613905;0.62812
0.443994;0.289558;0.556268;0.838726;0.513727;0.82007;0.497916;0.756967;0.489217;0.637229;0.529593;0.685183;0.554253;0.519128;0.559908;0.687117;0.577514;0.506427;0.586023;0.705855;0.597482;0.534957;0.610006;0.736449;0.615525;0.596348
0.441493;0.289514;0.556237;0.819184;0.514092;0.794646;0.498146;0.730098;0.487037;0.607223;0.530554;0.655239;0.557432;0.499437;0.559471;0.657515;0.579658;0.48072;0.585207;0.676405;0.59851;0.507947;0.609168;0.708056;0.614022;0.573932
0.439995;0.288258;0.553676;0.798132;0.511836;0.769794;0.494861;0.700883;0.485983;0.578912;0.527544;0.626712;0.557038;0.472614;0.556261;0.629722;0.577131;0.457352;0.581497;0.647839;0.595081;0.482574;0.605782;0.678521;0.612439;0.548593
0.441119;0.285391;0.549791;0.767609;0.509246;0.74219;0.49371;0.676609;0.484839;0.5559;0.527114;0.60344;0.550987;0.44653;0.554989;0.604925;0.572256;0.429913;0.579667;0.622596;0.592551;0.455085;0.602957;0.653048;0.609805;0.518322
0.436093;0.280964;0.545312;0.744188;0.505939;0.717629;0.490853;0.651489;0.484007;0.531797;0.525693;0.580379;0.547421;0.420813;0.553459;0.582166;0.569831;0.408045;0.577607;0.60004;0.589005;0.433638;0.60069;0.630853;0.606799;0.496542
0.437193;0.287516;0.544159;0.724757;0.504662;0.697598;0.48842;0.632002;0.482247;0.511996;0.521569;0.558794;0.546259;0.399809;0.549124;0.558835;0.569214;0.386863;0.573546;0.575169;0.586516;0.411028;0.597291;0.604988;0.604734;0.475192
0.431849;0.281426;0.550889;0.80264;0.505703;0.736354;0.490839;0.664283;0.48812;0.523567;0.520972;0.588364;0.547912;0.40246;0.549337;0.597314;0.573985;0.399807;0.573124;0.621416;0.593371;0.432474;0.596737;0.658004;0.611653;0.512856
0.436392;0.276185;0.554498;0.860871;0.519504;0.837005;0.495021;0.799879;0.479371;0.751175;0.518686;0.772284;0.534064;0.644944;0.54615;0.782984;0.565223;0.629395;0.569768;0.798875;0.587704;0.656121;0.589952;0.818135;0.596879;0.718598
0.44382;0.274599;0.531379;1.00692;0.493058;1.00038;0.466325;0.988195;0.445528;0.990657;0.493186;0.94811;0.498677;0.900415;0.525855;0.958445;0.530244;0.905632;0.553504;0.976258;0.560034;0.932114;0.574919;0.997127;0.581029;0.973647
