face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.502792;0.2264;0.65569;0.875565;0.667555;0.906204;0.670924;0.935586;0.673617;0.958306;0.675751;0.971938;0.669702;0.971706;0.674808;0.982505;0.673708;0.973292;0.672664;0.964186;0.666227;0.970538;0.669053;0.982154;0.666977;0.970562;0.664962;0.960656;0.661966;0.964432;0.665795;0.973674;0.664298;0.961378;0.661424;0.950886;0.657168;0.956325;0.660355;0.967632;0.659687;0.958742;0.656784;0.948373
0.503311;0.227091;0.660189;0.885419;0.670269;0.906717;0.677434;0.935127;0.682391;0.954438;0.683175;0.965312;0.676466;0.973444;0.681204;0.980606;0.680201;0.970384;0.678875;0.961001;0.671405;0.975046;0.675416;0.982018;0.674069;0.971309;0.673391;0.962908;0.666736;0.969644;0.670976;0.973412;0.669374;0.95965;0.668248;0.949065;0.662596;0.962254;0.665076;0.965148;0.663763;0.95399;0.661878;0.94444;0.408801;0.596306;0.394288;0.597518;0.38371;0.587313;0.380995;0.578081;0.381106;0.573512;0.381307;0.545107;0.377653;0.522979;0.375119;0.511649;0.373742;0.503209;0.391337;0.53879;0.385823;0.511184;0.384751;0.501471;0.383315;0.496362;0.403485;0.537509;0.399563;0.51066;0.397721;0.506337;0.396254;0.507683;0.417;0.541422;0.417871;0.521829;0.415657;0.52037;0.41353;0.524452
0.506633;0.224015;0.661775;0.898462;0.679632;0.915379;0.68805;0.939784;0.691712;0.95593;0.690323;0.963585;0.684227;0.974779;0.690662;0.979386;0.690709;0.968923;0.690454;0.959334;0.674021;0.974251;0.679451;0.97954;0.678703;0.968757;0.678893;0.960573;0.665162;0.968088;0.672299;0.970826;0.66997;0.956837;0.66884;0.946894;0.657109;0.959981;0.661906;0.962702;0.660678;0.952582;0.659014;0.944922
0.50293;0.225789;0.406038;0.478284;0.428953;0.459946;0.441059;0.436563;0.447165;0.422376;0.453539;0.415493;0.419814;0.396674;0.426384;0.372421;0.430996;0.358117;0.434985;0.344531;0.406323;0.394979;0.401571;0.367464;0.40099;0.350575;0.400986;0.336866;0.395064;0.400501;0.38705;0.375503;0.383909;0.358949;0.381667;0.34426;0.385383;0.413008;0.371797;0.397749;0.364277;0.38741;0.358977;0.377231;0.628583;0.512432;0.608134;0.486117;0.596234;0.463381;0.585206;0.449849;0.575448;0.443897;0.616941;0.423165;0.616133;0.399049;0.614967;0.384207;0.614603;0.372458;0.632501;0.422459;0.638287;0.394653;0.640082;0.377187;0.642401;0.360924;0.644761;0.430513;0.655642;0.404934;0.660967;0.388501;0.666535;0.373346;0.654821;0.446182;0.670943;0.435479;0.680601;0.425104;0.689897;0.414729
0.500535;0.227702;0.406148;0.460824;0.428546;0.44203;0.441594;0.416586;0.449338;0.401273;0.458027;0.393477;0.422205;0.379295;0.427659;0.354678;0.431146;0.338917;0.433092;0.323795;0.409014;0.377348;0.403559;0.352672;0.401537;0.333855;0.400723;0.317788;0.398091;0.382773;0.39026;0.361093;0.386121;0.345107;0.383808;0.329779;0.388208;0.394751;0.376495;0.381694;0.36844;0.373477;0.362991;0.364683;0.630932;0.495974;0.607647;0.476139;0.59628;0.450037;0.586447;0.434429;0.577453;0.426551;0.615799;0.410757;0.615558;0.389282;0.613647;0.372749;0.614013;0.359805;0.629744;0.408729;0.636981;0.38349;0.640888;0.365237;0.647791;0.349468;0.641948;0.414934;0.653166;0.389945;0.660316;0.374887;0.668718;0.3629;0.652589;0.426905;0.667274;0.414163;0.677561;0.405316;0.688509;0.398264
0.508373;0.225498;0.40687;0.444558;0.429834;0.426393;0.440113;0.403836;0.445272;0.390115;0.451092;0.384442;0.42193;0.364767;0.428662;0.343334;0.431517;0.328941;0.433215;0.316295;0.410073;0.362437;0.406325;0.337665;0.404965;0.320486;0.404237;0.305118;0.39955;0.368037;0.391768;0.347073;0.387945;0.331987;0.384919;0.316794;0.389444;0.379555;0.376555;0.368095;0.368174;0.357916;0.360801;0.346535;0.626243;0.473152;0.604303;0.450243;0.594397;0.425369;0.585479;0.416037;0.576952;0.41246;0.614564;0.393822;0.617884;0.377326;0.616847;0.363776;0.617187;0.354361;0.628216;0.392783;0.637585;0.371294;0.640629;0.353913;0.645609;0.338284;0.639748;0.398507;0.653095;0.376941;0.658812;0.363623;0.663526;0.352157;0.650574;0.408121;0.664507;0.394553;0.674652;0.386537;0.684023;0.378778
0.506805;0.226562;0.407059;0.431815;0.427854;0.417746;0.438745;0.396751;0.443698;0.383415;0.449981;0.377266;0.421563;0.355053;0.428884;0.334711;0.431992;0.322136;0.43452;0.311492;0.408271;0.351155;0.406138;0.32579;0.406895;0.308639;0.407601;0.293583;0.396271;0.356253;0.389281;0.331769;0.386652;0.314846;0.383781;0.298728;0.385098;0.368716;0.371575;0.354205;0.363131;0.344485;0.355734;0.334352;0.632411;0.459722;0.611618;0.435483;0.602003;0.411717;0.591672;0.398248;0.578027;0.393102;0.620237;0.378807;0.62206;0.35898;0.622284;0.344559;0.622951;0.334692;0.634107;0.380556;0.640512;0.358339;0.642855;0.341096;0.645561;0.326134;0.645245;0.387566;0.65458;0.364742;0.65883;0.349615;0.661801;0.33785;0.654777;0.398199;0.667282;0.383746;0.675144;0.374977;0.681278;0.367558
0.502365;0.229818;0.40794;0.434112;0.426612;0.417797;0.435891;0.393759;0.435842;0.375486;0.432691;0.361456;0.42165;0.358788;0.421209;0.335499;0.420692;0.328575;0.420064;0.327302;0.407743;0.356672;0.405151;0.328686;0.403179;0.316927;0.401853;0.309703;0.394809;0.36117;0.390992;0.335317;0.39128;0.322711;0.391715;0.315059;0.382398;0.372212;0.370858;0.357563;0.363624;0.347958;0.35666;0.339124;0.637636;0.45325;0.61871;0.430458;0.610216;0.412066;0.601855;0.401371;0.595282;0.400076;0.62539;0.372543;0.630863;0.350419;0.632948;0.339992;0.633368;0.337689;0.639361;0.374582;0.64637;0.351298;0.647442;0.340795;0.646009;0.337071;0.651257;0.383227;0.660036;0.361751;0.661893;0.350929;0.660091;0.345533;0.661915;0.397146;0.671304;0.382806;0.674066;0.374292;0.673204;0.368554
0.501877;0.22644;0.404073;0.432584;0.423778;0.427093;0.435542;0.414241;0.438059;0.409271;0.437978;0.408731;0.41529;0.38622;0.41571;0.362817;0.415135;0.375518;0.41472;0.389895;0.400169;0.386204;0.397389;0.358797;0.397093;0.378201;0.397773;0.394201;0.387882;0.392677;0.383437;0.370673;0.383182;0.38932;0.385159;0.403916;0.378308;0.403801;0.368263;0.390169;0.367609;0.399033;0.37109;0.408441;0.635549;0.447416;0.614874;0.434185;0.603292;0.416145;0.602998;0.407172;0.611421;0.412258;0.63047;0.39043;0.637666;0.37286;0.639148;0.384291;0.637419;0.393682;0.648797;0.394421;0.656677;0.376131;0.657148;0.391542;0.65289;0.400757;0.661867;0.403327;0.670753;0.386489;0.669686;0.39901;0.664084;0.40824;0.670864;0.414757;0.680447;0.403845;0.679806;0.409416;0.67466;0.414757
0.502991;0.233643;0.635077;0.869461;0.609878;0.888966;0.598257;0.91621;0.591234;0.941094;0.58489;0.959786;0.609119;0.935784;0.606457;0.971381;0.602693;0.983619;0.600436;0.98767;0.623373;0.9394;0.620948;0.977323;0.615841;0.988737;0.612924;0.991092;0.634446;0.938443;0.632945;0.972671;0.627966;0.984691;0.624409;0.987709;0.641649;0.934231;0.64028;0.961452;0.635745;0.973353;0.632398;0.978631;0.36164;0.866931;0.384579;0.887935;0.394585;0.915478;0.399393;0.939023;0.404436;0.962395;0.371025;0.939053;0.375095;0.97432;0.386904;0.975895;0.393699;0.968767;0.360327;0.937154;0.366987;0.97346;0.378936;0.974334;0.385018;0.967457;0.353478;0.932814;0.360644;0.964506;0.371676;0.966868;0.377981;0.960779;0.349503;0.928219;0.357111;0.953112;0.365644;0.957578;0.370736;0.953846
