face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.461703;0.232777;0.333729;0.484886;0.338126;0.463209;0.343302;0.46014;0.351445;0.45497;0.357755;0.451299;0.338414;0.493824;0.340714;0.520829;0.342636;0.542308;0.342925;0.56214;0.335161;0.507589;0.346962;0.534635;0.351904;0.556761;0.354099;0.579672;0.332424;0.513981;0.343325;0.537939;0.344265;0.557601;0.340397;0.576719;0.331108;0.517426;0.333411;0.529323;0.330253;0.53658;0.326933;0.542784;0.619057;0.583965;0.624268;0.560266;0.618498;0.534137;0.611229;0.514518;0.60437;0.501719;0.61359;0.535737;0.601781;0.514403;0.594977;0.503395;0.590558;0.494633;0.605436;0.548681;0.59261;0.525078;0.585667;0.510652;0.580631;0.49828;0.598005;0.562347;0.585524;0.539259;0.581907;0.524161;0.579969;0.513212;0.591947;0.574785;0.582378;0.554851;0.579477;0.542742;0.57796;0.533539
0.46962;0.276469;0.342345;0.308964;0.335068;0.28751;0.338087;0.268185;0.34445;0.25604;0.35066;0.247044;0.349415;0.248611;0.356347;0.225145;0.358171;0.215114;0.358056;0.20814;0.357526;0.256306;0.367611;0.235848;0.369239;0.227479;0.369375;0.221961;0.362648;0.267743;0.36987;0.253347;0.367337;0.251784;0.364788;0.252131;0.365672;0.278988;0.372726;0.267201;0.37178;0.265408;0.370387;0.265668;0.621902;0.295891;0.607567;0.279865;0.601734;0.264959;0.601265;0.250967;0.601995;0.239675;0.598516;0.243648;0.595304;0.226698;0.597331;0.230231;0.598553;0.236318;0.606905;0.240329;0.604348;0.22307;0.605873;0.229154;0.60636;0.236916;0.614308;0.239314;0.612185;0.22301;0.613342;0.230658;0.614155;0.239175;0.621359;0.239656;0.619984;0.225025;0.619962;0.2315;0.62106;0.240466
0.4672;0.276876;0.345698;0.301363;0.340049;0.302504;0.33689;0.299653;0.33831;0.296414;0.340335;0.293842;0.341986;0.26229;0.344374;0.238577;0.347857;0.223385;0.35163;0.210356;0.350744;0.257648;0.354736;0.232621;0.359908;0.216801;0.365118;0.205401;0.358792;0.256413;0.363899;0.236388;0.368004;0.225127;0.372092;0.218856;0.366145;0.257173;0.371442;0.239671;0.374222;0.231926;0.376448;0.229866
0.465267;0.263936;0.338245;0.295039;0.350115;0.288159;0.35668;0.279411;0.35995;0.273113;0.364706;0.266174;0.347104;0.251495;0.3492;0.232568;0.351794;0.218579;0.354141;0.206768;0.348528;0.251638;0.349043;0.233225;0.352653;0.220347;0.355189;0.208067;0.35022;0.256364;0.352841;0.245732;0.353297;0.245064;0.352242;0.244307;0.351682;0.26311;0.354424;0.257394;0.35389;0.257794;0.351962;0.259687;0.625037;0.28675;0.606357;0.28929;0.595063;0.282763;0.584594;0.276727;0.574573;0.274313;0.598229;0.236048;0.587995;0.214308;0.582788;0.201601;0.579397;0.191905;0.60813;0.226871;0.601258;0.202385;0.596905;0.187178;0.593033;0.175127;0.618662;0.224992;0.614549;0.199129;0.611367;0.184505;0.608268;0.174035;0.629414;0.227711;0.630131;0.203957;0.629911;0.189071;0.629135;0.177417
0.466886;0.265671;0.33059;0.291693;0.348399;0.285634;0.360501;0.274193;0.370399;0.269068;0.384077;0.266871;0.349268;0.24959;0.352643;0.233236;0.354518;0.22135;0.35637;0.211004;0.342719;0.2494;0.343973;0.23283;0.345614;0.221078;0.348238;0.209231;0.337372;0.252867;0.339691;0.238344;0.34051;0.229637;0.342132;0.222088;0.333289;0.258703;0.336372;0.248388;0.338212;0.242215;0.340233;0.237266;0.624988;0.284447;0.604006;0.285105;0.589158;0.278061;0.579271;0.27392;0.566045;0.273076;0.590537;0.23263;0.583338;0.212054;0.578185;0.200631;0.572241;0.189168;0.601641;0.223864;0.594633;0.200862;0.588503;0.186696;0.581525;0.172297;0.61327;0.221168;0.60833;0.197353;0.603776;0.18337;0.59786;0.170332;0.625775;0.22357;0.624278;0.20319;0.622261;0.19105;0.619262;0.180652
0.461409;0.26736;0.335921;0.281883;0.340739;0.26495;0.34567;0.249671;0.350213;0.236817;0.355029;0.22606;0.348139;0.24413;0.353876;0.231524;0.356447;0.222884;0.357265;0.214884;0.350125;0.249612;0.355677;0.238922;0.356994;0.231694;0.35603;0.225652;0.350968;0.255816;0.35656;0.247912;0.355027;0.245792;0.350967;0.245185;0.351521;0.262255;0.356171;0.255864;0.354726;0.254507;0.351557;0.254992;0.620866;0.281692;0.619584;0.276493;0.61341;0.260591;0.604664;0.248518;0.595017;0.240935;0.613242;0.227793;0.608428;0.198294;0.60058;0.181428;0.59243;0.168837;0.605994;0.227575;0.598327;0.194888;0.589082;0.176408;0.580314;0.162243;0.599126;0.232781;0.58961;0.207989;0.582801;0.192023;0.577365;0.178678;0.592794;0.241676;0.585039;0.22505;0.581333;0.216008;0.579452;0.210059
0.465469;0.270587;0.332664;0.272689;0.338133;0.256624;0.343352;0.244692;0.348463;0.236881;0.353095;0.230223;0.347523;0.240183;0.353221;0.230708;0.356088;0.225179;0.357374;0.21943;0.348887;0.245858;0.354202;0.23907;0.356172;0.23525;0.356623;0.231631;0.349351;0.25242;0.355253;0.246651;0.355355;0.245178;0.352951;0.244428;0.349332;0.258757;0.35501;0.253711;0.35436;0.251599;0.351394;0.250804;0.622405;0.274161;0.602149;0.27066;0.590844;0.255101;0.585646;0.241632;0.587814;0.234234;0.601202;0.222627;0.595129;0.195343;0.590346;0.177249;0.584845;0.160404;0.607388;0.217742;0.600303;0.189393;0.593873;0.172286;0.587462;0.156773;0.611564;0.217896;0.603931;0.198276;0.598434;0.187806;0.594575;0.17759;0.613752;0.221129;0.60758;0.209523;0.602978;0.205306;0.600205;0.201509
0.467636;0.272441;0.618338;0.269037;0.618429;0.25451;0.612483;0.238081;0.604006;0.230717;0.596837;0.224787;0.609639;0.212628;0.602678;0.187146;0.597648;0.171002;0.591391;0.155692;0.601548;0.217279;0.594598;0.191094;0.590541;0.173953;0.584428;0.157423;0.594434;0.225525;0.590057;0.218756;0.596849;0.230027;0.599924;0.234523;0.588426;0.235354;0.588533;0.232144;0.59379;0.239447;0.596743;0.243633
0.466763;0.273153;0.605426;0.236546;0.60388;0.247823;0.601544;0.245242;0.600785;0.240976;0.600126;0.239037;0.598493;0.210036;0.596405;0.191057;0.592052;0.176727;0.587709;0.163624;0.598516;0.199511;0.594277;0.177151;0.588466;0.160683;0.582915;0.14586;0.5981;0.192962;0.593726;0.172361;0.587129;0.156344;0.58137;0.143246;0.596796;0.189529;0.593218;0.172311;0.588483;0.159339;0.58411;0.148141;0.348991;0.192243;0.357626;0.165255;0.365133;0.146848;0.370932;0.133553;0.377382;0.123686;0.363047;0.146159;0.371674;0.13641;0.376994;0.128675;0.380217;0.122439;0.360281;0.15523;0.368882;0.148184;0.373632;0.139474;0.377815;0.131653;0.357905;0.166885;0.364682;0.160928;0.368901;0.15336;0.37291;0.147968;0.354699;0.180645;0.358892;0.17784;0.361615;0.173211;0.364405;0.169862
0.466372;0.27417;0.609498;0.245061;0.604872;0.248262;0.601943;0.240157;0.601556;0.232931;0.600829;0.229663;0.602255;0.20541;0.599476;0.183132;0.596749;0.167597;0.59409;0.153018;0.601484;0.200837;0.597234;0.175629;0.593961;0.157902;0.590857;0.141348;0.599608;0.200446;0.595161;0.177307;0.591643;0.162325;0.588821;0.150303;0.595759;0.201939;0.592788;0.185608;0.590709;0.175088;0.588845;0.167214;0.349294;0.188935;0.352234;0.171268;0.357035;0.157963;0.361774;0.148373;0.365565;0.139625;0.364137;0.151058;0.369475;0.139324;0.371246;0.130854;0.372757;0.123999;0.364166;0.155965;0.369571;0.141985;0.371032;0.132006;0.372897;0.123865;0.362554;0.161426;0.366107;0.148829;0.367504;0.139368;0.369487;0.132646;0.359447;0.167914;0.361858;0.158495;0.363195;0.151414;0.365323;0.146958
