face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.515457;0.227254;0.658598;0.878776;0.634554;0.891622;0.62553;0.915869;0.622062;0.941126;0.617303;0.961619;0.641944;0.937028;0.633683;0.971009;0.626905;0.975276;0.62305;0.971823;0.654343;0.941988;0.644937;0.976525;0.636582;0.979029;0.63242;0.974325;0.663539;0.942863;0.656395;0.974981;0.647971;0.977581;0.643676;0.973162;0.670676;0.940731;0.665466;0.966472;0.657922;0.972636;0.653233;0.971174
0.513539;0.229512;0.658495;0.879737;0.634189;0.892047;0.625375;0.915689;0.621743;0.940531;0.617222;0.960922;0.641247;0.936045;0.632966;0.96978;0.626321;0.975127;0.622518;0.972316;0.653498;0.941761;0.643935;0.976406;0.635673;0.980807;0.630957;0.977502;0.662738;0.943625;0.65528;0.97604;0.646916;0.980676;0.641994;0.977748;0.670023;0.942455;0.664833;0.968539;0.657166;0.976095;0.651819;0.97569
0.51297;0.228678;0.659488;0.879819;0.635873;0.892395;0.627304;0.916231;0.624192;0.941145;0.620014;0.961872;0.640188;0.93739;0.634311;0.969876;0.628545;0.978542;0.6247;0.978664;0.653284;0.942512;0.647205;0.976538;0.640032;0.983537;0.635481;0.98194;0.663669;0.942994;0.659261;0.975376;0.652016;0.981863;0.6475;0.980312;0.671629;0.940417;0.668205;0.965753;0.661631;0.97382;0.656772;0.973903
0.5126;0.23637;0.660873;0.878987;0.636639;0.891996;0.627531;0.915792;0.624348;0.941355;0.621471;0.962412;0.641524;0.936071;0.634625;0.969579;0.628917;0.975262;0.625516;0.972793;0.654489;0.941928;0.64673;0.97728;0.639118;0.982389;0.634512;0.979098;0.664597;0.943525;0.658088;0.97726;0.650405;0.98237;0.645627;0.979363;0.672457;0.941974;0.667282;0.968652;0.660326;0.976093;0.655433;0.975527
0.513633;0.23638;0.659515;0.878072;0.636674;0.890787;0.628024;0.914951;0.624531;0.93951;0.620231;0.960029;0.642321;0.933998;0.636098;0.967964;0.629506;0.976032;0.625109;0.97546;0.654885;0.939407;0.647625;0.974862;0.639399;0.981665;0.633802;0.980457;0.664309;0.940705;0.658556;0.974046;0.650444;0.981214;0.644858;0.980422;0.671283;0.938878;0.667022;0.96584;0.659901;0.974907;0.654262;0.975926;0.410252;0.627651;0.431094;0.624464;0.445753;0.630543;0.454079;0.639439;0.458276;0.648638;0.444131;0.661644;0.453695;0.676295;0.4556;0.672001;0.454488;0.666153;0.430997;0.667832;0.434933;0.690563;0.432694;0.699247;0.429148;0.707943;0.416244;0.668424;0.417973;0.683067;0.419994;0.681028;0.42101;0.679529;0.402494;0.665696;0.403826;0.674112;0.405809;0.672168;0.406507;0.669571
0.51059;0.228434;0.659976;0.871371;0.635889;0.885818;0.627424;0.909955;0.62404;0.935953;0.621487;0.956037;0.639147;0.930518;0.632289;0.964308;0.627869;0.968451;0.626228;0.96419;0.652603;0.936365;0.645006;0.973385;0.63802;0.976468;0.634777;0.970003;0.663521;0.937508;0.657289;0.971848;0.649899;0.975666;0.646077;0.971057;0.671943;0.935554;0.667616;0.962451;0.660487;0.969209;0.655756;0.967205;0.40486;0.636475;0.409379;0.663673;0.417483;0.684172;0.427646;0.69961;0.436756;0.710458;0.412537;0.684094;0.426574;0.698674;0.434695;0.706528;0.439569;0.712869;0.416791;0.669069;0.434778;0.681213;0.446491;0.687547;0.452565;0.692791;0.421603;0.652276;0.438993;0.661621;0.449829;0.666406;0.455261;0.670119;0.426557;0.635264;0.440694;0.64179;0.44875;0.64792;0.453359;0.652831
0.508865;0.228882;0.661179;0.866407;0.635957;0.882629;0.626285;0.907092;0.623145;0.93402;0.622362;0.954208;0.634388;0.928732;0.625375;0.965062;0.623221;0.963839;0.624812;0.953694;0.648449;0.935528;0.638559;0.972192;0.634859;0.968715;0.635677;0.957125;0.660618;0.936811;0.652302;0.971705;0.647905;0.968391;0.647349;0.958244;0.670924;0.934549;0.664951;0.964398;0.659831;0.964634;0.658138;0.956886;0.403792;0.641779;0.411036;0.66417;0.421744;0.685173;0.43194;0.701573;0.441011;0.710331;0.412238;0.684618;0.421374;0.706006;0.427298;0.718985;0.431385;0.729723;0.41489;0.673994;0.428397;0.693903;0.438996;0.705848;0.446872;0.715625;0.418538;0.661894;0.435208;0.678216;0.445269;0.687328;0.450721;0.694997;0.423779;0.649394;0.438234;0.660554;0.446933;0.666111;0.452578;0.671493
0.506378;0.230306;0.663649;0.861009;0.637995;0.875543;0.626924;0.901295;0.621525;0.928563;0.618573;0.95018;0.641262;0.922177;0.631725;0.958603;0.624848;0.961544;0.622759;0.95544;0.654807;0.929448;0.644011;0.969529;0.634527;0.971398;0.63104;0.96212;0.66521;0.931708;0.656871;0.968885;0.647367;0.972148;0.642933;0.96428;0.672874;0.930553;0.667408;0.96032;0.658632;0.966749;0.653404;0.962304;0.406661;0.647732;0.409177;0.672751;0.418783;0.692805;0.428811;0.707597;0.436688;0.714201;0.411083;0.692834;0.419736;0.712361;0.427477;0.723189;0.433343;0.732287;0.414562;0.680496;0.431628;0.694475;0.444979;0.699872;0.453822;0.704277;0.419941;0.665204;0.440694;0.676411;0.452799;0.678076;0.458861;0.678939;0.426888;0.64994;0.443612;0.658011;0.451766;0.660138;0.455306;0.661286
0.50853;0.231689;0.662666;0.850616;0.638277;0.863095;0.625576;0.885916;0.61871;0.91011;0.615773;0.931792;0.641809;0.913162;0.628392;0.948092;0.621498;0.946392;0.620666;0.937967;0.653224;0.921847;0.638834;0.959418;0.62936;0.957345;0.627568;0.947316;0.661766;0.925383;0.649612;0.959502;0.640407;0.958516;0.638339;0.948643;0.668663;0.924987;0.658848;0.952565;0.649678;0.95578;0.646253;0.950036;0.411389;0.652436;0.430963;0.658144;0.442398;0.674093;0.447748;0.689819;0.451196;0.701094;0.436374;0.677526;0.443842;0.696723;0.445434;0.700194;0.446397;0.700553;0.42616;0.681643;0.430425;0.703487;0.431403;0.710648;0.431974;0.713435;0.416519;0.684932;0.420941;0.707476;0.423357;0.713897;0.424707;0.715235;0.408682;0.687172;0.412686;0.705699;0.415574;0.716744;0.416879;0.724349
0.509903;0.235026;0.66948;0.838768;0.642207;0.845371;0.624323;0.863384;0.61484;0.883453;0.609075;0.901411;0.636036;0.89666;0.617882;0.929445;0.60963;0.92049;0.609658;0.906793;0.647633;0.906365;0.627646;0.940325;0.6189;0.92948;0.619533;0.915143;0.656349;0.910663;0.638506;0.94131;0.630153;0.933637;0.630204;0.919776;0.663671;0.910166;0.650508;0.935312;0.641547;0.932997;0.63895;0.92357;0.418611;0.66188;0.433567;0.671951;0.442557;0.681797;0.449878;0.687798;0.457345;0.694384;0.430605;0.688995;0.432892;0.703122;0.433367;0.712029;0.433056;0.719807;0.425034;0.684748;0.424206;0.698507;0.424461;0.708983;0.424616;0.718764;0.421171;0.679931;0.425303;0.688266;0.427927;0.690075;0.429474;0.690987;0.418695;0.67412;0.422885;0.683564;0.426005;0.685639;0.42842;0.686442
0.511345;0.232067;0.651156;0.830068;0.647869;0.841243;0.641091;0.855038;0.631285;0.869078;0.622842;0.882673;0.643316;0.89923;0.641258;0.933495;0.638303;0.957805;0.633906;0.97974;0.63582;0.894921;0.62656;0.915239;0.62688;0.902095;0.628591;0.893257;0.627666;0.886057;0.617328;0.89937;0.618619;0.880578;0.621984;0.867141;0.620329;0.878611;0.611335;0.890775;0.612694;0.881955;0.616269;0.874766;0.42948;0.664805;0.435779;0.669538;0.441353;0.677884;0.444785;0.685144;0.44723;0.691021;0.43346;0.684141;0.434855;0.700002;0.434619;0.711255;0.434407;0.720871;0.430108;0.68391;0.431272;0.700955;0.431113;0.711775;0.431317;0.720131;0.428595;0.683247;0.431701;0.696187;0.433088;0.696434;0.433909;0.695948;0.428195;0.682263;0.430904;0.692168;0.432648;0.691879;0.433914;0.690233
0.510281;0.230254;0.6892;0.611738;0.702313;0.635262;0.700613;0.651664;0.691655;0.659705;0.683392;0.662646;0.690355;0.665294;0.683218;0.677662;0.683526;0.671293;0.685097;0.665367;0.678671;0.658402;0.673695;0.664847;0.67244;0.657577;0.672924;0.652624;0.669972;0.64665;0.665024;0.648467;0.665781;0.640653;0.668633;0.635259;0.662624;0.633628;0.658714;0.632844;0.66029;0.625346;0.663171;0.61938
