face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.447278;0.248452;0.383186;0.971315;0.398843;0.951854;0.422706;0.948935;0.444916;0.948746;0.465999;0.948291;0.432082;0.992449;0.460697;0.997004;0.480431;0.996001;0.495544;0.993416;0.4326;0.998646;0.460715;1.00393;0.479007;1.0017;0.493431;0.998665;0.431536;0.998467;0.454699;1.00103;0.470282;1.00016;0.479687;0.999007;0.429245;0.995743;0.445495;0.997888;0.457224;0.996386;0.465038;0.994162
0.445424;0.255075;0.349259;0.855987;0.37755;0.866453;0.403814;0.87857;0.427703;0.888807;0.445309;0.890042;0.418838;0.88898;0.451687;0.887951;0.464507;0.880623;0.469567;0.870927;0.41828;0.884969;0.45041;0.882635;0.461409;0.874025;0.465441;0.862105;0.411969;0.879856;0.438473;0.876382;0.449305;0.863328;0.454708;0.851559;0.403668;0.874946;0.422625;0.87332;0.431784;0.864153;0.437241;0.854919
0.445493;0.256348;0.307802;0.822808;0.318867;0.764265;0.340235;0.730422;0.3627;0.707663;0.380009;0.691461;0.382446;0.785667;0.420984;0.784745;0.430977;0.781929;0.434316;0.780796;0.385477;0.814936;0.423717;0.808505;0.431318;0.802326;0.431837;0.800776;0.381941;0.83868;0.414073;0.832793;0.424697;0.824443;0.427181;0.820679;0.374302;0.856613;0.397101;0.857934;0.406118;0.85159;0.408176;0.846056;0.662672;0.841015;0.634452;0.843504;0.604679;0.83365;0.579124;0.821248;0.562574;0.816563;0.605984;0.853326;0.578143;0.857417;0.559303;0.8519;0.543745;0.848821;0.612218;0.842965;0.583305;0.849283;0.561957;0.842741;0.545094;0.839991;0.621014;0.829291;0.59579;0.833165;0.573748;0.828592;0.554888;0.829184;0.630854;0.812883;0.615186;0.801973;0.599753;0.794818;0.584805;0.793379
0.44877;0.257675;0.302212;0.805013;0.311549;0.751362;0.332034;0.717599;0.355774;0.691277;0.376841;0.670373;0.354654;0.760359;0.391403;0.760184;0.409653;0.758281;0.42291;0.757543;0.357529;0.788415;0.397366;0.786273;0.416314;0.778875;0.428919;0.77559;0.357654;0.812907;0.393246;0.812395;0.412339;0.804502;0.425396;0.799094;0.355023;0.832005;0.378892;0.835466;0.393595;0.831449;0.403596;0.826731;0.672099;0.824717;0.650215;0.842201;0.621666;0.846773;0.601606;0.840637;0.589393;0.831145;0.624227;0.843653;0.588158;0.846545;0.567755;0.842381;0.552048;0.837592;0.629211;0.826492;0.591854;0.830396;0.567706;0.82649;0.547632;0.82174;0.63609;0.808421;0.602587;0.81195;0.579996;0.807835;0.561381;0.802822;0.644787;0.790079;0.621956;0.787588;0.604166;0.782672;0.588032;0.778412
0.449692;0.258506;0.29577;0.780969;0.310094;0.732593;0.337618;0.706219;0.363318;0.684915;0.385546;0.673466;0.325768;0.739207;0.362306;0.739141;0.387213;0.731168;0.408286;0.725334;0.326814;0.768446;0.372655;0.770648;0.402061;0.76169;0.424783;0.754568;0.330038;0.792046;0.371261;0.789189;0.399304;0.778995;0.421289;0.769676;0.333209;0.807757;0.362352;0.805573;0.381986;0.797767;0.39907;0.789409;0.677965;0.813599;0.661501;0.837849;0.633528;0.842601;0.613924;0.833443;0.603015;0.822131;0.631449;0.829417;0.595465;0.829754;0.574776;0.823333;0.558362;0.817043;0.635388;0.807345;0.597813;0.807797;0.574595;0.804052;0.555115;0.8004;0.641075;0.786587;0.607145;0.786333;0.585667;0.784476;0.568334;0.780057;0.647926;0.767969;0.623684;0.763572;0.607555;0.760142;0.592777;0.7554
0.44953;0.256758;0.294387;0.77571;0.305351;0.732067;0.333735;0.695069;0.357057;0.665744;0.374006;0.642015;0.325356;0.729678;0.36241;0.73224;0.386987;0.729427;0.406637;0.724607;0.327602;0.761192;0.371178;0.76718;0.401278;0.762262;0.423991;0.757153;0.329528;0.787806;0.37069;0.790879;0.399637;0.782621;0.420352;0.775475;0.329973;0.807246;0.361725;0.809692;0.381272;0.804254;0.396191;0.797807;0.675596;0.804016;0.658022;0.82939;0.634084;0.831979;0.615502;0.82171;0.604522;0.811036;0.633196;0.819548;0.596207;0.823137;0.574489;0.818099;0.558288;0.812532;0.634448;0.796189;0.595967;0.800363;0.569351;0.797018;0.548092;0.793234;0.637622;0.773271;0.599085;0.775452;0.57613;0.770183;0.559189;0.765646;0.642057;0.750531;0.611974;0.748002;0.595822;0.743576;0.583066;0.741102
0.451468;0.255398;0.288962;0.764805;0.304862;0.713925;0.337425;0.680983;0.367548;0.658915;0.388295;0.642555;0.331244;0.709304;0.372785;0.703357;0.395941;0.69447;0.414796;0.687627;0.334004;0.742936;0.385027;0.745645;0.415092;0.740293;0.437448;0.737976;0.336945;0.770213;0.383897;0.77;0.412883;0.761712;0.433358;0.755432;0.339705;0.790212;0.373437;0.792206;0.393664;0.78808;0.410013;0.782193;0.670564;0.794721;0.645119;0.809027;0.621176;0.809652;0.601874;0.805824;0.589354;0.799875;0.621483;0.796734;0.589168;0.795441;0.568097;0.788858;0.549749;0.782848;0.627175;0.78088;0.592457;0.777371;0.567917;0.771615;0.54708;0.767001;0.633358;0.763909;0.599066;0.757952;0.576823;0.750762;0.560345;0.745876;0.639783;0.746984;0.611507;0.741069;0.594207;0.735477;0.581161;0.733111
0.452342;0.257436;0.293148;0.752628;0.307899;0.704901;0.339108;0.674872;0.368367;0.658108;0.390407;0.646567;0.335384;0.699183;0.377331;0.688362;0.402973;0.677661;0.423194;0.668974;0.338912;0.731164;0.39241;0.734433;0.423823;0.730853;0.444988;0.729671;0.34135;0.757918;0.392087;0.759835;0.421054;0.754007;0.440589;0.750592;0.342382;0.778361;0.379788;0.782666;0.399934;0.780254;0.41546;0.776724;0.66673;0.778799;0.643491;0.781354;0.616417;0.779048;0.593114;0.775396;0.575892;0.77115;0.623987;0.770578;0.587178;0.765839;0.564978;0.759339;0.547589;0.752231;0.628235;0.758674;0.587482;0.757632;0.559557;0.754934;0.539438;0.751691;0.631553;0.747154;0.592268;0.743498;0.565549;0.73833;0.547183;0.733481;0.634715;0.737417;0.604356;0.727967;0.58692;0.720443;0.575703;0.714491
0.452911;0.260198;0.296296;0.735318;0.313749;0.690343;0.347389;0.665025;0.380181;0.649626;0.404093;0.638599;0.341273;0.68925;0.387797;0.68459;0.412776;0.677161;0.43146;0.671215;0.343676;0.720953;0.398272;0.721602;0.427611;0.7146;0.446945;0.710866;0.345708;0.747478;0.39654;0.747692;0.424711;0.739244;0.443544;0.733152;0.346797;0.767951;0.385014;0.769696;0.40555;0.764636;0.421452;0.75914;0.662846;0.769606;0.648501;0.72929;0.625025;0.708633;0.600262;0.701425;0.580366;0.704552;0.634033;0.700226;0.611292;0.678549;0.591095;0.66752;0.57161;0.659426;0.630566;0.727481;0.591441;0.723928;0.560259;0.722092;0.538861;0.721116;0.624461;0.756287;0.582611;0.758791;0.553189;0.752558;0.5345;0.742775;0.618947;0.781258;0.584267;0.778663;0.564652;0.771202;0.552532;0.759742
0.45367;0.266197;0.299677;0.724709;0.317521;0.678217;0.352827;0.652302;0.387462;0.636954;0.412739;0.621831;0.344727;0.683141;0.395772;0.678089;0.422613;0.670062;0.442035;0.662768;0.348354;0.71649;0.404509;0.710534;0.436224;0.698308;0.456648;0.690682;0.351698;0.741959;0.404124;0.737382;0.433303;0.724415;0.452588;0.715586;0.354365;0.760325;0.393878;0.759307;0.415217;0.750373;0.430924;0.742585;0.652639;0.753125;0.646594;0.71081;0.62428;0.683596;0.602037;0.667669;0.582725;0.658179;0.628986;0.686229;0.602738;0.664774;0.579668;0.65355;0.559794;0.64456;0.626138;0.712281;0.582025;0.706097;0.551019;0.701388;0.529273;0.697592;0.620239;0.740142;0.574724;0.738235;0.548005;0.730937;0.530626;0.722914;0.613357;0.765244;0.577487;0.761748;0.56117;0.754465;0.549593;0.744752
0.457673;0.264095;0.303297;0.702775;0.323985;0.657669;0.360309;0.633515;0.396021;0.618919;0.421595;0.600029;0.350982;0.66884;0.405594;0.663195;0.431333;0.654462;0.449249;0.646644;0.354022;0.702007;0.41128;0.692036;0.439831;0.677853;0.45753;0.667904;0.358073;0.727129;0.410218;0.715327;0.43627;0.699565;0.451054;0.687905;0.361909;0.744895;0.401185;0.736082;0.42083;0.722968;0.432877;0.712318;0.650263;0.733695;0.642478;0.690154;0.620595;0.662671;0.598343;0.645627;0.578688;0.63084;0.621955;0.669781;0.592516;0.65674;0.567274;0.649122;0.546791;0.640592;0.62012;0.696203;0.574133;0.691768;0.543274;0.684586;0.52196;0.675661;0.615215;0.723729;0.568272;0.722018;0.541372;0.713417;0.524747;0.702841;0.609876;0.747907;0.573776;0.744505;0.556623;0.736569;0.544904;0.726771
