face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.484504;0.279029;0.383712;0.980458;0.399506;0.970553;0.413781;0.971231;0.4251;0.975285;0.435131;0.977941;0.422299;0.995141;0.437083;0.99375;0.443283;0.990215;0.445437;0.989972;0.422016;0.998175;0.440876;0.997206;0.447373;0.993142;0.44963;0.99454;0.421788;0.996851;0.43893;0.996489;0.445281;0.993047;0.446753;0.995263;0.421083;0.992248;0.434456;0.994019;0.440342;0.990739;0.441833;0.99064
0.484124;0.28083;0.604414;0.990113;0.587657;0.975717;0.57852;0.975753;0.576916;0.976952;0.576526;0.97427;0.573879;0.99205;0.575883;1.00089;0.579448;1.01362;0.585766;1.02271;0.589021;0.997505;0.590817;1.00996;0.592496;1.02438;0.592224;1.03771;0.6023;1.00282;0.606713;1.01138;0.607986;1.02243;0.608083;1.03208;0.612847;1.00995;0.61549;1.0168;0.616297;1.02473;0.616268;1.03313
0.484216;0.281467;0.613172;0.990453;0.609402;0.99678;0.602247;0.999136;0.595937;1.00041;0.589203;1.00239;0.593085;1.00194;0.582954;1.00086;0.576964;1.00231;0.57412;1.00267;0.592275;1.00057;0.579944;0.999363;0.573606;0.999834;0.569548;0.998825;0.591643;0.998664;0.5808;0.996497;0.574647;0.995857;0.570374;0.994286;0.591401;0.996698;0.582922;0.993464;0.578214;0.9936;0.574704;0.992699;0.322596;0.875224;0.350238;0.860725;0.376397;0.870063;0.391112;0.887334;0.396688;0.903769;0.393993;0.900641;0.432008;0.919374;0.452344;0.927487;0.469362;0.935708;0.384612;0.918658;0.425181;0.940179;0.444589;0.944108;0.458866;0.949617;0.371298;0.929865;0.394457;0.935089;0.390274;0.914673;0.384724;0.903208;0.357574;0.935589;0.373901;0.94203;0.373659;0.928525;0.369578;0.919223
0.484578;0.281789;0.318456;0.842398;0.346715;0.831208;0.370228;0.843503;0.383078;0.865822;0.387407;0.887021;0.392792;0.858595;0.427612;0.87198;0.440862;0.881292;0.450401;0.89042;0.386424;0.881054;0.418307;0.894533;0.433476;0.899021;0.446262;0.903476;0.373669;0.89881;0.383488;0.904095;0.375038;0.890332;0.371048;0.880711;0.359043;0.911924;0.363732;0.908911;0.35776;0.895918;0.353012;0.886955
0.484735;0.280594;0.309927;0.785196;0.359315;0.788236;0.39098;0.81137;0.411722;0.840531;0.426278;0.863581;0.37813;0.850123;0.414673;0.859698;0.422246;0.848106;0.419914;0.838326;0.362155;0.861612;0.40051;0.866127;0.406526;0.850441;0.403621;0.841538;0.348635;0.866452;0.385926;0.870964;0.394857;0.853878;0.392804;0.844088;0.335504;0.867994;0.365753;0.871725;0.37573;0.856733;0.37675;0.845053
0.484106;0.280589;0.32179;0.750262;0.364155;0.749905;0.394691;0.770421;0.416062;0.793197;0.430925;0.810448;0.397146;0.777587;0.417254;0.804347;0.408247;0.804055;0.400517;0.795262;0.382204;0.792601;0.399388;0.810706;0.386159;0.809982;0.377768;0.804002;0.364307;0.804355;0.379467;0.816046;0.370135;0.809752;0.366057;0.800985;0.348069;0.814628;0.361908;0.81632;0.35678;0.807516;0.354408;0.800143
0.480788;0.279523;0.314933;0.694755;0.328751;0.650736;0.343043;0.631222;0.346194;0.619168;0.339749;0.612081;0.330555;0.657735;0.35016;0.668499;0.356747;0.680844;0.359257;0.69069;0.326942;0.686357;0.354937;0.701401;0.365148;0.709884;0.370185;0.715905;0.326218;0.711804;0.353119;0.726076;0.358326;0.725443;0.358999;0.724698;0.326856;0.730025;0.350886;0.739237;0.359702;0.739229;0.363004;0.739191;0.664059;0.675137;0.646731;0.630469;0.617722;0.612193;0.592135;0.613148;0.571267;0.618663;0.612086;0.619076;0.580165;0.61541;0.566121;0.619213;0.559788;0.625569;0.611487;0.646901;0.579265;0.639857;0.572473;0.644799;0.571998;0.647395;0.613043;0.674261;0.595023;0.671056;0.600122;0.669092;0.607816;0.666599;0.617669;0.699869;0.604685;0.693728;0.60877;0.691046;0.616686;0.69058
0.480035;0.27686;0.297884;0.66437;0.321532;0.69364;0.345283;0.710235;0.360779;0.717107;0.372799;0.72201;0.331029;0.684963;0.358555;0.703872;0.374565;0.716534;0.384849;0.726471;0.324005;0.663013;0.359054;0.683771;0.366293;0.694225;0.366671;0.697872;0.318496;0.645569;0.346062;0.662769;0.344909;0.670531;0.338142;0.671707;0.314015;0.629623;0.336625;0.629189;0.339572;0.629722;0.336512;0.628781;0.6743;0.658162;0.653793;0.629456;0.627218;0.614725;0.605577;0.609946;0.588761;0.605667;0.620559;0.620364;0.592802;0.615008;0.579931;0.611877;0.572287;0.609465;0.620058;0.636247;0.592945;0.631241;0.586901;0.626445;0.586132;0.622519;0.623889;0.652861;0.599432;0.650681;0.599913;0.644055;0.606039;0.638626;0.629637;0.67027;0.608607;0.667327;0.607806;0.660441;0.613606;0.655461
0.478366;0.27827;0.321909;0.668931;0.335893;0.659478;0.343913;0.661166;0.349543;0.664723;0.354427;0.667971;0.327722;0.668474;0.337744;0.671678;0.345828;0.672373;0.352561;0.673577;0.32245;0.668881;0.333131;0.668472;0.346506;0.666012;0.357005;0.662855;0.320618;0.66759;0.328312;0.664818;0.341481;0.661548;0.351532;0.656863;0.321425;0.666816;0.325062;0.663855;0.332142;0.659916;0.338613;0.655893;0.683646;0.651032;0.659469;0.651637;0.639221;0.645806;0.624679;0.639103;0.610865;0.63095;0.625627;0.646192;0.603276;0.629362;0.591412;0.613674;0.582203;0.599653;0.628904;0.643919;0.602595;0.622441;0.590127;0.604058;0.58066;0.587834;0.635197;0.638217;0.612041;0.618611;0.598779;0.600835;0.589194;0.586545;0.6445;0.630832;0.627247;0.617485;0.616096;0.605351;0.606279;0.593879
0.474205;0.280654;0.675404;0.545905;0.668444;0.507432;0.646795;0.484166;0.624592;0.487103;0.609676;0.489152;0.638495;0.479833;0.599203;0.468004;0.573754;0.464151;0.553053;0.462939;0.633215;0.504535;0.591616;0.490659;0.564478;0.48382;0.543583;0.47985;0.631512;0.533267;0.595869;0.531366;0.608408;0.532299;0.622023;0.533335;0.632822;0.562562;0.60528;0.558006;0.615309;0.557633;0.626482;0.558553;0.334241;0.548248;0.356239;0.549717;0.386899;0.541794;0.417184;0.537126;0.442535;0.541502;0.425824;0.505565;0.463716;0.498188;0.486967;0.496128;0.501939;0.493844;0.423022;0.49268;0.455986;0.489132;0.476205;0.490022;0.492342;0.492103;0.416725;0.486288;0.442747;0.485683;0.459649;0.486655;0.471734;0.486147;0.407899;0.482912;0.432118;0.483832;0.444292;0.483036;0.454005;0.481548
