face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.460428;0.253469;0.424873;0.94137;0.451955;0.931591;0.475843;0.944554;0.490856;0.96264;0.501462;0.982408;0.485778;0.967737;0.509223;1.00252;0.51878;1.0294;0.52336;1.05071;0.477025;0.977131;0.499727;1.01377;0.505798;1.03512;0.507136;1.05137;0.466964;0.983859;0.487723;1.01456;0.492061;1.02718;0.491681;1.03499;0.456962;0.988826;0.47385;1.01301;0.480014;1.02001;0.482193;1.02388
0.45803;0.254669;0.439072;0.933179;0.472025;0.950319;0.494435;0.95961;0.511264;0.967255;0.523988;0.975871;0.48658;0.948017;0.494296;0.960485;0.496636;0.960453;0.500638;0.952493;0.470921;0.954745;0.477874;0.964886;0.477571;0.963517;0.479664;0.958532;0.453524;0.960943;0.457655;0.970726;0.45602;0.964832;0.457011;0.955609;0.437293;0.965862;0.440395;0.972489;0.436553;0.967042;0.432756;0.960202;0.399334;0.850847;0.446402;0.83264;0.476695;0.853577;0.495221;0.884456;0.508446;0.912774;0.465405;0.90666;0.501722;0.939209;0.514235;0.93101;0.519137;0.919641;0.447797;0.925018;0.487033;0.94772;0.497371;0.923414;0.497806;0.904325;0.433374;0.930992;0.466075;0.941486;0.477064;0.916186;0.478262;0.898314;0.423448;0.928848;0.447079;0.929874;0.458037;0.910888;0.460344;0.897591
0.458402;0.254489;0.423505;0.818496;0.458555;0.832871;0.481921;0.85421;0.50049;0.879456;0.514295;0.898756;0.483268;0.868941;0.487714;0.895674;0.483454;0.890249;0.484158;0.877755;0.462449;0.879535;0.465216;0.898997;0.460548;0.891025;0.461268;0.879275;0.439538;0.882985;0.438695;0.896413;0.436815;0.884625;0.439412;0.870943;0.41827;0.883649;0.415763;0.890551;0.41558;0.879149;0.417527;0.866077
0.459088;0.253219;0.613375;0.956247;0.594788;0.942541;0.574203;0.952722;0.560418;0.97402;0.547025;0.99671;0.561173;0.996291;0.554268;1.03821;0.549034;1.06891;0.545538;1.09666;0.569849;1.00941;0.570507;1.05454;0.569317;1.08618;0.567582;1.11538;0.580884;1.01607;0.584079;1.04538;0.585927;1.04743;0.5884;1.04934;0.590963;1.02085;0.592499;1.03783;0.593878;1.04051;0.596169;1.04315;0.388402;0.760459;0.415637;0.753811;0.449674;0.762844;0.474703;0.776447;0.48472;0.789631;0.434477;0.753839;0.468111;0.780531;0.463634;0.784793;0.454237;0.779781;0.418471;0.752177;0.457666;0.779522;0.452655;0.783665;0.444058;0.778831;0.406683;0.756201;0.442779;0.775917;0.436757;0.775892;0.429491;0.772669;0.399186;0.761836;0.426826;0.772952;0.424286;0.771365;0.419206;0.769066
0.458415;0.253229;0.606068;0.962406;0.587791;0.938604;0.571075;0.941828;0.557301;0.961765;0.549059;0.98217;0.567442;0.990854;0.561966;1.01304;0.562756;1.02708;0.567252;1.03528;0.577221;1.00585;0.569505;1.03304;0.567482;1.04961;0.567401;1.06176;0.587374;1.01676;0.582192;1.03844;0.579346;1.05345;0.579847;1.06397;0.597219;1.02465;0.594043;1.04183;0.590204;1.05416;0.590773;1.06299
0.457151;0.251819;0.619837;0.905092;0.591805;0.888532;0.572342;0.901875;0.562002;0.925712;0.55246;0.951566;0.575358;0.957963;0.558849;0.992179;0.549018;1.00869;0.543578;1.01985;0.5863;0.97266;0.553896;0.989942;0.54634;0.982989;0.547374;0.979992;0.594727;0.977279;0.569344;0.972708;0.573763;0.946691;0.582481;0.932804;0.600961;0.977886;0.581211;0.973389;0.580814;0.951217;0.585565;0.936387
0.452836;0.249214;0.642496;0.866515;0.611697;0.836331;0.587186;0.835491;0.569413;0.861101;0.560044;0.899022;0.611986;0.879766;0.578724;0.906733;0.561744;0.916159;0.553384;0.924745;0.615151;0.912206;0.571311;0.924459;0.56185;0.909459;0.565672;0.902942;0.611937;0.932078;0.571977;0.937045;0.567345;0.921693;0.572197;0.914816;0.604946;0.943861;0.575961;0.942363;0.569852;0.929612;0.571541;0.921381;0.360392;0.610681;0.362188;0.576302;0.371618;0.545333;0.383972;0.522538;0.39475;0.508158;0.358542;0.535557;0.362559;0.497693;0.367701;0.478606;0.372355;0.463097;0.365569;0.550462;0.38222;0.52094;0.3918;0.513687;0.397791;0.509014;0.376653;0.570702;0.398137;0.553052;0.405959;0.552224;0.407575;0.55263;0.388611;0.593446;0.405135;0.582679;0.409733;0.577808;0.408619;0.574368
0.453528;0.248173;0.646149;0.8563;0.620814;0.833917;0.591362;0.836858;0.569338;0.857331;0.551738;0.879403;0.621252;0.867598;0.588913;0.8747;0.580305;0.865191;0.581933;0.861309;0.623265;0.887134;0.581525;0.899293;0.573653;0.88655;0.579034;0.878805;0.619808;0.900654;0.579642;0.912317;0.569969;0.903547;0.570963;0.899273;0.61253;0.908956;0.586188;0.910632;0.579028;0.902799;0.580313;0.898428;0.355931;0.61199;0.356382;0.575573;0.36962;0.542717;0.385423;0.524262;0.39956;0.510818;0.352872;0.533854;0.359346;0.48897;0.363799;0.45997;0.367712;0.434013;0.35473;0.547889;0.374986;0.515877;0.38877;0.494938;0.399982;0.4801;0.362835;0.567186;0.397085;0.549372;0.402998;0.55656;0.402315;0.565558;0.374238;0.588504;0.403097;0.575648;0.407575;0.578123;0.406775;0.584057
0.454659;0.247014;0.646413;0.848468;0.620063;0.818802;0.593073;0.814297;0.574212;0.832996;0.559635;0.85729;0.618432;0.843602;0.589256;0.864567;0.570481;0.876358;0.559723;0.885398;0.621492;0.871234;0.578638;0.887333;0.57364;0.871545;0.581558;0.858565;0.619516;0.890993;0.58101;0.899494;0.578434;0.885313;0.585715;0.87679;0.61485;0.904221;0.58704;0.904607;0.582903;0.894227;0.587413;0.886788;0.362991;0.615983;0.375035;0.586209;0.384779;0.553385;0.397487;0.531817;0.410942;0.511645;0.358467;0.530599;0.364601;0.483924;0.367759;0.453019;0.370322;0.426712;0.355332;0.540974;0.373656;0.496947;0.385274;0.467263;0.395444;0.442768;0.357651;0.557397;0.395205;0.533686;0.405525;0.548803;0.407905;0.56283;0.364834;0.575131;0.397338;0.557676;0.40647;0.56559;0.409916;0.575086
0.453765;0.249184;0.643903;0.839833;0.621672;0.809177;0.59294;0.808907;0.57249;0.831702;0.561081;0.857083;0.62214;0.826616;0.594641;0.842027;0.578025;0.85132;0.568537;0.858628;0.625907;0.852981;0.582621;0.865365;0.575514;0.85274;0.581236;0.843944;0.62322;0.872811;0.583928;0.882079;0.57865;0.866796;0.584455;0.857128;0.617932;0.886434;0.590056;0.886633;0.585061;0.875261;0.589441;0.867416;0.360603;0.619617;0.379376;0.589364;0.38884;0.554259;0.397476;0.527389;0.408032;0.503839;0.36151;0.525778;0.365144;0.479294;0.367407;0.447228;0.369744;0.419613;0.35712;0.535987;0.37462;0.490867;0.386122;0.461653;0.39609;0.436012;0.358764;0.553387;0.396207;0.531671;0.406599;0.546785;0.408957;0.557602;0.36581;0.571804;0.398356;0.556762;0.4068;0.565835;0.408702;0.573723
