face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.463169;0.220989;0.375398;0.961781;0.401993;0.955941;0.424549;0.967942;0.442451;0.98062;0.457531;0.992478;0.414577;1.01454;0.430466;1.03585;0.438768;1.04355;0.443428;1.04821;0.405985;1.02236;0.421548;1.04428;0.429438;1.05081;0.43349;1.05489;0.399053;1.02398;0.4144;1.04017;0.420446;1.04403;0.422904;1.04517;0.394113;1.02287;0.406593;1.0361;0.410481;1.03779;0.412311;1.03741
0.465344;0.21818;0.378541;0.973281;0.377021;0.945968;0.384919;0.932169;0.396545;0.931358;0.407723;0.939002;0.385894;0.972114;0.392987;0.971327;0.397576;0.972476;0.399746;0.971942;0.39235;0.987858;0.401269;0.996255;0.408945;1.002;0.412897;1.00504;0.399374;0.997894;0.4084;1.0096;0.415835;1.01925;0.418633;1.02582;0.405357;1.00421;0.413077;1.01489;0.419722;1.02071;0.423104;1.02238
0.470458;0.219598;0.327204;0.833106;0.325167;0.880189;0.339741;0.909563;0.359714;0.932067;0.374086;0.945661;0.363198;0.930185;0.392435;0.955047;0.391416;0.948152;0.38506;0.938557;0.37916;0.914115;0.403314;0.935287;0.397154;0.924566;0.387179;0.916687;0.38787;0.893478;0.406848;0.909783;0.401405;0.900931;0.391864;0.895844;0.392231;0.871542;0.405221;0.885185;0.401182;0.880005;0.392814;0.874845
0.471864;0.220536;0.291494;0.584576;0.282366;0.56192;0.281023;0.541419;0.283895;0.523024;0.284578;0.505507;0.286641;0.51319;0.289686;0.485068;0.292063;0.48483;0.292399;0.48945;0.293278;0.515864;0.295585;0.4908;0.297228;0.494378;0.297821;0.499528;0.299766;0.521942;0.302254;0.504143;0.301679;0.508752;0.300462;0.515449;0.305492;0.530675;0.308506;0.516819;0.307527;0.519648;0.30688;0.525681
0.46986;0.219728;0.280205;0.535305;0.285615;0.515658;0.29155;0.494433;0.292012;0.475535;0.29;0.459013;0.300615;0.464235;0.30521;0.437371;0.30425;0.424136;0.302832;0.415189;0.291286;0.464106;0.296041;0.434064;0.294331;0.418002;0.293352;0.405144;0.282561;0.468955;0.285426;0.443399;0.28531;0.429535;0.287047;0.419192;0.273266;0.477867;0.272781;0.462455;0.272764;0.453092;0.27464;0.445629
0.472801;0.218732;0.269657;0.531236;0.272541;0.503607;0.277437;0.480799;0.283699;0.4656;0.287088;0.451439;0.266281;0.459036;0.270186;0.42777;0.273097;0.40344;0.27756;0.381597;0.271425;0.460717;0.277581;0.425104;0.284962;0.398971;0.29237;0.374153;0.27803;0.463717;0.288;0.428397;0.298462;0.404895;0.306877;0.385215;0.287354;0.468873;0.2962;0.439814;0.302817;0.422407;0.308337;0.408855;0.275486;0.467639;0.264812;0.432666;0.266831;0.406586;0.267908;0.384924;0.262689;0.365907;0.285292;0.383596;0.29335;0.349914;0.294819;0.327208;0.295949;0.308942;0.289252;0.392245;0.300708;0.357723;0.304874;0.331186;0.308845;0.307313;0.290249;0.403743;0.301245;0.375222;0.307496;0.350948;0.313159;0.329543;0.289144;0.418318;0.298235;0.399683;0.301598;0.38405;0.304562;0.37039
0.473859;0.220579;0.264403;0.526869;0.26803;0.496242;0.271945;0.469551;0.279853;0.451245;0.286909;0.43409;0.268215;0.45116;0.272069;0.41706;0.273851;0.39069;0.27524;0.366477;0.27338;0.453237;0.278725;0.415786;0.283454;0.386498;0.286479;0.356847;0.279572;0.455096;0.28686;0.416879;0.293888;0.389921;0.298284;0.366203;0.28756;0.458359;0.292992;0.427448;0.295959;0.407786;0.296953;0.391203;0.275062;0.459782;0.268281;0.426447;0.271437;0.399293;0.271845;0.377235;0.27061;0.3582;0.282013;0.37196;0.293304;0.336266;0.298638;0.309415;0.302721;0.284407;0.285808;0.378714;0.302006;0.341536;0.310316;0.31254;0.31604;0.286119;0.289037;0.390311;0.307367;0.357699;0.317194;0.332798;0.324342;0.309933;0.291775;0.40659;0.304317;0.383709;0.312278;0.366843;0.319489;0.350551
0.476133;0.218938;0.259253;0.520404;0.274486;0.489383;0.282752;0.463855;0.289204;0.44416;0.293269;0.425548;0.282618;0.444193;0.290008;0.410098;0.293833;0.380954;0.2967;0.353241;0.281697;0.446009;0.288906;0.407832;0.293912;0.376179;0.297993;0.344992;0.280756;0.447647;0.288498;0.409704;0.29424;0.38116;0.297789;0.355606;0.280432;0.451271;0.285159;0.422529;0.289073;0.400276;0.29198;0.379848;0.27604;0.44971;0.27174;0.41744;0.27494;0.390799;0.275879;0.369927;0.276244;0.353742;0.288765;0.360428;0.298507;0.322663;0.303648;0.297027;0.308029;0.273478;0.292014;0.366469;0.307589;0.327637;0.316926;0.298007;0.324254;0.271159;0.294722;0.378041;0.312348;0.342651;0.323704;0.315974;0.332446;0.292282;0.296979;0.394459;0.311002;0.370952;0.320168;0.353501;0.329042;0.337525
0.478406;0.216995;0.26125;0.507888;0.275744;0.474353;0.285115;0.449766;0.291425;0.430071;0.297269;0.410063;0.284751;0.432092;0.293823;0.401685;0.299402;0.375129;0.303686;0.350087;0.283366;0.434211;0.291809;0.398927;0.297479;0.370677;0.302618;0.34295;0.282221;0.437081;0.291372;0.401616;0.297841;0.376594;0.3026;0.355235;0.281716;0.442471;0.287794;0.415187;0.292076;0.397266;0.295672;0.382087;0.280433;0.443068;0.277483;0.411378;0.283251;0.384437;0.284548;0.362348;0.284578;0.344464;0.297287;0.355697;0.31001;0.316281;0.317433;0.289909;0.323343;0.267187;0.299178;0.360788;0.316391;0.319284;0.327995;0.289035;0.337003;0.262299;0.300647;0.371451;0.319358;0.335238;0.332678;0.307598;0.342631;0.284315;0.301746;0.386628;0.314877;0.361008;0.324974;0.341677;0.334333;0.325119
0.478922;0.21872;0.263919;0.49674;0.276107;0.462934;0.284841;0.439378;0.291931;0.422167;0.298526;0.403304;0.284701;0.423527;0.294743;0.394591;0.299994;0.369257;0.303964;0.345027;0.285179;0.426734;0.294536;0.392733;0.300125;0.365082;0.305254;0.337458;0.285462;0.430137;0.295254;0.395889;0.301546;0.371745;0.306138;0.350544;0.285842;0.436061;0.291655;0.409614;0.295362;0.391791;0.298325;0.376882;0.284854;0.438103;0.281887;0.405607;0.287095;0.378363;0.287163;0.357039;0.286665;0.342826;0.301868;0.349667;0.314703;0.311675;0.322158;0.286407;0.328163;0.266103;0.302722;0.354369;0.320667;0.312351;0.331841;0.282009;0.340495;0.256407;0.303564;0.364438;0.323303;0.328799;0.337073;0.301799;0.347407;0.279529;0.304529;0.378842;0.318536;0.353911;0.328588;0.335521;0.33796;0.319639
