face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.487123;0.25652;0.296192;0.852032;0.288067;0.890316;0.283782;0.921423;0.28174;0.940143;0.282412;0.957423;0.269063;0.942322;0.26252;0.976467;0.264413;1.00576;0.265216;1.03203;0.271076;0.937414;0.26371;0.973726;0.265093;1.00215;0.263808;1.02661;0.275725;0.929051;0.26536;0.960354;0.267048;0.980882;0.268772;0.996035;0.281225;0.915422;0.273732;0.934274;0.273507;0.950569;0.27427;0.961741
0.485171;0.257475;0.519455;0.897621;0.506615;0.941553;0.487373;0.962362;0.471145;0.958477;0.459045;0.948407;0.454736;0.960925;0.425674;0.959857;0.409604;0.943909;0.399403;0.933146;0.445209;0.920167;0.414603;0.913923;0.402208;0.899393;0.399502;0.894391;0.441343;0.878318;0.406799;0.868567;0.399693;0.858653;0.402169;0.857136;0.441496;0.840129;0.406643;0.827148;0.395647;0.82109;0.396597;0.821439;0.278851;0.760679;0.253441;0.785487;0.250789;0.820501;0.265778;0.844589;0.284549;0.853097;0.256202;0.846827;0.273036;0.882108;0.279972;0.86994;0.276167;0.853672;0.278324;0.845373;0.295519;0.873093;0.299936;0.859044;0.293358;0.845909;0.300671;0.836247;0.315208;0.854891;0.317317;0.840222;0.310611;0.824662;0.32059;0.823284;0.329489;0.835191;0.328346;0.823167;0.321818;0.810048
0.483998;0.257455;0.454589;0.912079;0.422573;0.906091;0.411416;0.903847;0.401203;0.903993;0.392614;0.904982;0.481158;0.898148;0.501624;0.891368;0.50748;0.889651;0.509589;0.891909;0.499683;0.896055;0.524153;0.90182;0.523251;0.902691;0.523398;0.901009;0.503487;0.895413;0.501333;0.900835;0.484405;0.896485;0.475808;0.889066;0.493492;0.897279;0.48356;0.900688;0.474465;0.894985;0.469388;0.887904
0.482228;0.259099;0.467029;0.868467;0.483618;0.899732;0.485622;0.925152;0.48933;0.932311;0.492025;0.926847;0.45005;0.946342;0.473183;0.957022;0.494261;0.95432;0.511541;0.947621;0.438937;0.911854;0.477073;0.906158;0.519329;0.895447;0.555956;0.883243;0.435729;0.86812;0.473364;0.856275;0.515575;0.844016;0.546305;0.829761;0.439318;0.825808;0.460554;0.818312;0.483993;0.815293;0.498298;0.813176
0.479618;0.259405;0.443402;0.872031;0.462309;0.885727;0.474549;0.894252;0.481702;0.898088;0.484733;0.902008;0.457356;0.887346;0.482926;0.897306;0.507364;0.909047;0.530644;0.914551;0.445855;0.879374;0.484287;0.894479;0.519612;0.907043;0.548599;0.911858;0.438206;0.869231;0.470563;0.875032;0.494446;0.874958;0.511415;0.870558;0.430753;0.866551;0.453981;0.874365;0.47173;0.872739;0.485496;0.866975;0.33833;0.580811;0.360672;0.568689;0.367636;0.544108;0.363087;0.527177;0.356962;0.520366;0.351001;0.504689;0.362696;0.482946;0.367477;0.498339;0.369022;0.509912;0.337282;0.50996;0.349066;0.487771;0.357712;0.506347;0.363509;0.518343;0.326845;0.521018;0.337133;0.504843;0.34515;0.521573;0.349947;0.532393;0.317989;0.535681;0.322394;0.521092;0.328135;0.528114;0.332126;0.535431
0.481675;0.268718;0.345651;0.589613;0.364934;0.570147;0.37062;0.541317;0.367897;0.518752;0.36519;0.501004;0.357294;0.5169;0.357452;0.491711;0.364828;0.488562;0.37119;0.494551;0.344614;0.518169;0.343159;0.490781;0.353599;0.491731;0.359982;0.504091;0.332069;0.523953;0.327368;0.498187;0.338365;0.497779;0.346107;0.508427;0.318333;0.533858;0.314894;0.513303;0.324198;0.510597;0.332567;0.516775
0.479877;0.272238;0.505156;0.607399;0.466881;0.595462;0.442788;0.574964;0.423149;0.560855;0.406844;0.55125;0.468172;0.507891;0.430439;0.512868;0.409456;0.530442;0.398046;0.543017;0.4798;0.50848;0.433164;0.513216;0.412173;0.52963;0.400233;0.5439;0.487112;0.518203;0.440771;0.523081;0.420041;0.536225;0.408316;0.546016;0.490327;0.534646;0.455022;0.536534;0.437885;0.544449;0.427332;0.548736;0.334556;0.588752;0.355464;0.568452;0.36323;0.530053;0.354069;0.506559;0.339145;0.503888;0.343776;0.504307;0.34839;0.48396;0.351305;0.495127;0.350495;0.504983;0.329732;0.5095;0.335116;0.485199;0.341819;0.495387;0.344737;0.507953;0.318557;0.518636;0.323973;0.498353;0.332638;0.503051;0.336454;0.511226;0.308675;0.530765;0.313094;0.517927;0.321493;0.518947;0.325781;0.521656
0.479722;0.273342;0.497998;0.615422;0.462512;0.60915;0.441614;0.590421;0.42395;0.579531;0.40869;0.574834;0.456982;0.523311;0.424175;0.537555;0.40244;0.553122;0.386969;0.566455;0.465934;0.526149;0.42402;0.540399;0.399691;0.553797;0.382763;0.567587;0.471715;0.538509;0.429198;0.549905;0.403739;0.56112;0.385395;0.571238;0.474821;0.55701;0.44012;0.563843;0.420517;0.572667;0.405348;0.580484;0.322213;0.606989;0.34446;0.593428;0.353037;0.559882;0.343072;0.539054;0.325163;0.535138;0.335564;0.525671;0.339556;0.514737;0.339116;0.537548;0.336392;0.546386;0.32019;0.529839;0.323363;0.513965;0.324804;0.537321;0.324221;0.546738;0.305858;0.53909;0.308055;0.525126;0.311747;0.543776;0.312232;0.551382;0.29464;0.551855;0.295537;0.541874;0.300841;0.555115;0.303862;0.560144
0.484429;0.289;0.491699;0.6122;0.460448;0.610508;0.440758;0.594637;0.425048;0.586073;0.411839;0.583012;0.448372;0.536705;0.420604;0.548334;0.401188;0.563952;0.387954;0.577912;0.456063;0.537724;0.42018;0.553099;0.397999;0.568566;0.383532;0.583202;0.462236;0.547829;0.425489;0.560145;0.402244;0.574351;0.386448;0.587095;0.466549;0.563232;0.438223;0.569943;0.419877;0.57884;0.405691;0.587852;0.31429;0.617743;0.332692;0.606388;0.342192;0.578274;0.328452;0.561882;0.313734;0.556022;0.334157;0.544593;0.333033;0.525787;0.332399;0.551051;0.333157;0.567246;0.315626;0.545457;0.314219;0.522653;0.316352;0.54877;0.317942;0.566271;0.298388;0.552667;0.295647;0.533252;0.300989;0.557821;0.303789;0.573179;0.282465;0.565555;0.282506;0.554198;0.289885;0.571107;0.293586;0.579275
0.483299;0.28375;0.481151;0.610615;0.452201;0.611572;0.427858;0.58971;0.408857;0.57492;0.393843;0.564313;0.44977;0.542331;0.424053;0.544658;0.405291;0.554257;0.389211;0.562954;0.460772;0.539265;0.426504;0.545501;0.403605;0.557461;0.384111;0.568171;0.469487;0.546516;0.433539;0.546609;0.408562;0.555704;0.388027;0.565821;0.475853;0.560838;0.447627;0.556748;0.426688;0.55843;0.408409;0.562414;0.324287;0.615945;0.341614;0.599217;0.349712;0.570055;0.341189;0.547502;0.328409;0.540058;0.341565;0.538102;0.340695;0.515342;0.339865;0.530773;0.338979;0.541909;0.325059;0.539838;0.322783;0.517124;0.325059;0.536521;0.325325;0.545115;0.310353;0.546322;0.30609;0.526803;0.31027;0.543198;0.311013;0.551419;0.294993;0.557367;0.290389;0.540762;0.295453;0.551092;0.298016;0.558258
