face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.482605;0.284802;0.408753;0.940268;0.445935;0.934324;0.47424;0.951006;0.495613;0.968441;0.516829;0.97906;0.467183;0.998082;0.484122;1.02497;0.494836;1.03754;0.501777;1.04456;0.456681;1.00683;0.475498;1.03672;0.487209;1.04994;0.496329;1.0585;0.446578;1.01031;0.466265;1.03718;0.47661;1.04892;0.483931;1.05558;0.436567;1.00953;0.450644;1.02949;0.458343;1.03804;0.463128;1.04336;0.646302;0.962079;0.614539;0.943916;0.586055;0.948032;0.56174;0.960005;0.545403;0.969093;0.582805;1.01282;0.570267;1.03909;0.570986;1.05222;0.575875;1.05959;0.594986;1.02705;0.584015;1.05457;0.582205;1.07265;0.583485;1.08383;0.60731;1.03463;0.595804;1.06041;0.591487;1.07892;0.590518;1.08872;0.618047;1.03898;0.605541;1.05879;0.597915;1.07385;0.593653;1.08608
0.484942;0.283021;0.614911;0.946554;0.583937;0.956631;0.574463;0.983955;0.570507;1.00903;0.573137;1.03215;0.581906;0.974278;0.573719;1.01418;0.570457;1.04262;0.57012;1.06477;0.599923;0.969454;0.594336;1.0247;0.592857;1.06389;0.593368;1.09232;0.614531;0.968512;0.607275;1.01239;0.604211;1.03839;0.603158;1.05622;0.62575;0.970778;0.623093;1.00247;0.620242;1.01999;0.620634;1.03497
0.487151;0.283327;0.387056;0.760472;0.422713;0.755387;0.446834;0.776373;0.468368;0.79741;0.483487;0.818272;0.44636;0.801944;0.472881;0.844908;0.481949;0.867964;0.485766;0.883955;0.430982;0.817824;0.458744;0.865456;0.471466;0.894016;0.479206;0.915894;0.411199;0.829263;0.434369;0.876377;0.448233;0.905105;0.458207;0.926189;0.390071;0.835652;0.401954;0.874415;0.40921;0.898455;0.416492;0.916965;0.658545;0.794697;0.629947;0.76697;0.602156;0.762101;0.579456;0.77126;0.562491;0.786849;0.60554;0.8132;0.578853;0.833126;0.563926;0.850274;0.55405;0.864927;0.616094;0.839789;0.589972;0.872282;0.57528;0.894389;0.56472;0.913469;0.629664;0.858917;0.607757;0.899145;0.596566;0.922126;0.587944;0.940309;0.646271;0.871017;0.636914;0.912424;0.631598;0.935817;0.626807;0.954149
0.486388;0.288894;0.40856;0.741707;0.389281;0.782125;0.387501;0.816181;0.392806;0.846657;0.401104;0.859644;0.407193;0.807911;0.42622;0.844916;0.432858;0.855201;0.436589;0.857488;0.430772;0.789075;0.454064;0.829765;0.457259;0.841971;0.456415;0.843997;0.44873;0.770954;0.470117;0.806268;0.469971;0.821139;0.46563;0.82728;0.461547;0.756963;0.476363;0.782343;0.475593;0.797352;0.471393;0.804983;0.657989;0.768414;0.62655;0.747899;0.596395;0.753193;0.576389;0.765342;0.571014;0.77521;0.605073;0.769579;0.577653;0.798396;0.568724;0.810582;0.570381;0.81355;0.617977;0.796228;0.595879;0.830656;0.587118;0.839739;0.587727;0.836765;0.633315;0.81801;0.617341;0.8539;0.608367;0.86086;0.605782;0.855925;0.649004;0.833865;0.646389;0.866546;0.639109;0.868627;0.633599;0.86194
0.49006;0.290579;0.440713;0.80991;0.416498;0.810744;0.399746;0.803802;0.393495;0.793615;0.392175;0.77734;0.404088;0.800706;0.395062;0.781284;0.390194;0.765097;0.387419;0.754175;0.422262;0.785583;0.416638;0.752964;0.411862;0.73108;0.409277;0.71565;0.439937;0.771129;0.438767;0.738563;0.434935;0.718476;0.430907;0.708668;0.45712;0.760856;0.454573;0.73358;0.451103;0.722636;0.446852;0.718347
0.490821;0.293007;0.676497;0.646407;0.647824;0.630195;0.614483;0.636034;0.590237;0.646834;0.575755;0.662039;0.625297;0.636772;0.597298;0.63695;0.582639;0.649212;0.572436;0.662067;0.635235;0.6543;0.610214;0.657785;0.592323;0.671668;0.579196;0.685571;0.648644;0.672174;0.630744;0.687617;0.617028;0.703372;0.606611;0.716291;0.663194;0.688272;0.658047;0.711752;0.652683;0.730175;0.646732;0.74509;0.346073;0.610606;0.377627;0.605746;0.409798;0.615434;0.434812;0.631654;0.451857;0.649764;0.408562;0.604469;0.437897;0.62482;0.45079;0.644878;0.459977;0.662573;0.395328;0.615624;0.425546;0.642395;0.441241;0.669408;0.45343;0.692779;0.378072;0.630392;0.401349;0.662294;0.415887;0.691075;0.428112;0.713949;0.359281;0.646154;0.370338;0.677593;0.377648;0.701687;0.386284;0.721027
0.493771;0.294112;0.665004;0.636349;0.659962;0.661786;0.64512;0.679501;0.632125;0.694527;0.623147;0.703454;0.64931;0.640761;0.63799;0.634651;0.624344;0.634963;0.612461;0.641483;0.646941;0.629903;0.632844;0.620527;0.611191;0.623612;0.591825;0.632803;0.64349;0.627008;0.626956;0.621452;0.606198;0.621737;0.588178;0.626132;0.641827;0.630555;0.628444;0.630815;0.616235;0.629173;0.604431;0.628763;0.35349;0.585374;0.351185;0.620139;0.353727;0.649069;0.360158;0.675073;0.371592;0.691604;0.365057;0.606839;0.377558;0.627095;0.387285;0.642345;0.398701;0.655723;0.381406;0.587791;0.401067;0.604324;0.417807;0.626865;0.434088;0.647837;0.395761;0.578458;0.420124;0.592606;0.437843;0.611926;0.453226;0.629824;0.408219;0.576047;0.430456;0.582653;0.446292;0.5909;0.46025;0.60169
0.49556;0.296943;0.675736;0.649101;0.660889;0.65953;0.646432;0.66373;0.636068;0.665916;0.628789;0.665844;0.640971;0.647825;0.626078;0.63765;0.616569;0.630403;0.609462;0.626747;0.642917;0.642051;0.627925;0.630695;0.618729;0.624758;0.611;0.620257;0.646441;0.638279;0.634321;0.630244;0.625624;0.625739;0.618392;0.622362;0.65145;0.637183;0.643615;0.632502;0.635961;0.628405;0.629182;0.624675;0.356852;0.573311;0.356994;0.605697;0.363073;0.631151;0.370429;0.6553;0.379434;0.669464;0.368788;0.59428;0.383383;0.614078;0.392062;0.630699;0.401553;0.644512;0.381943;0.575778;0.403183;0.592651;0.418354;0.615722;0.432683;0.63613;0.394574;0.566668;0.421087;0.581221;0.43866;0.601163;0.453966;0.618136;0.405912;0.564791;0.427734;0.575399;0.442814;0.585772;0.456105;0.596211
0.496416;0.294936;0.67394;0.63639;0.664006;0.656288;0.655241;0.667255;0.647498;0.676025;0.642935;0.68015;0.657679;0.642169;0.64744;0.63914;0.637835;0.63665;0.6297;0.636174;0.65745;0.630587;0.644491;0.620897;0.631919;0.617327;0.621462;0.615764;0.656444;0.622212;0.642683;0.614146;0.62983;0.612373;0.619273;0.612026;0.654835;0.618248;0.643313;0.614273;0.632731;0.613577;0.622976;0.61456;0.360978;0.574042;0.360287;0.595304;0.368939;0.61641;0.379489;0.636951;0.389053;0.648294;0.374768;0.585025;0.391073;0.605992;0.401445;0.628163;0.411776;0.646998;0.38587;0.572724;0.406108;0.592637;0.423218;0.618361;0.437979;0.639519;0.395042;0.566709;0.419759;0.584598;0.438365;0.610071;0.452383;0.631135;0.402232;0.566089;0.42361;0.583284;0.434577;0.598619;0.442702;0.610369
0.49654;0.294134;0.683957;0.63892;0.670378;0.643955;0.655725;0.649285;0.643932;0.659343;0.633851;0.669523;0.652896;0.61992;0.639161;0.615608;0.625868;0.61468;0.613535;0.616316;0.655013;0.620814;0.643036;0.620541;0.633713;0.620868;0.625961;0.620561;0.658901;0.625817;0.648433;0.641474;0.65388;0.647204;0.660732;0.646201;0.663022;0.632905;0.654127;0.65066;0.656137;0.658123;0.661336;0.659974;0.360756;0.581933;0.38282;0.573028;0.403791;0.57883;0.419061;0.593793;0.428278;0.610987;0.403282;0.565924;0.429638;0.578189;0.444177;0.598728;0.454402;0.618444;0.392859;0.577374;0.420911;0.599353;0.438347;0.624165;0.451265;0.644211;0.380164;0.594125;0.405381;0.617936;0.422169;0.639667;0.434093;0.657712;0.36804;0.613219;0.384334;0.636158;0.394042;0.652795;0.401853;0.666295
