face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.49914;0.180108;0.392186;1.022;0.413571;1.00432;0.42314;0.997757;0.423948;0.989569;0.423063;0.982157;0.395773;1.01094;0.405935;0.976587;0.409943;0.959814;0.410389;0.953643;0.382472;1.0095;0.395591;0.973177;0.396602;0.956504;0.394772;0.953281;0.374468;1.00354;0.389817;0.968246;0.393724;0.956227;0.393826;0.956447;0.368467;0.998624;0.377703;0.973859;0.378331;0.962728;0.376441;0.962181
0.511225;0.172212;0.690661;0.754347;0.700242;0.76935;0.705485;0.793723;0.704746;0.816364;0.703656;0.839639;0.714695;0.829474;0.726079;0.86232;0.728066;0.853339;0.725736;0.839812;0.711173;0.830617;0.722755;0.866896;0.725913;0.851229;0.725145;0.835443;0.705511;0.826744;0.715778;0.856305;0.719714;0.838686;0.718497;0.823301;0.699184;0.821096;0.703336;0.839078;0.707138;0.829938;0.707136;0.821303;0.403562;0.700469;0.38585;0.712131;0.381805;0.725231;0.390273;0.740634;0.397976;0.754893;0.385475;0.725196;0.389907;0.748536;0.394465;0.762181;0.398795;0.769919;0.401901;0.720497;0.408638;0.745961;0.413872;0.762611;0.415885;0.773189;0.417039;0.708242;0.425382;0.723728;0.431514;0.734575;0.433704;0.742082;0.430534;0.694574;0.443485;0.693383;0.454021;0.696499;0.461355;0.698913
0.512422;0.171315;0.400336;0.709183;0.418739;0.701715;0.434753;0.703254;0.441133;0.706498;0.442723;0.712675;0.420352;0.688425;0.428329;0.695454;0.426244;0.696135;0.422837;0.69635;0.409729;0.692754;0.417811;0.713126;0.419198;0.728165;0.420373;0.73814;0.399307;0.701666;0.400648;0.727349;0.402277;0.738719;0.404166;0.741874;0.390086;0.713017;0.389488;0.728993;0.388589;0.737218;0.389226;0.739561
0.513291;0.168759;0.39484;0.640208;0.422594;0.642668;0.449306;0.650367;0.471586;0.652848;0.490603;0.649293;0.436257;0.644081;0.447576;0.647431;0.45379;0.65818;0.459646;0.670687;0.417354;0.651041;0.427579;0.659102;0.436567;0.671383;0.445826;0.679647;0.398928;0.656245;0.405214;0.670229;0.411969;0.684976;0.420507;0.695141;0.382749;0.660074;0.382724;0.673683;0.386348;0.688657;0.39352;0.699654
0.518461;0.172629;0.394415;0.635843;0.421805;0.645052;0.441212;0.655041;0.461895;0.658056;0.481174;0.657465;0.422061;0.644462;0.419947;0.670932;0.421977;0.678993;0.426115;0.680148;0.40156;0.642703;0.396966;0.682544;0.403782;0.693163;0.411925;0.693006;0.38372;0.643331;0.379362;0.682008;0.389903;0.691215;0.399768;0.691598;0.370668;0.646575;0.365173;0.673805;0.372342;0.681355;0.379936;0.68261
0.520094;0.176558;0.400073;0.630559;0.426246;0.643604;0.451689;0.657251;0.473283;0.660862;0.493042;0.655253;0.43088;0.638983;0.440008;0.658248;0.446862;0.672059;0.452458;0.682913;0.4085;0.637207;0.407663;0.666428;0.412771;0.688498;0.419861;0.701752;0.387523;0.638699;0.383836;0.671563;0.390814;0.692107;0.399408;0.704961;0.371455;0.642295;0.367517;0.668677;0.37187;0.683615;0.378051;0.692223
0.518823;0.176784;0.405241;0.629065;0.40648;0.661088;0.420716;0.679831;0.429867;0.692325;0.431127;0.701772;0.463956;0.666294;0.493861;0.667075;0.499637;0.659929;0.500023;0.650884;0.470075;0.648761;0.5005;0.648782;0.504979;0.640707;0.505157;0.632334;0.470917;0.633541;0.497034;0.63212;0.504149;0.6254;0.50494;0.617615;0.467292;0.620674;0.485664;0.616288;0.49463;0.613049;0.499563;0.609357;0.621413;0.568076;0.639529;0.581715;0.655565;0.588795;0.662575;0.594133;0.664659;0.595829;0.675609;0.557451;0.689749;0.574279;0.68271;0.594687;0.675283;0.606793;0.671047;0.55341;0.68072;0.582026;0.675307;0.603933;0.671156;0.616655;0.663154;0.557619;0.663348;0.592951;0.657675;0.614187;0.653173;0.627715;0.653584;0.566169;0.649729;0.59768;0.645232;0.615118;0.642397;0.625617
0.514939;0.172719;0.413433;0.615065;0.435103;0.628409;0.459093;0.642242;0.476363;0.65122;0.486042;0.653932;0.474472;0.635558;0.490436;0.648215;0.499022;0.648624;0.505976;0.645425;0.468465;0.635845;0.483975;0.64653;0.490674;0.647787;0.496191;0.645704;0.457928;0.634624;0.471614;0.648066;0.47927;0.650069;0.487515;0.649928;0.44582;0.632208;0.455221;0.644912;0.460535;0.649003;0.467504;0.650913;0.670513;0.561537;0.649905;0.561314;0.633039;0.563166;0.619717;0.564818;0.612644;0.567047;0.645626;0.556204;0.631737;0.56784;0.620209;0.579046;0.612254;0.587629;0.660172;0.561525;0.652782;0.582618;0.646156;0.598371;0.641216;0.607875;0.675156;0.570579;0.671152;0.593973;0.666581;0.609821;0.661877;0.61989;0.687453;0.580908;0.686314;0.603025;0.683554;0.618138;0.679738;0.628604
0.516871;0.173406;0.417486;0.603242;0.446163;0.612911;0.466358;0.624732;0.478946;0.633726;0.488526;0.63828;0.477839;0.611393;0.500991;0.612371;0.515942;0.612719;0.529998;0.612678;0.466819;0.610057;0.486414;0.613968;0.498609;0.617605;0.511568;0.623026;0.451558;0.611756;0.458488;0.634231;0.464262;0.648534;0.471051;0.660695;0.434451;0.616985;0.431462;0.641583;0.423581;0.652316;0.41576;0.66008;0.686221;0.57189;0.659633;0.560007;0.63588;0.560491;0.61499;0.564722;0.59806;0.567899;0.657032;0.565638;0.639195;0.568462;0.625407;0.566656;0.611159;0.5635;0.669514;0.580444;0.652837;0.584687;0.638192;0.583089;0.624503;0.581187;0.681194;0.593407;0.665857;0.601576;0.653587;0.600113;0.643434;0.597327;0.690695;0.604825;0.681563;0.616745;0.675131;0.618716;0.671034;0.618911
0.519406;0.175471;0.415613;0.590056;0.444939;0.620277;0.462754;0.637095;0.470565;0.650834;0.474044;0.661736;0.478998;0.59779;0.506204;0.59413;0.523203;0.59135;0.539236;0.590252;0.467704;0.583505;0.490649;0.584031;0.506345;0.586709;0.522199;0.592972;0.451956;0.577042;0.458716;0.604262;0.458903;0.626459;0.459364;0.642496;0.433317;0.577893;0.434452;0.606118;0.431365;0.623109;0.427219;0.633461;0.683235;0.574295;0.656677;0.573345;0.630816;0.574398;0.607996;0.57358;0.58648;0.571723;0.657422;0.570078;0.643289;0.574142;0.631886;0.574094;0.622861;0.575296;0.675843;0.578925;0.662465;0.587355;0.653177;0.590138;0.645154;0.595018;0.692557;0.588172;0.682507;0.601763;0.675174;0.607403;0.667243;0.612447;0.705313;0.596977;0.702365;0.61096;0.698956;0.618826;0.694638;0.623725
