face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.469414;0.257993;0.428984;0.963721;0.447931;0.983854;0.470587;0.991366;0.485681;0.987906;0.494466;0.981594;0.489889;1.00603;0.515427;0.994272;0.515427;0.985563;0.512335;0.984755;0.490502;0.989078;0.511109;0.977841;0.506271;0.972675;0.501357;0.977457;0.48671;0.969229;0.499735;0.95991;0.493051;0.956934;0.486351;0.961932;0.480038;0.949039;0.488771;0.944372;0.482129;0.943072;0.474311;0.947639
0.470002;0.256978;0.434344;0.910618;0.470501;0.902204;0.497547;0.915015;0.511901;0.933796;0.517938;0.949459;0.51641;0.95725;0.533057;1.0049;0.542673;1.03261;0.546087;1.04954;0.497761;0.961291;0.513404;1.0222;0.520632;1.05219;0.52258;1.06978;0.477149;0.96046;0.488559;1.01509;0.493543;1.04199;0.496794;1.05862;0.456908;0.955835;0.465085;0.992718;0.472566;1.00742;0.477948;1.01705
0.466171;0.259391;0.405592;0.746785;0.443963;0.72832;0.481535;0.724529;0.5048;0.722324;0.518176;0.727852;0.486631;0.750457;0.509864;0.75633;0.519105;0.770228;0.523543;0.781199;0.468638;0.762803;0.48721;0.774001;0.498034;0.786879;0.501843;0.795128;0.445458;0.771625;0.461357;0.783306;0.466936;0.798279;0.46715;0.807029;0.418676;0.777888;0.423905;0.789074;0.423063;0.80044;0.42171;0.809799
0.465393;0.260758;0.404761;0.721045;0.433898;0.754931;0.452754;0.769554;0.465426;0.785272;0.47437;0.79964;0.471767;0.74008;0.49012;0.7619;0.50412;0.768376;0.518229;0.77111;0.472555;0.724111;0.494574;0.743786;0.510161;0.75413;0.524539;0.759249;0.468742;0.71274;0.49108;0.726551;0.505112;0.734774;0.518943;0.739324;0.461651;0.702667;0.481556;0.710083;0.493641;0.715075;0.505138;0.719995;0.445556;0.65079;0.479413;0.652629;0.504289;0.659092;0.51765;0.667724;0.526154;0.677415;0.492218;0.674626;0.505475;0.703465;0.511054;0.724924;0.513862;0.737323;0.469948;0.684911;0.477613;0.718038;0.483762;0.744896;0.486066;0.760089;0.448224;0.692357;0.447983;0.722292;0.448786;0.749982;0.449227;0.764536;0.427949;0.696941;0.418605;0.715194;0.409737;0.732188;0.404889;0.743569
0.465591;0.261273;0.492909;0.67074;0.459561;0.687262;0.434782;0.696485;0.420577;0.703656;0.412323;0.711965;0.440098;0.651459;0.440735;0.688526;0.446179;0.699232;0.449434;0.69631;0.464191;0.638205;0.469141;0.701666;0.47427;0.711363;0.481132;0.702028;0.489341;0.636456;0.492625;0.692712;0.498966;0.699122;0.507867;0.690631;0.513279;0.640364;0.516493;0.680699;0.521424;0.688286;0.527921;0.68407
0.462984;0.263631;0.514867;0.672743;0.476744;0.665797;0.448167;0.660561;0.430003;0.661519;0.420116;0.664862;0.446625;0.62508;0.431657;0.644433;0.426774;0.661065;0.424696;0.672381;0.462471;0.627116;0.450883;0.65199;0.448358;0.666835;0.446874;0.673944;0.480251;0.637992;0.474506;0.658969;0.472018;0.670025;0.471135;0.676428;0.49786;0.652352;0.493457;0.663908;0.494024;0.669327;0.495537;0.672069
0.462166;0.263604;0.466547;0.56428;0.488835;0.562872;0.508467;0.550786;0.516468;0.543993;0.52069;0.549843;0.528473;0.530447;0.540378;0.496701;0.541154;0.478442;0.538412;0.463544;0.5145;0.525589;0.512098;0.501422;0.500363;0.506539;0.492678;0.511941;0.496299;0.524946;0.492192;0.504891;0.47988;0.508324;0.473566;0.509777;0.479937;0.525696;0.477931;0.511069;0.4696;0.514191;0.463653;0.517456;0.558179;0.642196;0.555166;0.620191;0.546279;0.602591;0.538684;0.591452;0.532282;0.585538;0.527157;0.587452;0.52428;0.572847;0.526703;0.578869;0.52723;0.586557;0.526105;0.595897;0.523562;0.580026;0.528658;0.58611;0.530524;0.592442;0.52714;0.604749;0.524103;0.59168;0.52917;0.597797;0.531813;0.603226;0.528487;0.613845;0.526587;0.604987;0.528771;0.60987;0.529691;0.615683
0.458947;0.259413;0.515614;0.508485;0.497778;0.548248;0.4847;0.568994;0.478204;0.577506;0.473508;0.581393;0.486035;0.543181;0.482768;0.559234;0.478432;0.560004;0.471513;0.554659;0.497036;0.521746;0.493047;0.543444;0.488516;0.543782;0.482311;0.539042;0.506445;0.505888;0.503085;0.527317;0.497521;0.532019;0.491618;0.5301;0.516312;0.492904;0.511095;0.508165;0.504558;0.514236;0.499465;0.516557;0.567316;0.622584;0.544567;0.622122;0.527578;0.612455;0.518075;0.601393;0.512042;0.589867;0.529422;0.607763;0.517786;0.595636;0.511096;0.58563;0.504884;0.577327;0.535863;0.597971;0.522502;0.586014;0.514665;0.577232;0.507558;0.571315;0.543542;0.589993;0.528547;0.579444;0.520314;0.574149;0.513851;0.571921;0.551147;0.584125;0.538446;0.575984;0.531;0.572475;0.525474;0.571249
0.459275;0.26295;0.516862;0.520365;0.514894;0.542488;0.509823;0.551065;0.504687;0.554129;0.499903;0.558175;0.489474;0.544725;0.472155;0.544667;0.465599;0.548527;0.461972;0.551428;0.490002;0.528979;0.483679;0.527145;0.489623;0.53278;0.497357;0.537083;0.49529;0.514669;0.498897;0.516395;0.509166;0.526359;0.519148;0.533588;0.502075;0.505018;0.509778;0.507691;0.518498;0.515994;0.525343;0.523791;0.567624;0.613485;0.556895;0.597406;0.542966;0.587854;0.531432;0.579612;0.521684;0.573539;0.542327;0.592686;0.526112;0.57807;0.516079;0.568643;0.507095;0.561595;0.541165;0.597503;0.523315;0.582325;0.512039;0.571776;0.502543;0.563626;0.540884;0.600302;0.523256;0.586432;0.512953;0.576245;0.505692;0.569438;0.54105;0.600862;0.526501;0.588557;0.518725;0.580253;0.513273;0.574535
0.45684;0.26023;0.409458;0.559189;0.437501;0.555789;0.456011;0.543144;0.46969;0.538024;0.486259;0.535361;0.451972;0.482972;0.482821;0.479505;0.505669;0.489723;0.520787;0.500303;0.445541;0.487506;0.485263;0.487201;0.511345;0.500515;0.529966;0.512554;0.441044;0.498755;0.47641;0.499268;0.500272;0.511449;0.518015;0.523896;0.437792;0.514888;0.466316;0.516722;0.485102;0.52354;0.498999;0.531663;0.543925;0.576088;0.540601;0.560293;0.532431;0.545252;0.524382;0.538735;0.516956;0.536081;0.52503;0.511111;0.510348;0.492537;0.509528;0.493874;0.51156;0.501277;0.522034;0.514105;0.505178;0.492591;0.505972;0.49831;0.507534;0.506396;0.519449;0.521635;0.50322;0.500492;0.504578;0.507848;0.507211;0.516978;0.517958;0.534325;0.503514;0.515582;0.501776;0.518557;0.502681;0.525653
