face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.515772;0.264806;0.460407;0.989586;0.480541;0.963861;0.508687;0.959761;0.530546;0.95886;0.548041;0.960379;0.522075;1.00655;0.551338;1.0134;0.563282;1.00011;0.568579;0.985681;0.519417;1.01275;0.54496;1.0173;0.553408;1.00104;0.555347;0.987921;0.515635;1.01202;0.537805;1.01119;0.545561;0.997139;0.544985;0.985521;0.512141;1.00795;0.528001;1.00618;0.535033;0.996039;0.536739;0.985483
0.516327;0.265468;0.447687;0.943812;0.468487;0.920413;0.495138;0.91581;0.517747;0.914993;0.536656;0.912059;0.516361;0.978286;0.551792;0.985767;0.573944;0.987632;0.592175;0.98826;0.511708;0.991201;0.54321;1.00781;0.563791;1.01369;0.578039;1.01882;0.505286;0.995928;0.529886;1.01135;0.54874;1.019;0.560113;1.02442;0.497085;0.993564;0.513137;1.00776;0.526966;1.0122;0.536715;1.01504;0.647677;0.968516;0.623726;0.964884;0.600869;0.971746;0.582499;0.978825;0.563724;0.981956;0.591131;0.998899;0.57278;1.01889;0.565204;1.02722;0.561236;1.03397;0.599093;1.00258;0.588747;1.02728;0.583419;1.03849;0.579605;1.04811;0.609029;1.00208;0.601162;1.02259;0.598782;1.03117;0.598968;1.03773;0.618637;0.999139;0.611764;1.01301;0.607896;1.02081;0.606262;1.02798
0.519097;0.264918;0.436044;0.92178;0.457093;0.886512;0.481335;0.874666;0.50369;0.873862;0.52346;0.871658;0.503713;0.925409;0.542043;0.937895;0.557836;0.933985;0.565751;0.92708;0.499356;0.952566;0.541185;0.96327;0.553775;0.953767;0.55912;0.941196;0.491754;0.971518;0.529795;0.98065;0.541764;0.968768;0.544972;0.955641;0.482794;0.984497;0.511242;0.992195;0.521558;0.982926;0.524177;0.97172;0.640642;0.954926;0.621783;0.966262;0.603493;0.975941;0.588535;0.985635;0.577974;0.991504;0.591641;0.991104;0.578869;1.01485;0.572784;1.02962;0.569082;1.04017;0.598376;0.995234;0.589667;1.02402;0.58574;1.04192;0.58132;1.05474;0.607533;0.997585;0.60258;1.02569;0.599265;1.04496;0.594637;1.05936;0.618486;0.997091;0.615408;1.01976;0.612186;1.03401;0.608159;1.04472
0.521294;0.262746;0.450504;0.873844;0.466069;0.914571;0.476908;0.946458;0.490748;0.970296;0.503839;0.973249;0.478815;0.93553;0.495145;0.943958;0.506939;0.941256;0.515552;0.938624;0.487449;0.912367;0.502525;0.914087;0.515775;0.9142;0.522344;0.911471;0.491878;0.890796;0.50565;0.894445;0.516574;0.893106;0.523156;0.893219;0.494787;0.872435;0.50643;0.878095;0.513243;0.877088;0.519589;0.876557
0.521154;0.266069;0.387751;0.783723;0.408216;0.749287;0.435825;0.746845;0.463557;0.74437;0.48464;0.740659;0.430264;0.771642;0.455529;0.782408;0.469948;0.788763;0.483753;0.794794;0.423293;0.801536;0.451275;0.820604;0.474438;0.834965;0.49656;0.846545;0.414518;0.824021;0.436417;0.847556;0.457408;0.865242;0.477449;0.877501;0.404832;0.837272;0.418357;0.868147;0.430083;0.889287;0.444768;0.906336;0.727817;0.825442;0.71063;0.79263;0.687115;0.779407;0.665616;0.772086;0.647124;0.761129;0.682186;0.834001;0.653613;0.840669;0.636179;0.843605;0.622725;0.847405;0.681382;0.86029;0.649844;0.875291;0.629869;0.87999;0.615834;0.884062;0.681186;0.879106;0.650983;0.897233;0.631386;0.906374;0.616999;0.914515;0.682866;0.891936;0.661194;0.914311;0.645772;0.926109;0.632789;0.936646
0.520532;0.26584;0.388186;0.770509;0.39044;0.802579;0.407499;0.833002;0.422692;0.851847;0.434108;0.867768;0.401216;0.825718;0.415947;0.852266;0.431814;0.86887;0.448695;0.88446;0.411427;0.798782;0.429016;0.822807;0.453092;0.838184;0.478164;0.851733;0.419783;0.77241;0.440746;0.787376;0.463001;0.800046;0.48402;0.815775;0.426143;0.747946;0.446053;0.745603;0.461526;0.747042;0.477783;0.753866;0.745577;0.811361;0.723787;0.853841;0.689954;0.882827;0.662945;0.899758;0.646257;0.91165;0.702796;0.868302;0.677744;0.891197;0.660638;0.899417;0.648012;0.905355;0.701782;0.841328;0.678507;0.861385;0.655073;0.868824;0.638289;0.877228;0.70404;0.811691;0.682081;0.821881;0.659743;0.827877;0.643216;0.840481;0.707848;0.78004;0.691388;0.767131;0.677094;0.759624;0.664638;0.760727
0.518559;0.26676;0.373166;0.768967;0.399368;0.742192;0.427797;0.74538;0.455276;0.752324;0.475024;0.750355;0.420992;0.755238;0.449335;0.772397;0.460091;0.780122;0.466769;0.786132;0.41154;0.783437;0.442142;0.809704;0.463573;0.828949;0.480559;0.842201;0.401632;0.807323;0.425596;0.837366;0.446792;0.858266;0.463536;0.871365;0.391931;0.823229;0.406652;0.85732;0.41903;0.878901;0.43211;0.894919;0.757783;0.8023;0.740671;0.848486;0.711608;0.874564;0.68916;0.887272;0.676071;0.901084;0.710164;0.860045;0.683353;0.885274;0.665462;0.897319;0.652124;0.908093;0.707465;0.835384;0.681137;0.854404;0.6597;0.864819;0.64367;0.875519;0.708543;0.805934;0.683582;0.811343;0.662001;0.817351;0.644464;0.82778;0.713401;0.775586;0.693854;0.75867;0.677353;0.747009;0.661172;0.742156
0.516184;0.270452;0.379501;0.761546;0.409391;0.747353;0.440763;0.758639;0.468105;0.771565;0.490751;0.780102;0.437082;0.775475;0.465358;0.80551;0.481957;0.823952;0.492719;0.838337;0.425487;0.793691;0.455317;0.832569;0.475465;0.858905;0.489451;0.878935;0.412161;0.809531;0.439662;0.849547;0.459717;0.876705;0.47542;0.896969;0.399815;0.821564;0.418764;0.859686;0.43222;0.885022;0.446319;0.905702;0.757503;0.801406;0.741014;0.842531;0.71731;0.86077;0.699892;0.859711;0.690712;0.855164;0.708154;0.855987;0.679244;0.884548;0.659091;0.896758;0.641954;0.905848;0.705524;0.832411;0.673325;0.850861;0.649283;0.858037;0.630481;0.861828;0.705922;0.804315;0.674512;0.809509;0.650382;0.811905;0.631911;0.812259;0.710069;0.777314;0.684584;0.764029;0.667543;0.751152;0.653701;0.741483
0.516645;0.273057;0.391041;0.756938;0.424511;0.744083;0.45644;0.760806;0.482323;0.776754;0.504996;0.779524;0.449464;0.778975;0.475579;0.809963;0.491134;0.824696;0.503908;0.833953;0.437381;0.795929;0.465904;0.831247;0.484891;0.849653;0.499093;0.861947;0.423748;0.809897;0.450825;0.847353;0.470888;0.867529;0.486617;0.88129;0.409697;0.819685;0.426904;0.849623;0.440557;0.867269;0.45327;0.881808;0.753969;0.8103;0.736385;0.841193;0.712436;0.85361;0.691643;0.851439;0.677189;0.849011;0.708488;0.853755;0.677533;0.874574;0.654702;0.877909;0.635764;0.876882;0.706167;0.830492;0.672217;0.844493;0.646186;0.845243;0.626401;0.843564;0.707256;0.805442;0.676061;0.80826;0.651399;0.804165;0.63249;0.800491;0.711205;0.780478;0.686533;0.769105;0.669625;0.756576;0.65631;0.74883
0.517641;0.27354;0.398573;0.750646;0.431311;0.732801;0.462313;0.748599;0.486058;0.765639;0.507598;0.770655;0.452901;0.766584;0.482041;0.801796;0.497959;0.809453;0.507202;0.811923;0.440627;0.786675;0.474185;0.82777;0.492695;0.83148;0.502978;0.829372;0.43035;0.802028;0.461162;0.838853;0.480214;0.842939;0.490224;0.841707;0.421405;0.811943;0.441399;0.83947;0.457008;0.845252;0.46697;0.846481;0.74847;0.809891;0.732523;0.832771;0.71294;0.846222;0.693798;0.84185;0.680047;0.833511;0.705111;0.833752;0.675526;0.842268;0.655161;0.842102;0.63935;0.840665;0.70683;0.815566;0.677635;0.820344;0.656039;0.818879;0.638378;0.817048;0.71118;0.800142;0.685785;0.804259;0.667086;0.801575;0.651552;0.800374;0.716598;0.78626;0.697809;0.785607;0.682887;0.783093;0.670924;0.782499
