face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.483979;0.255367;0.437651;0.931739;0.456794;0.939193;0.474118;0.959759;0.48675;0.980668;0.497059;0.998789;0.480372;0.978769;0.495402;1.01354;0.501814;1.037;0.504643;1.05436;0.471726;0.981801;0.486897;1.02241;0.492423;1.04815;0.493479;1.07004;0.461569;0.983166;0.47233;1.02376;0.475705;1.04753;0.475511;1.06653;0.450186;0.982257;0.45759;1.01208;0.461539;1.02683;0.463045;1.03854;0.598445;0.976244;0.572831;0.95812;0.558308;0.958022;0.551611;0.96221;0.544798;0.964778;0.56513;0.998021;0.556255;1.00595;0.554228;1.01193;0.556262;1.01601;0.579291;1.00313;0.570299;1.01035;0.570767;1.01408;0.571801;1.02204;0.591329;1.00432;0.583774;1.00549;0.583466;1.00971;0.584522;1.01443;0.600501;1.00707;0.594963;1.01155;0.595135;1.01959;0.595798;1.02811
0.482404;0.258243;0.440315;0.805376;0.479911;0.80924;0.500538;0.834743;0.507136;0.867456;0.501202;0.887885;0.501149;0.861919;0.508028;0.901335;0.504975;0.907741;0.50238;0.905946;0.482158;0.87329;0.48708;0.908301;0.485222;0.913306;0.485205;0.909902;0.45879;0.876595;0.461557;0.906502;0.45926;0.91363;0.458576;0.9123;0.43528;0.874004;0.429579;0.896011;0.427042;0.903586;0.427942;0.906646
0.4824;0.260511;0.450004;0.765768;0.467163;0.792011;0.487818;0.803357;0.502467;0.804098;0.502044;0.805578;0.50264;0.783849;0.515627;0.787828;0.50605;0.788953;0.498154;0.78757;0.497671;0.762715;0.504778;0.761569;0.492554;0.766826;0.486206;0.76916;0.487382;0.744846;0.491023;0.744087;0.478486;0.751674;0.472497;0.757651;0.475973;0.729951;0.477619;0.729944;0.469233;0.739067;0.466039;0.747307;0.595976;0.817494;0.581296;0.781564;0.568539;0.766381;0.562459;0.76942;0.562991;0.773777;0.556339;0.801807;0.548771;0.801523;0.55913;0.800486;0.566948;0.800571;0.560587;0.826948;0.553794;0.827376;0.567437;0.821175;0.574177;0.816438;0.569104;0.8472;0.562528;0.849508;0.576481;0.842338;0.583325;0.834248;0.579539;0.863692;0.573917;0.867224;0.583042;0.858714;0.588385;0.847805
0.487092;0.263186;0.443151;0.76521;0.467367;0.76431;0.486168;0.762415;0.499563;0.764731;0.508608;0.765552;0.491835;0.7467;0.508285;0.751158;0.512468;0.757689;0.512729;0.761088;0.484741;0.749511;0.502588;0.755877;0.506288;0.761938;0.507216;0.765125;0.475603;0.755204;0.491846;0.759493;0.496773;0.762397;0.497727;0.765314;0.464891;0.759941;0.47558;0.761804;0.482096;0.763689;0.485619;0.766975;0.611483;0.797441;0.590869;0.771392;0.571859;0.764815;0.557956;0.770986;0.553976;0.777404;0.55571;0.782661;0.545765;0.793347;0.551971;0.787656;0.558925;0.777583;0.55881;0.805347;0.555371;0.816363;0.563143;0.80914;0.567559;0.798941;0.568945;0.824401;0.565861;0.834544;0.574928;0.826696;0.580424;0.814872;0.582638;0.838873;0.580497;0.846951;0.585655;0.839042;0.589737;0.826664
0.494203;0.270356;0.619029;0.736122;0.599254;0.701975;0.575348;0.682586;0.553972;0.68012;0.543727;0.691217;0.58229;0.700224;0.548226;0.699692;0.555278;0.704073;0.567644;0.70498;0.584698;0.725074;0.548673;0.727488;0.555702;0.729786;0.568556;0.726716;0.58817;0.749607;0.55479;0.750432;0.560589;0.749301;0.572158;0.746395;0.591583;0.771907;0.563963;0.7717;0.568948;0.76906;0.579864;0.767573;0.438605;0.692774;0.45849;0.708036;0.482893;0.70724;0.505193;0.70181;0.526567;0.696099;0.472442;0.647853;0.498821;0.63647;0.516478;0.647055;0.529035;0.660209;0.472052;0.635171;0.502121;0.630233;0.520935;0.645413;0.532402;0.663227;0.473077;0.631549;0.500042;0.629543;0.518891;0.643852;0.529973;0.661464;0.47347;0.635231;0.495235;0.633907;0.510815;0.643996;0.521128;0.657605
0.496734;0.269133;0.620486;0.745977;0.609226;0.711253;0.586679;0.689138;0.56512;0.682594;0.549018;0.690291;0.592845;0.699923;0.555285;0.699713;0.548148;0.703162;0.551996;0.705615;0.595542;0.72552;0.549874;0.725503;0.547213;0.724932;0.555019;0.724144;0.596579;0.749978;0.554368;0.749046;0.55349;0.744673;0.561607;0.742192;0.596398;0.770898;0.564031;0.76785;0.561703;0.761608;0.567034;0.758017;0.438376;0.69001;0.462269;0.701279;0.484927;0.696765;0.504825;0.690428;0.522101;0.685353;0.472984;0.655265;0.496704;0.647209;0.515718;0.650537;0.532347;0.656325;0.466599;0.644164;0.493739;0.642404;0.514998;0.652867;0.531521;0.662003;0.460706;0.639468;0.486876;0.632016;0.508682;0.640431;0.524823;0.647451;0.455001;0.639437;0.475372;0.633261;0.492686;0.637209;0.507306;0.642107
0.498288;0.266329;0.623443;0.747622;0.612117;0.712422;0.588775;0.689027;0.566463;0.682783;0.549395;0.686831;0.596511;0.703509;0.561989;0.700076;0.549258;0.700423;0.546521;0.702772;0.59768;0.728476;0.555877;0.726563;0.545645;0.721478;0.546809;0.719316;0.597786;0.752063;0.55698;0.751306;0.549554;0.742797;0.552881;0.737137;0.596626;0.772124;0.563775;0.769492;0.557411;0.760153;0.55985;0.753653;0.436241;0.68967;0.458343;0.705524;0.481438;0.705423;0.501816;0.701869;0.518845;0.697248;0.473361;0.656975;0.498394;0.649163;0.517797;0.652027;0.534808;0.659603;0.466706;0.645333;0.493146;0.637213;0.515097;0.644352;0.533373;0.65513;0.459258;0.640314;0.483933;0.627257;0.505192;0.633936;0.522201;0.642914;0.451458;0.64081;0.469395;0.632325;0.486165;0.63643;0.500849;0.644492
0.499226;0.263362;0.62315;0.750624;0.61052;0.717223;0.58825;0.694825;0.566341;0.687319;0.548527;0.684997;0.597538;0.703899;0.566804;0.700273;0.55126;0.702936;0.544031;0.706846;0.599264;0.728288;0.560923;0.727442;0.54559;0.725548;0.54006;0.72448;0.599086;0.753424;0.561287;0.75346;0.549796;0.747821;0.548442;0.743205;0.597474;0.775737;0.566372;0.773928;0.557106;0.766592;0.555523;0.761672;0.431258;0.67574;0.446535;0.699936;0.468766;0.707604;0.489371;0.70804;0.507008;0.707572;0.458699;0.656293;0.486925;0.647026;0.507557;0.649903;0.524685;0.656937;0.459968;0.641976;0.492914;0.64119;0.514641;0.655441;0.529982;0.670216;0.461898;0.63534;0.492253;0.633509;0.512817;0.647836;0.527045;0.661178;0.462823;0.6341;0.485136;0.634346;0.501051;0.645897;0.512909;0.657884
0.500332;0.270038;0.624016;0.757422;0.611913;0.725568;0.590629;0.704022;0.569748;0.69601;0.551005;0.695484;0.596558;0.713912;0.568664;0.709071;0.552557;0.7116;0.543319;0.715985;0.597097;0.736514;0.563774;0.736174;0.547414;0.734852;0.540601;0.735461;0.597172;0.760668;0.564946;0.762205;0.550587;0.758257;0.544808;0.755719;0.596717;0.782477;0.569867;0.781712;0.558802;0.777358;0.553246;0.77398;0.427265;0.680187;0.439088;0.702155;0.46011;0.707741;0.477974;0.714185;0.490957;0.71726;0.455178;0.658922;0.47833;0.652532;0.489884;0.66342;0.496362;0.673996;0.454925;0.646347;0.480302;0.632964;0.500772;0.63369;0.516582;0.635617;0.453025;0.639581;0.475628;0.624171;0.495048;0.622281;0.508568;0.621592;0.450168;0.638083;0.466965;0.627599;0.478997;0.624776;0.487257;0.622121
0.49977;0.275092;0.627124;0.76222;0.614879;0.7314;0.593064;0.711168;0.57221;0.70544;0.554573;0.708173;0.599864;0.721227;0.572606;0.715535;0.556529;0.717615;0.54657;0.721585;0.600453;0.744221;0.569072;0.742898;0.551283;0.740924;0.542118;0.741109;0.600218;0.767711;0.569009;0.769121;0.55302;0.764815;0.545688;0.762004;0.599195;0.788207;0.573049;0.787618;0.561483;0.782716;0.555833;0.779193;0.408826;0.668581;0.424204;0.695188;0.446707;0.702074;0.466862;0.707669;0.481435;0.707411;0.447757;0.648025;0.472675;0.64493;0.481719;0.662064;0.484278;0.676086;0.446968;0.635609;0.475992;0.625965;0.495409;0.633056;0.507237;0.639893;0.445326;0.629339;0.469622;0.617894;0.488001;0.620902;0.498471;0.625707;0.442521;0.627849;0.461041;0.620179;0.473475;0.619496;0.480345;0.62079
