face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.472897;0.2361;0.603993;0.315757;0.597531;0.305253;0.595442;0.291472;0.592484;0.279632;0.591412;0.272362;0.602942;0.266856;0.597457;0.249923;0.59476;0.243633;0.592958;0.237493;0.603196;0.26281;0.596402;0.256505;0.594408;0.267104;0.595086;0.271221;0.601786;0.261157;0.596471;0.257101;0.595756;0.26641;0.597212;0.27024;0.600492;0.259272;0.596417;0.248331;0.594387;0.250622;0.594492;0.25285
0.471279;0.231708;0.591864;0.303008;0.593851;0.285695;0.592858;0.268891;0.590321;0.257427;0.588433;0.249642;0.592944;0.244689;0.590908;0.227555;0.589185;0.222;0.587127;0.218044;0.587918;0.243437;0.588315;0.235492;0.58883;0.246456;0.58818;0.252375;0.583067;0.244984;0.582757;0.239952;0.584916;0.250778;0.58674;0.256817;0.579801;0.246478;0.578703;0.243303;0.579421;0.252104;0.580781;0.257833
0.472135;0.241028;0.594205;0.309898;0.582793;0.281821;0.577427;0.258735;0.572317;0.246112;0.568368;0.238546;0.594584;0.241129;0.590632;0.218364;0.586853;0.204492;0.583906;0.192892;0.594694;0.248632;0.583795;0.229805;0.577036;0.235282;0.575277;0.241379;0.591785;0.257161;0.579032;0.243035;0.574106;0.249023;0.574506;0.255317;0.588379;0.265178;0.577676;0.253152;0.573593;0.2568;0.573966;0.261218;0.393924;0.30538;0.404581;0.282659;0.407807;0.259885;0.409886;0.244212;0.413069;0.235294;0.388758;0.247532;0.392413;0.229038;0.398041;0.221054;0.402118;0.217271;0.386732;0.253634;0.40168;0.241454;0.411131;0.246432;0.413792;0.250773;0.388762;0.263478;0.404308;0.252983;0.412616;0.25981;0.414844;0.265124;0.393162;0.275368;0.406171;0.267954;0.412201;0.271923;0.413304;0.276107
0.467843;0.241058;0.594741;0.322563;0.587171;0.297562;0.580106;0.275653;0.573399;0.263034;0.566782;0.255013;0.589987;0.249108;0.585382;0.226242;0.581758;0.210408;0.579518;0.197144;0.587267;0.254949;0.567732;0.238768;0.564965;0.249959;0.568863;0.25603;0.580412;0.265045;0.560647;0.252479;0.56122;0.262753;0.566909;0.267871;0.572931;0.276741;0.558315;0.266717;0.558661;0.273379;0.563536;0.277377;0.393398;0.314621;0.409856;0.29663;0.414976;0.272209;0.415988;0.253632;0.417437;0.241582;0.397951;0.250076;0.403997;0.23279;0.409337;0.223388;0.412597;0.218401;0.393984;0.252916;0.419376;0.247745;0.422505;0.260272;0.41741;0.265814;0.394732;0.261755;0.420974;0.259414;0.422536;0.271288;0.41759;0.275609;0.398264;0.273442;0.419469;0.273458;0.420849;0.282359;0.416166;0.285909
0.4621;0.23713;0.590319;0.327023;0.572721;0.295755;0.567249;0.267943;0.563536;0.250953;0.560612;0.239244;0.58472;0.250897;0.579141;0.230774;0.574377;0.216428;0.572771;0.206222;0.586721;0.258909;0.565441;0.248516;0.562114;0.256286;0.566936;0.2605;0.584344;0.271472;0.562367;0.264143;0.562123;0.272815;0.568613;0.276851;0.580169;0.285245;0.565029;0.27997;0.564339;0.285737;0.56955;0.289763;0.394355;0.317162;0.410808;0.29837;0.417334;0.271251;0.420458;0.250631;0.422898;0.234005;0.398792;0.250677;0.407747;0.234139;0.412998;0.23013;0.413995;0.228335;0.396359;0.253112;0.422257;0.247282;0.42373;0.261466;0.417679;0.268078;0.397291;0.261054;0.423963;0.259966;0.423561;0.273675;0.417394;0.277804;0.400566;0.271805;0.422538;0.27421;0.422867;0.284471;0.417369;0.289391
0.461634;0.231998;0.598508;0.325746;0.589875;0.303329;0.583827;0.276428;0.576998;0.258544;0.571769;0.250225;0.594668;0.253964;0.587816;0.225131;0.582612;0.207094;0.57904;0.192188;0.589006;0.261212;0.568719;0.248077;0.569717;0.26178;0.577288;0.270105;0.581873;0.270823;0.563651;0.263279;0.568957;0.276397;0.578101;0.2817;0.575091;0.279597;0.562806;0.273495;0.566739;0.284008;0.574179;0.288334;0.389072;0.313047;0.408043;0.292488;0.417006;0.27189;0.423385;0.256755;0.427251;0.244871;0.396893;0.243615;0.39755;0.223497;0.400118;0.209206;0.400696;0.197163;0.391607;0.247325;0.406802;0.238103;0.412417;0.250368;0.408858;0.257629;0.389788;0.256389;0.40778;0.253192;0.412333;0.264903;0.408461;0.270603;0.390667;0.268741;0.406286;0.267784;0.410075;0.276618;0.406762;0.282662
0.460639;0.232691;0.604539;0.33087;0.582856;0.316807;0.570484;0.292184;0.569658;0.272503;0.576684;0.259936;0.587624;0.259673;0.587371;0.229881;0.588489;0.21409;0.590875;0.201401;0.597616;0.259406;0.583908;0.243787;0.58323;0.262933;0.588188;0.274581;0.604547;0.263877;0.588785;0.25235;0.588449;0.271665;0.593606;0.282047;0.610264;0.270208;0.594633;0.262595;0.592059;0.275098;0.596261;0.281845;0.387878;0.312433;0.406439;0.291716;0.418663;0.266815;0.423163;0.246986;0.41637;0.243586;0.392907;0.240784;0.387418;0.215323;0.38717;0.199766;0.385358;0.187008;0.38477;0.24453;0.387131;0.226618;0.396069;0.237767;0.397123;0.245921;0.379025;0.252643;0.386812;0.243111;0.396265;0.257576;0.396332;0.265453;0.375709;0.264436;0.383699;0.256948;0.391585;0.267769;0.39186;0.274974
0.455562;0.235561;0.623254;0.328578;0.601364;0.318602;0.585741;0.297048;0.577648;0.275076;0.578748;0.2611;0.59846;0.261924;0.593508;0.235312;0.595559;0.233971;0.598115;0.230073;0.607915;0.258672;0.596434;0.239818;0.599569;0.256999;0.606811;0.268672;0.615367;0.258636;0.604535;0.244993;0.607286;0.262248;0.613851;0.273477;0.621419;0.26086;0.610588;0.247949;0.606359;0.250184;0.605635;0.250744;0.375845;0.310666;0.399511;0.289743;0.414207;0.266927;0.413143;0.248553;0.401687;0.246178;0.393447;0.237805;0.390571;0.211028;0.390834;0.202112;0.390691;0.197311;0.381052;0.238284;0.378954;0.217287;0.383593;0.230288;0.384045;0.242321;0.370196;0.242897;0.369777;0.226774;0.375624;0.243083;0.376069;0.255915;0.36121;0.251523;0.363305;0.236628;0.367889;0.248186;0.368782;0.259991
0.452998;0.235445;0.630564;0.317121;0.606708;0.305643;0.590951;0.286964;0.585379;0.269034;0.588199;0.253035;0.603578;0.255668;0.601683;0.22679;0.602984;0.217085;0.603708;0.208464;0.614734;0.253622;0.609116;0.236311;0.608519;0.255304;0.611092;0.266856;0.624857;0.254596;0.618113;0.242844;0.618272;0.26088;0.62178;0.271601;0.635241;0.258015;0.625946;0.249203;0.624145;0.262287;0.626713;0.26989;0.356811;0.301687;0.385645;0.281769;0.402461;0.262335;0.40434;0.24426;0.394653;0.236131;0.386188;0.228634;0.389126;0.203927;0.389768;0.197211;0.388517;0.191541;0.373971;0.228216;0.380717;0.21046;0.381981;0.229229;0.379177;0.238957;0.361535;0.230592;0.36903;0.218026;0.371185;0.238203;0.368313;0.246842;0.34959;0.235554;0.358322;0.225882;0.360736;0.240291;0.35801;0.24854
0.451375;0.234892;0.635706;0.308293;0.612629;0.297179;0.596584;0.276693;0.592029;0.256352;0.596291;0.241048;0.610272;0.246324;0.608866;0.215933;0.60651;0.195864;0.603155;0.179345;0.622313;0.244897;0.617235;0.227096;0.616152;0.246923;0.618502;0.262101;0.633479;0.247785;0.626529;0.234997;0.625234;0.254284;0.628395;0.267184;0.645191;0.253948;0.636127;0.244082;0.632893;0.258673;0.634836;0.267968;0.35019;0.286104;0.374636;0.273104;0.391252;0.253365;0.392975;0.233968;0.382545;0.223201;0.3782;0.218392;0.38318;0.188826;0.386867;0.16878;0.389601;0.149608;0.36697;0.217901;0.371891;0.201994;0.371018;0.216599;0.368592;0.227928;0.355724;0.2215;0.36234;0.209611;0.362752;0.227799;0.359954;0.241547;0.343938;0.228236;0.350585;0.216884;0.353654;0.229302;0.35233;0.240462
0.457639;0.238764;0.642644;0.298991;0.620209;0.287383;0.60375;0.26724;0.599865;0.244878;0.605719;0.229683;0.615029;0.236573;0.612196;0.204974;0.609408;0.182728;0.607044;0.163099;0.627499;0.234394;0.621001;0.216499;0.621384;0.237558;0.62537;0.25411;0.6394;0.236382;0.63151;0.224304;0.632504;0.244435;0.637639;0.258125;0.652464;0.241321;0.64305;0.231413;0.64176;0.246168;0.645749;0.255962;0.346914;0.273369;0.368119;0.258392;0.383231;0.239869;0.386113;0.222645;0.378268;0.212066;0.372979;0.20483;0.378903;0.175894;0.382553;0.155279;0.385214;0.136728;0.360571;0.205577;0.364577;0.192847;0.364298;0.210543;0.36274;0.224675;0.348081;0.210125;0.353993;0.202078;0.355121;0.220136;0.353694;0.23359;0.335178;0.217275;0.341598;0.208298;0.344854;0.22052;0.344608;0.229872
0.457796;0.236745;0.64076;0.297827;0.620734;0.284016;0.606116;0.263337;0.604507;0.242917;0.610876;0.232145;0.615567;0.231759;0.611258;0.202166;0.606879;0.181436;0.603433;0.163637;0.628765;0.231227;0.621985;0.211246;0.621435;0.231375;0.624775;0.248575;0.641363;0.234041;0.634239;0.220838;0.633452;0.240613;0.636968;0.254599;0.65502;0.239995;0.646962;0.227647;0.643829;0.241136;0.646186;0.251568;0.344196;0.263566;0.365673;0.251778;0.379188;0.235031;0.382185;0.219959;0.37629;0.210778;0.370732;0.193846;0.380406;0.166229;0.385699;0.145231;0.389456;0.126816;0.357868;0.191978;0.365603;0.184528;0.365112;0.202736;0.362781;0.214165;0.3448;0.19682;0.352669;0.195375;0.354223;0.213651;0.353585;0.224399;0.331816;0.204489;0.339145;0.202071;0.342824;0.215835;0.343719;0.223825
0.45599;0.237945;0.641962;0.295943;0.62143;0.280359;0.60741;0.258596;0.605275;0.236163;0.610333;0.222734;0.616385;0.228424;0.611721;0.197427;0.60767;0.177341;0.604906;0.160734;0.629187;0.228413;0.622552;0.210539;0.622943;0.231322;0.626281;0.247753;0.641233;0.230873;0.634584;0.218661;0.634407;0.238216;0.638297;0.251485;0.654505;0.235456;0.646693;0.224333;0.644541;0.238525;0.647652;0.249626;0.345887;0.26142;0.365558;0.252353;0.379527;0.235433;0.380397;0.219854;0.373303;0.208631;0.372863;0.193423;0.38157;0.164213;0.386761;0.142732;0.390534;0.124162;0.358645;0.192365;0.363589;0.18227;0.364347;0.201404;0.362995;0.215888;0.344786;0.197207;0.350483;0.195158;0.353097;0.213697;0.353832;0.225605;0.331895;0.205013;0.337416;0.202285;0.341623;0.21622;0.343579;0.224838
0.456234;0.238592;0.640586;0.298661;0.619833;0.281812;0.606655;0.259433;0.60433;0.237541;0.610262;0.224334;0.616352;0.230323;0.610802;0.198848;0.606215;0.178204;0.602762;0.161592;0.629201;0.231009;0.622119;0.214251;0.6226;0.233492;0.625867;0.248538;0.641126;0.233997;0.633982;0.222164;0.634184;0.240978;0.63815;0.252967;0.653832;0.238593;0.646018;0.226939;0.644324;0.240407;0.647729;0.250711;0.346542;0.261555;0.36529;0.253804;0.379277;0.235807;0.37961;0.218644;0.372024;0.20662;0.373006;0.194561;0.381422;0.163678;0.386447;0.142112;0.389684;0.123463;0.358314;0.192938;0.363172;0.1826;0.363829;0.202668;0.362376;0.214773;0.344251;0.197542;0.349759;0.195342;0.351933;0.214534;0.352201;0.223673;0.331178;0.205257;0.337004;0.202805;0.340558;0.217373;0.341377;0.223614
0.455307;0.233196;0.642098;0.30572;0.620273;0.290696;0.605689;0.2663;0.605013;0.243294;0.614526;0.231122;0.615706;0.238164;0.60919;0.206452;0.604628;0.184432;0.602116;0.166745;0.628401;0.238457;0.620465;0.222203;0.621186;0.242516;0.625552;0.255668;0.64021;0.241596;0.630747;0.230172;0.630321;0.249998;0.635454;0.260077;0.652776;0.245921;0.642246;0.235612;0.640084;0.250879;0.644717;0.259431;0.345269;0.265495;0.364677;0.261628;0.378543;0.242392;0.378006;0.22541;0.370208;0.213145;0.372521;0.201447;0.381618;0.167707;0.387231;0.147022;0.390156;0.129278;0.357207;0.198821;0.363704;0.190562;0.364873;0.212695;0.362436;0.223786;0.342873;0.202643;0.349546;0.201659;0.352249;0.221906;0.351301;0.230064;0.329756;0.209841;0.335618;0.207982;0.33952;0.22345;0.339314;0.228954
0.458889;0.212068;0.64034;0.326541;0.621255;0.319172;0.607697;0.298285;0.607522;0.276577;0.613032;0.262232;0.615107;0.262813;0.60866;0.228702;0.604786;0.206862;0.602323;0.188403;0.628516;0.263233;0.619731;0.252443;0.620614;0.273991;0.625604;0.286612;0.640746;0.267531;0.63186;0.2598;0.631319;0.279586;0.636333;0.288969;0.653396;0.272714;0.644996;0.264697;0.641982;0.280509;0.645202;0.288789;0.344205;0.277321;0.361244;0.282332;0.373348;0.274889;0.373597;0.269426;0.370789;0.262535;0.37436;0.227254;0.383345;0.192617;0.388654;0.171474;0.391155;0.15582;0.360256;0.226712;0.358827;0.216705;0.358883;0.234886;0.358807;0.246304;0.346355;0.233274;0.342455;0.234988;0.346314;0.255023;0.349533;0.264671;0.333986;0.241324;0.331202;0.24084;0.336314;0.256054;0.340665;0.264232
0.456838;0.209835;0.642121;0.341006;0.62402;0.333063;0.612109;0.311374;0.61282;0.288845;0.618355;0.272734;0.615263;0.280021;0.610206;0.248811;0.608161;0.230293;0.608071;0.214234;0.629172;0.280396;0.622233;0.269891;0.62021;0.288675;0.623095;0.297316;0.64227;0.285196;0.634542;0.278229;0.632123;0.296373;0.635176;0.302883;0.654881;0.290891;0.647293;0.285844;0.643022;0.299861;0.644829;0.305558;0.343661;0.27396;0.356911;0.277204;0.365843;0.277315;0.368115;0.280255;0.368408;0.279823;0.370064;0.243713;0.378524;0.221942;0.38173;0.20719;0.382086;0.195139;0.35828;0.243338;0.359234;0.239073;0.356066;0.25028;0.353954;0.258287;0.346279;0.248763;0.344497;0.254854;0.344365;0.26794;0.345384;0.276276;0.334583;0.253263;0.334641;0.259829;0.336799;0.268028;0.339574;0.27287
0.453487;0.205718;0.637487;0.340517;0.624325;0.32578;0.616248;0.309637;0.615472;0.290576;0.614796;0.274974;0.612243;0.299877;0.606063;0.284959;0.603319;0.275887;0.601336;0.27026;0.624423;0.300807;0.626108;0.296893;0.628004;0.305806;0.627072;0.31179;0.638532;0.307287;0.643078;0.308458;0.642314;0.318712;0.638543;0.324727;0.651123;0.314758;0.657138;0.317224;0.655532;0.325345;0.651653;0.331205
