face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.455514;0.194986;0.64441;0.923727;0.621307;0.947883;0.612281;0.978325;0.611975;1.00267;0.612046;1.01854;0.621135;1.0061;0.625914;1.03631;0.622005;1.02726;0.618009;1.01436;0.635011;1.00622;0.636961;1.03511;0.631994;1.02368;0.629109;1.01098;0.647689;1.00227;0.648431;1.02826;0.643218;1.01848;0.63979;1.00636;0.658716;0.995673;0.657807;1.01808;0.6515;1.00965;0.64765;0.997328
0.453174;0.191793;0.366643;0.919156;0.394751;0.933296;0.408994;0.953262;0.416425;0.976693;0.417543;0.998158;0.397116;0.995026;0.396854;1.0299;0.395912;1.02757;0.396305;1.01738;0.380207;0.999752;0.379923;1.03323;0.380891;1.0271;0.382644;1.0154;0.365236;0.999326;0.366637;1.03081;0.368889;1.02633;0.369688;1.01593;0.35286;0.99469;0.353409;1.02201;0.35636;1.02185;0.358283;1.0132;0.638799;0.900889;0.613535;0.922289;0.607189;0.949499;0.607216;0.971818;0.608768;0.991613;0.616759;0.987677;0.617237;1.01867;0.61156;1.01682;0.60878;1.00527;0.63016;0.988822;0.629314;1.01953;0.621384;1.01626;0.619277;1.00424;0.643391;0.986728;0.642987;1.0167;0.635786;1.01487;0.632018;1.00278;0.656048;0.981954;0.656854;1.0092;0.649665;1.01265;0.643779;1.00593
0.451939;0.193538;0.373811;0.942529;0.393952;0.934864;0.404559;0.927317;0.410428;0.921262;0.412456;0.911849;0.401246;0.965859;0.406177;0.986061;0.40476;0.974248;0.402663;0.962408;0.385924;0.972487;0.392945;0.993293;0.390702;0.977833;0.387764;0.9671;0.371319;0.973241;0.377305;0.985658;0.377706;0.968585;0.375373;0.95694;0.359247;0.971754;0.36413;0.979471;0.364784;0.964842;0.362767;0.953458
0.448197;0.199009;0.384745;0.916885;0.395722;0.940657;0.401245;0.959466;0.403842;0.972751;0.404984;0.985535;0.387963;0.972231;0.393227;0.989075;0.39915;0.987401;0.401694;0.980745;0.382163;0.96781;0.390236;0.98412;0.397161;0.979693;0.400513;0.969323;0.377136;0.96089;0.386221;0.977035;0.393643;0.973587;0.397334;0.96344;0.372885;0.952126;0.380574;0.968116;0.388441;0.968034;0.393679;0.961134;0.392725;0.790343;0.40752;0.792262;0.414921;0.798207;0.419304;0.80057;0.424429;0.800813;0.416155;0.829279;0.416817;0.848083;0.418036;0.85871;0.417732;0.862288;0.409412;0.834686;0.411908;0.855551;0.414289;0.865812;0.414838;0.869917;0.402557;0.836605;0.403792;0.856634;0.40549;0.864198;0.40563;0.866651;0.396453;0.835667;0.395998;0.853506;0.396862;0.860245;0.39582;0.862522
0.443056;0.203481;0.383163;0.919574;0.393217;0.946234;0.395522;0.967419;0.397481;0.980638;0.398953;0.988884;0.378988;0.974701;0.386491;0.987721;0.394066;0.986951;0.39818;0.981142;0.376354;0.966914;0.386421;0.978666;0.394247;0.976694;0.398197;0.970241;0.375363;0.956149;0.386227;0.967524;0.393937;0.96506;0.397871;0.958939;0.375734;0.943646;0.38498;0.955107;0.391751;0.954269;0.395872;0.949499
0.443456;0.207121;0.397498;0.531383;0.401768;0.50549;0.41634;0.481925;0.426447;0.46926;0.437462;0.463861;0.421703;0.463166;0.442432;0.436083;0.453018;0.431394;0.458131;0.430888;0.424846;0.475588;0.446305;0.46657;0.446544;0.476164;0.442113;0.482088;0.427008;0.493743;0.440861;0.492288;0.437357;0.498174;0.431762;0.501917;0.427381;0.51165;0.437698;0.511428;0.4351;0.514702;0.431559;0.514104
0.453551;0.229673;0.591465;0.439357;0.559802;0.401451;0.545951;0.372337;0.540881;0.351198;0.536113;0.334442;0.55424;0.35685;0.552989;0.33104;0.542484;0.316674;0.533854;0.307845;0.564196;0.357615;0.558048;0.329123;0.545394;0.319686;0.537154;0.313062;0.57402;0.359133;0.565456;0.333651;0.556201;0.331428;0.55211;0.333083;0.58554;0.361369;0.578345;0.34147;0.571695;0.341992;0.568554;0.346912;0.40811;0.446816;0.421147;0.429675;0.429178;0.419232;0.435786;0.410759;0.441793;0.40021;0.438063;0.406425;0.446569;0.397012;0.451182;0.392898;0.455262;0.389792;0.436301;0.407628;0.447012;0.396984;0.452642;0.395172;0.458246;0.393958;0.434031;0.409867;0.444127;0.399462;0.449474;0.3995;0.453539;0.401209;0.430193;0.412441;0.44146;0.404848;0.447046;0.405261;0.451445;0.407675
0.453813;0.22233;0.582316;0.423586;0.550816;0.391334;0.537971;0.364196;0.533837;0.344499;0.528918;0.329943;0.550073;0.345853;0.54838;0.319443;0.537297;0.304779;0.527577;0.295432;0.559841;0.344805;0.554401;0.315798;0.540756;0.306929;0.530225;0.300571;0.569431;0.34572;0.559848;0.32153;0.548992;0.319883;0.543136;0.321666;0.580486;0.347682;0.57146;0.32904;0.56313;0.330779;0.558282;0.336264
0.450104;0.235677;0.566117;0.387119;0.544416;0.374777;0.530302;0.346035;0.525196;0.321957;0.522601;0.307585;0.538001;0.314205;0.53241;0.275818;0.522974;0.272372;0.516186;0.27769;0.5495;0.314579;0.543921;0.281082;0.533874;0.293266;0.531095;0.309732;0.560752;0.320537;0.552661;0.296424;0.543569;0.311512;0.54291;0.327603;0.573039;0.329668;0.562403;0.315452;0.554022;0.328553;0.553138;0.341539;0.426354;0.398386;0.446367;0.392116;0.463491;0.370759;0.470538;0.351201;0.471766;0.337086;0.456051;0.332101;0.462666;0.297509;0.473698;0.289847;0.482361;0.287639;0.444384;0.331795;0.454079;0.303795;0.465569;0.311504;0.470777;0.324466;0.432771;0.335452;0.440114;0.313568;0.450441;0.323626;0.455271;0.337905;0.420583;0.343656;0.4299;0.328592;0.439963;0.336984;0.444319;0.348111
0.455718;0.217346;0.575451;0.392533;0.554846;0.380195;0.53825;0.353393;0.534537;0.331624;0.533933;0.314896;0.547194;0.320968;0.539671;0.284285;0.530761;0.288358;0.526206;0.296474;0.559664;0.321749;0.555873;0.283392;0.546294;0.294559;0.543423;0.308131;0.572383;0.327808;0.567099;0.294557;0.557135;0.309052;0.555829;0.322989;0.586758;0.337481;0.579215;0.31946;0.57054;0.331804;0.568978;0.342738;0.417969;0.400943;0.438747;0.38984;0.457565;0.367091;0.465352;0.348092;0.462904;0.336263;0.445001;0.335111;0.449935;0.303204;0.457597;0.302984;0.461882;0.307834;0.432316;0.336015;0.437886;0.309156;0.446217;0.322429;0.44901;0.336906;0.419239;0.340748;0.423567;0.316752;0.43356;0.330893;0.437271;0.345489;0.405142;0.34994;0.40956;0.329074;0.419477;0.339432;0.424233;0.352334
0.44548;0.212808;0.591756;0.389794;0.565822;0.378253;0.551914;0.352638;0.548702;0.329733;0.551791;0.312007;0.562635;0.317696;0.55774;0.282902;0.551716;0.267908;0.546614;0.258154;0.575965;0.31771;0.573228;0.286255;0.566825;0.299411;0.565384;0.31396;0.589858;0.324861;0.588024;0.302043;0.581143;0.318899;0.580157;0.333908;0.604706;0.337005;0.600234;0.322672;0.593127;0.335819;0.591589;0.346842;0.406497;0.394372;0.429073;0.379265;0.442498;0.35719;0.450726;0.3375;0.454128;0.322224;0.43315;0.331743;0.436646;0.314465;0.433075;0.323454;0.429079;0.333476;0.421581;0.33563;0.423459;0.322625;0.42314;0.332327;0.421726;0.342901;0.411569;0.343793;0.413912;0.333273;0.415364;0.344355;0.416574;0.354766;0.402052;0.354661;0.408295;0.344587;0.408835;0.354837;0.40879;0.364543
0.447869;0.213003;0.609748;0.38232;0.586284;0.367825;0.577626;0.344726;0.571318;0.330645;0.571386;0.319585;0.588528;0.318974;0.580704;0.294231;0.57918;0.291233;0.578251;0.289371;0.600002;0.323523;0.592842;0.308692;0.594552;0.315218;0.596015;0.317555;0.609494;0.336116;0.602797;0.327218;0.60372;0.337143;0.604747;0.342911;0.615669;0.353451;0.608794;0.346454;0.608934;0.354402;0.608338;0.360583
