face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.494491;0.276779;0.435861;0.952224;0.464006;0.95346;0.486918;0.970844;0.50044;0.988356;0.509999;1.0046;0.48874;0.998992;0.499843;1.03754;0.503637;1.06801;0.505015;1.09175;0.478905;1.0027;0.488409;1.04511;0.490225;1.07338;0.491627;1.09321;0.470143;1.00319;0.483751;1.0357;0.48657;1.04694;0.488622;1.0492;0.462092;1.00161;0.476566;1.02288;0.481153;1.02764;0.484197;1.02754;0.613567;0.952909;0.584883;0.959473;0.562215;0.979275;0.545479;0.99684;0.537149;1.01527;0.562044;0.986925;0.548538;1.02239;0.546549;1.04332;0.546282;1.05691;0.575408;0.993075;0.565673;1.03328;0.563474;1.05814;0.56298;1.07515;0.590307;0.998163;0.583089;1.03334;0.579531;1.05793;0.578073;1.0752;0.605161;1.00316;0.600738;1.02951;0.59499;1.04873;0.591154;1.06545
0.492252;0.270414;0.453426;0.957596;0.467749;0.959638;0.478987;0.974348;0.486262;0.995568;0.493577;1.0157;0.475081;0.987707;0.481922;1.02099;0.487393;1.04435;0.493908;1.06288;0.466137;0.989887;0.474745;1.02934;0.48176;1.05673;0.488767;1.07658;0.458141;0.990452;0.466905;1.0255;0.474271;1.05103;0.482415;1.06992;0.451378;0.989982;0.456469;1.01919;0.463187;1.03682;0.471205;1.04965
0.492744;0.264366;0.437427;0.868001;0.455418;0.873796;0.465374;0.884238;0.471352;0.895402;0.47792;0.901198;0.467514;0.913215;0.475354;0.931654;0.476528;0.930804;0.476569;0.923926;0.460093;0.919005;0.467419;0.935899;0.466109;0.935851;0.464003;0.930539;0.450695;0.920464;0.455026;0.93624;0.452412;0.932347;0.449646;0.925717;0.441114;0.917804;0.440833;0.933698;0.439928;0.930628;0.439163;0.922658
0.491598;0.265302;0.656106;0.72996;0.63079;0.726522;0.604065;0.738735;0.58551;0.753505;0.571659;0.766584;0.632266;0.730805;0.615974;0.740171;0.599968;0.749332;0.587708;0.762345;0.642088;0.749852;0.628377;0.75496;0.60919;0.772122;0.595099;0.787334;0.646609;0.768251;0.631265;0.784046;0.614717;0.80414;0.604388;0.819196;0.64711;0.783485;0.639105;0.809693;0.630973;0.828906;0.624705;0.842683;0.409269;0.743397;0.42885;0.704392;0.448401;0.693612;0.461332;0.707126;0.467956;0.730156;0.441204;0.742806;0.463383;0.76012;0.470005;0.763858;0.471994;0.764137;0.432539;0.774291;0.456957;0.795875;0.462493;0.796584;0.460877;0.79541;0.423723;0.798649;0.444933;0.828089;0.452497;0.830444;0.451854;0.82885;0.416221;0.815452;0.429591;0.843763;0.436383;0.856342;0.437672;0.863651
0.492405;0.265762;0.422922;0.722626;0.416817;0.767482;0.415538;0.80032;0.421609;0.827789;0.430692;0.838959;0.410409;0.762409;0.428573;0.774184;0.439828;0.76811;0.44489;0.762727;0.42019;0.729873;0.440308;0.732581;0.4495;0.725612;0.449803;0.719336;0.428974;0.700101;0.449656;0.70246;0.456496;0.701523;0.452351;0.70066;0.437031;0.679454;0.447741;0.672803;0.454482;0.672007;0.454201;0.672182
0.491751;0.266212;0.654202;0.663554;0.627375;0.647907;0.607658;0.635589;0.596195;0.627754;0.588393;0.632224;0.633611;0.62388;0.63093;0.62003;0.619287;0.629664;0.610397;0.642306;0.650868;0.643105;0.649045;0.650467;0.634919;0.670237;0.624701;0.68813;0.663211;0.667651;0.660283;0.686715;0.645956;0.707628;0.635349;0.721888;0.671187;0.691341;0.668393;0.716977;0.662869;0.736314;0.657827;0.748517
0.49235;0.265867;0.64233;0.624272;0.61951;0.613421;0.59857;0.608767;0.584986;0.611073;0.574045;0.619273;0.632058;0.588631;0.624351;0.588622;0.614077;0.602032;0.607532;0.617407;0.648529;0.605324;0.645624;0.605141;0.632619;0.626657;0.623119;0.64386;0.659163;0.625225;0.656707;0.638345;0.642202;0.662277;0.631279;0.676559;0.663099;0.646527;0.662796;0.669615;0.655469;0.691163;0.646814;0.704402;0.355898;0.663163;0.372774;0.615293;0.397674;0.586088;0.421312;0.574226;0.440227;0.568176;0.375102;0.583005;0.405696;0.568302;0.427149;0.571708;0.439306;0.576247;0.365345;0.608498;0.401761;0.599739;0.421327;0.604023;0.431611;0.60576;0.361344;0.635263;0.391734;0.62929;0.408644;0.632615;0.419071;0.63407;0.361782;0.662145;0.382903;0.659833;0.392729;0.660211;0.40002;0.661279
0.495182;0.270281;0.367872;0.657227;0.395184;0.633024;0.409341;0.607962;0.417209;0.585644;0.422008;0.566965;0.398823;0.611465;0.405394;0.590347;0.41155;0.575071;0.415139;0.561297;0.38574;0.613451;0.391119;0.592814;0.396343;0.575596;0.399667;0.559563;0.3731;0.615293;0.377655;0.594816;0.380824;0.579181;0.382358;0.565683;0.361497;0.619316;0.361654;0.601753;0.361399;0.590588;0.360464;0.582251
0.493788;0.273057;0.654006;0.561763;0.631817;0.550206;0.615169;0.535836;0.602286;0.525307;0.590277;0.518229;0.625624;0.483925;0.617319;0.464672;0.605079;0.464379;0.594209;0.472258;0.633685;0.483473;0.621029;0.465323;0.60948;0.465759;0.600775;0.471126;0.64019;0.488505;0.628848;0.473274;0.617075;0.474172;0.607667;0.48043;0.644684;0.497176;0.63663;0.484149;0.627598;0.485143;0.618956;0.490277;0.389477;0.58933;0.419901;0.556604;0.430562;0.527918;0.442219;0.512758;0.453782;0.50524;0.396146;0.493031;0.414775;0.472326;0.432328;0.484047;0.439599;0.495889;0.384918;0.508562;0.411722;0.490869;0.430169;0.504602;0.437542;0.518315;0.379503;0.528418;0.403866;0.51549;0.422049;0.526604;0.430049;0.537848;0.378129;0.548247;0.394488;0.539638;0.409165;0.542316;0.417815;0.544839
0.493484;0.27254;0.646533;0.543498;0.625368;0.535753;0.610003;0.526712;0.599736;0.522318;0.592046;0.522191;0.624835;0.500626;0.620802;0.490656;0.616253;0.498069;0.610241;0.507559;0.637645;0.504595;0.635404;0.511592;0.633521;0.528465;0.631987;0.542951;0.649211;0.515138;0.648135;0.530884;0.644398;0.551184;0.641325;0.568204;0.658015;0.527213;0.657594;0.535665;0.655743;0.550302;0.653882;0.564309;0.395078;0.597766;0.419675;0.554975;0.428841;0.526588;0.44077;0.509003;0.449582;0.501604;0.400707;0.500606;0.410818;0.482606;0.427184;0.486397;0.438238;0.492599;0.390558;0.515305;0.405446;0.499677;0.422554;0.501675;0.433959;0.50533;0.384902;0.534318;0.397342;0.520602;0.415161;0.517745;0.428674;0.519992;0.38381;0.556019;0.394603;0.549744;0.407325;0.544418;0.418183;0.542104
0.490902;0.279133;0.648322;0.548444;0.627304;0.543073;0.612483;0.531459;0.603167;0.521246;0.593822;0.516079;0.623297;0.519835;0.612218;0.518154;0.605753;0.522418;0.60057;0.527293;0.637908;0.522062;0.625668;0.526511;0.617817;0.533061;0.612739;0.537974;0.652199;0.526945;0.645222;0.535125;0.644042;0.551497;0.64375;0.561271;0.665088;0.533283;0.659274;0.537765;0.65884;0.551293;0.65983;0.561931;0.395481;0.597548;0.418964;0.551337;0.429615;0.521749;0.442143;0.503138;0.453515;0.492951;0.400158;0.503475;0.408237;0.485608;0.424238;0.486431;0.437352;0.490366;0.390049;0.52161;0.398846;0.503927;0.416089;0.503711;0.430903;0.505864;0.385209;0.544854;0.391408;0.528664;0.406715;0.5267;0.420864;0.528844;0.386538;0.570301;0.392776;0.56357;0.403421;0.558286;0.415054;0.555412
0.489761;0.276881;0.658732;0.576768;0.641574;0.557217;0.62486;0.538309;0.610083;0.525656;0.595798;0.519345;0.641999;0.514503;0.616521;0.51371;0.60301;0.515849;0.593511;0.515511;0.649531;0.518436;0.623174;0.517702;0.609706;0.522075;0.600725;0.524687;0.654039;0.527358;0.629579;0.530211;0.620361;0.53685;0.615861;0.539728;0.656427;0.538347;0.637869;0.53928;0.631905;0.544859;0.628931;0.548463;0.400842;0.597674;0.420334;0.549613;0.428865;0.521155;0.439278;0.501777;0.449133;0.491086;0.400822;0.502553;0.41001;0.484446;0.425689;0.483888;0.438743;0.487385;0.391725;0.51996;0.401163;0.500908;0.418403;0.500485;0.433054;0.503193;0.387963;0.542541;0.395143;0.524804;0.410133;0.522702;0.423931;0.525609;0.390314;0.567976;0.397013;0.560299;0.407394;0.554448;0.418473;0.551867
0.492443;0.270012;0.647352;0.578932;0.627617;0.575014;0.618225;0.563449;0.612769;0.551552;0.607979;0.545082;0.619783;0.539203;0.607924;0.538748;0.600969;0.539027;0.595305;0.53812;0.631846;0.533345;0.621137;0.538305;0.617372;0.547257;0.614521;0.552784;0.643624;0.533483;0.63421;0.540875;0.632458;0.555348;0.631901;0.563169;0.654553;0.537708;0.644669;0.542412;0.642043;0.553196;0.641562;0.559832;0.402628;0.608721;0.423725;0.566938;0.433483;0.537637;0.444562;0.519579;0.451857;0.512692;0.404042;0.515608;0.410535;0.496096;0.428265;0.496752;0.44188;0.500146;0.39377;0.531236;0.405635;0.514851;0.424395;0.513974;0.438685;0.51537;0.389024;0.552365;0.39925;0.538445;0.41613;0.535506;0.430264;0.536228;0.389046;0.575444;0.398542;0.570326;0.409301;0.567675;0.418498;0.565658
0.493703;0.26839;0.641741;0.581077;0.627835;0.58368;0.621553;0.579663;0.617134;0.575532;0.612319;0.574469;0.614604;0.55887;0.607072;0.557223;0.600191;0.553194;0.594038;0.550963;0.624209;0.550229;0.61616;0.554898;0.61245;0.562125;0.608837;0.568129;0.636073;0.547534;0.631032;0.555105;0.628267;0.565157;0.625969;0.571815;0.647963;0.548276;0.642107;0.554139;0.639462;0.562212;0.637438;0.567853;0.402831;0.617913;0.424107;0.582401;0.434033;0.555393;0.446163;0.541045;0.452669;0.53525;0.398336;0.528142;0.418629;0.516852;0.432554;0.523447;0.438531;0.529158;0.38957;0.546503;0.420876;0.54418;0.434815;0.550015;0.440985;0.553247;0.388321;0.570248;0.418133;0.57005;0.430433;0.574773;0.437537;0.577726;0.391617;0.594015;0.412911;0.594256;0.422551;0.595018;0.429183;0.59584
0.494336;0.270501;0.404765;0.610267;0.431157;0.597238;0.445984;0.578854;0.45645;0.569364;0.463339;0.562815;0.416265;0.554515;0.434196;0.550344;0.445237;0.563484;0.449649;0.573024;0.402202;0.5634;0.426657;0.573939;0.43865;0.591469;0.443103;0.599302;0.393109;0.579386;0.417074;0.592293;0.427874;0.610804;0.432525;0.619851;0.387235;0.595608;0.404394;0.609208;0.413139;0.622163;0.418209;0.628651
