face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.490725;0.274692;0.590186;0.918261;0.562597;0.910354;0.537178;0.925544;0.52446;0.948894;0.51836;0.968054;0.538594;0.974427;0.5262;1.01055;0.519485;1.02238;0.517176;1.02591;0.552371;0.98584;0.539265;1.0041;0.54312;1.00285;0.54886;1.00339;0.566758;0.990406;0.55661;1.00274;0.560992;0.997503;0.567321;0.992869;0.58118;0.990434;0.574541;1.00278;0.57565;0.998295;0.580841;0.993507;0.462333;0.953683;0.480075;0.951087;0.492701;0.961699;0.501985;0.97251;0.510612;0.985972;0.50058;0.983452;0.512873;0.997393;0.519669;1.00717;0.524513;1.01718;0.496643;0.990943;0.509206;1.00708;0.515101;1.02091;0.518851;1.03729;0.49237;0.995233;0.504636;1.00747;0.50891;1.01995;0.510802;1.03351;0.48811;0.997037;0.497057;1.00465;0.500527;1.00857;0.502214;1.01426
0.489706;0.274299;0.47051;0.948201;0.485822;0.96261;0.495087;0.975708;0.500438;0.986095;0.50446;0.993165;0.498356;0.982374;0.504999;0.995863;0.507895;0.99961;0.509149;0.998514;0.493665;0.980959;0.500359;0.997906;0.502967;1.00263;0.504226;1.0038;0.488517;0.979588;0.495266;0.993897;0.498408;0.997951;0.49927;0.997897;0.483401;0.977278;0.48972;0.988873;0.493549;0.992333;0.493755;0.991491
0.490185;0.273844;0.476218;0.95754;0.488326;0.96511;0.497201;0.971063;0.50303;0.976037;0.507456;0.979238;0.494775;0.972419;0.498512;0.977808;0.4991;0.974732;0.499172;0.970625;0.488723;0.972159;0.492296;0.976495;0.492185;0.972722;0.491456;0.969301;0.482848;0.97077;0.485703;0.973489;0.486109;0.969558;0.485633;0.966311;0.477426;0.969095;0.479334;0.971809;0.479618;0.969009;0.479014;0.966062;0.451286;0.863215;0.466335;0.886578;0.483472;0.917969;0.502474;0.937799;0.515165;0.947279;0.481499;0.936804;0.514599;0.952506;0.51878;0.927275;0.513361;0.909585;0.48563;0.925738;0.52019;0.939399;0.522269;0.91134;0.513289;0.894897;0.488009;0.910119;0.519987;0.920463;0.520135;0.895557;0.509888;0.881246;0.488505;0.892327;0.510708;0.898034;0.511413;0.88354;0.504475;0.876119
0.489458;0.272323;0.486973;0.888254;0.470094;0.900032;0.461331;0.904659;0.459128;0.904483;0.460116;0.900236;0.484591;0.911185;0.483307;0.908702;0.478909;0.889621;0.47652;0.874652;0.497205;0.905349;0.496066;0.898044;0.490296;0.875047;0.486603;0.858433;0.505827;0.898638;0.504146;0.889876;0.499563;0.871095;0.495531;0.858791;0.511836;0.891567;0.511667;0.887288;0.509606;0.876091;0.506925;0.86679
0.491532;0.271527;0.551045;0.726691;0.522851;0.705191;0.506851;0.684068;0.500475;0.668531;0.501678;0.665988;0.5234;0.675458;0.51153;0.667136;0.503285;0.685307;0.501521;0.705665;0.539419;0.684588;0.528023;0.681762;0.518948;0.706181;0.516029;0.727107;0.55325;0.697837;0.544013;0.705034;0.535043;0.727521;0.53054;0.745269;0.56507;0.711856;0.558257;0.718882;0.551167;0.735602;0.54654;0.748603;0.457939;0.811593;0.474124;0.780106;0.49226;0.778797;0.502882;0.791435;0.508815;0.810844;0.499918;0.813121;0.512891;0.809544;0.504296;0.79993;0.495526;0.798659;0.493827;0.829584;0.50678;0.823328;0.498102;0.812529;0.490453;0.81134;0.486709;0.841171;0.498936;0.837518;0.4919;0.825938;0.484361;0.823069;0.478783;0.849381;0.486428;0.851007;0.483786;0.843986;0.480171;0.841059
0.490625;0.274197;0.556213;0.73371;0.532311;0.720949;0.521601;0.696585;0.51615;0.679754;0.511804;0.665331;0.534644;0.669583;0.522447;0.652459;0.509357;0.649623;0.498759;0.652073;0.541417;0.670809;0.524721;0.652923;0.51022;0.650854;0.498828;0.653746;0.546879;0.678187;0.528817;0.660735;0.515526;0.659144;0.505072;0.662801;0.551528;0.690029;0.536896;0.676942;0.525872;0.676151;0.516485;0.678723
0.48918;0.273724;0.558676;0.724576;0.535948;0.716556;0.525352;0.696381;0.518803;0.683421;0.5107;0.671492;0.533306;0.674479;0.523124;0.654385;0.509985;0.649377;0.500512;0.650305;0.537847;0.672358;0.524966;0.650114;0.510652;0.646213;0.500439;0.646939;0.542675;0.673531;0.527922;0.652634;0.514297;0.649658;0.504549;0.651605;0.547897;0.677908;0.534935;0.662409;0.522779;0.660324;0.513617;0.661445;0.548318;0.702129;0.518543;0.673875;0.501689;0.648367;0.487165;0.629137;0.475318;0.619126;0.518247;0.614053;0.493265;0.597296;0.478438;0.613614;0.473858;0.631498;0.529945;0.624644;0.499663;0.612343;0.486237;0.633406;0.484111;0.648776;0.538968;0.641366;0.510517;0.634314;0.499847;0.65122;0.499448;0.662193;0.546075;0.662772;0.522676;0.656217;0.512428;0.665046;0.511261;0.671607
0.489437;0.273214;0.555077;0.714593;0.534013;0.712199;0.524978;0.693451;0.519711;0.681537;0.513271;0.670421;0.536854;0.675429;0.526835;0.66246;0.51691;0.661478;0.511366;0.663854;0.539671;0.6692;0.528102;0.65392;0.516187;0.653325;0.509735;0.65579;0.541833;0.664569;0.527805;0.648192;0.515352;0.64844;0.508452;0.65205;0.542989;0.662439;0.530729;0.648347;0.520267;0.646277;0.512689;0.647642;0.54264;0.695454;0.519948;0.672245;0.505489;0.646614;0.49375;0.629461;0.483571;0.618017;0.5187;0.614204;0.496673;0.595346;0.479251;0.600107;0.468117;0.610964;0.527193;0.620279;0.495548;0.609675;0.487097;0.630046;0.489936;0.645442;0.532326;0.633632;0.502889;0.628278;0.498274;0.647336;0.502718;0.659296;0.536927;0.651303;0.514004;0.647352;0.508481;0.660921;0.510794;0.670318
0.488033;0.272632;0.552157;0.706989;0.535999;0.703282;0.526931;0.688615;0.522484;0.676091;0.519136;0.665929;0.534117;0.672084;0.527452;0.658188;0.518668;0.651819;0.511452;0.647542;0.537038;0.670287;0.528512;0.656374;0.519269;0.651037;0.512729;0.64595;0.539238;0.670958;0.528711;0.656139;0.519926;0.652283;0.515093;0.648883;0.541246;0.67351;0.533365;0.659349;0.526752;0.65397;0.522865;0.650213;0.540791;0.686419;0.517266;0.667977;0.504315;0.64472;0.493191;0.62861;0.483143;0.616625;0.517258;0.611885;0.495822;0.591281;0.478937;0.593342;0.468124;0.60232;0.524389;0.616885;0.493844;0.603891;0.482664;0.62206;0.482077;0.638403;0.528562;0.628084;0.499869;0.617464;0.492288;0.636299;0.49382;0.65079;0.531671;0.642808;0.509214;0.634061;0.50102;0.646877;0.50037;0.658053
0.489492;0.272434;0.547057;0.69923;0.537189;0.700379;0.529788;0.6932;0.527084;0.684756;0.525879;0.678417;0.530109;0.6805;0.524977;0.668555;0.520957;0.660504;0.517637;0.653573;0.534693;0.675577;0.530515;0.66477;0.527691;0.658004;0.525276;0.652308;0.539449;0.67334;0.535673;0.662739;0.532943;0.657041;0.531075;0.65147;0.544157;0.672366;0.542535;0.661759;0.539708;0.657422;0.537349;0.653659;0.539634;0.676915;0.516348;0.659873;0.504852;0.637238;0.494912;0.623992;0.485757;0.61554;0.519102;0.605893;0.497916;0.586006;0.480232;0.588272;0.469502;0.596993;0.525544;0.61093;0.494032;0.599531;0.48492;0.619723;0.487219;0.635725;0.528746;0.622102;0.499436;0.612084;0.492753;0.631958;0.49602;0.646755;0.530695;0.636564;0.508303;0.627355;0.501146;0.641061;0.502348;0.652872
