face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.491732;0.22518;0.382284;0.634241;0.375488;0.574918;0.380545;0.542908;0.397125;0.519607;0.410271;0.498497;0.442727;0.534949;0.488867;0.517643;0.487438;0.515735;0.475399;0.519097;0.455329;0.562664;0.494948;0.541192;0.485763;0.53798;0.471818;0.541187;0.458874;0.593043;0.489765;0.572981;0.480765;0.566581;0.467007;0.567981;0.45614;0.621208;0.478612;0.604323;0.473176;0.597794;0.462703;0.59796
0.48847;0.228165;0.374888;0.613418;0.366636;0.573438;0.371908;0.53768;0.378639;0.508106;0.378605;0.480523;0.414765;0.536047;0.445495;0.520951;0.463728;0.514143;0.480231;0.509039;0.425655;0.55704;0.458671;0.541413;0.47867;0.533687;0.495911;0.527528;0.430902;0.580719;0.460981;0.567001;0.478502;0.556798;0.492097;0.548165;0.432008;0.606019;0.456912;0.59461;0.470903;0.585915;0.482585;0.576379;0.633827;0.624348;0.651433;0.58801;0.653458;0.548198;0.650035;0.514224;0.652946;0.485157;0.620458;0.549909;0.591407;0.515798;0.570811;0.495398;0.552719;0.478383;0.603166;0.568091;0.570837;0.529092;0.54927;0.502376;0.531883;0.482214;0.589348;0.588524;0.558431;0.551582;0.538001;0.524692;0.522094;0.502697;0.579701;0.60946;0.554954;0.579811;0.53709;0.55863;0.522779;0.539751
0.487453;0.227633;0.37666;0.610126;0.368349;0.569484;0.376419;0.533083;0.38415;0.502937;0.383424;0.473844;0.417119;0.535901;0.447983;0.520332;0.466194;0.513129;0.483393;0.50673;0.427479;0.558008;0.461243;0.540518;0.481235;0.53198;0.498299;0.524719;0.432737;0.582661;0.464081;0.56655;0.482196;0.556751;0.497011;0.547297;0.433548;0.609293;0.458215;0.597338;0.47197;0.589756;0.483903;0.580004;0.628487;0.618852;0.646884;0.576709;0.648103;0.537008;0.645112;0.50776;0.6495;0.482332;0.614755;0.539607;0.586814;0.510101;0.567274;0.492126;0.547757;0.474543;0.597596;0.559481;0.566787;0.524266;0.546043;0.501605;0.527316;0.483064;0.583895;0.580368;0.555511;0.544585;0.537443;0.521942;0.521076;0.502128;0.573563;0.600945;0.552069;0.569113;0.537202;0.551409;0.523091;0.535466
0.487117;0.230594;0.373754;0.598247;0.372381;0.55736;0.383305;0.526013;0.393927;0.499792;0.397743;0.475127;0.418841;0.531982;0.454249;0.516761;0.475975;0.511027;0.49559;0.507404;0.42634;0.55663;0.46456;0.54164;0.489324;0.534824;0.509879;0.528897;0.429004;0.584395;0.464568;0.570505;0.487825;0.5626;0.506424;0.554391;0.428241;0.612899;0.458269;0.604761;0.476853;0.599721;0.49281;0.592101;0.634094;0.605444;0.646448;0.567015;0.643996;0.532917;0.639092;0.51015;0.644695;0.49074;0.602882;0.526195;0.574635;0.505002;0.556356;0.49348;0.538423;0.481705;0.588604;0.544797;0.556948;0.519466;0.536541;0.503641;0.518327;0.489087;0.578631;0.566724;0.549228;0.543721;0.5314;0.52747;0.515759;0.511425;0.573003;0.591469;0.550381;0.569875;0.536868;0.556149;0.524406;0.542031
0.488551;0.227977;0.369881;0.569072;0.395783;0.590083;0.418964;0.590732;0.438287;0.583737;0.451206;0.576696;0.414028;0.563695;0.437033;0.544382;0.449267;0.535685;0.455111;0.531773;0.406814;0.544851;0.427633;0.520159;0.439133;0.513513;0.444775;0.513577;0.397378;0.529901;0.418147;0.506203;0.426287;0.50164;0.427891;0.501906;0.387523;0.517705;0.404192;0.496899;0.4122;0.493395;0.414903;0.495502;0.637675;0.598483;0.614776;0.576712;0.593869;0.550444;0.582071;0.529076;0.57048;0.50912;0.586384;0.534885;0.56508;0.510917;0.551258;0.493718;0.539045;0.479726;0.591754;0.540983;0.568906;0.515125;0.554097;0.498108;0.541401;0.481199;0.599303;0.548694;0.577396;0.525802;0.563848;0.510579;0.553066;0.49568;0.60942;0.557785;0.593472;0.543486;0.582803;0.531384;0.574674;0.518547
0.493673;0.225993;0.414662;0.542071;0.425014;0.535028;0.430575;0.531688;0.435441;0.529752;0.435773;0.522551;0.409005;0.555608;0.40393;0.545941;0.396184;0.54465;0.389251;0.545399;0.39666;0.556883;0.386816;0.549089;0.380304;0.547223;0.375618;0.550217;0.388015;0.556432;0.378131;0.546744;0.37279;0.544129;0.36961;0.549309;0.38415;0.553247;0.372211;0.54786;0.36441;0.54575;0.360344;0.548242;0.627291;0.595564;0.608299;0.574532;0.591964;0.549746;0.579747;0.530348;0.567767;0.514522;0.595897;0.547804;0.582161;0.526289;0.573289;0.516626;0.565509;0.511204;0.602768;0.5514;0.588219;0.528863;0.578981;0.519285;0.571387;0.512733;0.609686;0.559559;0.595396;0.538029;0.587146;0.527921;0.581648;0.520867;0.616805;0.569745;0.608668;0.553911;0.601666;0.544282;0.597503;0.538088
0.489904;0.227358;0.290025;0.617798;0.323055;0.592714;0.335886;0.551195;0.341343;0.517861;0.353262;0.488161;0.28358;0.516335;0.269067;0.472355;0.257991;0.446376;0.246216;0.422343;0.262708;0.526159;0.243795;0.477401;0.230606;0.449126;0.21792;0.42293;0.247487;0.543253;0.225932;0.499957;0.212842;0.476661;0.201839;0.456365;0.23581;0.566963;0.212573;0.539019;0.201063;0.523615;0.191796;0.510106;0.690794;0.606832;0.662665;0.585431;0.645441;0.544781;0.634107;0.511635;0.620655;0.48689;0.683859;0.500011;0.696085;0.454899;0.704778;0.427847;0.713478;0.400906;0.703087;0.506724;0.717729;0.456762;0.726614;0.425951;0.734522;0.397239;0.718516;0.520994;0.734137;0.475546;0.742608;0.446878;0.749436;0.418781;0.731518;0.540788;0.746325;0.506422;0.754224;0.484173;0.760093;0.460078
0.488444;0.230239;0.287427;0.647107;0.309973;0.609518;0.322887;0.561589;0.328871;0.522494;0.337812;0.494144;0.273541;0.528322;0.259177;0.479006;0.248182;0.450692;0.236637;0.427092;0.25305;0.537225;0.23406;0.484622;0.220616;0.452234;0.208287;0.427386;0.237824;0.554085;0.215364;0.508826;0.201217;0.480618;0.189972;0.457572;0.227821;0.578264;0.204154;0.550034;0.189769;0.530813;0.178349;0.513657;0.696116;0.614905;0.666061;0.591081;0.649258;0.546175;0.638642;0.509633;0.623887;0.484615;0.691281;0.500658;0.703904;0.455331;0.714167;0.427883;0.724695;0.401219;0.710082;0.507277;0.724949;0.457366;0.735012;0.425503;0.74353;0.396791;0.725014;0.522322;0.741035;0.477771;0.750703;0.44831;0.758736;0.420719;0.738044;0.543597;0.752562;0.508984;0.760808;0.486717;0.767509;0.464528
0.484538;0.232959;0.28593;0.645109;0.309123;0.606406;0.320642;0.557864;0.325414;0.517838;0.335341;0.48962;0.272313;0.526842;0.257207;0.478;0.24622;0.44898;0.234777;0.424397;0.251974;0.536804;0.230889;0.485541;0.216508;0.452737;0.203915;0.426453;0.236982;0.554188;0.21268;0.509518;0.197547;0.481779;0.185618;0.458346;0.2263;0.578348;0.203171;0.550263;0.188256;0.531668;0.176114;0.515287;0.700223;0.620777;0.66957;0.594;0.653308;0.547823;0.643256;0.5108;0.627816;0.484702;0.694676;0.501748;0.707606;0.454834;0.717024;0.426842;0.72639;0.401285;0.71458;0.508263;0.72973;0.455948;0.740038;0.423757;0.748019;0.396321;0.730846;0.522603;0.746964;0.475558;0.75668;0.445144;0.764283;0.417749;0.745237;0.543083;0.75891;0.505783;0.766555;0.482087;0.772334;0.458397
0.488773;0.226671;0.287937;0.642794;0.310592;0.605278;0.321655;0.555753;0.325918;0.5153;0.336524;0.486939;0.274359;0.52645;0.259146;0.476801;0.248089;0.447516;0.236553;0.422101;0.254059;0.536768;0.23234;0.484462;0.218065;0.45147;0.2054;0.424635;0.239337;0.554414;0.214781;0.509391;0.199414;0.481667;0.186849;0.457878;0.228934;0.578683;0.205904;0.550414;0.190628;0.532729;0.177444;0.516774;0.702005;0.623759;0.671466;0.594229;0.655781;0.545674;0.64627;0.508021;0.630932;0.482122;0.697514;0.498589;0.710397;0.450609;0.719523;0.423408;0.728314;0.3979;0.718066;0.505533;0.733694;0.453579;0.744026;0.422845;0.752169;0.396293;0.734303;0.520852;0.751282;0.474792;0.761854;0.445275;0.770143;0.418581;0.748421;0.542953;0.763379;0.507143;0.772251;0.484153;0.779674;0.460333
